日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600239,2.67,2.66,2.75,2.61,300559,80833256.0,5.24,-0.37,-0.01,1.87
2025-01-03,600239,2.66,2.48,2.68,2.48,425221,108146945.0,7.52,-6.77,-0.18,2.65
2025-01-06,600239,2.49,2.46,2.51,2.38,267049,65604814.0,5.24,-0.81,-0.02,1.66
2025-01-07,600239,2.47,2.52,2.52,2.44,231819,57595841.0,3.25,2.44,0.06,1.44
2025-01-08,600239,2.52,2.52,2.55,2.45,260529,65281941.0,3.97,0.0,0.0,1.62
2025-01-09,600239,2.51,2.53,2.55,2.48,210419,53135549.0,2.78,0.4,0.01,1.31
2025-01-10,600239,2.55,2.45,2.55,2.44,265047,66095983.0,4.35,-3.16,-0.08,1.65
2025-01-13,600239,2.44,2.45,2.48,2.38,171942,41877908.0,4.08,0.0,0.0,1.07
2025-01-14,600239,2.45,2.55,2.57,2.45,255912,64453073.0,4.9,4.08,0.1,1.59
2025-01-15,600239,2.56,2.54,2.59,2.5,223738,56820007.0,3.53,-0.39,-0.01,1.39
2025-01-16,600239,2.55,2.57,2.63,2.52,247252,63663354.0,4.33,1.18,0.03,1.54
2025-01-17,600239,2.54,2.59,2.64,2.51,345441,89310356.0,5.06,0.78,0.02,2.15
2025-01-20,600239,2.58,2.62,2.68,2.51,444100,115524847.0,6.56,1.16,0.03,2.77
2025-01-21,600239,2.64,2.63,2.72,2.6,445629,118365099.0,4.58,0.38,0.01,2.78
2025-01-22,600239,2.61,2.5,2.61,2.48,334062,84438170.0,4.94,-4.94,-0.13,2.08
2025-01-23,600239,2.53,2.5,2.59,2.5,237772,60503450.0,3.6,0.0,0.0,1.48
2025-01-24,600239,2.52,2.48,2.52,2.46,213768,53139574.0,2.4,-0.8,-0.02,1.33
2025-01-27,600239,2.5,2.46,2.55,2.46,173446,43406790.0,3.63,-0.81,-0.02,1.08
2025-02-05,600239,2.48,2.46,2.49,2.43,166475,41034662.0,2.44,0.0,0.0,1.04
2025-02-06,600239,2.47,2.51,2.51,2.43,287165,71189809.0,3.25,2.03,0.05,1.79
2025-02-07,600239,2.49,2.55,2.58,2.48,353594,90173218.0,3.98,1.59,0.04,2.2
2025-02-10,600239,2.54,2.63,2.63,2.54,333417,86437775.0,3.53,3.14,0.08,2.08
2025-02-11,600239,2.64,2.57,2.65,2.55,238937,61436080.0,3.8,-2.28,-0.06,1.49
2025-02-12,600239,2.56,2.64,2.65,2.54,361107,93358008.0,4.28,2.72,0.07,2.25
2025-02-13,600239,2.62,2.63,2.69,2.6,453463,120269842.0,3.41,-0.38,-0.01,2.82
2025-02-14,600239,2.63,2.57,2.66,2.55,291597,75248994.0,4.18,-2.28,-0.06,1.82
2025-02-17,600239,2.59,2.63,2.66,2.56,465098,121561293.0,3.89,2.33,0.06,2.9
2025-02-18,600239,2.65,2.54,2.67,2.53,395571,102686423.0,5.32,-3.42,-0.09,2.46
2025-02-19,600239,2.54,2.56,2.57,2.51,274550,69771622.0,2.36,0.79,0.02,1.71
2025-02-20,600239,2.55,2.58,2.62,2.53,378175,97552118.0,3.52,0.78,0.02,2.36
2025-02-21,600239,2.59,2.52,2.6,2.49,379617,95993779.0,4.26,-2.33,-0.06,2.36
2025-02-24,600239,2.51,2.56,2.59,2.5,406188,104091870.0,3.57,1.59,0.04,2.53
2025-02-25,600239,2.55,2.53,2.62,2.52,379047,97268484.0,3.91,-1.17,-0.03,2.36
2025-02-26,600239,2.55,2.6,2.61,2.52,458882,118597038.0,3.56,2.77,0.07,2.86
2025-02-27,600239,2.6,2.65,2.66,2.57,597323,156684004.0,3.46,1.92,0.05,3.72
2025-02-28,600239,2.64,2.58,2.68,2.57,573376,149847127.0,4.15,-2.64,-0.07,3.57
2025-03-03,600239,2.58,2.6,2.66,2.56,452079,118289912.0,3.88,0.78,0.02,2.82
2025-03-04,600239,2.59,2.56,2.59,2.53,351948,89819025.0,2.31,-1.54,-0.04,2.19
2025-03-05,600239,2.57,2.52,2.57,2.48,314337,78923158.0,3.52,-1.56,-0.04,1.96
2025-03-06,600239,2.53,2.58,2.59,2.5,458483,117157722.0,3.57,2.38,0.06,2.86
2025-03-07,600239,2.54,2.5,2.54,2.49,382597,96052816.0,1.94,-3.1,-0.08,2.38
2025-03-10,600239,2.52,2.5,2.52,2.48,179053,44656428.0,1.6,0.0,0.0,1.12
2025-03-11,600239,2.48,2.5,2.5,2.45,164162,40700524.0,2.0,0.0,0.0,1.02
2025-03-12,600239,2.49,2.49,2.52,2.48,186952,46691199.0,1.6,-0.4,-0.01,1.16
2025-03-13,600239,2.49,2.46,2.5,2.45,191069,47086873.0,2.01,-1.2,-0.03,1.19
2025-03-14,600239,2.47,2.51,2.52,2.46,281393,70258948.0,2.44,2.03,0.05,1.75
2025-03-17,600239,2.52,2.56,2.58,2.51,385428,98608763.0,2.79,1.99,0.05,2.4
2025-03-18,600239,2.56,2.67,2.81,2.51,1008105,269130967.0,11.72,4.3,0.11,6.28
2025-03-19,600239,2.63,2.6,2.68,2.59,589505,154678556.0,3.37,-2.62,-0.07,3.67
2025-03-20,600239,2.63,2.61,2.68,2.6,489737,129237335.0,3.08,0.38,0.01,3.05
2025-03-21,600239,2.62,2.57,2.64,2.57,307835,79970939.0,2.68,-1.53,-0.04,1.92
2025-03-24,600239,2.57,2.49,2.58,2.45,383397,95860392.0,5.06,-3.11,-0.08,2.39
2025-03-25,600239,2.49,2.5,2.51,2.45,238586,59297827.0,2.41,0.4,0.01,1.49
2025-03-26,600239,2.49,2.51,2.54,2.48,211926,53373477.0,2.4,0.4,0.01,1.32
2025-03-27,600239,2.5,2.48,2.52,2.45,235577,58476300.0,2.79,-1.2,-0.03,1.47
2025-03-28,600239,2.48,2.73,2.73,2.44,770215,201460766.0,11.69,10.08,0.25,4.8
2025-03-31,600239,2.78,2.83,2.98,2.73,2120775,607068930.0,9.16,3.66,0.1,13.21
2025-04-01,600239,2.71,2.84,2.95,2.63,1609049,442948425.0,11.31,0.35,0.01,10.02
2025-04-02,600239,2.78,2.66,2.79,2.66,988753,268096804.0,4.58,-6.34,-0.18,6.16
2025-04-03,600239,2.66,2.61,2.7,2.58,712932,187296336.0,4.51,-1.88,-0.05,4.44
2025-04-07,600239,2.44,2.35,2.48,2.35,555082,132246359.0,4.98,-9.96,-0.26,3.46
2025-04-08,600239,2.21,2.22,2.3,2.17,690805,154530716.0,5.53,-5.53,-0.13,4.3
2025-04-09,600239,2.2,2.25,2.29,2.01,607187,131456007.0,12.61,1.35,0.03,3.78
2025-04-10,600239,2.28,2.35,2.38,2.25,631404,146548074.0,5.78,4.44,0.1,3.93
2025-04-11,600239,2.33,2.59,2.59,2.31,771331,193384102.0,11.91,10.21,0.24,4.8
2025-04-14,600239,2.55,2.62,2.8,2.5,1273845,332361460.0,11.58,1.16,0.03,7.93
2025-04-15,600239,2.61,2.51,2.62,2.5,642793,162554129.0,4.58,-4.2,-0.11,4.0
2025-04-16,600239,2.5,2.46,2.55,2.45,416750,103646778.0,3.98,-1.99,-0.05,2.6
2025-04-17,600239,2.47,2.5,2.6,2.45,543291,137857106.0,6.1,1.63,0.04,3.38
2025-04-18,600239,2.47,2.59,2.65,2.47,801439,205531717.0,7.2,3.6,0.09,4.99
2025-04-21,600239,2.56,2.57,2.62,2.53,524476,134935815.0,3.47,-0.77,-0.02,3.27
2025-04-22,600239,2.55,2.55,2.61,2.54,457742,117474851.0,2.72,-0.78,-0.02,2.85
2025-04-23,600239,2.57,2.57,2.63,2.55,545539,140777581.0,3.14,0.78,0.02,3.4
2025-04-24,600239,2.57,2.59,2.62,2.52,591793,152260540.0,3.89,0.78,0.02,3.69
2025-04-25,600239,2.57,2.59,2.67,2.55,860512,225504234.0,4.63,0.0,0.0,5.36
2025-04-28,600239,2.55,2.43,2.57,2.43,666413,164724379.0,5.41,-6.18,-0.16,4.15
2025-04-29,600239,2.43,2.4,2.45,2.38,313511,75465453.0,2.88,-1.23,-0.03,1.95
2025-04-30,600239,2.4,2.42,2.44,2.4,231009,55891671.0,1.67,0.83,0.02,1.44
2025-05-06,600239,2.44,2.46,2.46,2.43,276050,67566862.0,1.24,1.65,0.04,1.72
2025-05-07,600239,2.51,2.5,2.6,2.48,444466,111970295.0,4.88,1.63,0.04,2.77
2025-05-08,600239,2.49,2.5,2.52,2.46,258545,64603002.0,2.4,0.0,0.0,1.61
