日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600251,7.09,7.03,7.21,7.0,67838,49514245.0,2.95,-1.13,-0.08,0.87
2025-01-03,600251,7.06,6.86,7.07,6.84,77495,55285272.0,3.27,-2.42,-0.17,1.0
2025-01-06,600251,6.85,6.85,6.92,6.76,46432,32589154.0,2.33,-0.15,-0.01,0.6
2025-01-07,600251,6.83,6.92,6.92,6.8,41955,29532630.0,1.75,1.02,0.07,0.54
2025-01-08,600251,6.88,6.87,6.91,6.74,43840,30782892.0,2.46,-0.72,-0.05,0.56
2025-01-09,600251,6.82,6.84,6.91,6.8,48603,34203003.0,1.6,-0.44,-0.03,0.63
2025-01-10,600251,6.86,6.68,6.86,6.67,52306,36262166.0,2.78,-2.34,-0.16,0.67
2025-01-13,600251,6.64,6.7,6.75,6.61,43485,29878002.0,2.1,0.3,0.02,0.56
2025-01-14,600251,6.7,6.9,6.9,6.7,53980,37809820.0,2.99,2.99,0.2,0.69
2025-01-15,600251,6.89,6.84,6.89,6.83,37645,26489255.0,0.87,-0.87,-0.06,0.48
2025-01-16,600251,6.86,6.86,6.96,6.84,49296,34812429.0,1.75,0.29,0.02,0.63
2025-01-17,600251,6.86,6.91,6.94,6.81,50024,35356867.0,1.9,0.73,0.05,0.64
2025-01-20,600251,6.79,6.78,6.8,6.62,115915,80276254.0,2.6,-1.88,-0.13,1.49
2025-01-21,600251,6.78,6.69,6.81,6.65,58001,39887553.0,2.36,-1.33,-0.09,0.75
2025-01-22,600251,6.67,6.64,6.68,6.61,36481,24856183.0,1.05,-0.75,-0.05,0.47
2025-01-23,600251,6.68,6.7,6.79,6.66,62384,43076145.0,1.96,0.9,0.06,0.8
2025-01-24,600251,6.67,6.71,6.71,6.64,44484,30510732.0,1.04,0.15,0.01,0.57
2025-01-27,600251,6.74,6.8,6.82,6.71,70535,49088061.0,1.64,1.34,0.09,0.91
2025-02-05,600251,6.84,6.82,6.84,6.76,47606,33209816.0,1.18,0.29,0.02,0.61
2025-02-06,600251,6.81,6.88,6.88,6.78,63715,44675348.0,1.47,0.88,0.06,0.82
2025-02-07,600251,6.87,6.89,6.94,6.84,76300,53981472.0,1.45,0.15,0.01,0.98
2025-02-10,600251,6.89,6.95,6.96,6.88,64627,45946708.0,1.16,0.87,0.06,0.83
2025-02-11,600251,6.95,6.94,6.95,6.89,50681,35941365.0,0.86,-0.14,-0.01,0.65
2025-02-12,600251,6.91,6.94,6.96,6.88,58597,41582019.0,1.15,0.0,0.0,0.75
2025-02-13,600251,6.94,6.9,6.98,6.88,102320,72645414.0,1.44,-0.58,-0.04,1.32
2025-02-14,600251,6.92,6.87,6.92,6.82,71871,50596363.0,1.45,-0.43,-0.03,0.92
2025-02-17,600251,6.87,6.94,6.94,6.83,59183,41910940.0,1.6,1.02,0.07,0.76
2025-02-18,600251,6.93,6.79,6.94,6.75,69510,48820574.0,2.74,-2.16,-0.15,0.89
2025-02-19,600251,6.79,6.83,6.83,6.76,45067,31411352.0,1.03,0.59,0.04,0.58
2025-02-20,600251,6.81,6.84,6.87,6.78,49641,34754895.0,1.32,0.15,0.01,0.64
2025-02-21,600251,6.83,6.82,6.85,6.78,51118,35773855.0,1.02,-0.29,-0.02,0.66
2025-02-24,600251,7.01,7.02,7.16,6.99,207950,150536341.0,2.49,2.93,0.2,2.68
2025-02-25,600251,6.88,6.87,6.95,6.86,105307,74491990.0,1.28,-2.14,-0.15,1.36
2025-02-26,600251,6.9,6.96,7.05,6.88,91136,65023979.0,2.47,1.31,0.09,1.17
2025-02-27,600251,6.94,6.97,6.97,6.88,75288,53517292.0,1.29,0.14,0.01,0.97
2025-02-28,600251,6.95,6.85,6.95,6.82,60702,42932238.0,1.87,-1.72,-0.12,0.78
2025-03-03,600251,6.85,6.92,6.92,6.84,68303,48347833.0,1.17,1.02,0.07,0.88
2025-03-04,600251,6.92,6.93,6.94,6.87,58552,41507874.0,1.01,0.14,0.01,0.75
2025-03-05,600251,6.94,6.86,6.96,6.84,60226,42502595.0,1.73,-1.01,-0.07,0.78
2025-03-06,600251,6.87,6.87,6.89,6.84,62552,44106062.0,0.73,0.15,0.01,0.81
2025-03-07,600251,6.88,6.88,6.91,6.85,65798,46441192.0,0.87,0.15,0.01,0.85
2025-03-10,600251,6.89,6.92,6.93,6.87,63612,45066896.0,0.87,0.58,0.04,0.82
2025-03-11,600251,6.88,7.0,7.0,6.85,99620,70916427.0,2.17,1.16,0.08,1.28
2025-03-12,600251,6.96,6.93,6.99,6.91,69555,49525449.0,1.14,-1.0,-0.07,0.9
2025-03-13,600251,6.93,6.93,6.95,6.86,77385,54746517.0,1.3,0.0,0.0,1.0
2025-03-14,600251,6.92,7.02,7.04,6.91,114302,81936491.0,1.88,1.3,0.09,1.47
2025-03-17,600251,7.03,7.04,7.08,6.99,83122,59953872.0,1.28,0.28,0.02,1.07
2025-03-18,600251,7.05,7.06,7.08,6.99,64238,46375098.0,1.28,0.28,0.02,0.83
2025-03-19,600251,7.06,7.02,7.06,7.0,55264,39815104.0,0.85,-0.57,-0.04,0.71
2025-03-20,600251,7.02,6.99,7.05,6.97,52027,37375321.0,1.14,-0.43,-0.03,0.67
2025-03-21,600251,6.96,7.01,7.04,6.96,70878,50872635.0,1.14,0.29,0.02,0.91
2025-03-24,600251,7.01,6.93,7.01,6.84,66760,47411193.0,2.43,-1.14,-0.08,0.86
2025-03-25,600251,6.91,7.03,7.07,6.89,62378,44630472.0,2.6,1.44,0.1,0.8
2025-03-26,600251,7.02,7.1,7.11,6.99,79274,57407620.0,1.71,1.0,0.07,1.02
2025-03-27,600251,7.08,7.05,7.12,7.03,47848,34662486.0,1.27,-0.7,-0.05,0.62
2025-03-28,600251,7.04,6.95,7.05,6.93,51052,36534839.0,1.7,-1.42,-0.1,0.66
2025-03-31,600251,6.94,6.85,6.99,6.82,51937,36744919.0,2.45,-1.44,-0.1,0.67
2025-04-01,600251,6.84,6.98,7.01,6.84,48798,34850629.0,2.48,1.9,0.13,0.63
2025-04-02,600251,6.98,6.92,6.99,6.91,35284,25171231.0,1.15,-0.86,-0.06,0.45
2025-04-03,600251,6.85,7.01,7.05,6.83,93048,66240869.0,3.18,1.3,0.09,1.2
2025-04-07,600251,6.87,6.76,7.37,6.72,326004,235412352.0,9.27,-3.57,-0.25,4.2
2025-04-08,600251,6.72,7.27,7.32,6.65,434573,316649980.0,9.91,7.54,0.51,5.59
