日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600255,3.3,3.76,3.76,3.23,6944987,2546274002.0,15.5,9.94,0.34,38.45
2025-01-03,600255,3.65,3.59,3.75,3.45,4958257,1791739945.0,7.98,-4.52,-0.17,27.45
2025-01-06,600255,3.54,3.47,3.66,3.43,3146230,1107199362.0,6.41,-3.34,-0.12,17.42
2025-01-07,600255,3.57,3.82,3.82,3.56,5732622,2167675335.0,7.49,10.09,0.35,31.74
2025-01-08,600255,3.68,4.0,4.18,3.66,7597669,2953767895.0,13.61,4.71,0.18,42.07
2025-01-09,600255,3.88,3.82,4.03,3.75,4824962,1867610893.0,7.0,-4.5,-0.18,26.71
2025-01-10,600255,3.68,3.45,3.77,3.44,4237807,1511256905.0,8.64,-9.69,-0.37,23.46
2025-01-13,600255,3.25,3.27,3.4,3.19,2553580,838498999.0,6.09,-5.22,-0.18,14.14
2025-01-14,600255,3.3,3.46,3.49,3.24,3163643,1076247665.0,7.65,5.81,0.19,17.52
2025-01-15,600255,3.47,3.32,3.51,3.28,2606395,877254556.0,6.65,-4.05,-0.14,14.43
2025-01-16,600255,3.34,3.46,3.57,3.33,3458203,1189779394.0,7.23,4.22,0.14,19.15
2025-01-17,600255,3.38,3.31,3.4,3.28,2198571,729798950.0,3.47,-4.34,-0.15,12.17
2025-01-20,600255,3.43,3.64,3.64,3.43,3004972,1081067582.0,6.34,9.97,0.33,16.64
2025-01-21,600255,3.82,3.81,3.97,3.64,6118531,2310648783.0,9.07,4.67,0.17,33.88
2025-01-22,600255,3.74,3.86,4.19,3.74,4946145,1952974141.0,11.81,1.31,0.05,27.39
2025-01-23,600255,3.94,3.73,4.12,3.73,4542157,1780481166.0,10.1,-3.37,-0.13,25.15
2025-01-24,600255,3.72,4.1,4.1,3.66,5711450,2299474272.0,11.8,9.92,0.37,31.62
2025-01-27,600255,4.01,3.99,4.14,3.78,5798638,2307355185.0,8.78,-2.68,-0.11,32.11
2025-02-05,600255,3.77,3.91,3.98,3.59,4286130,1619264376.0,9.77,-2.01,-0.08,23.73
2025-02-06,600255,3.82,3.99,4.0,3.71,4599522,1781608899.0,7.42,2.05,0.08,25.47
2025-02-07,600255,3.91,3.94,4.06,3.84,4603194,1828891455.0,5.51,-1.25,-0.05,25.49
2025-02-10,600255,3.88,3.99,4.1,3.88,3530112,1410357743.0,5.58,1.27,0.05,19.54
2025-02-11,600255,3.99,4.22,4.29,3.96,5303839,2207582768.0,8.27,5.76,0.23,29.37
2025-02-12,600255,4.11,4.15,4.18,4.0,3766956,1535699498.0,4.27,-1.66,-0.07,20.86
2025-02-13,600255,4.08,3.93,4.1,3.93,3103499,1238449747.0,4.1,-5.3,-0.22,17.18
2025-02-14,600255,3.89,3.84,3.98,3.81,1924449,743925700.0,4.33,-2.29,-0.09,10.65
2025-02-17,600255,3.78,3.92,3.95,3.75,1927467,746740122.0,5.21,2.08,0.08,10.67
2025-02-18,600255,3.89,3.83,3.99,3.8,1880848,732143080.0,4.85,-2.3,-0.09,10.41
2025-02-19,600255,3.84,3.88,3.89,3.77,1626462,625494609.0,3.13,1.31,0.05,9.01
2025-02-20,600255,3.85,3.93,4.03,3.83,1929351,758107481.0,5.15,1.29,0.05,10.68
2025-02-21,600255,3.91,4.0,4.05,3.84,2845929,1129565882.0,5.34,1.78,0.07,15.76
2025-02-24,600255,4.0,4.2,4.26,3.91,4005012,1660408620.0,8.75,5.0,0.2,22.17
2025-02-25,600255,4.1,4.08,4.18,4.03,2414182,985242732.0,3.57,-2.86,-0.12,13.37
2025-02-26,600255,4.05,4.24,4.38,3.99,3355214,1387374207.0,9.56,3.92,0.16,18.58
2025-02-27,600255,4.23,4.16,4.36,4.1,2418738,1017456559.0,6.13,-1.89,-0.08,13.39
2025-02-28,600255,4.08,3.86,4.08,3.85,2145197,850732702.0,5.53,-7.21,-0.3,11.88
2025-03-03,600255,3.89,3.87,3.93,3.81,1037314,402749610.0,3.11,0.26,0.01,5.74
2025-03-04,600255,3.83,3.89,3.89,3.8,817395,315399210.0,2.33,0.52,0.02,4.53
2025-03-05,600255,3.86,3.88,3.89,3.81,921593,355436293.0,2.06,-0.26,-0.01,5.1
2025-03-06,600255,3.88,3.97,3.98,3.87,1487317,586772698.0,2.84,2.32,0.09,8.23
2025-03-07,600255,3.94,3.92,4.02,3.91,1308666,516765465.0,2.77,-1.26,-0.05,7.25
2025-03-10,600255,3.94,3.94,4.0,3.91,861586,340184137.0,2.3,0.51,0.02,4.77
2025-03-11,600255,3.89,3.92,3.92,3.85,808685,314077426.0,1.78,-0.51,-0.02,4.48
2025-03-12,600255,3.92,3.94,3.98,3.92,1199167,473575287.0,1.53,0.51,0.02,6.64
2025-03-13,600255,3.92,3.85,3.95,3.8,1163062,447660787.0,3.81,-2.28,-0.09,6.44
2025-03-14,600255,3.85,3.89,3.9,3.8,865331,333838479.0,2.6,1.04,0.04,4.79
2025-03-17,600255,3.9,4.03,4.18,3.9,2481897,1009608250.0,7.2,3.6,0.14,13.74
2025-03-18,600255,4.0,3.97,4.02,3.95,1305591,519157267.0,1.74,-1.49,-0.06,7.23
2025-03-19,600255,3.98,3.91,3.99,3.9,824651,323772582.0,2.27,-1.51,-0.06,4.57
2025-03-20,600255,3.88,3.92,3.94,3.88,785136,307857735.0,1.53,0.26,0.01,4.35
2025-03-21,600255,3.9,3.86,3.92,3.84,869401,336217119.0,2.04,-1.53,-0.06,4.81
2025-03-24,600255,3.86,3.74,3.88,3.67,1110463,414408535.0,5.44,-3.11,-0.12,6.15
2025-03-25,600255,3.74,3.76,3.79,3.71,632729,237807950.0,2.14,0.53,0.02,3.5
2025-03-26,600255,3.75,3.73,3.81,3.73,654135,246536423.0,2.13,-0.8,-0.03,3.62
2025-03-27,600255,3.71,3.61,3.72,3.6,826145,300400428.0,3.22,-3.22,-0.12,4.57
2025-03-28,600255,3.6,3.51,3.61,3.5,727812,257325589.0,3.05,-2.77,-0.1,4.03
2025-03-31,600255,3.44,3.4,3.45,3.31,945412,318633752.0,3.99,-3.13,-0.11,5.23
2025-04-01,600255,3.42,3.38,3.43,3.37,555757,188772421.0,1.76,-0.59,-0.02,3.08
2025-04-02,600255,3.37,3.39,3.41,3.35,410449,139116313.0,1.78,0.3,0.01,2.27
2025-04-03,600255,3.36,3.37,3.41,3.33,469146,158497712.0,2.36,-0.59,-0.02,2.6
