日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600258,14.3,14.33,14.72,14.23,136041,202208818.0,3.42,0.14,0.02,1.22
2025-01-03,600258,14.34,13.64,14.44,13.6,135848,194252253.0,5.86,-4.82,-0.69,1.22
2025-01-06,600258,13.63,13.29,13.66,13.19,103367,142222799.0,3.45,-2.57,-0.35,0.93
2025-01-07,600258,13.44,13.31,13.44,13.17,78405,106912544.0,2.03,0.15,0.02,0.7
2025-01-08,600258,13.25,13.18,13.33,12.84,103722,138983282.0,3.68,-0.98,-0.13,0.93
2025-01-09,600258,13.07,13.02,13.19,12.94,77863,104308533.0,1.9,-1.21,-0.16,0.7
2025-01-10,600258,12.98,12.6,13.07,12.57,87704,114856783.0,3.84,-3.23,-0.42,0.79
2025-01-13,600258,12.57,12.51,12.6,12.38,132521,169903558.0,1.75,-0.71,-0.09,1.19
2025-01-14,600258,12.62,13.0,13.03,12.56,119044,156768377.0,3.76,3.92,0.49,1.07
2025-01-15,600258,12.91,13.02,13.18,12.88,75930,101744110.0,2.31,0.15,0.02,0.68
2025-01-16,600258,13.03,13.01,13.26,12.94,65829,88559729.0,2.46,-0.08,-0.01,0.59
2025-01-17,600258,12.94,13.18,13.22,12.79,61593,83016285.0,3.31,1.31,0.17,0.55
2025-01-20,600258,13.27,13.37,13.44,13.2,98802,135326051.0,1.82,1.44,0.19,0.88
2025-01-21,600258,13.37,13.1,13.46,13.0,104481,141059035.0,3.44,-2.02,-0.27,0.94
2025-01-22,600258,13.05,12.85,13.08,12.72,96936,127638931.0,2.75,-1.91,-0.25,0.87
2025-01-23,600258,12.93,12.8,13.05,12.8,83222,110549292.0,1.95,-0.39,-0.05,0.75
2025-01-24,600258,12.75,13.01,13.03,12.75,77418,102780722.0,2.19,1.64,0.21,0.69
2025-01-27,600258,13.0,12.99,13.17,12.99,79807,107315413.0,1.38,-0.15,-0.02,0.71
2025-02-05,600258,13.09,12.58,13.09,12.53,153818,200580325.0,4.31,-3.16,-0.41,1.38
2025-02-06,600258,12.54,12.58,12.62,12.35,141122,181707149.0,2.15,0.0,0.0,1.26
2025-02-07,600258,12.54,12.62,12.72,12.45,193427,250480004.0,2.15,0.32,0.04,1.73
2025-02-10,600258,12.7,12.77,12.85,12.61,168474,220695785.0,1.9,1.19,0.15,1.51
2025-02-11,600258,12.85,12.77,12.91,12.61,144687,189169777.0,2.35,0.0,0.0,1.3
2025-02-12,600258,12.76,12.86,12.92,12.7,162971,214476623.0,1.72,0.7,0.09,1.46
2025-02-13,600258,12.82,12.9,12.98,12.8,154711,205163178.0,1.4,0.31,0.04,1.39
2025-02-14,600258,12.93,12.79,12.93,12.73,137740,181204064.0,1.55,-0.85,-0.11,1.23
2025-02-17,600258,12.75,12.7,12.78,12.61,117338,153153894.0,1.33,-0.7,-0.09,1.05
2025-02-18,600258,12.65,12.35,12.72,12.3,188306,241292759.0,3.31,-2.76,-0.35,1.69
2025-02-19,600258,12.31,12.38,12.4,12.2,142525,180297169.0,1.62,0.24,0.03,1.28
2025-02-20,600258,12.39,12.4,12.45,12.28,120542,153766297.0,1.37,0.16,0.02,1.08
2025-02-21,600258,12.41,12.32,12.49,12.25,149943,190021035.0,1.94,-0.65,-0.08,1.34
2025-02-24,600258,12.28,12.59,12.63,12.24,176344,225929664.0,3.17,2.19,0.27,1.58
2025-02-25,600258,12.47,12.45,12.75,12.42,138587,179086658.0,2.62,-1.11,-0.14,1.24
2025-02-26,600258,12.46,12.52,12.58,12.36,152194,194890609.0,1.77,0.56,0.07,1.36
2025-02-27,600258,12.53,12.76,12.84,12.48,231177,302566020.0,2.88,1.92,0.24,2.07
2025-02-28,600258,12.71,12.83,12.97,12.7,214125,282641417.0,2.12,0.55,0.07,1.92
2025-03-03,600258,12.91,12.7,13.04,12.65,196760,259658072.0,3.04,-1.01,-0.13,1.76
2025-03-04,600258,12.66,12.69,12.76,12.61,88049,114729281.0,1.18,-0.08,-0.01,0.79
