日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600265,17.4,16.88,17.52,16.88,5973,10252934.0,3.66,-3.54,-0.62,0.46
2025-01-03,600265,17.1,16.36,17.1,16.29,6959,11570864.0,4.8,-3.08,-0.52,0.54
2025-01-06,600265,16.35,16.4,16.52,15.82,4370,7114882.0,4.28,0.24,0.04,0.34
2025-01-07,600265,16.49,16.97,17.18,16.02,8905,14910385.0,7.07,3.48,0.57,0.69
2025-01-08,600265,16.97,17.6,17.79,16.85,14270,24912935.0,5.54,3.71,0.63,1.1
2025-01-09,600265,17.5,17.58,17.8,17.32,6092,10657391.0,2.73,-0.11,-0.02,0.47
2025-01-10,600265,17.58,17.42,17.93,17.42,6857,12132627.0,2.9,-0.91,-0.16,0.53
2025-01-13,600265,17.09,16.92,17.44,16.76,5765,9844565.0,3.9,-2.87,-0.5,0.44
2025-01-14,600265,17.18,17.36,17.55,16.86,7322,12668063.0,4.08,2.6,0.44,0.56
2025-01-15,600265,17.52,17.3,17.52,17.19,2745,4751983.0,1.9,-0.35,-0.06,0.21
2025-01-16,600265,17.3,17.14,17.5,17.02,5934,10216727.0,2.77,-0.92,-0.16,0.46
2025-01-17,600265,17.24,17.37,17.41,16.95,4301,7382841.0,2.68,1.34,0.23,0.33
2025-01-20,600265,17.33,17.31,17.5,17.22,4749,8232398.0,1.61,-0.35,-0.06,0.37
2025-01-21,600265,17.26,16.99,17.47,16.98,4154,7112148.0,2.83,-1.85,-0.32,0.32
2025-01-22,600265,16.95,16.92,17.05,16.81,3303,5576856.0,1.41,-0.41,-0.07,0.25
2025-01-23,600265,17.07,17.28,17.52,17.01,7626,13218598.0,3.01,2.13,0.36,0.59
2025-01-24,600265,17.21,17.68,17.98,17.12,9040,16027011.0,4.98,2.31,0.4,0.7
2025-01-27,600265,17.51,16.64,17.51,16.35,14801,24905661.0,6.56,-5.88,-1.04,1.14
2025-02-05,600265,16.65,16.86,17.05,16.49,5173,8667205.0,3.37,1.32,0.22,0.4
2025-02-06,600265,16.86,16.95,16.97,16.69,4723,7946143.0,1.66,0.53,0.09,0.36
2025-02-07,600265,16.97,17.51,17.7,16.86,10608,18407361.0,4.96,3.3,0.56,0.82
2025-02-10,600265,17.58,17.91,18.12,17.51,10671,18975509.0,3.48,2.28,0.4,0.82
2025-02-11,600265,17.91,17.55,17.91,17.46,6293,11100889.0,2.51,-2.01,-0.36,0.48
2025-02-12,600265,17.64,17.27,17.74,17.22,6601,11499919.0,2.96,-1.6,-0.28,0.51
2025-02-13,600265,17.27,16.91,17.27,16.76,7958,13514682.0,2.95,-2.08,-0.36,0.61
2025-02-14,600265,16.91,16.92,17.02,16.82,4125,6990319.0,1.18,0.06,0.01,0.32
2025-02-17,600265,17.02,17.09,17.13,16.7,5546,9402199.0,2.54,1.0,0.17,0.43
2025-02-18,600265,17.09,16.9,17.18,16.75,5576,9441377.0,2.52,-1.11,-0.19,0.43
2025-02-19,600265,17.13,16.87,17.13,16.71,6036,10171396.0,2.49,-0.18,-0.03,0.47
2025-02-20,600265,16.7,17.03,17.37,16.7,9616,16442847.0,3.97,0.95,0.16,0.74
2025-02-21,600265,17.02,16.66,17.08,16.57,9549,15951745.0,2.99,-2.17,-0.37,0.74
2025-02-24,600265,16.66,16.68,16.89,16.58,6626,11102668.0,1.86,0.12,0.02,0.51
2025-02-25,600265,16.68,16.32,16.68,16.2,8970,14666388.0,2.88,-2.16,-0.36,0.69
2025-02-26,600265,16.32,16.57,16.78,16.32,7703,12751209.0,2.82,1.53,0.25,0.59
2025-02-27,600265,16.58,16.35,16.58,16.16,7716,12592784.0,2.53,-1.33,-0.22,0.59
2025-02-28,600265,16.09,15.71,16.3,15.54,17219,27199989.0,4.65,-3.91,-0.64,1.33
2025-03-03,600265,15.66,15.76,16.08,15.61,11081,17585521.0,2.99,0.32,0.05,0.85
2025-03-04,600265,15.68,15.8,15.95,15.68,4173,6595291.0,1.71,0.25,0.04,0.32
2025-03-05,600265,15.95,15.7,15.99,15.52,6300,9898910.0,2.97,-0.63,-0.1,0.49
2025-03-06,600265,15.7,15.78,15.89,15.69,5780,9128036.0,1.27,0.51,0.08,0.45
2025-03-07,600265,15.81,15.58,15.84,15.4,7541,11809027.0,2.79,-1.27,-0.2,0.58
2025-03-10,600265,15.72,15.63,15.72,15.43,7556,11796125.0,1.86,0.32,0.05,0.58
2025-03-11,600265,15.63,15.72,15.72,15.41,5483,8551317.0,1.98,0.58,0.09,0.42
2025-03-12,600265,15.8,16.09,16.16,15.61,9437,14944921.0,3.5,2.35,0.37,0.73
2025-03-13,600265,16.15,16.12,16.31,15.63,10687,17112193.0,4.23,0.19,0.03,0.82
2025-03-14,600265,16.08,16.32,16.4,16.01,9856,15971330.0,2.42,1.24,0.2,0.76
2025-03-17,600265,16.45,16.28,16.55,16.23,8192,13422755.0,1.96,-0.25,-0.04,0.63
2025-03-18,600265,16.4,16.2,16.44,16.07,6246,10099489.0,2.27,-0.49,-0.08,0.48
2025-03-19,600265,16.2,16.14,16.25,16.02,5794,9348999.0,1.42,-0.37,-0.06,0.45
2025-03-20,600265,16.15,15.99,16.21,15.9,8046,12908575.0,1.92,-0.93,-0.15,0.62
