日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600288,8.55,8.62,8.99,8.35,220850,192133414.0,7.49,0.94,0.08,5.06
2025-01-03,600288,8.55,9.48,9.48,8.55,613529,571522767.0,10.79,9.98,0.86,14.05
2025-01-06,600288,9.03,9.12,9.18,8.63,543047,488158545.0,5.8,-3.8,-0.36,12.43
2025-01-07,600288,9.07,9.39,9.43,8.75,398023,361163519.0,7.46,2.96,0.27,9.11
2025-01-08,600288,9.2,9.69,10.0,9.2,479767,454473621.0,8.52,3.19,0.3,10.98
2025-01-09,600288,9.5,9.54,9.81,9.41,294915,283020179.0,4.13,-1.55,-0.15,6.75
2025-01-10,600288,9.46,8.91,9.61,8.9,312102,287140847.0,7.44,-6.6,-0.63,7.15
2025-01-13,600288,8.6,8.47,8.67,8.15,209374,175788219.0,5.84,-4.94,-0.44,4.79
2025-01-14,600288,8.56,8.92,8.92,8.47,204010,178946204.0,5.31,5.31,0.45,4.67
2025-01-15,600288,8.91,8.92,9.1,8.79,169589,151403722.0,3.48,0.0,0.0,3.88
2025-01-16,600288,8.97,9.01,9.22,8.8,174794,157611065.0,4.71,1.01,0.09,4.0
2025-01-17,600288,8.92,8.9,9.32,8.67,206870,185011403.0,7.21,-1.22,-0.11,4.74
2025-01-20,600288,8.97,9.02,9.2,8.85,141744,128173434.0,3.93,1.35,0.12,3.25
2025-01-21,600288,9.1,8.87,9.14,8.8,113826,101290548.0,3.77,-1.66,-0.15,2.61
2025-01-22,600288,8.83,8.67,8.88,8.64,93779,81726027.0,2.71,-2.25,-0.2,2.15
2025-01-23,600288,8.77,8.74,9.18,8.73,164662,147570938.0,5.19,0.81,0.07,3.77
2025-01-24,600288,8.68,8.91,8.92,8.56,145028,127255521.0,4.12,1.95,0.17,3.32
2025-01-27,600288,8.94,8.63,9.05,8.61,119925,105175479.0,4.94,-3.14,-0.28,2.75
2025-02-05,600288,8.79,9.05,9.17,8.79,207162,187299280.0,4.4,4.87,0.42,4.74
2025-02-06,600288,9.05,9.28,9.28,8.96,177244,162611996.0,3.54,2.54,0.23,4.06
2025-02-07,600288,9.21,9.31,9.52,9.14,219554,204902260.0,4.09,0.32,0.03,5.03
2025-02-10,600288,9.32,9.69,9.7,9.32,206544,196732553.0,4.08,4.08,0.38,4.73
2025-02-11,600288,9.68,9.65,9.82,9.48,222808,216024990.0,3.51,-0.41,-0.04,5.1
2025-02-12,600288,9.52,9.7,9.77,9.51,152508,147439592.0,2.69,0.52,0.05,3.49
2025-02-13,600288,9.69,9.55,9.73,9.42,162355,155335930.0,3.2,-1.55,-0.15,3.72
2025-02-14,600288,9.53,9.62,9.75,9.39,140906,134905405.0,3.77,0.73,0.07,3.23
2025-02-17,600288,10.13,9.91,10.15,9.75,349532,347748369.0,4.16,3.01,0.29,8.0
2025-02-18,600288,9.77,9.36,9.89,9.31,222710,214211033.0,5.85,-5.55,-0.55,5.1
2025-02-19,600288,9.31,9.59,9.61,9.27,161552,153433086.0,3.63,2.46,0.23,3.7
2025-02-20,600288,9.65,9.73,9.83,9.61,158234,153834937.0,2.29,1.46,0.14,3.62
2025-02-21,600288,9.84,9.82,9.84,9.53,172580,167538805.0,3.19,0.92,0.09,3.95
2025-02-24,600288,9.78,9.77,9.92,9.65,165405,161703531.0,2.75,-0.51,-0.05,3.79
2025-02-25,600288,9.63,9.88,10.15,9.53,329742,327820299.0,6.35,1.13,0.11,7.55
2025-02-26,600288,9.97,10.11,10.14,9.83,295043,295657738.0,3.14,2.33,0.23,6.75
2025-02-27,600288,10.12,9.94,10.19,9.76,253147,251197777.0,4.25,-1.68,-0.17,5.8
