日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600310,4.55,4.44,4.64,4.4,188742,86092866.0,5.3,-1.99,-0.09,1.29
2025-01-03,600310,4.46,4.31,4.52,4.28,177738,78420840.0,5.41,-2.93,-0.13,1.21
2025-01-06,600310,4.32,4.29,4.34,4.18,172661,74279359.0,3.71,-0.46,-0.02,1.18
2025-01-07,600310,4.32,4.32,4.33,4.18,203837,87335808.0,3.5,0.7,0.03,1.39
2025-01-08,600310,4.31,4.29,4.34,4.17,182220,78163167.0,3.94,-0.69,-0.03,1.24
2025-01-09,600310,4.26,4.24,4.3,4.22,116908,50092060.0,1.86,-1.17,-0.05,0.8
2025-01-10,600310,4.24,4.11,4.26,4.1,144985,61040753.0,3.77,-3.07,-0.13,0.99
2025-01-13,600310,4.1,4.16,4.18,4.05,165242,68738817.0,3.16,1.22,0.05,1.13
2025-01-14,600310,4.17,4.25,4.25,4.16,211505,89802655.0,2.16,2.16,0.09,1.44
2025-01-15,600310,4.24,4.21,4.25,4.15,171423,72472638.0,2.35,-0.94,-0.04,1.17
2025-01-16,600310,4.21,4.26,4.3,4.21,164216,70385313.0,2.14,1.19,0.05,1.12
2025-01-17,600310,4.24,4.12,4.25,4.12,251963,106165650.0,3.05,-3.29,-0.14,1.72
2025-01-20,600310,4.17,4.14,4.19,4.12,249997,104475489.0,1.7,0.49,0.02,1.71
2025-01-21,600310,4.16,4.07,4.17,4.05,198866,82005188.0,2.9,-1.69,-0.07,1.36
2025-01-22,600310,4.08,4.07,4.11,4.04,194433,79768806.0,1.72,0.0,0.0,1.33
2025-01-23,600310,4.08,4.05,4.19,4.05,266615,110379965.0,3.44,-0.49,-0.02,1.82
2025-01-24,600310,4.03,4.05,4.07,3.98,302413,122636095.0,2.22,0.0,0.0,2.06
2025-01-27,600310,4.06,4.03,4.11,4.02,254037,103660097.0,2.22,-0.49,-0.02,1.73
2025-02-05,600310,4.03,3.96,4.03,3.94,259176,103695987.0,2.23,-1.74,-0.07,1.77
2025-02-06,600310,3.98,4.04,4.05,3.89,317908,127414980.0,4.04,2.02,0.08,2.17
2025-02-07,600310,4.04,4.08,4.14,4.02,389431,160386569.0,2.97,0.99,0.04,2.66
2025-02-10,600310,4.11,4.11,4.15,4.07,292355,120632527.0,1.96,0.74,0.03,1.99
2025-02-11,600310,4.12,4.09,4.12,4.03,244203,99994071.0,2.19,-0.49,-0.02,1.67
2025-02-12,600310,4.08,4.38,4.5,4.07,977156,422862545.0,10.51,7.09,0.29,6.67
2025-02-13,600310,4.35,4.24,4.35,4.23,566087,243657833.0,2.74,-3.2,-0.14,3.86
2025-02-14,600310,4.21,4.24,4.31,4.21,366642,156993029.0,2.36,0.0,0.0,2.5
2025-02-17,600310,4.23,4.26,4.29,4.18,374505,159902342.0,2.59,0.47,0.02,2.56
2025-02-18,600310,4.27,4.37,4.52,4.25,852680,377132814.0,6.34,2.58,0.11,5.82
2025-02-19,600310,4.33,4.38,4.38,4.29,461588,201629311.0,2.06,0.23,0.01,3.15
2025-02-20,600310,4.39,4.34,4.4,4.3,326142,141985408.0,2.28,-0.91,-0.04,2.23
