日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600323,22.58,22.23,22.9,21.96,74494,175438491.0,4.16,-1.51,-0.34,0.91
2025-01-03,600323,22.36,22.6,22.93,22.36,54153,128360884.0,2.56,1.66,0.37,0.66
2025-01-06,600323,22.55,22.32,22.75,22.05,62316,145413984.0,3.1,-1.24,-0.28,0.76
2025-01-07,600323,22.35,21.45,22.49,21.11,112418,254417222.0,6.18,-3.9,-0.87,1.38
2025-01-08,600323,21.46,21.23,21.6,21.07,48218,107957694.0,2.47,-1.03,-0.22,0.59
2025-01-09,600323,21.13,20.93,21.26,20.86,36139,79658367.0,1.88,-1.41,-0.3,0.44
2025-01-10,600323,20.93,20.89,21.23,20.86,35443,78245404.0,1.77,-0.19,-0.04,0.43
2025-01-13,600323,20.89,20.81,21.45,20.61,56221,123439567.0,4.02,-0.38,-0.08,0.69
2025-01-14,600323,20.81,21.51,21.55,20.8,75752,168969071.0,3.6,3.36,0.7,0.93
2025-01-15,600323,21.65,21.23,21.65,21.18,48604,108869152.0,2.19,-1.3,-0.28,0.6
2025-01-16,600323,21.45,20.84,21.45,20.83,42598,94334328.0,2.92,-1.84,-0.39,0.52
2025-01-17,600323,20.84,21.01,21.47,20.7,47400,105200853.0,3.69,0.82,0.17,0.58
2025-01-20,600323,21.11,21.36,21.54,21.09,42035,94298846.0,2.14,1.67,0.35,0.52
2025-01-21,600323,21.37,21.52,21.61,21.07,37508,83967999.0,2.53,0.75,0.16,0.46
2025-01-22,600323,21.45,21.43,21.6,21.15,25124,56342716.0,2.09,-0.42,-0.09,0.31
2025-01-23,600323,21.43,21.3,21.88,21.23,40747,91783408.0,3.03,-0.61,-0.13,0.5
2025-01-24,600323,21.29,21.45,21.54,21.19,36143,81095911.0,1.64,0.7,0.15,0.44
2025-01-27,600323,21.52,21.68,21.81,21.34,41615,94526492.0,2.19,1.07,0.23,0.51
2025-02-05,600323,21.89,21.23,21.89,21.18,50538,114090458.0,3.27,-2.08,-0.45,0.62
2025-02-06,600323,21.31,21.14,21.39,20.93,43750,96930528.0,2.17,-0.42,-0.09,0.54
2025-02-07,600323,21.12,21.21,21.37,20.89,60229,133528106.0,2.27,0.33,0.07,0.74
2025-02-10,600323,21.19,20.97,21.3,20.93,64432,142369081.0,1.74,-1.13,-0.24,0.79
2025-02-11,600323,20.96,21.01,21.25,20.95,48558,107322119.0,1.43,0.19,0.04,0.6
2025-02-12,600323,20.96,20.72,21.08,20.68,58764,128567907.0,1.9,-1.38,-0.29,0.72
2025-02-13,600323,20.75,20.44,20.8,20.42,58323,125626619.0,1.83,-1.35,-0.28,0.72
2025-02-14,600323,20.51,20.22,20.63,18.3,61925,132487795.0,11.4,-1.08,-0.22,0.76
2025-02-17,600323,20.3,19.27,20.32,19.21,135824,278126691.0,5.49,-4.7,-0.95,1.67
2025-02-18,600323,19.73,20.21,20.34,19.68,122292,258490090.0,3.43,4.88,0.94,1.5
2025-02-19,600323,20.35,20.3,20.77,20.16,87741,188755525.0,3.02,0.45,0.09,1.08
2025-02-20,600323,20.36,20.67,20.9,20.01,71732,155032422.0,4.38,1.82,0.37,0.88
2025-02-21,600323,20.72,20.45,20.76,20.31,53340,114444136.0,2.18,-1.06,-0.22,0.65
2025-02-24,600323,20.63,21.65,21.79,20.55,129533,291412468.0,6.06,5.87,1.2,1.59
2025-02-25,600323,21.65,21.84,22.11,21.42,79761,182258538.0,3.19,0.88,0.19,0.98
2025-02-26,600323,21.71,21.55,21.92,21.2,74696,168819619.0,3.3,-1.33,-0.29,0.92
2025-02-27,600323,21.64,21.23,21.65,21.16,51623,115468871.0,2.27,-1.48,-0.32,0.63
2025-02-28,600323,21.23,20.9,21.33,20.74,57195,125717002.0,2.78,-1.55,-0.33,0.7
2025-03-03,600323,20.99,20.76,21.02,20.71,41021,89857496.0,1.48,-0.67,-0.14,0.5
2025-03-04,600323,20.72,20.83,21.01,20.56,31969,69984799.0,2.17,0.34,0.07,0.39
2025-03-05,600323,20.83,20.79,21.11,20.72,27862,61068531.0,1.87,-0.19,-0.04,0.34
2025-03-06,600323,20.85,20.18,20.95,20.06,136187,290853836.0,4.28,-2.93,-0.61,1.67
2025-03-07,600323,20.13,20.21,20.51,20.09,63466,135227223.0,2.08,0.15,0.03,0.78
2025-03-10,600323,20.11,20.17,20.23,19.96,60990,128827308.0,1.34,-0.2,-0.04,0.75
2025-03-11,600323,20.03,20.17,20.23,19.95,29988,63484749.0,1.39,0.0,0.0,0.37
2025-03-12,600323,20.17,20.13,20.22,20.07,28139,59649778.0,0.74,-0.2,-0.04,0.35
2025-03-13,600323,20.24,20.23,20.38,20.03,43225,91808158.0,1.74,0.5,0.1,0.53
2025-03-14,600323,20.26,20.32,20.42,20.09,52776,112473974.0,1.63,0.44,0.09,0.65
2025-03-17,600323,20.37,20.72,20.92,20.28,83206,180222909.0,3.15,1.97,0.4,1.02
2025-03-18,600323,21.15,21.91,22.81,20.96,219458,505895849.0,8.93,5.74,1.19,2.69
2025-03-19,600323,21.57,21.05,22.05,20.99,99929,223713263.0,4.84,-3.93,-0.86,1.23
2025-03-20,600323,21.05,21.3,21.88,21.04,88865,200755632.0,3.99,1.19,0.25,1.09
2025-03-21,600323,21.3,21.53,21.71,21.24,82298,186285393.0,2.21,1.08,0.23,1.01
2025-03-24,600323,21.8,21.84,22.42,21.56,101255,233558205.0,3.99,1.44,0.31,1.24
2025-03-25,600323,21.89,21.84,21.99,21.47,75523,171914099.0,2.38,0.0,0.0,0.93
2025-03-26,600323,21.97,21.9,22.1,21.6,64563,147591323.0,2.29,0.27,0.06,0.79
2025-03-27,600323,21.9,22.57,22.81,21.65,102521,239396355.0,5.3,3.06,0.67,1.26
2025-03-28,600323,22.8,22.93,23.53,22.58,101276,243676087.0,4.21,1.6,0.36,1.24
2025-03-31,600323,22.92,22.84,23.18,22.23,96632,229688967.0,4.14,-0.39,-0.09,1.19
2025-04-01,600323,22.63,23.32,23.47,22.59,93545,227236989.0,3.85,2.1,0.48,1.15
2025-04-02,600323,23.32,23.08,23.46,23.03,48576,117695513.0,1.84,-1.03,-0.24,0.6
2025-04-03,600323,23.0,23.29,23.83,22.89,139205,341783537.0,4.07,0.91,0.21,1.71
2025-04-07,600323,22.25,21.94,23.45,21.74,221722,523094489.0,7.34,-5.8,-1.35,2.72
2025-04-08,600323,22.2,22.54,22.95,22.11,126761,297514309.0,3.83,2.73,0.6,1.55
2025-04-09,600323,22.45,22.32,22.52,21.75,98469,228311502.0,3.42,-0.98,-0.22,1.21
2025-04-10,600323,22.51,22.15,22.54,21.96,108401,252124993.0,2.6,-0.76,-0.17,1.33
2025-04-11,600323,22.03,22.27,23.21,21.98,132079,313113111.0,5.55,0.54,0.12,1.62
2025-04-14,600323,22.32,22.45,22.84,22.0,88265,207650243.0,3.77,0.81,0.18,1.08
2025-04-15,600323,22.7,22.77,22.92,22.32,74048,175913239.0,2.67,1.43,0.32,0.91
2025-04-16,600323,22.75,22.98,23.02,22.62,63058,150962942.0,1.76,0.92,0.21,0.77
2025-04-17,600323,23.05,22.67,23.06,22.51,52625,124922143.0,2.39,-1.35,-0.31,0.65
2025-04-18,600323,22.56,22.44,22.64,22.36,35529,83512359.0,1.24,-1.01,-0.23,0.44
2025-04-21,600323,22.35,22.23,22.53,22.2,37324,87261103.0,1.47,-0.94,-0.21,0.46
2025-04-22,600323,22.32,22.53,22.62,22.14,43771,102926934.0,2.16,1.35,0.3,0.54
2025-04-23,600323,22.62,22.22,22.76,22.15,42261,98971758.0,2.71,-1.38,-0.31,0.52
2025-04-24,600323,22.22,22.19,22.44,22.04,41050,95544323.0,1.8,-0.14,-0.03,0.5
2025-04-25,600323,22.18,22.03,22.29,21.85,56098,129152763.0,1.98,-0.72,-0.16,0.69
2025-04-28,600323,21.95,22.13,22.27,21.86,44976,104186156.0,1.86,0.45,0.1,0.55
2025-04-29,600323,22.37,22.42,22.8,22.14,45687,107188629.0,2.98,1.31,0.29,0.56
2025-04-30,600323,22.37,22.15,22.53,22.15,39023,91133894.0,1.69,-1.2,-0.27,0.48
2025-05-06,600323,22.15,22.23,22.43,21.97,66056,153722605.0,2.08,0.36,0.08,0.81
2025-05-07,600323,22.25,22.41,22.74,22.25,45903,108024049.0,2.2,0.81,0.18,0.56
2025-05-08,600323,22.33,22.18,22.49,22.15,40799,94994115.0,1.52,-1.03,-0.23,0.5
2025-05-09,600323,22.15,22.69,22.72,22.13,60043,140812738.0,2.66,2.3,0.51,0.74
2025-05-12,600323,22.65,22.72,22.75,22.17,62636,147586650.0,2.56,0.13,0.03,0.77
2025-05-13,600323,22.72,22.96,23.07,22.51,65086,155765262.0,2.46,1.06,0.24,0.8
2025-05-14,600323,23.05,22.77,23.11,22.53,49424,117532485.0,2.53,-0.83,-0.19,0.61
2025-05-15,600323,22.77,23.1,23.21,22.73,55803,134267046.0,2.11,1.45,0.33,0.68
2025-05-16,600323,23.25,23.09,23.74,23.07,75909,185193199.0,2.9,-0.04,-0.01,0.93
2025-05-19,600323,23.1,23.72,23.76,22.87,71366,174845102.0,3.85,2.73,0.63,0.88
2025-05-20,600323,23.69,23.71,23.9,23.55,51041,126347300.0,1.48,-0.04,-0.01,0.63
2025-05-21,600323,23.83,24.15,24.25,23.64,54244,135511968.0,2.57,1.86,0.44,0.67
2025-05-22,600323,24.2,23.77,24.2,23.66,46066,114926464.0,2.24,-1.57,-0.38,0.56
2025-05-23,600323,23.78,23.36,23.83,23.35,46872,114986927.0,2.02,-1.72,-0.41,0.57
2025-05-26,600323,23.36,23.48,23.56,23.2,38092,93091490.0,1.54,0.51,0.12,0.47
2025-05-27,600323,23.5,23.31,23.8,23.26,34522,84377222.0,2.3,-0.72,-0.17,0.42
2025-05-28,600323,23.33,23.59,23.66,23.17,35729,87435335.0,2.1,1.2,0.28,0.44
2025-05-29,600323,23.58,23.41,23.59,23.35,35673,87363951.0,1.02,-0.76,-0.18,0.44
2025-05-30,600323,23.48,23.81,24.15,23.48,66269,165422601.0,2.86,1.71,0.4,0.81
2025-06-03,600323,23.74,24.26,24.36,23.56,60620,152034049.0,3.36,1.89,0.45,0.74
2025-06-04,600323,24.36,24.32,24.62,24.16,39627,100728206.0,1.9,0.25,0.06,0.49
2025-06-05,600323,24.3,24.3,24.64,24.18,27399,69801331.0,1.89,-0.08,-0.02,0.34
2025-06-06,600323,24.33,24.25,24.38,24.11,22948,57990733.0,1.11,-0.21,-0.05,0.28
2025-06-09,600323,24.25,23.73,24.37,23.69,60669,150897732.0,2.8,-2.14,-0.52,0.74
2025-06-10,600323,23.83,23.6,23.92,23.49,36231,89540419.0,1.81,-0.55,-0.13,0.44
2025-06-11,600323,23.64,23.79,23.87,23.54,31403,77869689.0,1.4,0.81,0.19,0.39
2025-06-12,600323,23.78,24.04,24.06,23.66,41690,104179280.0,1.68,1.05,0.25,0.51
2025-06-13,600323,23.94,23.88,24.14,23.77,39914,99599956.0,1.54,-0.67,-0.16,0.49
2025-06-16,600323,23.77,23.63,24.13,23.6,33243,82536112.0,2.22,-1.05,-0.25,0.41
2025-06-17,600323,23.57,23.53,23.8,23.37,38871,95609267.0,1.82,-0.42,-0.1,0.48
2025-06-18,600323,23.45,23.65,23.86,23.43,44259,109519123.0,1.83,0.51,0.12,0.54
2025-06-19,600323,23.6,23.85,23.95,23.57,41237,102272971.0,1.61,0.85,0.2,0.51
2025-06-20,600323,23.73,23.65,23.85,23.53,36411,90111930.0,1.34,-0.84,-0.2,0.45
2025-06-23,600323,23.67,23.45,23.83,23.42,30798,75679008.0,1.73,-0.85,-0.2,0.38
2025-06-24,600323,23.47,23.53,23.62,23.44,27255,66918992.0,0.77,0.34,0.08,0.33
2025-06-25,600323,23.45,23.45,24.2,23.35,109483,270281098.0,3.61,-0.34,-0.08,1.34
2025-06-26,600323,23.45,23.54,23.62,23.26,37814,92594498.0,1.54,0.38,0.09,0.46
2025-06-27,600323,23.6,23.21,23.72,23.16,64340,157034829.0,2.38,-1.4,-0.33,0.79
2025-06-30,600323,23.17,23.3,23.38,23.1,33725,82069983.0,1.21,0.39,0.09,0.41
2025-07-01,600323,23.26,23.4,23.59,23.26,31716,77596704.0,1.42,0.43,0.1,0.39
2025-07-02,600323,23.5,23.34,23.5,23.28,32522,79504109.0,0.94,-0.26,-0.06,0.4
2025-07-03,600323,23.25,23.3,23.45,23.24,31152,75885262.0,0.9,-0.17,-0.04,0.38
2025-07-04,600323,23.34,23.36,23.7,23.33,49633,117555456.0,1.59,0.26,0.06,0.61
2025-07-07,600323,23.28,23.7,23.84,23.27,42431,101248178.0,2.44,1.46,0.34,0.52
2025-07-08,600323,23.73,23.83,23.93,23.7,39363,94737763.0,0.97,0.55,0.13,0.48
2025-07-09,600323,23.84,23.46,23.98,23.34,58309,138736679.0,2.69,-1.55,-0.37,0.72
2025-07-10,600323,23.46,23.68,23.75,23.34,34778,82965330.0,1.75,0.94,0.22,0.43
2025-07-11,600323,23.68,23.93,24.03,23.55,47881,115102434.0,2.03,1.06,0.25,0.59
2025-07-14,600323,23.93,24.31,24.51,23.79,53335,130637675.0,3.01,1.59,0.38,0.65
2025-07-15,600323,24.84,25.37,25.68,24.84,163459,416757980.0,3.46,4.36,1.06,2.0
2025-07-16,600323,25.54,25.96,26.01,25.4,101854,265183749.0,2.4,2.33,0.59,1.25
2025-07-17,600323,25.94,25.24,25.98,25.18,81482,208778962.0,3.08,-2.77,-0.72,1.0
2025-07-18,600323,25.26,25.54,25.58,25.24,34187,87800475.0,1.35,1.19,0.3,0.42
2025-07-21,600323,25.59,25.45,25.79,25.26,48803,125525887.0,2.08,-0.35,-0.09,0.6
2025-07-22,600323,25.35,25.9,25.98,25.32,76891,199679321.0,2.59,1.77,0.45,0.94
2025-07-23,600323,25.9,26.71,26.8,25.85,115337,308350470.0,3.67,3.13,0.81,1.41
2025-07-24,600323,26.71,27.22,27.25,26.56,92130,250755139.0,2.58,1.91,0.51,1.13
2025-07-25,600323,26.96,27.62,27.81,26.86,78971,218925255.0,3.49,1.47,0.4,0.97
2025-07-28,600323,27.62,27.44,27.73,27.06,53402,147832679.0,2.43,-0.65,-0.18,0.65
2025-07-29,600323,27.45,27.05,27.93,26.98,46118,126882306.0,3.46,-1.42,-0.39,0.57
2025-07-30,600323,27.03,26.88,27.21,26.84,32984,89953612.0,1.37,-0.63,-0.17,0.4
2025-07-31,600323,27.05,26.52,27.05,26.28,51793,138544234.0,2.86,-1.34,-0.36,0.64
2025-08-01,600323,26.6,27.25,27.3,26.52,62072,168598368.0,2.94,2.75,0.73,0.76
2025-08-04,600323,27.05,26.8,27.75,26.42,77182,210138880.0,4.88,-1.65,-0.45,0.95
2025-08-05,600323,26.8,27.16,27.19,26.52,35592,96731396.0,2.5,1.34,0.36,0.44
2025-08-06,600323,27.3,27.29,27.52,27.0,32344,89206412.0,1.91,0.48,0.13,0.4
2025-08-07,600323,27.34,27.01,27.34,26.9,24072,65811758.0,1.61,-1.03,-0.28,0.3
2025-08-08,600323,27.15,26.72,27.19,26.61,37361,100922784.0,2.15,-1.07,-0.29,0.46
2025-08-11,600323,26.72,26.3,26.83,26.04,69778,184940675.0,2.96,-1.57,-0.42,0.86
2025-08-12,600323,26.3,26.35,26.6,26.15,44156,117387915.0,1.71,0.19,0.05,0.54
2025-08-13,600323,26.45,26.33,26.55,26.1,48462,128721871.0,1.71,-0.08,-0.02,0.59
2025-08-14,600323,26.33,26.54,26.62,26.06,45816,121887689.0,2.13,0.8,0.21,0.56
2025-08-15,600323,26.46,26.43,26.72,26.23,58641,156574181.0,1.85,-0.41,-0.11,0.72
2025-08-18,600323,26.41,26.02,26.43,25.98,70158,185014825.0,1.7,-1.55,-0.41,0.86
2025-08-19,600323,26.0,25.95,26.24,25.9,44801,117824424.0,1.31,-0.27,-0.07,0.55
2025-08-20,600323,25.95,26.61,26.71,25.78,83608,221833206.0,3.58,2.54,0.66,1.03
2025-08-21,600323,26.52,26.25,26.54,25.85,77813,206361684.0,2.59,-1.35,-0.36,0.95
2025-08-22,600323,26.25,26.21,26.45,25.99,46916,123712784.0,1.75,-0.15,-0.04,0.58
2025-08-25,600323,26.26,26.1,26.4,25.98,92130,242990188.0,1.6,-0.42,-0.11,1.13
2025-08-26,600323,26.16,26.55,26.75,26.11,113109,303550052.0,2.45,1.72,0.45,1.39
2025-08-27,600323,26.56,25.62,26.59,25.53,141589,369014928.0,3.99,-3.5,-0.93,1.74
2025-08-28,600323,25.65,25.79,25.9,25.5,65568,169927079.0,1.56,0.66,0.17,0.8
2025-08-29,600323,25.79,26.15,26.33,25.71,75137,197858261.0,2.4,1.4,0.36,0.92
2025-09-01,600323,25.96,25.57,26.12,25.45,87551,227246388.0,2.56,-2.22,-0.58,1.07
2025-09-02,600323,25.55,25.84,25.98,25.48,60294,157028558.0,1.96,1.06,0.27,0.74
2025-09-03,600323,25.74,25.42,25.95,25.3,71819,185309804.0,2.52,-1.63,-0.42,0.88
2025-09-04,600323,25.43,26.01,26.06,25.27,102043,264841660.0,3.11,2.32,0.59,1.25
2025-09-05,600323,25.93,26.35,26.45,25.77,70629,186409340.0,2.61,1.31,0.34,0.87
2025-09-08,600323,26.26,26.08,26.67,26.07,88085,233671966.0,2.28,-1.02,-0.27,1.08
2025-09-09,600323,26.18,26.89,27.12,25.98,109147,295807505.0,4.37,3.11,0.81,1.34
2025-09-10,600323,26.8,26.54,27.08,26.46,47299,127106751.0,2.31,-1.3,-0.35,0.58
2025-09-11,600323,26.65,26.71,26.9,26.32,51539,138647952.0,2.19,0.64,0.17,0.63
2025-09-12,600323,26.78,26.81,27.35,26.4,68845,186512350.0,3.56,0.37,0.1,0.84
2025-09-15,600323,26.81,27.03,27.17,26.65,45618,124161426.0,1.94,0.82,0.22,0.56
2025-09-16,600323,27.04,26.62,27.04,26.43,40428,108630765.0,2.26,-1.52,-0.41,0.5
2025-09-17,600323,26.48,26.91,26.97,26.4,45542,123024663.0,2.14,1.09,0.29,0.56
2025-09-18,600323,26.88,25.87,26.89,25.75,97445,258225030.0,4.24,-3.86,-1.04,1.2
2025-09-19,600323,26.04,26.02,26.39,25.69,51170,134793856.0,2.71,0.58,0.15,0.63
2025-09-22,600323,26.1,26.6,26.69,25.92,57709,153991631.0,2.96,2.23,0.58,0.71
2025-09-23,600323,26.66,27.09,27.1,26.46,58700,158780552.0,2.41,1.84,0.49,0.72
2025-09-24,600323,27.14,27.42,27.58,27.03,45205,124557351.0,2.03,1.22,0.33,0.55
2025-09-25,600323,27.5,27.11,27.5,26.8,42248,115103601.0,2.55,-1.13,-0.31,0.52
2025-09-26,600323,27.13,27.06,27.25,26.75,41114,112177347.0,1.84,-0.18,-0.05,0.5
2025-09-29,600323,27.18,27.12,27.27,26.79,45044,122920796.0,1.77,0.22,0.06,0.55
2025-09-30,600323,27.23,26.78,27.24,26.67,59183,160164897.0,2.1,-1.25,-0.34,0.73
2025-10-09,600323,26.77,27.08,27.19,26.7,46658,127382803.0,1.83,1.12,0.3,0.57
2025-10-10,600323,26.99,27.93,28.22,26.9,67621,189867448.0,4.87,3.14,0.85,0.83
2025-10-13,600323,27.5,28.04,28.27,27.4,67674,190412169.0,3.11,0.39,0.11,0.83
2025-10-14,600323,27.93,27.55,28.29,27.38,56174,156451219.0,3.25,-1.75,-0.49,0.69
2025-10-15,600323,27.55,27.99,28.07,27.37,54474,152482969.0,2.54,1.6,0.44,0.67
2025-10-16,600323,28.03,28.12,28.35,27.77,39835,112960029.0,2.07,0.46,0.13,0.49
2025-10-17,600323,28.07,28.14,28.47,28.05,47241,134557213.0,1.49,0.07,0.02,0.58
2025-10-20,600323,28.4,28.1,28.97,27.65,66016,187005935.0,4.69,-0.14,-0.04,0.81
2025-10-21,600323,28.16,28.35,28.65,28.15,71407,204936672.0,1.78,0.89,0.25,0.88
2025-10-22,600323,28.28,28.95,29.54,28.26,98461,288937844.0,4.51,2.12,0.6,1.21
2025-10-23,600323,28.87,28.89,28.99,28.32,68989,199693600.0,2.31,-0.21,-0.06,0.85
2025-10-24,600323,28.89,28.75,29.1,28.49,49264,142619292.0,2.11,-0.48,-0.14,0.6
2025-10-27,600323,28.59,29.08,29.63,28.56,71866,210727556.0,3.72,1.15,0.33,0.88
2025-10-28,600323,29.15,28.21,29.15,28.2,63800,183498769.0,3.27,-2.99,-0.87,0.78
