日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600346,14.77,14.41,14.84,14.36,212475,320068289.0,3.24,-2.77,-0.41,0.3
2025-01-03,600346,14.45,14.37,14.65,14.32,157746,236622202.0,2.29,-0.28,-0.04,0.22
2025-01-06,600346,14.44,14.49,14.56,14.28,136888,204703401.0,1.95,0.84,0.12,0.19
2025-01-07,600346,14.59,14.57,14.61,14.32,118304,177026753.0,2.0,0.55,0.08,0.17
2025-01-08,600346,14.48,14.55,14.62,14.29,135067,202404075.0,2.26,-0.14,-0.02,0.19
2025-01-09,600346,14.47,14.47,14.57,14.36,94453,141822171.0,1.44,-0.55,-0.08,0.13
2025-01-10,600346,14.6,14.32,15.1,14.32,194665,294632217.0,5.39,-1.04,-0.15,0.28
2025-01-13,600346,14.25,14.31,14.76,14.25,183559,275711083.0,3.56,-0.07,-0.01,0.26
2025-01-14,600346,14.23,14.51,14.61,14.14,163685,244581753.0,3.28,1.4,0.2,0.23
2025-01-15,600346,14.43,14.32,14.57,14.26,133309,198634744.0,2.14,-1.31,-0.19,0.19
2025-01-16,600346,14.32,14.29,14.47,14.23,96616,143558080.0,1.68,-0.21,-0.03,0.14
2025-01-17,600346,14.15,14.41,14.5,14.15,102183,152386764.0,2.45,0.84,0.12,0.15
2025-01-20,600346,14.42,14.28,14.54,14.27,113163,168318195.0,1.87,-0.9,-0.13,0.16
2025-01-21,600346,14.34,14.09,14.36,14.03,131279,192103451.0,2.31,-1.33,-0.19,0.19
2025-01-22,600346,14.07,14.16,14.24,13.89,126092,184261962.0,2.48,0.5,0.07,0.18
2025-01-23,600346,14.25,14.09,14.33,14.08,104818,153987962.0,1.77,-0.49,-0.07,0.15
2025-01-24,600346,14.08,14.23,14.28,13.92,190838,279031904.0,2.56,0.99,0.14,0.27
2025-01-27,600346,14.24,14.45,14.69,14.21,166338,250340970.0,3.37,1.55,0.22,0.24
2025-02-05,600346,14.52,14.46,14.52,14.3,99086,147893186.0,1.52,0.07,0.01,0.14
2025-02-06,600346,14.35,14.37,14.64,14.31,131660,196334821.0,2.28,-0.62,-0.09,0.19
2025-02-07,600346,14.32,14.46,14.52,14.31,131967,197560254.0,1.46,0.63,0.09,0.19
2025-02-10,600346,14.4,14.89,14.97,14.33,231386,351877768.0,4.43,2.97,0.43,0.33
2025-02-11,600346,14.86,14.95,15.12,14.82,130642,202341535.0,2.01,0.4,0.06,0.19
2025-02-12,600346,14.91,14.93,15.16,14.86,118989,184214523.0,2.01,-0.13,-0.02,0.17
2025-02-13,600346,14.95,15.04,15.4,14.95,162224,254311740.0,3.01,0.74,0.11,0.23
2025-02-14,600346,14.97,15.05,15.13,14.84,122606,190522674.0,1.93,0.07,0.01,0.17
2025-02-17,600346,15.05,15.03,15.18,14.87,116881,181331639.0,2.06,-0.13,-0.02,0.17
2025-02-18,600346,15.03,15.14,15.27,14.94,147683,231758577.0,2.2,0.73,0.11,0.21
2025-02-19,600346,15.13,15.05,15.23,14.94,95590,148648937.0,1.92,-0.59,-0.09,0.14
2025-02-20,600346,15.05,14.93,15.08,14.87,93081,143992128.0,1.4,-0.8,-0.12,0.13
2025-02-21,600346,14.94,14.74,14.99,14.65,130629,199648338.0,2.28,-1.27,-0.19,0.19
2025-02-24,600346,14.68,14.76,14.87,14.67,93956,143823987.0,1.36,0.14,0.02,0.13
2025-02-25,600346,14.73,14.49,14.73,14.46,107785,162574484.0,1.83,-1.83,-0.27,0.15
2025-02-26,600346,14.57,14.55,14.67,14.49,86058,129957133.0,1.24,0.41,0.06,0.12
2025-02-27,600346,14.56,15.12,15.13,14.49,226306,349222190.0,4.4,3.92,0.57,0.32
2025-02-28,600346,15.19,15.13,15.27,15.04,174543,273777554.0,1.52,0.07,0.01,0.25
2025-03-03,600346,15.13,15.24,15.37,15.12,132874,209526601.0,1.65,0.73,0.11,0.19
2025-03-04,600346,15.2,15.57,15.61,15.13,203164,324219400.0,3.15,2.17,0.33,0.29
2025-03-05,600346,15.63,15.35,15.72,15.34,106221,170033199.0,2.44,-1.41,-0.22,0.15
2025-03-06,600346,15.4,15.36,15.47,15.17,112652,178706241.0,1.95,0.07,0.01,0.16
2025-03-07,600346,15.28,15.21,15.4,15.19,88047,139243389.0,1.37,-0.98,-0.15,0.13
2025-03-10,600346,15.17,15.36,15.4,15.09,126670,199939418.0,2.04,0.99,0.15,0.18
2025-03-11,600346,15.26,15.79,15.8,15.21,193231,311709175.0,3.84,2.8,0.43,0.27
2025-03-12,600346,15.79,15.34,15.8,15.31,159821,255711722.0,3.1,-2.85,-0.45,0.23
2025-03-13,600346,15.35,15.39,15.46,15.28,84718,134575356.0,1.17,0.33,0.05,0.12
2025-03-14,600346,15.39,15.22,15.45,15.17,134150,211954649.0,1.82,-1.1,-0.17,0.19
2025-03-17,600346,15.21,15.23,15.29,15.09,102423,161226277.0,1.31,0.07,0.01,0.15
2025-03-18,600346,15.23,15.29,15.45,15.19,114061,180790514.0,1.71,0.39,0.06,0.16
2025-03-19,600346,15.26,15.19,15.35,15.14,82479,129874022.0,1.37,-0.65,-0.1,0.12
2025-03-20,600346,15.2,15.1,15.26,15.02,103729,162418861.0,1.58,-0.59,-0.09,0.15
2025-03-21,600346,15.1,15.02,15.28,14.97,107305,167455823.0,2.05,-0.53,-0.08,0.15
2025-03-24,600346,15.02,15.03,15.15,14.94,86267,134333882.0,1.4,0.07,0.01,0.12
2025-03-25,600346,15.09,15.19,15.2,14.96,84704,132307102.0,1.6,1.06,0.16,0.12
2025-03-26,600346,15.19,15.02,15.25,14.98,74851,116950916.0,1.78,-1.12,-0.17,0.11
2025-03-27,600346,15.01,15.11,15.2,14.98,58503,91520581.0,1.46,0.6,0.09,0.08
2025-03-28,600346,15.08,14.96,15.12,14.82,82819,128210198.0,1.99,-0.99,-0.15,0.12
2025-03-31,600346,14.85,14.84,14.95,14.75,80381,123567967.0,1.34,-0.8,-0.12,0.11
2025-04-01,600346,14.88,14.89,14.93,14.7,74459,114470198.0,1.55,0.34,0.05,0.11
2025-04-02,600346,14.87,14.97,15.02,14.83,67646,104477344.0,1.28,0.54,0.08,0.1
2025-04-03,600346,14.92,14.93,15.13,14.88,83695,130020439.0,1.67,-0.27,-0.04,0.12
2025-04-07,600346,14.48,14.27,14.69,13.78,347312,511185886.0,6.1,-4.42,-0.66,0.49
2025-04-08,600346,14.23,14.45,14.46,14.08,286867,424201335.0,2.66,1.26,0.18,0.41
2025-04-09,600346,14.31,14.6,14.62,14.14,250831,374301270.0,3.32,1.04,0.15,0.36
2025-04-10,600346,14.73,14.69,14.8,14.41,128736,195457044.0,2.67,0.62,0.09,0.18
2025-04-11,600346,14.61,14.61,14.67,14.49,88499,133733125.0,1.23,-0.54,-0.08,0.13
2025-04-14,600346,14.62,14.5,14.68,14.44,170060,255876518.0,1.64,-0.75,-0.11,0.24
2025-04-15,600346,14.47,14.57,14.61,14.34,137111,206044463.0,1.86,0.48,0.07,0.19
2025-04-16,600346,14.48,14.97,14.97,14.39,165971,251566904.0,3.98,2.75,0.4,0.24
2025-04-17,600346,14.87,14.69,14.88,14.52,149734,227215911.0,2.4,-1.87,-0.28,0.21
2025-04-18,600346,14.63,14.69,14.82,14.54,73335,111575573.0,1.91,0.0,0.0,0.1
2025-04-21,600346,14.77,15.11,15.13,14.7,127518,197347188.0,2.93,2.86,0.42,0.18
2025-04-22,600346,15.06,15.05,15.22,14.98,94291,147329604.0,1.59,-0.4,-0.06,0.13
2025-04-23,600346,15.05,15.04,15.08,14.84,61207,94878432.0,1.59,-0.07,-0.01,0.09
2025-04-24,600346,15.01,15.0,15.07,14.88,59470,92239997.0,1.26,-0.27,-0.04,0.08
2025-04-25,600346,15.03,14.95,15.12,14.9,48743,75673630.0,1.47,-0.33,-0.05,0.07
2025-04-28,600346,14.92,14.88,14.95,14.8,56486,87096562.0,1.0,-0.47,-0.07,0.08
2025-04-29,600346,14.93,14.82,14.93,14.8,47154,72486829.0,0.87,-0.4,-0.06,0.07
2025-04-30,600346,14.8,14.76,14.89,14.74,52511,80491896.0,1.01,-0.4,-0.06,0.07
2025-05-06,600346,14.75,15.1,15.12,14.51,139993,216318486.0,4.13,2.3,0.34,0.2
2025-05-07,600346,15.19,15.31,15.32,15.07,113358,178493839.0,1.66,1.39,0.21,0.16
2025-05-08,600346,15.27,15.31,15.34,15.17,72121,113840777.0,1.11,0.0,0.0,0.1
2025-05-09,600346,15.34,15.12,15.42,15.08,73978,116473662.0,2.22,-1.24,-0.19,0.11
2025-05-12,600346,15.16,15.09,15.26,15.03,61816,96687497.0,1.52,-0.2,-0.03,0.09
2025-05-13,600346,15.17,15.14,15.19,15.07,59685,93457805.0,0.8,0.33,0.05,0.08
2025-05-14,600346,15.18,15.07,15.3,15.03,103246,162001135.0,1.78,-0.46,-0.07,0.15
2025-05-15,600346,15.01,15.28,15.32,14.97,136411,214673249.0,2.32,1.39,0.21,0.19
2025-05-16,600346,15.22,15.44,15.44,15.22,114382,181868676.0,1.44,1.05,0.16,0.16
2025-05-19,600346,15.42,15.25,15.49,15.17,83580,132583713.0,2.07,-1.23,-0.19,0.12
2025-05-20,600346,15.25,15.27,15.39,15.09,67457,106455947.0,1.97,0.13,0.02,0.1
2025-05-21,600346,15.27,15.33,15.42,15.27,57392,91234361.0,0.98,0.39,0.06,0.08
2025-05-22,600346,15.32,15.14,15.41,15.13,57636,90613774.0,1.83,-1.24,-0.19,0.08
