日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600355,3.39,3.45,3.57,3.33,334651,116418084.0,7.04,1.17,0.04,6.8
2025-01-03,600355,3.5,3.23,3.52,3.21,394363,130122305.0,8.99,-6.38,-0.22,8.01
2025-01-06,600355,3.21,3.15,3.23,3.03,260700,81761359.0,6.19,-2.48,-0.08,5.3
2025-01-07,600355,3.16,3.34,3.35,3.16,308347,100551819.0,6.03,6.03,0.19,6.27
2025-01-08,600355,3.42,3.37,3.43,3.24,288590,96409155.0,5.69,0.9,0.03,5.86
2025-01-09,600355,3.36,3.44,3.47,3.32,242545,82822868.0,4.45,2.08,0.07,4.93
2025-01-10,600355,3.44,3.28,3.46,3.28,244150,81922761.0,5.23,-4.65,-0.16,4.96
2025-01-13,600355,3.25,3.25,3.28,3.12,178672,57434605.0,4.88,-0.91,-0.03,3.63
2025-01-14,600355,3.29,3.48,3.48,3.29,290564,99118582.0,5.85,7.08,0.23,5.9
2025-01-15,600355,3.52,3.5,3.55,3.43,254749,88949155.0,3.45,0.57,0.02,5.18
2025-01-16,600355,3.5,3.53,3.58,3.47,256529,90489702.0,3.14,0.86,0.03,5.21
2025-01-17,600355,3.18,3.25,3.34,3.18,1025691,332838547.0,4.53,-7.93,-0.28,20.84
2025-01-20,600355,3.17,3.06,3.17,2.96,808517,246878292.0,6.46,-5.85,-0.19,16.43
2025-01-21,600355,3.07,2.92,3.1,2.9,576841,169562170.0,6.54,-4.58,-0.14,11.72
2025-01-22,600355,2.87,2.86,2.98,2.78,457609,130630913.0,6.85,-2.05,-0.06,9.3
2025-01-23,600355,2.86,2.87,3.02,2.86,489391,143553582.0,5.59,0.35,0.01,9.95
2025-01-24,600355,2.85,2.8,2.85,2.73,373187,103828792.0,4.18,-2.44,-0.07,7.58
2025-01-27,600355,2.77,2.79,2.86,2.75,296922,83206241.0,3.93,-0.36,-0.01,6.03
2025-02-05,600355,2.85,3.07,3.07,2.82,730193,220777686.0,8.96,10.04,0.28,14.84
2025-02-06,600355,3.08,3.38,3.38,3.0,1041885,333095104.0,12.38,10.1,0.31,21.17
2025-02-07,600355,3.44,3.72,3.72,3.41,767520,280504734.0,9.17,10.06,0.34,15.6
2025-02-10,600355,3.84,3.98,4.09,3.6,1674024,652670812.0,13.17,6.99,0.26,34.02
