日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600375,5.47,5.63,5.77,5.43,77728,43690404.0,6.17,2.18,0.12,0.71
2025-01-03,600375,5.56,5.44,5.62,5.44,42556,23383437.0,3.2,-3.37,-0.19,0.39
2025-01-06,600375,5.46,5.17,5.46,5.17,55576,29067793.0,5.33,-4.96,-0.27,0.51
2025-01-07,600375,5.19,5.22,5.25,5.0,51018,26250303.0,4.84,0.97,0.05,0.47
2025-01-08,600375,5.23,5.31,5.32,5.0,71232,36532861.0,6.13,1.72,0.09,0.65
2025-01-09,600375,5.25,5.35,5.48,5.25,45971,24623509.0,4.33,0.75,0.04,0.42
2025-01-10,600375,5.35,5.45,5.53,5.28,58630,31808992.0,4.67,1.87,0.1,0.54
2025-01-13,600375,5.4,5.72,5.72,5.4,94320,53387445.0,5.87,4.95,0.27,0.87
2025-01-14,600375,5.83,5.99,6.01,5.76,116265,69014004.0,4.37,4.72,0.27,1.07
2025-01-15,600375,5.9,5.95,6.05,5.87,73827,44048418.0,3.01,-0.67,-0.04,0.68
2025-01-16,600375,5.97,5.83,5.99,5.79,64501,37833770.0,3.36,-2.02,-0.12,0.59
2025-01-17,600375,5.85,5.89,5.99,5.78,59514,34938031.0,3.6,1.03,0.06,0.55
2025-01-20,600375,5.88,5.81,5.88,5.73,38886,22573436.0,2.55,-1.36,-0.08,0.36
2025-01-21,600375,5.82,5.76,5.89,5.65,40981,23697118.0,4.13,-0.86,-0.05,0.38
2025-01-22,600375,5.79,5.74,5.88,5.71,31693,18393590.0,2.95,-0.35,-0.02,0.29
2025-01-23,600375,5.78,5.73,5.83,5.72,28635,16548663.0,1.92,-0.17,-0.01,0.26
2025-01-24,600375,5.72,5.85,5.93,5.69,52626,30562267.0,4.19,2.09,0.12,0.48
2025-01-27,600375,5.86,6.04,6.14,5.83,66605,40385442.0,5.3,3.25,0.19,0.61
2025-02-05,600375,6.05,6.07,6.11,5.94,36521,22084296.0,2.81,0.5,0.03,0.34
2025-02-06,600375,6.1,6.06,6.23,6.03,37081,22545390.0,3.29,-0.16,-0.01,0.34
2025-02-07,600375,6.09,6.08,6.11,6.03,41793,25376220.0,1.32,0.33,0.02,0.38
2025-02-10,600375,6.07,5.95,6.08,5.92,66147,39482043.0,2.63,-2.14,-0.13,0.61
2025-02-11,600375,5.93,6.0,6.14,5.92,45312,27374874.0,3.7,0.84,0.05,0.42
2025-02-12,600375,6.0,6.01,6.06,5.86,39831,23851675.0,3.33,0.17,0.01,0.37
2025-02-13,600375,6.06,6.0,6.15,5.98,82448,49981488.0,2.83,-0.17,-0.01,0.76
2025-02-14,600375,5.99,5.95,6.04,5.92,50295,30001626.0,2.0,-0.83,-0.05,0.46
2025-02-17,600375,5.93,6.05,6.05,5.86,56750,33808292.0,3.19,1.68,0.1,0.52
2025-02-18,600375,6.02,6.03,6.21,6.01,83897,51179365.0,3.31,-0.33,-0.02,0.77
2025-02-19,600375,6.03,6.12,6.15,5.99,62299,37948654.0,2.65,1.49,0.09,0.57
2025-02-20,600375,6.14,6.17,6.2,6.05,63514,38999841.0,2.45,0.82,0.05,0.58
2025-02-21,600375,6.14,6.29,6.44,6.11,103623,65005171.0,5.35,1.94,0.12,0.95
2025-02-24,600375,6.22,6.16,6.25,6.04,147557,90386298.0,3.34,-2.07,-0.13,1.36
2025-02-25,600375,6.11,6.1,6.22,6.1,54502,33586121.0,1.95,-0.97,-0.06,0.5
2025-02-26,600375,6.1,6.05,6.15,6.02,82495,50114334.0,2.13,-0.82,-0.05,0.76
2025-02-27,600375,6.02,6.03,6.1,6.0,74956,45203281.0,1.65,-0.33,-0.02,0.69
2025-02-28,600375,6.03,6.0,6.09,5.93,66263,39821961.0,2.65,-0.5,-0.03,0.61
2025-03-03,600375,5.99,5.89,6.0,5.85,88709,52424246.0,2.5,-1.83,-0.11,0.82
2025-03-04,600375,5.91,6.02,6.05,5.86,60401,36179184.0,3.23,2.21,0.13,0.56
