日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600388,12.33,12.3,12.53,12.19,108639,136979227.0,2.75,-0.57,-0.07,0.86
2025-01-03,600388,12.33,12.13,12.49,12.1,119303,149925589.0,3.17,-1.38,-0.17,0.94
2025-01-06,600388,12.14,12.09,12.21,11.93,78593,97128150.0,2.31,-0.33,-0.04,0.62
2025-01-07,600388,12.08,12.09,12.19,11.97,56025,69203138.0,1.82,0.0,0.0,0.44
2025-01-08,600388,12.13,11.93,12.16,11.74,117144,142243828.0,3.47,-1.32,-0.16,0.92
2025-01-09,600388,11.87,11.78,12.03,11.77,68268,83040565.0,2.18,-1.26,-0.15,0.54
2025-01-10,600388,11.78,12.05,12.18,11.78,90317,110727172.0,3.4,2.29,0.27,0.71
2025-01-13,600388,12.06,11.87,12.07,11.71,120214,145727800.0,2.99,-1.49,-0.18,0.95
2025-01-14,600388,11.93,12.12,12.17,11.8,157093,192700851.0,3.12,2.11,0.25,1.24
2025-01-15,600388,12.12,11.83,12.22,11.8,126859,155345027.0,3.47,-2.39,-0.29,1.0
2025-01-16,600388,11.87,11.89,12.1,11.85,92283,112958191.0,2.11,0.51,0.06,0.73
2025-01-17,600388,11.86,11.79,11.94,11.77,99400,120537002.0,1.43,-0.84,-0.1,0.78
2025-01-20,600388,11.84,11.62,11.99,11.58,169034,203254506.0,3.48,-1.44,-0.17,1.33
2025-01-21,600388,11.71,11.98,12.0,11.65,121836,147973129.0,3.01,3.1,0.36,0.96
2025-01-22,600388,11.98,11.98,12.19,11.86,82402,101140937.0,2.75,0.0,0.0,0.65
2025-01-23,600388,12.04,11.79,12.1,11.74,87899,107163839.0,3.01,-1.59,-0.19,0.69
2025-01-24,600388,11.76,11.93,11.95,11.74,71546,87022340.0,1.78,1.19,0.14,0.56
2025-01-27,600388,11.96,12.1,12.24,11.93,101368,125694558.0,2.6,1.42,0.17,0.8
2025-02-05,600388,12.09,12.03,12.29,11.97,93188,115619737.0,2.64,-0.58,-0.07,0.73
2025-02-06,600388,11.98,11.91,12.03,11.85,108827,132698184.0,1.5,-1.0,-0.12,0.86
2025-02-07,600388,11.9,12.09,12.18,11.82,105478,129693867.0,3.02,1.51,0.18,0.83
2025-02-10,600388,12.14,11.94,12.2,11.9,114348,140196914.0,2.48,-1.24,-0.15,0.9
2025-02-11,600388,12.0,12.34,12.41,11.95,179534,224687218.0,3.85,3.35,0.4,1.41
