日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600390,6.4,6.18,6.44,6.1,798898,501903911.0,5.28,-4.04,-0.26,1.78
2025-01-03,600390,6.19,5.99,6.22,5.99,726954,442662721.0,3.72,-3.07,-0.19,1.62
2025-01-06,600390,5.97,6.02,6.03,5.91,508597,304642736.0,2.0,0.5,0.03,1.13
2025-01-07,600390,6.02,6.13,6.14,5.99,493034,298914097.0,2.49,1.83,0.11,1.1
2025-01-08,600390,6.1,6.04,6.1,5.88,536063,321742345.0,3.59,-1.47,-0.09,1.19
2025-01-09,600390,6.01,6.0,6.09,5.99,329593,199226413.0,1.66,-0.66,-0.04,0.73
2025-01-10,600390,6.01,5.87,6.05,5.87,351324,209291775.0,3.0,-2.17,-0.13,0.78
2025-01-13,600390,5.8,5.91,5.91,5.73,414491,242918277.0,3.07,0.68,0.04,0.92
2025-01-14,600390,5.94,6.17,6.18,5.93,794344,485405025.0,4.23,4.4,0.26,1.77
2025-01-15,600390,5.97,6.0,6.1,5.85,1271452,761298743.0,4.05,-2.76,-0.17,2.83
2025-01-16,600390,6.0,6.03,6.14,5.97,709222,429580848.0,2.83,0.5,0.03,1.58
2025-01-17,600390,6.03,6.06,6.09,5.97,422773,255736846.0,1.99,0.5,0.03,0.94
2025-01-20,600390,6.1,6.12,6.34,6.04,1169894,727517938.0,4.95,0.99,0.06,2.6
2025-01-21,600390,6.17,6.02,6.2,5.98,662143,401274096.0,3.59,-1.63,-0.1,1.47
2025-01-22,600390,5.99,5.96,6.01,5.92,401068,239166844.0,1.5,-1.0,-0.06,0.89
2025-01-23,600390,6.05,6.19,6.56,6.05,2244350,1431039646.0,8.56,3.86,0.23,4.99
2025-01-24,600390,6.06,6.21,6.27,6.02,1245355,765912432.0,4.04,0.32,0.02,2.77
2025-01-27,600390,6.19,5.97,6.25,5.97,966472,587717583.0,4.51,-3.86,-0.24,2.15
2025-02-05,600390,6.04,5.97,6.06,5.94,483415,289531002.0,2.01,0.0,0.0,1.07
2025-02-06,600390,5.96,6.09,6.09,5.91,746785,450005026.0,3.02,2.01,0.12,1.66
2025-02-07,600390,6.04,6.24,6.34,6.04,1279857,796812075.0,4.93,2.46,0.15,2.85
2025-02-10,600390,6.25,6.29,6.32,6.23,669175,420386986.0,1.44,0.8,0.05,1.49
2025-02-11,600390,6.29,6.21,6.3,6.15,550225,341677828.0,2.38,-1.27,-0.08,1.22
2025-02-12,600390,6.19,6.32,6.32,6.16,657422,410573675.0,2.58,1.77,0.11,1.46
2025-02-13,600390,6.31,6.32,6.43,6.21,942633,596993029.0,3.48,0.0,0.0,2.1
2025-02-14,600390,6.3,6.28,6.45,6.25,662186,418172092.0,3.16,-0.63,-0.04,1.47
2025-02-17,600390,6.38,6.27,6.41,6.23,772448,488294596.0,2.87,-0.16,-0.01,1.72
2025-02-18,600390,6.27,6.15,6.41,6.11,1159199,724370472.0,4.78,-1.91,-0.12,2.58
2025-02-19,600390,6.05,6.13,6.16,6.04,689658,421268028.0,1.95,-0.33,-0.02,1.53
2025-02-20,600390,6.11,6.07,6.17,6.06,572477,349948134.0,1.79,-0.98,-0.06,1.27
2025-02-21,600390,6.07,6.2,6.21,6.01,906757,555630982.0,3.29,2.14,0.13,2.02
2025-02-24,600390,6.18,6.09,6.19,6.06,613312,375949986.0,2.1,-1.77,-0.11,1.36
2025-02-25,600390,6.04,5.99,6.06,5.97,609572,367332536.0,1.48,-1.64,-0.1,1.36
2025-02-26,600390,5.99,6.08,6.08,5.97,577075,347729062.0,1.84,1.5,0.09,1.28
2025-02-27,600390,6.05,6.04,6.11,5.95,630787,380554170.0,2.63,-0.66,-0.04,1.4
2025-02-28,600390,6.0,5.89,6.06,5.86,560611,334457967.0,3.31,-2.48,-0.15,1.25
2025-03-03,600390,5.88,5.82,5.93,5.79,435538,255742332.0,2.38,-1.19,-0.07,0.97
2025-03-04,600390,5.79,5.86,5.87,5.77,322944,188764817.0,1.72,0.69,0.04,0.72
2025-03-05,600390,5.84,5.87,5.89,5.77,440025,257002655.0,2.05,0.17,0.01,0.98
2025-03-06,600390,5.89,6.11,6.15,5.88,1238049,748374587.0,4.6,4.09,0.24,2.75
2025-03-07,600390,6.05,5.95,6.07,5.93,749311,449528104.0,2.29,-2.62,-0.16,1.67
2025-03-10,600390,5.95,5.89,5.95,5.86,362530,213934206.0,1.51,-1.01,-0.06,0.81
2025-03-11,600390,5.84,5.86,5.86,5.81,417561,243912812.0,0.85,-0.51,-0.03,0.93
2025-03-12,600390,5.89,5.88,5.97,5.85,455271,268876428.0,2.05,0.34,0.02,1.01
2025-03-13,600390,5.88,5.82,5.9,5.78,452775,264149001.0,2.04,-1.02,-0.06,1.01
2025-03-14,600390,5.81,6.05,6.16,5.81,1411130,849977192.0,6.01,3.95,0.23,3.14
2025-03-17,600390,6.08,6.0,6.09,5.99,634794,383416968.0,1.65,-0.83,-0.05,1.41
2025-03-18,600390,6.0,5.98,6.04,5.95,420864,252002259.0,1.5,-0.33,-0.02,0.94
2025-03-19,600390,5.97,5.95,5.99,5.93,379946,226544847.0,1.0,-0.5,-0.03,0.84
2025-03-20,600390,5.96,5.89,5.96,5.89,361611,214121011.0,1.18,-1.01,-0.06,0.8
2025-03-21,600390,5.87,5.84,5.91,5.82,463798,272369021.0,1.53,-0.85,-0.05,1.03
2025-03-24,600390,5.85,5.81,5.85,5.74,489628,283933696.0,1.88,-0.51,-0.03,1.09
2025-03-25,600390,5.81,5.8,5.82,5.76,314907,182687848.0,1.03,-0.17,-0.01,0.7
2025-03-26,600390,5.77,5.82,5.84,5.77,338764,197183817.0,1.21,0.34,0.02,0.75
2025-03-27,600390,5.82,5.83,5.88,5.75,377425,220016142.0,2.23,0.17,0.01,0.84
2025-03-28,600390,5.82,5.85,5.9,5.79,507222,297065343.0,1.89,0.34,0.02,1.13
2025-03-31,600390,5.79,5.6,5.79,5.59,737516,417703863.0,3.42,-4.27,-0.25,1.64
2025-04-01,600390,5.61,5.58,5.64,5.56,378973,212400021.0,1.43,-0.36,-0.02,0.84
2025-04-02,600390,5.57,5.65,5.65,5.54,385113,216143911.0,1.97,1.25,0.07,0.86
2025-04-03,600390,5.6,5.7,5.73,5.58,501103,285231830.0,2.65,0.88,0.05,1.11
2025-04-07,600390,5.41,5.13,5.48,5.13,730817,381585299.0,6.14,-10.0,-0.57,1.62
2025-04-08,600390,5.01,5.19,5.3,4.94,925215,471620604.0,7.02,1.17,0.06,2.06
2025-04-09,600390,5.09,5.36,5.43,4.95,1094951,574919591.0,9.25,3.28,0.17,2.43
2025-04-10,600390,5.38,5.44,5.55,5.29,1031656,563687214.0,4.85,1.49,0.08,2.29
2025-04-11,600390,5.37,5.34,5.43,5.34,593600,319651100.0,1.65,-1.84,-0.1,1.32
2025-04-14,600390,5.36,5.45,5.48,5.36,582423,316966932.0,2.25,2.06,0.11,1.29
2025-04-15,600390,5.45,5.38,5.45,5.35,310168,167072654.0,1.83,-1.28,-0.07,0.69
