日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600392,10.15,9.92,10.23,9.82,203057,206884657.0,4.05,-2.07,-0.21,1.16
2025-01-03,600392,9.95,9.82,10.2,9.8,268624,272381889.0,4.03,-1.01,-0.1,1.53
2025-01-06,600392,9.8,10.14,10.39,9.76,388131,399096467.0,6.42,3.26,0.32,2.21
2025-01-07,600392,10.14,10.26,10.55,9.96,316170,329729388.0,5.82,1.18,0.12,1.8
2025-01-08,600392,10.16,9.98,10.23,9.75,284211,287119559.0,4.68,-2.73,-0.28,1.62
2025-01-09,600392,9.93,10.13,10.28,9.89,238362,245663137.0,3.91,1.5,0.15,1.36
2025-01-10,600392,10.2,10.17,10.47,10.09,299882,311370156.0,3.75,0.39,0.04,1.71
2025-01-13,600392,10.08,10.28,10.48,10.0,388637,404776719.0,4.72,1.08,0.11,2.22
2025-01-14,600392,10.25,10.91,10.94,10.14,586382,630575791.0,7.78,6.13,0.63,3.35
2025-01-15,600392,10.85,10.88,11.19,10.66,445205,489968954.0,4.86,-0.27,-0.03,2.54
2025-01-16,600392,10.97,11.02,11.3,10.88,491616,551753482.0,3.86,1.29,0.14,2.8
2025-01-17,600392,11.05,10.96,11.05,10.77,344020,380633478.0,2.54,-0.54,-0.06,1.96
2025-01-20,600392,10.95,10.77,11.0,10.73,274964,301407249.0,2.46,-1.73,-0.19,1.57
2025-01-21,600392,10.8,10.63,10.85,10.51,230923,248452945.0,3.16,-1.3,-0.14,1.32
2025-01-22,600392,10.59,10.58,10.7,10.54,162003,174218935.0,1.51,-0.47,-0.05,0.92
2025-01-23,600392,10.67,10.59,10.99,10.59,308109,337241574.0,3.78,0.09,0.01,1.76
2025-01-24,600392,10.58,10.74,10.77,10.56,201700,218525532.0,1.98,1.42,0.15,1.15
2025-01-27,600392,10.73,10.51,10.83,10.48,189855,204217671.0,3.26,-2.14,-0.23,1.08
2025-02-05,600392,10.73,10.74,10.89,10.65,242075,263946569.0,2.28,2.19,0.23,1.38
2025-02-06,600392,10.7,11.25,11.44,10.67,514855,577408213.0,7.17,4.75,0.51,2.94
2025-02-07,600392,11.1,11.19,11.33,11.07,418595,475953284.0,2.31,-0.53,-0.06,2.39
2025-02-10,600392,11.18,11.13,11.22,11.0,256739,288868552.0,1.97,-0.54,-0.06,1.46
2025-02-11,600392,11.18,11.08,11.29,11.03,314890,355042151.0,2.34,-0.45,-0.05,1.8
2025-02-12,600392,11.02,11.15,11.18,10.98,260561,292848010.0,1.81,0.63,0.07,1.49
2025-02-13,600392,11.15,11.01,11.26,10.99,252580,283508250.0,2.42,-1.26,-0.14,1.44
2025-02-14,600392,11.03,10.99,11.11,10.92,193292,215384941.0,1.73,-0.18,-0.02,1.1
2025-02-17,600392,11.02,10.83,11.04,10.75,262795,288921947.0,2.64,-1.46,-0.16,1.5
2025-02-18,600392,10.83,10.53,10.83,10.48,255630,276183837.0,3.23,-2.77,-0.3,1.46
2025-02-19,600392,10.49,10.9,10.9,10.47,305790,333704341.0,4.08,3.51,0.37,1.74
2025-02-20,600392,11.13,11.08,11.43,11.01,578627,658454134.0,3.85,1.65,0.18,3.3
2025-02-21,600392,11.08,11.03,11.17,10.95,258211,288544467.0,1.99,-0.45,-0.05,1.47
2025-02-24,600392,11.03,10.99,11.18,10.88,283551,317182957.0,2.72,-0.36,-0.04,1.62
2025-02-25,600392,10.92,10.91,11.1,10.83,247115,274175443.0,2.46,-0.73,-0.08,1.41
2025-02-26,600392,10.85,10.98,11.1,10.84,269287,300281131.0,2.38,0.64,0.07,1.54
2025-02-27,600392,11.09,10.93,11.32,10.77,322180,358857184.0,5.01,-0.46,-0.05,1.84
2025-02-28,600392,10.86,10.74,10.95,10.71,276154,302935432.0,2.2,-1.74,-0.19,1.58
2025-03-03,600392,10.96,11.12,11.35,10.96,634263,720951908.0,3.63,3.54,0.38,3.62
2025-03-04,600392,11.16,11.32,11.55,11.0,704664,805692972.0,4.95,1.8,0.2,4.02
2025-03-05,600392,11.35,11.1,11.35,10.92,474783,532385651.0,3.8,-1.94,-0.22,2.71
2025-03-06,600392,11.13,11.17,11.23,11.1,351602,397558960.0,1.17,0.63,0.07,2.01
2025-03-07,600392,11.1,11.33,11.49,11.08,534752,614003829.0,3.67,1.43,0.16,3.05
2025-03-10,600392,11.4,11.45,11.52,11.31,499891,579015882.0,1.85,1.06,0.12,2.85
2025-03-11,600392,11.35,12.04,12.04,11.3,940397,1123719546.0,6.46,5.15,0.59,5.37
2025-03-12,600392,12.05,11.95,12.15,11.9,583437,708924929.0,2.08,-0.75,-0.09,3.33
2025-03-13,600392,11.97,11.85,12.1,11.64,458496,546698689.0,3.85,-0.84,-0.1,2.62
2025-03-14,600392,11.93,11.84,12.03,11.7,466272,557549712.0,2.78,-0.08,-0.01,2.66
2025-03-17,600392,11.85,11.68,11.86,11.64,302100,358249904.0,1.86,-1.35,-0.16,1.72
2025-03-18,600392,11.67,11.69,11.84,11.66,342474,407449328.0,1.54,0.09,0.01,1.95
2025-03-19,600392,11.65,11.55,11.67,11.43,368692,430161740.0,2.05,-1.2,-0.14,2.1
2025-03-20,600392,11.54,11.45,11.57,11.43,207996,242253271.0,1.21,-0.87,-0.1,1.19
2025-03-21,600392,11.42,11.17,11.45,11.08,290706,331298590.0,3.23,-2.45,-0.28,1.66
2025-03-24,600392,11.17,11.15,11.24,10.96,264346,297086960.0,2.51,-0.18,-0.02,1.51
2025-03-25,600392,11.18,11.18,11.33,11.11,207621,235665535.0,1.97,0.27,0.03,1.18
2025-03-26,600392,11.12,11.27,11.47,11.1,295798,338685945.0,3.31,0.81,0.09,1.69
2025-03-27,600392,11.19,11.1,11.23,11.01,224642,253486108.0,1.95,-1.51,-0.17,1.28
2025-03-28,600392,11.06,11.1,11.14,10.83,313750,348747967.0,2.79,0.0,0.0,1.79
2025-03-31,600392,11.1,10.76,11.1,10.72,264586,290721149.0,3.42,-3.06,-0.34,1.51
2025-04-01,600392,10.73,10.88,10.97,10.73,192096,211397236.0,2.23,1.12,0.12,1.1
2025-04-02,600392,10.85,10.77,11.0,10.76,178286,196120101.0,2.21,-1.01,-0.11,1.02
2025-04-03,600392,10.91,10.84,10.96,10.74,215265,236464258.0,2.04,0.65,0.07,1.23
2025-04-07,600392,10.69,10.06,11.5,9.75,843972,919805283.0,16.14,-7.2,-0.78,4.81
2025-04-08,600392,10.06,10.57,10.69,9.51,763167,790408275.0,11.73,5.07,0.51,4.35
2025-04-09,600392,10.4,10.88,11.05,10.19,692878,747346689.0,8.14,2.93,0.31,3.95
2025-04-10,600392,10.76,10.8,11.1,10.69,605275,669715900.0,3.77,-0.74,-0.08,3.45
2025-04-11,600392,10.81,10.54,10.9,10.5,409017,440854988.0,3.7,-2.41,-0.26,2.33
2025-04-14,600392,10.56,10.59,10.72,10.47,251409,270129259.0,2.37,0.47,0.05,1.43
2025-04-15,600392,10.67,10.46,10.78,10.41,214844,229810671.0,3.49,-1.23,-0.13,1.23
2025-04-16,600392,10.4,10.29,10.46,10.2,205652,215145460.0,2.49,-1.63,-0.17,1.17
2025-04-17,600392,10.25,10.21,10.34,10.21,130131,135472399.0,1.26,-0.78,-0.08,0.74
2025-04-18,600392,10.19,10.09,10.19,10.0,181856,185809713.0,1.86,-1.18,-0.12,1.04
2025-04-21,600392,10.07,10.16,10.17,10.01,163220,167384425.0,1.59,0.69,0.07,0.93
