日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600395,5.05,4.96,5.12,4.94,285044,144769084.0,3.56,-1.78,-0.09,1.33
2025-01-03,600395,4.99,4.95,5.08,4.94,241275,121815579.0,2.82,-0.2,-0.01,1.12
2025-01-06,600395,4.96,5.04,5.07,4.92,237472,120015882.0,3.03,1.82,0.09,1.11
2025-01-07,600395,5.05,4.96,5.06,4.94,187972,94339527.0,2.38,-1.59,-0.08,0.88
2025-01-08,600395,4.96,4.89,4.97,4.83,206776,102025066.0,2.82,-1.41,-0.07,0.96
2025-01-09,600395,4.88,4.82,4.89,4.81,144649,70631064.0,1.64,-1.43,-0.07,0.67
2025-01-10,600395,4.82,4.76,4.84,4.76,108055,52307531.0,1.66,-1.24,-0.06,0.5
2025-01-13,600395,4.76,4.79,4.8,4.75,84183,40553651.0,1.05,0.63,0.03,0.39
2025-01-14,600395,4.79,4.89,4.9,4.78,144785,70814558.0,2.51,2.09,0.1,0.67
2025-01-15,600395,4.89,4.87,4.89,4.84,103402,50723062.0,1.02,-0.41,-0.02,0.48
2025-01-16,600395,4.89,4.89,4.97,4.87,130638,64883322.0,2.05,0.41,0.02,0.61
2025-01-17,600395,4.88,4.91,4.93,4.87,89091,43995047.0,1.23,0.41,0.02,0.42
2025-01-20,600395,4.93,4.9,4.94,4.89,76295,37794702.0,1.02,-0.2,-0.01,0.36
2025-01-21,600395,4.9,4.86,4.93,4.82,89151,43685462.0,2.24,-0.82,-0.04,0.42
2025-01-22,600395,4.86,4.85,4.87,4.82,68582,33518859.0,1.03,-0.21,-0.01,0.32
2025-01-23,600395,4.86,4.88,4.94,4.86,92727,45849339.0,1.65,0.62,0.03,0.43
2025-01-24,600395,4.88,4.92,4.92,4.86,108029,53301065.0,1.23,0.82,0.04,0.5
2025-01-27,600395,4.91,4.97,4.99,4.91,136078,68091318.0,1.63,1.02,0.05,0.63
2025-02-05,600395,4.99,4.95,5.0,4.93,136809,68453460.0,1.41,-0.4,-0.02,0.64
2025-02-06,600395,4.94,4.97,4.98,4.92,91793,45754806.0,1.21,0.4,0.02,0.43
2025-02-07,600395,4.96,4.99,5.01,4.94,147250,73943245.0,1.41,0.4,0.02,0.69
2025-02-10,600395,4.98,4.98,5.01,4.96,109202,54869607.0,1.0,-0.2,-0.01,0.51
2025-02-11,600395,4.98,4.94,4.99,4.92,117562,58606890.0,1.41,-0.8,-0.04,0.55
2025-02-12,600395,4.93,4.95,4.95,4.91,87467,43484214.0,0.81,0.2,0.01,0.41
2025-02-13,600395,4.95,4.93,4.97,4.93,85948,42894092.0,0.81,-0.4,-0.02,0.4
2025-02-14,600395,4.92,4.93,4.96,4.91,87406,43422972.0,1.01,0.0,0.0,0.41
2025-02-17,600395,4.94,4.91,4.95,4.89,117377,58099735.0,1.22,-0.41,-0.02,0.55
2025-02-18,600395,4.92,4.87,4.93,4.85,144737,71449721.0,1.63,-0.81,-0.04,0.67
2025-02-19,600395,4.85,4.82,4.86,4.8,122126,59428882.0,1.23,-1.03,-0.05,0.57
2025-02-20,600395,4.83,4.82,4.87,4.78,108750,52809312.0,1.87,0.0,0.0,0.51
2025-02-21,600395,4.84,4.84,4.86,4.8,115097,55980635.0,1.24,0.41,0.02,0.54
