日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600400,2.49,2.53,2.64,2.48,696490,178689222.0,6.43,1.61,0.04,3.04
2025-01-03,600400,2.54,2.38,2.56,2.36,556590,135533652.0,7.91,-5.93,-0.15,2.43
2025-01-06,600400,2.37,2.36,2.4,2.27,366816,86129173.0,5.46,-0.84,-0.02,1.6
2025-01-07,600400,2.37,2.41,2.42,2.34,269733,63953834.0,3.39,2.12,0.05,1.18
2025-01-08,600400,2.4,2.41,2.42,2.33,312028,74357409.0,3.73,0.0,0.0,1.36
2025-01-09,600400,2.4,2.4,2.42,2.37,251761,60472565.0,2.07,-0.41,-0.01,1.1
2025-01-10,600400,2.4,2.29,2.4,2.29,279761,65440896.0,4.58,-4.58,-0.11,1.22
2025-01-13,600400,2.26,2.28,2.31,2.23,231562,52631004.0,3.49,-0.44,-0.01,1.01
2025-01-14,600400,2.3,2.41,2.41,2.3,380934,90356420.0,4.82,5.7,0.13,1.66
2025-01-15,600400,2.4,2.4,2.43,2.35,292175,69910048.0,3.32,-0.41,-0.01,1.28
2025-01-16,600400,2.4,2.45,2.51,2.4,399012,98523223.0,4.58,2.08,0.05,1.74
2025-01-17,600400,2.4,2.29,2.42,2.29,707902,164624287.0,5.31,-6.53,-0.16,3.09
2025-01-20,600400,2.32,2.33,2.38,2.27,481844,112397479.0,4.8,1.75,0.04,2.1
2025-01-21,600400,2.33,2.26,2.35,2.25,408546,92941142.0,4.29,-3.0,-0.07,1.78
2025-01-22,600400,2.26,2.23,2.26,2.21,248630,55372448.0,2.21,-1.33,-0.03,1.09
2025-01-23,600400,2.26,2.23,2.3,2.23,329789,74615831.0,3.14,0.0,0.0,1.44
2025-01-24,600400,2.23,2.24,2.25,2.19,219261,48831397.0,2.69,0.45,0.01,0.96
2025-01-27,600400,2.24,2.21,2.3,2.2,281787,63341465.0,4.46,-1.34,-0.03,1.23
2025-02-05,600400,2.23,2.24,2.26,2.21,226997,50942758.0,2.26,1.36,0.03,0.99
2025-02-06,600400,2.26,2.29,2.29,2.21,311928,70425329.0,3.57,2.23,0.05,1.36
2025-02-07,600400,2.29,2.33,2.36,2.28,362180,84276586.0,3.49,1.75,0.04,1.58
2025-02-10,600400,2.33,2.39,2.4,2.32,323199,76422755.0,3.43,2.58,0.06,1.41
2025-02-11,600400,2.4,2.36,2.41,2.33,293946,69163171.0,3.35,-1.26,-0.03,1.28
2025-02-12,600400,2.36,2.43,2.47,2.34,638860,153535024.0,5.51,2.97,0.07,2.79
2025-02-13,600400,2.42,2.44,2.47,2.39,435608,106127678.0,3.29,0.41,0.01,1.9
2025-02-14,600400,2.44,2.39,2.44,2.37,353870,84922760.0,2.87,-2.05,-0.05,1.54
2025-02-17,600400,2.4,2.44,2.45,2.39,378084,91704193.0,2.51,2.09,0.05,1.65
2025-02-18,600400,2.43,2.34,2.44,2.33,391414,92974311.0,4.51,-4.1,-0.1,1.71
2025-02-19,600400,2.34,2.34,2.35,2.31,292027,68123561.0,1.71,0.0,0.0,1.27
2025-02-20,600400,2.36,2.37,2.41,2.34,364309,86511399.0,2.99,1.28,0.03,1.59
2025-02-21,600400,2.37,2.33,2.38,2.29,313929,73004815.0,3.8,-1.69,-0.04,1.37
2025-02-24,600400,2.34,2.36,2.41,2.32,371369,88111806.0,3.86,1.29,0.03,1.62
2025-02-25,600400,2.34,2.36,2.4,2.32,296021,70274059.0,3.39,0.0,0.0,1.29
2025-02-26,600400,2.37,2.41,2.42,2.37,353942,85077846.0,2.12,2.12,0.05,1.54
2025-02-27,600400,2.41,2.42,2.45,2.37,385844,92998980.0,3.32,0.41,0.01,1.68
2025-02-28,600400,2.41,2.46,2.48,2.38,793144,193605195.0,4.13,1.65,0.04,3.46
2025-03-03,600400,2.53,2.71,2.71,2.5,1945317,519439050.0,8.54,10.16,0.25,8.49
2025-03-04,600400,2.58,2.66,2.74,2.56,1479287,392354898.0,6.64,-1.85,-0.05,6.46
2025-03-05,600400,2.61,2.57,2.65,2.51,974248,248716577.0,5.26,-3.38,-0.09,4.25
2025-03-06,600400,2.54,2.57,2.58,2.51,779085,198812758.0,2.72,0.0,0.0,3.4
2025-03-07,600400,2.56,2.52,2.59,2.51,630570,160342309.0,3.11,-1.95,-0.05,2.75
2025-03-10,600400,2.51,2.56,2.62,2.5,610912,156558999.0,4.76,1.59,0.04,2.67
2025-03-11,600400,2.52,2.59,2.59,2.5,554058,141348557.0,3.52,1.17,0.03,2.42
2025-03-12,600400,2.58,2.55,2.64,2.54,499467,128775047.0,3.86,-1.54,-0.04,2.18
2025-03-13,600400,2.54,2.5,2.58,2.46,519604,130285505.0,4.71,-1.96,-0.05,2.27
2025-03-14,600400,2.49,2.55,2.55,2.46,504739,126917101.0,3.6,2.0,0.05,2.2
2025-03-17,600400,2.56,2.54,2.6,2.53,413517,105865826.0,2.75,-0.39,-0.01,1.8
2025-03-18,600400,2.56,2.51,2.57,2.5,319428,80284346.0,2.76,-1.18,-0.03,1.39
2025-03-19,600400,2.51,2.49,2.51,2.47,247291,61506740.0,1.59,-0.8,-0.02,1.08
2025-03-20,600400,2.49,2.48,2.5,2.47,234738,58270559.0,1.2,-0.4,-0.01,1.02
2025-03-21,600400,2.47,2.44,2.47,2.42,340243,83188911.0,2.02,-1.61,-0.04,1.48
2025-03-24,600400,2.43,2.35,2.44,2.32,390919,92509880.0,4.92,-3.69,-0.09,1.71
2025-03-25,600400,2.35,2.36,2.37,2.32,258508,60579440.0,2.13,0.43,0.01,1.13
2025-03-26,600400,2.35,2.38,2.4,2.35,205983,49018730.0,2.12,0.85,0.02,0.9
2025-03-27,600400,2.39,2.4,2.41,2.36,243146,58126077.0,2.1,0.84,0.02,1.06
2025-03-28,600400,2.4,2.33,2.4,2.33,225543,53050229.0,2.92,-2.92,-0.07,0.98
