日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600415,13.09,12.98,13.4,12.84,484355,651738504.0,4.28,-0.76,-0.1,0.89
2025-01-03,600415,12.93,12.28,12.99,12.27,690673,887638420.0,5.55,-5.39,-0.7,1.26
2025-01-06,600415,12.28,12.13,12.43,11.97,542509,677865891.0,3.75,-1.22,-0.15,0.99
2025-01-07,600415,12.09,12.26,12.33,12.06,338636,424222339.0,2.23,1.07,0.13,0.62
2025-01-08,600415,12.22,12.36,12.47,11.97,518636,649712659.0,4.08,0.82,0.1,0.95
2025-01-09,600415,12.27,12.36,12.5,12.21,437541,555493598.0,2.35,0.0,0.0,0.8
2025-01-10,600415,12.37,12.35,12.52,12.25,409457,520686651.0,2.18,-0.08,-0.01,0.75
2025-01-13,600415,12.21,12.35,12.47,12.13,293827,371058822.0,2.75,0.0,0.0,0.54
2025-01-14,600415,12.37,12.76,12.79,12.34,525725,679938116.0,3.64,3.32,0.41,0.96
2025-01-15,600415,12.67,12.88,13.02,12.57,445367,586746439.0,3.53,0.94,0.12,0.81
2025-01-16,600415,12.95,12.75,13.1,12.69,418991,551583444.0,3.18,-1.01,-0.13,0.76
2025-01-17,600415,12.67,12.58,12.82,12.53,272687,353193656.0,2.27,-1.33,-0.17,0.5
2025-01-20,600415,12.67,12.54,12.87,12.49,307936,401106301.0,3.02,-0.32,-0.04,0.56
2025-01-21,600415,12.63,12.7,12.87,12.46,334733,435169736.0,3.27,1.28,0.16,0.61
2025-01-22,600415,12.73,12.66,12.87,12.27,421622,543680585.0,4.72,-0.31,-0.04,0.77
2025-01-23,600415,12.72,12.65,13.08,12.6,359497,472514506.0,3.79,-0.08,-0.01,0.66
2025-01-24,600415,12.59,12.9,12.97,12.57,347295,455725284.0,3.16,1.98,0.25,0.63
2025-01-27,600415,12.89,12.54,13.0,12.53,313331,407178380.0,3.64,-2.79,-0.36,0.57
2025-02-05,600415,12.59,12.51,12.67,12.25,270030,345210035.0,3.35,-0.24,-0.03,0.49
2025-02-06,600415,12.39,12.44,12.58,12.3,378451,482474311.0,2.24,-0.56,-0.07,0.69
2025-02-07,600415,12.43,12.8,12.89,12.36,565669,736811393.0,4.26,2.89,0.36,1.03
2025-02-10,600415,12.84,13.05,13.27,12.65,573668,763049041.0,4.84,1.95,0.25,1.05
2025-02-11,600415,13.07,13.21,13.27,12.91,402552,541588899.0,2.76,1.23,0.16,0.73
2025-02-12,600415,13.23,12.9,13.23,12.76,519296,686076744.0,3.56,-2.35,-0.31,0.95
2025-02-13,600415,12.91,12.32,12.93,12.18,730984,933964302.0,5.81,-4.5,-0.58,1.33
2025-02-14,600415,12.32,12.57,12.58,12.29,398014,508948444.0,2.35,2.03,0.25,0.73
2025-02-17,600415,12.37,12.24,12.52,12.18,466770,589240716.0,2.7,-2.63,-0.33,0.85
2025-02-18,600415,12.25,11.9,12.27,11.86,472911,582004880.0,3.35,-2.78,-0.34,0.86
2025-02-19,600415,12.01,12.15,12.2,11.89,308088,382213959.0,2.61,2.1,0.25,0.56
2025-02-20,600415,12.14,12.28,12.4,12.02,298148,375366267.0,3.13,1.07,0.13,0.54
2025-02-21,600415,12.29,12.83,12.95,12.15,667491,863079469.0,6.51,4.48,0.55,1.22
2025-02-24,600415,12.83,12.88,13.22,12.6,591656,784134418.0,4.83,0.39,0.05,1.08
2025-02-25,600415,12.82,12.92,13.15,12.72,472244,628117458.0,3.34,0.31,0.04,0.86
2025-02-26,600415,12.75,12.85,13.05,12.75,366388,485099250.0,2.32,-0.54,-0.07,0.67
2025-02-27,600415,12.85,13.04,13.16,12.8,471203,626732997.0,2.8,1.48,0.19,0.86
2025-02-28,600415,13.06,12.46,13.11,12.42,392609,510634176.0,5.29,-4.45,-0.58,0.72
2025-03-03,600415,12.55,12.74,12.82,12.34,371598,482470756.0,3.85,2.25,0.28,0.68
2025-03-04,600415,12.7,12.59,12.78,12.51,217076,280997968.0,2.12,-1.18,-0.15,0.4
2025-03-05,600415,12.61,12.93,13.02,12.57,429200,565330920.0,3.57,2.7,0.34,0.78
2025-03-06,600415,13.0,13.27,13.37,12.82,507073,684793692.0,4.25,2.63,0.34,0.92
2025-03-07,600415,13.25,13.12,13.26,13.03,273477,367435624.0,1.73,-1.13,-0.15,0.5
2025-03-10,600415,12.97,12.46,13.03,12.29,594957,766296322.0,5.64,-5.03,-0.66,1.09
2025-03-11,600415,12.44,12.77,12.92,12.33,508102,662763921.0,4.74,2.49,0.31,0.93
2025-03-12,600415,12.82,12.43,12.85,12.36,468009,599432317.0,3.84,-2.66,-0.34,0.85
2025-03-13,600415,12.37,12.27,12.44,12.22,255851,323812705.0,1.77,-1.29,-0.16,0.47
2025-03-14,600415,12.29,12.65,12.87,12.28,426227,551036280.0,4.81,3.1,0.38,0.78
2025-03-17,600415,12.65,12.81,12.96,12.64,344154,451564434.0,2.53,1.26,0.16,0.63
2025-03-18,600415,12.82,13.56,13.61,12.81,889403,1208754204.0,6.25,5.85,0.75,1.62
2025-03-19,600415,13.49,13.45,13.65,13.3,380137,524284865.0,2.58,-0.81,-0.11,0.69
2025-03-20,600415,13.44,13.26,13.54,13.21,259014,354278124.0,2.45,-1.41,-0.19,0.47
2025-03-21,600415,13.17,12.85,13.24,12.74,298829,396710412.0,3.77,-3.09,-0.41,0.55
2025-03-24,600415,12.9,13.16,13.31,12.85,395700,532115896.0,3.58,2.41,0.31,0.72
2025-03-25,600415,13.14,13.06,13.25,12.99,201528,270426598.0,1.98,-0.76,-0.1,0.37
2025-03-26,600415,13.0,13.49,13.55,12.97,387851,532708913.0,4.44,3.29,0.43,0.71
2025-03-27,600415,13.55,14.49,14.55,13.54,1092439,1583638879.0,7.49,7.41,1.0,1.99
2025-03-28,600415,14.61,14.6,14.91,14.46,922723,1386490484.0,3.11,0.76,0.11,1.68
2025-03-31,600415,14.61,14.9,15.07,14.5,700331,1066458594.0,3.9,2.05,0.3,1.28
2025-04-01,600415,14.87,15.18,15.46,14.71,798868,1239083058.0,5.03,1.88,0.28,1.46
2025-04-02,600415,15.15,15.01,15.25,14.93,486628,750128728.0,2.11,-1.12,-0.17,0.89
2025-04-03,600415,14.65,14.37,14.84,14.25,933285,1378408670.0,3.93,-4.26,-0.64,1.7
2025-04-07,600415,12.9,12.9,12.9,12.9,188046,248784858.0,0.0,-10.23,-1.47,0.34
2025-04-08,600415,12.71,11.82,12.9,11.58,1851030,2260809641.0,10.23,-8.37,-1.08,3.38
2025-04-09,600415,11.58,13.04,13.04,11.38,1329517,1681843603.0,14.04,10.32,1.22,2.42
2025-04-10,600415,13.57,13.92,13.97,13.16,1278553,1798569911.0,6.21,6.75,0.88,2.33
2025-04-11,600415,13.97,14.06,14.1,13.59,920939,1305618520.0,3.66,1.01,0.14,1.68
2025-04-14,600415,13.97,14.48,14.56,13.84,771451,1131889693.0,5.12,2.99,0.42,1.41
2025-04-15,600415,14.48,14.27,14.52,14.12,489398,715821739.0,2.76,-1.45,-0.21,0.89
2025-04-16,600415,14.93,14.62,14.93,14.02,830231,1218056855.0,6.38,2.45,0.35,1.51
2025-04-17,600415,14.38,14.47,14.73,14.25,484794,717947372.0,3.28,-1.03,-0.15,0.88
2025-04-18,600415,14.42,14.42,14.53,14.05,393698,577035709.0,3.32,-0.35,-0.05,0.72
2025-04-21,600415,14.4,15.08,15.42,14.4,654697,1008071533.0,7.07,4.58,0.66,1.19
2025-04-22,600415,15.3,15.7,16.62,15.2,1119036,1795952154.0,9.42,4.11,0.62,2.04
2025-04-23,600415,15.66,15.13,15.66,14.93,869871,1353991972.0,4.65,-3.63,-0.57,1.59
2025-04-24,600415,15.19,15.41,15.62,15.08,728883,1145317719.0,3.57,1.85,0.28,1.33
2025-04-25,600415,15.4,15.17,15.56,15.09,452507,704302951.0,3.05,-1.56,-0.24,0.83
2025-04-28,600415,15.28,15.12,15.36,14.99,401578,621039078.0,2.44,-0.33,-0.05,0.73
2025-04-29,600415,15.03,15.14,15.28,14.77,307681,474600445.0,3.37,0.13,0.02,0.56
2025-04-30,600415,15.21,15.0,15.21,14.91,267196,409958281.0,1.98,-0.92,-0.14,0.49
2025-05-06,600415,15.12,14.87,15.12,14.8,363293,553125915.0,2.13,-0.87,-0.13,0.66
2025-05-07,600415,15.18,14.98,15.29,14.87,361353,555985675.0,2.82,0.74,0.11,0.66
2025-05-08,600415,14.87,14.84,14.99,14.79,244974,371741931.0,1.34,-0.93,-0.14,0.45
2025-05-09,600415,14.87,15.3,15.45,14.76,580664,899403825.0,4.65,3.1,0.46,1.06
2025-05-12,600415,15.4,15.62,15.7,15.32,478478,757098575.0,2.48,2.09,0.32,0.87
2025-05-13,600415,15.9,15.82,15.95,15.42,424446,680580645.0,3.39,1.28,0.2,0.77
