日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600566,27.0,26.06,27.2,25.85,53339,152090320.0,5.0,-3.48,-0.94,0.58
2025-01-03,600566,26.06,25.6,26.3,25.35,93024,259056821.0,3.65,-1.77,-0.46,1.02
2025-01-06,600566,25.6,26.83,27.02,25.6,146815,421957036.0,5.55,4.8,1.23,1.6
2025-01-07,600566,26.8,25.65,26.81,25.3,78477,218337362.0,5.63,-4.4,-1.18,0.86
2025-01-08,600566,25.57,26.13,26.37,25.44,80295,225190511.0,3.63,1.87,0.48,0.88
2025-01-09,600566,26.06,26.25,26.67,25.82,44838,127393311.0,3.25,0.46,0.12,0.49
2025-01-10,600566,26.1,25.62,26.4,25.62,31262,87787181.0,2.97,-2.4,-0.63,0.34
2025-01-13,600566,25.51,25.66,26.09,25.37,35538,98938808.0,2.81,0.16,0.04,0.39
2025-01-14,600566,25.66,26.2,26.29,25.48,46096,129566861.0,3.16,2.1,0.54,0.5
2025-01-15,600566,26.12,26.37,26.72,25.76,49354,140284509.0,3.66,0.65,0.17,0.54
2025-01-16,600566,26.47,26.23,26.66,26.07,44716,126985110.0,2.24,-0.53,-0.14,0.49
2025-01-17,600566,26.14,26.07,26.43,25.97,34052,95984965.0,1.75,-0.61,-0.16,0.37
2025-01-20,600566,26.07,25.92,26.35,25.66,53970,151219622.0,2.65,-0.58,-0.15,0.59
2025-01-21,600566,25.92,25.56,26.0,25.23,56947,156797631.0,2.97,-1.39,-0.36,0.62
2025-01-22,600566,25.52,25.51,25.57,25.16,32306,88755038.0,1.6,-0.2,-0.05,0.35
2025-01-23,600566,25.72,25.27,25.78,25.24,40334,111115874.0,2.12,-0.94,-0.24,0.44
2025-01-24,600566,25.27,25.01,25.36,24.96,52243,141955217.0,1.58,-1.03,-0.26,0.57
2025-01-27,600566,25.08,25.5,25.66,25.04,46581,128106374.0,2.48,1.96,0.49,0.51
2025-02-05,600566,25.52,25.07,25.63,24.96,39845,108304620.0,2.63,-1.69,-0.43,0.44
2025-02-06,600566,25.0,24.86,25.07,24.42,61179,164092780.0,2.59,-0.84,-0.21,0.67
2025-02-07,600566,24.83,25.02,25.2,24.61,57646,156089134.0,2.37,0.64,0.16,0.63
2025-02-10,600566,25.02,24.8,25.12,24.7,64301,173024732.0,1.68,-0.88,-0.22,0.7
2025-02-11,600566,24.69,25.29,25.45,24.42,96811,260974372.0,4.15,1.98,0.49,1.06
2025-02-12,600566,25.27,25.07,25.27,24.92,53971,146387995.0,1.38,-0.87,-0.22,0.59
2025-02-13,600566,25.02,25.52,25.92,24.96,88983,245944139.0,3.83,1.79,0.45,0.97
2025-02-14,600566,25.44,25.81,25.9,25.35,53730,149618543.0,2.16,1.14,0.29,0.59
