日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600611,6.8,6.63,6.92,6.55,603074,409904217.0,5.4,-3.21,-0.22,3.86
2025-01-03,600611,6.64,6.24,6.67,6.2,787149,506636331.0,7.09,-5.88,-0.39,5.04
2025-01-06,600611,6.2,6.04,6.22,6.0,615578,378293903.0,3.53,-3.21,-0.2,3.94
2025-01-07,600611,6.09,6.26,6.31,6.07,687757,429542509.0,3.97,3.64,0.22,4.4
2025-01-08,600611,6.3,6.23,6.43,6.02,677220,424002812.0,6.55,-0.48,-0.03,4.33
2025-01-09,600611,6.16,6.28,6.37,6.15,604190,383295084.0,3.53,0.8,0.05,3.86
2025-01-10,600611,6.32,6.58,6.87,6.22,1743300,1149820234.0,10.35,4.78,0.3,11.15
2025-01-13,600611,6.45,6.26,6.49,6.21,1019817,650574719.0,4.26,-4.86,-0.32,6.52
2025-01-14,600611,6.21,6.6,6.6,6.21,1176155,768197511.0,6.23,5.43,0.34,7.52
2025-01-15,600611,6.59,6.43,6.65,6.39,845768,550517707.0,3.94,-2.58,-0.17,5.41
2025-01-16,600611,6.45,6.51,6.75,6.45,1118978,742905006.0,4.67,1.24,0.08,7.16
2025-01-17,600611,6.48,6.39,6.49,6.31,673646,433233914.0,2.76,-1.84,-0.12,4.31
2025-01-20,600611,6.44,6.43,6.51,6.37,576803,375103564.0,2.19,0.63,0.04,3.69
2025-01-21,600611,6.49,6.34,6.52,6.27,466570,298650200.0,3.89,-1.4,-0.09,2.98
2025-01-22,600611,6.32,6.19,6.32,6.18,407062,255574447.0,2.21,-2.37,-0.15,2.6
2025-01-23,600611,6.27,6.19,6.46,6.19,679434,433740656.0,4.36,0.0,0.0,4.35
2025-01-24,600611,6.17,6.28,6.33,6.13,505084,318933838.0,3.23,1.45,0.09,3.23
2025-01-27,600611,6.3,6.06,6.35,6.06,494489,307491657.0,4.62,-3.5,-0.22,3.16
2025-02-05,600611,6.12,6.22,6.25,6.1,512183,319985298.0,2.48,2.64,0.16,3.28
2025-02-06,600611,6.15,6.54,6.6,6.11,1092274,705688270.0,7.88,5.14,0.32,6.99
2025-02-07,600611,6.61,6.73,6.75,6.51,1246369,835890988.0,3.67,2.91,0.19,7.97
2025-02-10,600611,6.7,6.91,6.93,6.66,1007401,692152261.0,4.01,2.67,0.18,6.44
2025-02-11,600611,6.86,6.69,6.87,6.66,752593,508808812.0,3.04,-3.18,-0.22,4.81
2025-02-12,600611,6.74,7.36,7.36,6.7,1971127,1411691121.0,9.87,10.01,0.67,12.61
2025-02-13,600611,7.41,7.7,7.94,7.31,3040380,2345506824.0,8.56,4.62,0.34,19.45
2025-02-14,600611,7.47,7.27,7.47,7.22,1724538,1272732981.0,3.25,-5.58,-0.43,11.03
2025-02-17,600611,7.4,7.25,7.43,7.13,1148459,840886769.0,4.13,-0.28,-0.02,7.35
2025-02-18,600611,7.15,6.91,7.17,6.89,924627,654076420.0,3.86,-4.69,-0.34,5.91
2025-02-19,600611,7.05,7.09,7.14,6.96,936683,664388540.0,2.6,2.6,0.18,5.99
2025-02-20,600611,7.0,7.02,7.08,6.97,628744,444460494.0,1.55,-0.99,-0.07,4.02
2025-02-21,600611,7.01,7.13,7.2,6.92,988996,705964365.0,3.99,1.57,0.11,6.33
2025-02-24,600611,7.15,7.08,7.2,7.01,754353,540106748.0,2.66,-0.7,-0.05,4.83
2025-02-25,600611,7.05,7.35,7.44,7.01,1613035,1188142056.0,6.07,3.81,0.27,10.32
2025-02-26,600611,7.25,7.24,7.45,7.18,1051916,770016734.0,3.67,-1.5,-0.11,6.73
2025-02-27,600611,7.23,7.05,7.25,6.98,863503,615435202.0,3.73,-2.62,-0.19,5.52
2025-02-28,600611,7.0,6.81,7.05,6.8,632865,441906377.0,3.55,-3.4,-0.24,4.05
2025-03-03,600611,6.85,6.78,6.89,6.75,397334,273132694.0,2.06,-0.44,-0.03,2.54
2025-03-04,600611,6.78,6.87,6.88,6.73,330957,227304908.0,2.21,1.33,0.09,2.12
2025-03-05,600611,6.87,6.79,6.87,6.71,421608,287215231.0,2.33,-1.16,-0.08,2.7
2025-03-06,600611,6.79,6.9,6.93,6.79,537624,372372365.0,2.06,1.62,0.11,3.44
2025-03-07,600611,6.86,6.78,6.89,6.73,481904,330957671.0,2.32,-1.74,-0.12,3.08
2025-03-10,600611,6.81,6.77,6.86,6.71,302978,206605042.0,2.21,-0.15,-0.01,1.94
2025-03-11,600611,6.65,6.77,6.79,6.63,307035,208028925.0,2.36,0.0,0.0,1.96
2025-03-12,600611,6.78,6.78,6.83,6.77,347958,238446578.0,0.89,0.15,0.01,2.23
2025-03-13,600611,6.77,6.61,6.79,6.57,424303,284313851.0,3.24,-2.51,-0.17,2.71
2025-03-14,600611,6.61,6.71,6.74,6.59,362385,243967893.0,2.27,1.51,0.1,2.32
2025-03-17,600611,6.72,6.77,6.82,6.71,397727,271173646.0,1.64,0.89,0.06,2.54
2025-03-18,600611,6.89,6.82,6.93,6.78,473052,326565609.0,2.22,0.74,0.05,3.03
2025-03-19,600611,6.78,6.76,6.87,6.74,367780,251836208.0,1.91,-0.88,-0.06,2.35
2025-03-20,600611,6.75,6.71,6.79,6.7,294021,199530369.0,1.33,-0.74,-0.05,1.88
2025-03-21,600611,6.67,6.58,6.7,6.58,358916,239689233.0,1.79,-1.94,-0.13,2.3
2025-03-24,600611,6.58,6.42,6.58,6.29,421556,272162592.0,4.41,-2.43,-0.16,2.7
2025-03-25,600611,6.4,6.36,6.42,6.35,191733,123317452.0,1.09,-0.93,-0.06,1.23
2025-03-26,600611,6.37,6.76,6.91,6.34,935160,628103034.0,8.96,6.29,0.4,5.98
2025-03-27,600611,6.6,6.53,6.63,6.48,593856,391252319.0,2.22,-3.4,-0.23,3.8
2025-03-28,600611,6.54,6.4,6.57,6.4,273564,178497940.0,2.6,-1.99,-0.13,1.75
2025-03-31,600611,6.3,6.28,6.37,6.2,295912,187160707.0,2.66,-1.88,-0.12,1.89
2025-04-01,600611,6.28,6.3,6.37,6.26,187198,119144357.0,1.75,0.32,0.02,1.2
2025-04-02,600611,6.33,6.25,6.35,6.25,191173,121284982.0,1.59,-0.79,-0.05,1.22
2025-04-03,600611,6.18,6.2,6.27,6.15,238151,149095106.0,1.92,-0.8,-0.05,1.52
2025-04-07,600611,5.63,5.58,5.82,5.58,335248,190042122.0,3.87,-10.0,-0.62,2.14
2025-04-08,600611,5.44,5.43,5.62,5.33,463790,255074672.0,5.2,-2.69,-0.15,2.97
2025-04-09,600611,5.3,5.49,5.54,4.93,628401,334173234.0,11.23,1.1,0.06,4.02
2025-04-10,600611,5.57,5.61,5.74,5.54,533090,304029928.0,3.64,2.19,0.12,3.41
2025-04-11,600611,5.6,5.67,5.75,5.55,391814,224769357.0,3.57,1.07,0.06,2.51
2025-04-14,600611,5.7,5.81,5.88,5.7,394992,231013507.0,3.17,2.47,0.14,2.53
2025-04-15,600611,5.85,5.73,5.85,5.68,272110,157427152.0,2.93,-1.38,-0.08,1.74
2025-04-16,600611,5.7,5.69,5.81,5.61,285427,164272060.0,3.49,-0.7,-0.04,1.83
2025-04-17,600611,5.66,5.67,5.75,5.61,206335,118684220.0,2.46,-0.35,-0.02,1.32
2025-04-18,600611,5.64,5.84,6.15,5.63,687126,408561868.0,9.17,3.0,0.17,4.4
2025-04-21,600611,5.76,5.99,6.1,5.76,598899,355703897.0,5.82,2.57,0.15,3.83
2025-04-22,600611,5.93,5.89,6.05,5.86,397610,237762353.0,3.17,-1.67,-0.1,2.54
2025-04-23,600611,5.93,5.95,6.0,5.86,401164,239523427.0,2.38,1.02,0.06,2.57
2025-04-24,600611,5.95,5.85,6.04,5.83,403326,240477935.0,3.53,-1.68,-0.1,2.58
2025-04-25,600611,5.85,5.87,5.94,5.83,317557,188937275.0,1.88,0.34,0.02,2.03
2025-04-28,600611,5.85,5.77,5.87,5.75,233338,136291959.0,2.04,-1.7,-0.1,1.49
2025-04-29,600611,5.75,5.83,5.92,5.73,270185,159678755.0,3.29,1.04,0.06,1.73
2025-04-30,600611,5.68,5.72,5.86,5.68,315231,183544813.0,3.09,-1.89,-0.11,2.02
2025-05-06,600611,5.77,6.11,6.3,5.76,1082214,668648925.0,9.44,6.82,0.39,6.92
2025-05-07,600611,6.11,6.73,6.73,6.08,2197798,1452388749.0,10.64,10.15,0.62,14.06
2025-05-08,600611,6.46,6.45,6.61,6.36,1809082,1180819266.0,3.71,-4.16,-0.28,11.57
2025-05-09,600611,6.53,6.29,6.54,6.28,845766,541955095.0,4.03,-2.48,-0.16,5.41
2025-05-12,600611,6.35,6.32,6.36,6.25,534529,339652988.0,1.75,0.48,0.03,3.42
2025-05-13,600611,6.37,6.46,6.61,6.37,1105381,722846977.0,3.8,2.22,0.14,7.07
2025-05-14,600611,6.36,6.42,6.52,6.3,754289,486081375.0,3.41,-0.62,-0.04,4.82
2025-05-15,600611,6.42,6.21,6.43,6.2,531147,336409025.0,3.58,-3.27,-0.21,3.4
2025-05-16,600611,6.17,6.19,6.24,6.16,293612,183434956.0,1.29,-0.32,-0.02,1.88
2025-05-19,600611,6.23,6.25,6.25,6.16,312284,195810523.0,1.45,0.97,0.06,2.0
2025-05-20,600611,6.35,6.33,6.39,6.27,448806,286052749.0,1.92,1.28,0.08,2.87
2025-05-21,600611,6.35,6.39,6.61,6.32,744750,484291716.0,4.58,0.95,0.06,4.76
2025-05-22,600611,6.5,6.87,7.03,6.4,2574646,1776181836.0,9.86,7.51,0.48,16.47
2025-05-23,600611,6.61,6.35,6.76,6.33,1841647,1205347430.0,6.26,-7.57,-0.52,11.78
2025-05-26,600611,6.25,6.53,6.85,6.1,1414414,928622500.0,11.81,2.83,0.18,9.05
2025-05-27,600611,6.54,6.36,6.54,6.31,860203,553827251.0,3.52,-2.6,-0.17,5.5
2025-05-28,600611,6.52,6.46,6.7,6.4,1007732,662937355.0,4.72,1.57,0.1,6.45
2025-05-29,600611,6.46,6.82,7.1,6.46,2622446,1815263795.0,9.91,5.57,0.36,16.77
2025-05-30,600611,6.7,6.61,6.95,6.6,1648721,1114781984.0,5.13,-3.08,-0.21,10.55
