日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600619,11.8,11.38,11.92,11.25,614621,712938820.0,5.5,-6.64,-0.81,7.79
2025-01-03,600619,11.3,10.71,11.38,10.69,474112,521776569.0,6.06,-5.89,-0.67,6.01
2025-01-06,600619,10.55,10.41,10.73,10.34,298724,314462916.0,3.64,-2.8,-0.3,3.79
2025-01-07,600619,10.46,10.78,10.78,10.45,243742,259372070.0,3.17,3.55,0.37,3.09
2025-01-08,600619,10.7,10.96,11.14,10.57,415836,451544274.0,5.29,1.67,0.18,5.27
2025-01-09,600619,10.87,11.01,11.24,10.82,270844,300235730.0,3.83,0.46,0.05,3.43
2025-01-10,600619,11.04,10.66,11.2,10.56,257066,282280496.0,5.81,-3.18,-0.35,3.26
2025-01-13,600619,10.5,10.89,11.1,10.2,367661,394143629.0,8.44,2.16,0.23,4.66
2025-01-14,600619,10.93,11.39,11.48,10.82,463616,519750340.0,6.06,4.59,0.5,5.87
2025-01-15,600619,11.36,11.23,11.44,11.21,283883,320744840.0,2.02,-1.4,-0.16,3.6
2025-01-16,600619,11.35,11.3,11.55,11.16,266732,303328378.0,3.47,0.62,0.07,3.38
2025-01-17,600619,11.27,11.31,11.57,11.08,309242,349731455.0,4.34,0.09,0.01,3.92
2025-01-20,600619,11.47,11.37,11.52,11.26,228835,261065965.0,2.3,0.53,0.06,2.9
2025-01-21,600619,11.39,11.23,11.5,11.16,183471,206839419.0,2.99,-1.23,-0.14,2.32
2025-01-22,600619,11.14,11.02,11.26,10.99,149944,166834837.0,2.4,-1.87,-0.21,1.9
2025-01-23,600619,11.19,11.39,11.98,11.09,664413,769995682.0,8.08,3.36,0.37,8.42
2025-01-24,600619,11.38,11.54,11.65,11.2,464230,531230257.0,3.95,1.32,0.15,5.88
2025-01-27,600619,11.49,10.9,11.54,10.9,344337,383994612.0,5.55,-5.55,-0.64,4.36
2025-02-05,600619,11.06,11.07,11.14,10.9,248864,274651047.0,2.2,1.56,0.17,3.15
2025-02-06,600619,10.98,11.49,11.53,10.91,367329,417356527.0,5.6,3.79,0.42,4.65
2025-02-07,600619,11.52,11.7,11.86,11.42,410139,477985731.0,3.83,1.83,0.21,5.2
2025-02-10,600619,11.63,12.07,12.09,11.61,461980,550861367.0,4.1,3.16,0.37,5.85
2025-02-11,600619,11.99,11.84,11.99,11.75,287204,340662671.0,1.99,-1.91,-0.23,3.64
2025-02-12,600619,11.95,12.22,12.26,11.81,543185,658320377.0,3.8,3.21,0.38,6.88
2025-02-13,600619,12.08,12.22,12.56,11.9,615881,755344683.0,5.4,0.0,0.0,7.8
2025-02-14,600619,12.04,11.87,12.11,11.72,408971,485405497.0,3.19,-2.86,-0.35,5.18
2025-02-17,600619,11.77,11.97,12.04,11.74,315498,377049862.0,2.53,0.84,0.1,4.0
2025-02-18,600619,11.98,11.36,11.99,11.29,318995,370167737.0,5.85,-5.1,-0.61,4.04
2025-02-19,600619,11.32,11.61,11.61,11.31,226120,261070992.0,2.64,2.2,0.25,2.87
2025-02-20,600619,11.64,11.92,12.05,11.54,417918,496237380.0,4.39,2.67,0.31,5.3
2025-02-21,600619,11.76,12.19,12.49,11.62,672889,816877545.0,7.3,2.27,0.27,8.53
2025-02-24,600619,12.09,12.11,12.48,11.95,413082,499835191.0,4.35,-0.66,-0.08,5.23
2025-02-25,600619,11.95,12.22,12.58,11.85,467831,573867814.0,6.03,0.91,0.11,5.93
2025-02-26,600619,12.24,12.17,12.37,12.1,377864,462557865.0,2.21,-0.41,-0.05,4.79
2025-02-27,600619,12.17,11.93,12.17,11.71,315125,376225565.0,3.78,-1.97,-0.24,3.99
2025-02-28,600619,11.81,11.18,11.84,11.1,308105,353342512.0,6.2,-6.29,-0.75,3.9
2025-03-03,600619,11.19,12.3,12.3,10.88,666626,794309181.0,12.7,10.02,1.12,8.45
2025-03-04,600619,12.56,13.53,13.53,12.43,1617061,2109641122.0,8.94,10.0,1.23,20.49
2025-03-05,600619,13.49,13.12,14.24,13.02,1806159,2445120153.0,9.02,-3.03,-0.41,22.89
2025-03-06,600619,13.04,13.08,13.5,12.95,1108375,1456279053.0,4.19,-0.3,-0.04,14.04
2025-03-07,600619,12.9,12.59,12.95,12.5,773634,981832576.0,3.44,-3.75,-0.49,9.8
2025-03-10,600619,13.17,13.85,13.85,12.8,1001001,1345957252.0,8.34,10.01,1.26,12.68
2025-03-11,600619,13.44,14.3,15.02,13.39,1778701,2508365878.0,11.77,3.25,0.45,22.54
2025-03-12,600619,14.16,13.95,14.29,13.89,991563,1390791180.0,2.8,-2.45,-0.35,12.56
2025-03-13,600619,13.92,13.6,14.08,13.42,598201,819287099.0,4.73,-2.51,-0.35,7.58
2025-03-14,600619,13.61,13.79,13.84,13.23,637444,867307943.0,4.49,1.4,0.19,8.08
2025-03-17,600619,13.96,13.59,13.98,13.51,416374,568935668.0,3.41,-1.45,-0.2,5.28
2025-03-18,600619,13.59,13.33,13.59,13.21,427882,572113353.0,2.8,-1.91,-0.26,5.42
2025-03-19,600619,13.24,13.18,13.46,13.12,311399,411994310.0,2.55,-1.13,-0.15,3.95
2025-03-20,600619,13.09,13.1,13.41,13.04,336491,445283093.0,2.81,-0.61,-0.08,4.26
2025-03-21,600619,12.96,13.28,13.45,12.82,464562,614088347.0,4.81,1.37,0.18,5.89
2025-03-24,600619,13.15,12.21,13.16,11.95,551836,683416130.0,9.11,-8.06,-1.07,6.99
2025-03-25,600619,12.04,12.5,13.09,11.85,487926,609998197.0,10.16,2.38,0.29,6.18
2025-03-26,600619,12.12,12.37,12.73,12.11,293974,366135495.0,4.96,-1.04,-0.13,3.73
2025-03-27,600619,12.26,13.61,13.61,12.25,935585,1251651152.0,10.99,10.02,1.24,11.86
2025-03-28,600619,13.89,13.49,14.27,13.43,1353129,1868761310.0,6.17,-0.88,-0.12,17.15
2025-03-31,600619,13.09,13.62,13.97,13.09,1006566,1376441085.0,6.52,0.96,0.13,12.75
2025-04-01,600619,13.47,14.3,14.71,13.47,1223106,1724584481.0,9.1,4.99,0.68,15.5
2025-04-02,600619,14.0,13.74,14.13,13.59,777191,1074476187.0,3.78,-3.92,-0.56,9.85
2025-04-03,600619,13.41,12.95,13.72,12.81,661430,873991948.0,6.62,-5.75,-0.79,8.38
2025-04-07,600619,11.77,11.65,12.19,11.65,296557,348591511.0,4.17,-10.04,-1.3,3.76
2025-04-08,600619,10.77,10.48,11.32,10.48,660226,703395943.0,7.21,-10.04,-1.17,8.37
2025-04-09,600619,10.1,10.51,10.99,9.43,735977,752337838.0,14.89,0.29,0.03,9.33
2025-04-10,600619,10.84,10.87,11.2,10.64,584732,640981947.0,5.33,3.43,0.36,7.41
2025-04-11,600619,10.74,11.19,11.43,10.73,538408,601508926.0,6.44,2.94,0.32,6.82
2025-04-14,600619,11.39,11.47,11.6,11.28,446747,511187371.0,2.86,2.5,0.28,5.66
2025-04-15,600619,11.41,11.15,11.75,11.09,386641,436992316.0,5.75,-2.79,-0.32,4.9
2025-04-16,600619,11.19,10.93,11.36,10.8,331992,368394253.0,5.02,-1.97,-0.22,4.21
2025-04-17,600619,10.8,10.98,11.29,10.77,318421,352930933.0,4.76,0.46,0.05,4.03
2025-04-18,600619,11.12,10.89,11.13,10.79,231638,253162304.0,3.1,-0.82,-0.09,2.94
2025-04-21,600619,10.89,11.13,11.18,10.85,328512,362202617.0,3.03,2.2,0.24,4.16
2025-04-22,600619,11.14,11.25,11.43,11.05,416919,467867359.0,3.41,1.08,0.12,5.28
2025-04-23,600619,11.25,11.32,11.49,11.16,345627,392131506.0,2.93,0.62,0.07,4.38
2025-04-24,600619,11.3,11.36,11.66,11.22,401575,458888568.0,3.89,0.35,0.04,5.09
2025-04-25,600619,11.49,11.51,11.67,11.25,386296,443671161.0,3.7,1.32,0.15,4.89
2025-04-28,600619,11.42,11.02,11.44,10.92,382192,424272671.0,4.52,-4.26,-0.49,4.84
2025-04-29,600619,11.05,10.98,11.12,10.85,222672,245004432.0,2.45,-0.36,-0.04,2.82
2025-04-30,600619,11.37,11.38,11.55,11.24,381235,434155516.0,2.82,3.64,0.4,4.83
2025-05-06,600619,11.48,11.84,11.89,11.43,381881,447482115.0,4.04,4.04,0.46,4.84
2025-05-07,600619,12.04,12.07,12.43,11.87,577938,699028750.0,4.73,1.94,0.23,7.32
2025-05-08,600619,11.99,12.13,12.24,11.97,346686,420986401.0,2.24,0.5,0.06,4.39
2025-05-09,600619,12.17,11.74,12.19,11.64,298716,353739045.0,4.53,-3.22,-0.39,3.79
2025-05-12,600619,11.92,11.84,11.95,11.76,224740,266454416.0,1.62,0.85,0.1,2.85
2025-05-13,600619,12.04,11.78,12.13,11.74,240508,285839675.0,3.29,-0.51,-0.06,3.05
2025-05-14,600619,11.82,11.82,12.08,11.69,266712,316281364.0,3.31,0.34,0.04,3.38
2025-05-15,600619,11.82,11.48,11.86,11.46,226750,262285128.0,3.38,-2.88,-0.34,2.87
2025-05-16,600619,11.48,11.61,11.69,11.41,192164,223582176.0,2.44,1.13,0.13,2.44
2025-05-19,600619,11.77,11.85,12.04,11.56,336294,398114263.0,4.13,2.07,0.24,4.26
2025-05-20,600619,11.76,11.96,11.97,11.64,293734,349330078.0,2.78,0.93,0.11,3.72
2025-05-21,600619,11.9,11.81,11.98,11.66,261510,309019239.0,2.68,-1.25,-0.15,3.31
2025-05-22,600619,11.87,11.73,12.23,11.7,425217,508516034.0,4.49,-0.68,-0.08,5.39
2025-05-23,600619,11.65,11.51,11.94,11.49,364352,426317600.0,3.84,-1.88,-0.22,4.62
2025-05-26,600619,11.54,11.78,11.93,11.47,326254,382454668.0,4.0,2.35,0.27,4.13
2025-05-27,600619,11.71,11.81,12.11,11.61,335557,398721571.0,4.24,0.25,0.03,4.25
