日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600621,16.0,14.99,16.09,14.78,616748,956946067.0,8.01,-8.37,-1.37,5.81
2025-01-03,600621,15.06,14.36,15.07,14.31,355129,523306775.0,5.07,-4.2,-0.63,3.35
2025-01-06,600621,14.42,14.28,14.58,14.1,249294,360808866.0,3.34,-0.56,-0.08,2.35
2025-01-07,600621,14.28,14.46,14.5,14.13,240312,346587836.0,2.59,1.26,0.18,2.27
2025-01-08,600621,14.33,14.14,14.33,13.78,314136,445672184.0,3.8,-2.21,-0.32,2.96
2025-01-09,600621,14.06,14.05,14.2,14.02,181121,257534419.0,1.27,-0.64,-0.09,1.71
2025-01-10,600621,14.05,13.65,14.16,13.65,190182,267076444.0,3.63,-2.85,-0.4,1.79
2025-01-13,600621,13.49,13.66,13.75,13.43,158651,217640949.0,2.34,0.07,0.01,1.5
2025-01-14,600621,13.74,14.21,14.27,13.71,299670,424112205.0,4.1,4.03,0.55,2.82
2025-01-15,600621,14.11,14.01,14.2,13.96,198907,282043108.0,1.69,-1.41,-0.2,1.87
2025-01-16,600621,14.13,13.94,14.28,13.81,211841,300200660.0,3.35,-0.5,-0.07,2.0
2025-01-17,600621,13.88,14.03,14.13,13.86,159224,225204301.0,1.94,0.65,0.09,1.5
2025-01-20,600621,14.17,14.1,14.27,14.07,176887,252680330.0,1.43,0.5,0.07,1.67
2025-01-21,600621,14.26,14.16,14.3,13.97,147944,210541568.0,2.34,0.43,0.06,1.39
2025-01-22,600621,14.06,14.08,14.21,14.0,135445,192575112.0,1.48,-0.56,-0.08,1.28
2025-01-23,600621,14.38,14.13,14.65,14.13,325476,473036549.0,3.69,0.36,0.05,3.07
2025-01-24,600621,14.13,14.52,14.59,14.09,283279,410766658.0,3.54,2.76,0.39,2.67
2025-01-27,600621,14.51,13.96,14.62,13.95,227492,326581484.0,4.61,-3.86,-0.56,2.14
2025-02-05,600621,14.09,14.07,14.18,13.99,143439,203760156.0,1.36,0.79,0.11,1.35
2025-02-06,600621,13.98,14.38,14.38,13.98,200717,288231538.0,2.84,2.2,0.31,1.89
2025-02-07,600621,14.36,14.65,14.86,14.29,334870,492785647.0,3.96,1.88,0.27,3.16
2025-02-10,600621,14.64,14.73,14.83,14.56,237727,352603925.0,1.84,0.55,0.08,2.24
2025-02-11,600621,14.73,14.67,14.76,14.49,184516,271820315.0,1.83,-0.41,-0.06,1.74
2025-02-12,600621,14.68,14.93,14.95,14.64,228172,340455951.0,2.11,1.77,0.26,2.15
2025-02-13,600621,14.88,14.73,15.01,14.68,230927,344561844.0,2.21,-1.34,-0.2,2.18
2025-02-14,600621,14.68,14.72,14.8,14.61,166610,246898178.0,1.29,-0.07,-0.01,1.57
2025-02-17,600621,14.81,14.89,15.03,14.72,288515,433500634.0,2.11,1.15,0.17,2.72
2025-02-18,600621,14.83,14.48,14.89,14.4,191740,283633707.0,3.29,-2.75,-0.41,1.81
2025-02-19,600621,14.5,14.66,14.73,14.45,161989,238857154.0,1.93,1.24,0.18,1.53
2025-02-20,600621,14.63,14.69,14.72,14.52,150804,222646107.0,1.36,0.2,0.03,1.42
2025-02-21,600621,14.71,14.91,14.98,14.52,280649,418486532.0,3.13,1.5,0.22,2.65
2025-02-24,600621,14.86,14.86,15.0,14.76,208631,313064082.0,1.61,-0.34,-0.05,1.97
2025-02-25,600621,14.65,14.62,14.8,14.59,151668,224807790.0,1.41,-1.62,-0.24,1.43
2025-02-26,600621,14.65,14.93,14.94,14.56,223525,332238152.0,2.6,2.12,0.31,2.11
2025-02-27,600621,14.83,14.84,14.97,14.5,252763,375718005.0,3.15,-0.6,-0.09,2.38
2025-02-28,600621,14.73,14.3,14.94,14.24,221853,326291682.0,4.72,-3.64,-0.54,2.09
2025-03-03,600621,14.3,14.23,14.53,14.19,138686,200588676.0,2.38,-0.49,-0.07,1.31
