日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600623,6.82,6.59,6.87,6.53,224265,154405876.0,4.99,-3.37,-0.23,1.2
2025-01-03,600623,6.62,6.5,6.74,6.45,195554,132395328.0,4.4,-1.37,-0.09,1.05
2025-01-06,600623,6.49,6.56,6.61,6.42,156382,104877389.0,2.92,0.92,0.06,0.84
2025-01-07,600623,6.55,6.51,6.58,6.41,140875,93851081.0,2.59,-0.76,-0.05,0.75
2025-01-08,600623,6.55,6.5,6.56,6.38,190115,126164893.0,2.76,-0.15,-0.01,1.02
2025-01-09,600623,6.48,6.49,6.58,6.46,106956,71631377.0,1.85,-0.15,-0.01,0.57
2025-01-10,600623,6.5,6.38,6.54,6.38,98825,65450522.0,2.47,-1.69,-0.11,0.53
2025-01-13,600623,6.35,6.35,6.37,6.27,93351,60765726.0,1.57,-0.47,-0.03,0.5
2025-01-14,600623,6.35,6.5,6.53,6.31,135269,89707241.0,3.46,2.36,0.15,0.72
2025-01-15,600623,6.49,6.44,6.53,6.42,100071,66429872.0,1.69,-0.92,-0.06,0.54
2025-01-16,600623,6.48,6.51,6.57,6.44,133119,89084399.0,2.02,1.09,0.07,0.71
2025-01-17,600623,6.48,6.63,6.65,6.44,129443,87402065.0,3.23,1.84,0.12,0.69
2025-01-20,600623,6.66,6.6,6.7,6.58,95092,64713415.0,1.81,-0.45,-0.03,0.51
2025-01-21,600623,6.62,6.53,6.64,6.49,92806,62360151.0,2.27,-1.06,-0.07,0.5
2025-01-22,600623,6.49,6.47,6.52,6.42,71263,47286768.0,1.53,-0.92,-0.06,0.38
2025-01-23,600623,6.52,6.45,6.59,6.44,105093,70409861.0,2.32,-0.31,-0.02,0.56
2025-01-24,600623,6.46,6.53,6.54,6.43,98778,65800317.0,1.71,1.24,0.08,0.53
2025-01-27,600623,6.56,6.57,6.68,6.54,118695,80646245.0,2.14,0.61,0.04,0.64
2025-02-05,600623,6.6,6.51,6.61,6.46,116899,78455438.0,2.28,-0.91,-0.06,0.63
2025-02-06,600623,6.52,6.55,6.56,6.42,138014,92086306.0,2.15,0.61,0.04,0.74
2025-02-07,600623,6.54,6.64,6.72,6.51,192128,130808820.0,3.21,1.37,0.09,1.03
2025-02-10,600623,6.65,6.7,6.74,6.64,127464,87560357.0,1.51,0.9,0.06,0.68
2025-02-11,600623,6.72,6.76,6.76,6.62,125802,86537394.0,2.09,0.9,0.06,0.67
2025-02-12,600623,6.74,6.77,6.81,6.69,118375,82071464.0,1.78,0.15,0.01,0.63
2025-02-13,600623,6.76,6.68,6.8,6.67,121507,83840953.0,1.92,-1.33,-0.09,0.65
2025-02-14,600623,6.69,6.62,6.7,6.6,128841,87803899.0,1.5,-0.9,-0.06,0.69
2025-02-17,600623,6.65,6.59,6.66,6.55,157196,106361097.0,1.66,-0.45,-0.03,0.84
2025-02-18,600623,6.58,6.42,6.6,6.4,175868,117423459.0,3.03,-2.58,-0.17,0.94
2025-02-19,600623,6.43,6.47,6.47,6.38,164992,108908871.0,1.4,0.78,0.05,0.88
2025-02-20,600623,6.45,6.46,6.49,6.38,127217,84305739.0,1.7,-0.15,-0.01,0.68
2025-02-21,600623,6.45,6.48,6.48,6.39,136039,90139749.0,1.39,0.31,0.02,0.73
2025-02-24,600623,6.48,6.48,6.53,6.44,128785,85901252.0,1.39,0.0,0.0,0.69
2025-02-25,600623,6.43,6.39,6.52,6.38,122454,80933354.0,2.16,-1.39,-0.09,0.66
2025-02-26,600623,6.39,6.52,6.52,6.39,156948,104549464.0,2.03,2.03,0.13,0.84
2025-02-27,600623,6.51,6.54,6.57,6.45,105222,70299268.0,1.84,0.31,0.02,0.56
