日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600626,3.65,3.62,3.8,3.57,191730,70704555.0,6.3,-0.82,-0.03,2.25
2025-01-03,600626,3.62,3.38,3.68,3.37,239952,83171794.0,8.56,-6.63,-0.24,2.82
2025-01-06,600626,3.4,3.39,3.41,3.22,193921,64740138.0,5.62,0.3,0.01,2.28
2025-01-07,600626,3.38,3.48,3.48,3.36,128743,44085708.0,3.54,2.65,0.09,1.51
2025-01-08,600626,3.48,3.48,3.51,3.38,141639,48831141.0,3.74,0.0,0.0,1.66
2025-01-09,600626,3.48,3.51,3.53,3.42,109289,38190180.0,3.16,0.86,0.03,1.28
2025-01-10,600626,3.51,3.33,3.53,3.33,145557,49838712.0,5.7,-5.13,-0.18,1.71
2025-01-13,600626,3.25,3.34,3.35,3.21,128008,42167011.0,4.2,0.3,0.01,1.5
2025-01-14,600626,3.39,3.48,3.49,3.34,145528,49984811.0,4.49,4.19,0.14,1.71
2025-01-15,600626,3.48,3.49,3.53,3.41,141095,48946467.0,3.45,0.29,0.01,1.66
2025-01-16,600626,3.48,3.55,3.61,3.48,130276,46259763.0,3.72,1.72,0.06,1.53
2025-01-17,600626,3.52,3.48,3.57,3.45,112762,39382270.0,3.38,-1.97,-0.07,1.32
2025-01-20,600626,3.53,3.56,3.6,3.44,153908,54443741.0,4.6,2.3,0.08,1.81
2025-01-21,600626,3.58,3.48,3.59,3.46,137058,48087740.0,3.65,-2.25,-0.08,1.61
2025-01-22,600626,3.48,3.41,3.48,3.39,107674,36794207.0,2.59,-2.01,-0.07,1.26
2025-01-23,600626,3.42,3.36,3.53,3.35,210595,72250585.0,5.28,-1.47,-0.05,2.47
2025-01-24,600626,3.53,3.48,3.69,3.44,348202,122410272.0,7.44,3.57,0.12,4.09
2025-01-27,600626,3.43,3.62,3.7,3.42,373011,134769442.0,8.05,4.02,0.14,4.38
2025-02-05,600626,3.61,3.63,3.65,3.54,211994,76451732.0,3.04,0.28,0.01,1.91
2025-02-06,600626,3.63,3.7,3.71,3.6,175139,64149514.0,3.03,1.93,0.07,1.58
2025-02-07,600626,3.69,3.74,3.83,3.68,253999,95585384.0,4.05,1.08,0.04,2.29
2025-02-10,600626,3.75,3.87,3.87,3.75,203282,77596025.0,3.21,3.48,0.13,1.83
2025-02-11,600626,3.85,3.85,3.87,3.79,161843,61934407.0,2.07,-0.52,-0.02,1.46
2025-02-12,600626,3.83,3.88,3.9,3.82,172770,66729299.0,2.08,0.78,0.03,1.56
2025-02-13,600626,3.88,3.85,3.92,3.85,120661,46753419.0,1.8,-0.77,-0.03,1.09
2025-02-14,600626,3.85,3.82,3.88,3.82,119809,46037894.0,1.56,-0.78,-0.03,1.08
2025-02-17,600626,3.84,3.93,3.94,3.8,203289,78632028.0,3.66,2.88,0.11,1.83
2025-02-18,600626,3.91,3.76,3.93,3.74,164079,62734366.0,4.83,-4.33,-0.17,1.48
2025-02-19,600626,3.76,3.83,3.84,3.76,109554,41763732.0,2.13,1.86,0.07,0.99
2025-02-20,600626,3.81,3.83,3.86,3.78,111986,42857675.0,2.09,0.0,0.0,1.01
2025-02-21,600626,3.82,3.83,3.84,3.77,121505,46287953.0,1.83,0.0,0.0,1.1
2025-02-24,600626,3.83,3.86,3.9,3.81,154182,59404279.0,2.35,0.78,0.03,1.39
