日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600633,10.18,9.91,10.31,9.77,212828,219117524.0,5.28,-3.03,-0.31,1.68
2025-01-03,600633,9.91,9.41,9.92,9.36,199410,196120776.0,5.65,-5.05,-0.5,1.57
2025-01-06,600633,9.34,9.29,9.57,9.18,177212,169885455.0,4.14,-1.28,-0.12,1.4
2025-01-07,600633,9.3,9.34,9.41,9.23,135199,129245347.0,1.94,0.54,0.05,1.07
2025-01-08,600633,9.31,9.18,9.37,8.97,182701,171497907.0,4.28,-1.71,-0.16,1.44
2025-01-09,600633,9.11,9.14,9.27,9.07,100134,94341426.0,2.18,-0.44,-0.04,0.79
2025-01-10,600633,9.21,8.83,9.28,8.82,139844,130088685.0,5.03,-3.39,-0.31,1.1
2025-01-13,600633,8.77,8.93,8.95,8.59,141371,127755650.0,4.08,1.13,0.1,1.11
2025-01-14,600633,8.96,9.4,9.42,8.87,184402,174115704.0,6.16,5.26,0.47,1.45
2025-01-15,600633,9.44,9.56,9.72,9.34,209716,204834260.0,4.04,1.7,0.16,1.65
2025-01-16,600633,9.54,9.6,9.94,9.49,206324,205397801.0,4.71,0.42,0.04,1.63
2025-01-17,600633,9.59,9.54,9.65,9.47,107731,105473710.0,1.88,-0.63,-0.06,0.85
2025-01-20,600633,9.62,9.52,9.7,9.48,107753,105730615.0,2.31,-0.21,-0.02,0.85
2025-01-21,600633,9.55,9.57,9.64,9.47,89421,87453463.0,1.79,0.53,0.05,0.71
2025-01-22,600633,9.51,9.36,9.54,9.25,127037,122027690.0,3.03,-2.19,-0.21,1.0
2025-01-23,600633,9.52,9.43,9.68,9.41,133292,130718118.0,2.88,0.75,0.07,1.05
2025-01-24,600633,9.45,9.8,9.8,9.42,163630,161919150.0,4.03,3.92,0.37,1.29
2025-01-27,600633,9.93,9.97,10.16,9.9,187532,192264855.0,2.65,1.73,0.17,1.48
2025-02-05,600633,10.58,10.99,10.99,10.42,610299,679319967.0,5.72,10.23,1.02,4.81
2025-02-06,600633,11.44,12.11,12.11,11.26,721916,862131356.0,7.73,10.19,1.12,5.69
2025-02-07,600633,13.35,13.35,13.35,13.35,222977,303025743.0,0.0,10.24,1.24,1.76
2025-02-10,600633,14.71,14.71,14.71,14.71,85564,127918031.0,0.0,10.19,1.36,0.67
2025-02-11,600633,16.21,16.21,16.21,16.21,84137,138405694.0,0.0,10.2,1.5,0.66
2025-02-12,600633,17.86,17.86,17.86,17.86,149017,269721494.0,0.0,10.18,1.65,1.18
2025-02-13,600633,18.76,16.56,19.05,16.05,3229520,5588334040.0,16.8,-7.28,-1.3,25.47
2025-02-14,600633,17.41,17.71,18.24,15.77,2924026,5066312365.0,14.92,6.94,1.15,23.06
2025-02-17,600633,17.16,19.51,19.51,17.16,2788038,5160860643.0,13.27,10.16,1.8,21.99
2025-02-18,600633,18.33,18.63,18.73,17.54,2577576,4663843508.0,6.1,-4.51,-0.88,20.33
2025-02-19,600633,18.84,17.76,18.85,16.97,2352431,4238218579.0,10.09,-4.67,-0.87,18.55
2025-02-20,600633,17.76,18.42,19.56,17.76,3336871,6455412154.0,10.14,3.72,0.66,26.31
2025-02-21,600633,18.56,18.94,19.26,17.06,3078280,5712146857.0,11.94,2.82,0.52,24.28
2025-02-24,600633,18.16,17.02,18.26,17.02,1784735,3107889665.0,6.55,-10.14,-1.92,14.07
2025-02-25,600633,15.41,15.29,16.0,15.29,1826071,2864601827.0,4.17,-10.16,-1.73,14.4
2025-02-26,600633,15.36,15.1,15.48,14.9,1295211,1997427935.0,3.79,-1.24,-0.19,10.21
2025-02-27,600633,15.17,14.58,15.29,14.27,1141375,1699221495.0,6.75,-3.44,-0.52,9.0
2025-02-28,600633,14.38,13.98,14.71,13.96,794901,1153989055.0,5.14,-4.12,-0.6,6.27
2025-03-03,600633,14.02,13.92,14.15,13.76,594184,844193965.0,2.79,-0.43,-0.06,4.69
2025-03-04,600633,13.8,14.23,14.34,13.8,782437,1122439061.0,3.88,2.23,0.31,6.17
2025-03-05,600633,14.4,14.33,14.54,13.97,826905,1201526025.0,4.01,0.7,0.1,6.52
2025-03-06,600633,14.75,14.89,15.15,14.55,1233815,1865383593.0,4.19,3.91,0.56,9.73
2025-03-07,600633,14.66,14.96,15.86,14.48,1194320,1826916149.0,9.27,0.47,0.07,9.42
2025-03-10,600633,14.71,14.2,14.71,14.08,751357,1089537655.0,4.21,-5.08,-0.76,5.93
2025-03-11,600633,13.85,14.26,14.26,13.78,470181,673192166.0,3.38,0.42,0.06,3.71
2025-03-12,600633,14.65,14.94,15.31,14.46,1176073,1779911021.0,5.96,4.77,0.68,9.27
2025-03-13,600633,14.81,14.43,14.81,14.11,693378,1016337568.0,4.69,-3.41,-0.51,5.47
2025-03-14,600633,14.21,14.46,14.56,14.07,548925,800822570.0,3.4,0.21,0.03,4.33
2025-03-17,600633,14.48,14.34,14.73,14.24,435879,639180515.0,3.39,-0.83,-0.12,3.44
2025-03-18,600633,14.45,14.54,14.93,14.32,613895,912644483.0,4.25,1.39,0.2,4.84
2025-03-19,600633,14.39,14.29,14.62,14.16,383809,560516367.0,3.16,-1.72,-0.25,3.03
2025-03-20,600633,14.21,14.31,14.85,14.11,569596,839424440.0,5.18,0.14,0.02,4.49
2025-03-21,600633,14.16,13.9,14.49,13.9,485955,698095785.0,4.12,-2.87,-0.41,3.83
2025-03-24,600633,13.91,13.53,13.96,13.29,501840,691169712.0,4.82,-2.66,-0.37,3.96
2025-03-25,600633,13.53,13.14,13.67,13.03,380390,513056032.0,4.73,-2.88,-0.39,3.0
2025-03-26,600633,13.06,13.15,13.3,13.06,222405,298518107.0,1.83,0.08,0.01,1.75
2025-03-27,600633,13.08,13.14,13.31,12.93,273406,366136096.0,2.89,-0.08,-0.01,2.16
2025-03-28,600633,13.07,13.12,13.43,13.06,273178,368089312.0,2.82,-0.15,-0.02,2.15
2025-03-31,600633,12.99,13.2,13.29,12.66,408486,539094253.0,4.8,0.61,0.08,3.22
2025-04-01,600633,13.22,13.18,13.52,13.14,348769,472148188.0,2.88,-0.15,-0.02,2.75
2025-04-02,600633,13.06,13.22,13.4,13.06,230932,311801856.0,2.58,0.3,0.04,1.82
2025-04-03,600633,13.08,13.12,13.32,13.01,191068,256269523.0,2.34,-0.76,-0.1,1.51
2025-04-07,600633,11.97,11.78,12.26,11.78,173871,210960175.0,3.66,-10.21,-1.34,1.37
2025-04-08,600633,11.18,11.13,11.66,10.72,598780,676058960.0,7.98,-5.52,-0.65,4.72
2025-04-09,600633,10.94,11.71,11.92,10.37,614979,705685439.0,13.93,5.21,0.58,4.85
2025-04-10,600633,11.96,12.48,12.81,11.91,609798,770471784.0,7.69,6.58,0.77,4.81
2025-04-11,600633,12.42,12.59,12.91,12.34,410829,528604043.0,4.57,0.88,0.11,3.24
2025-04-14,600633,12.9,13.28,13.5,12.77,633778,851713818.0,5.8,5.48,0.69,5.0
2025-04-15,600633,13.76,13.11,14.5,12.93,766704,1052473878.0,11.82,-1.28,-0.17,6.05
2025-04-16,600633,13.19,12.59,13.24,12.51,442559,576305260.0,5.57,-3.97,-0.52,3.49
2025-04-17,600633,12.56,12.83,13.03,12.53,347047,454276744.0,3.97,1.91,0.24,2.74
2025-04-18,600633,12.85,12.85,13.26,12.78,274144,361985185.0,3.74,0.16,0.02,2.16
2025-04-21,600633,12.83,13.42,13.44,12.74,442323,597729020.0,5.45,4.44,0.57,3.49
2025-04-22,600633,13.65,13.07,13.65,12.88,473401,629299184.0,5.74,-2.61,-0.35,3.73
2025-04-23,600633,13.06,13.25,13.55,13.06,407524,551544484.0,3.75,1.38,0.18,3.21
2025-04-24,600633,13.2,12.78,13.21,12.67,337434,442378780.0,4.08,-3.55,-0.47,2.66
2025-04-25,600633,12.84,12.88,13.1,12.84,274673,362702966.0,2.03,0.78,0.1,2.17
2025-04-28,600633,12.91,13.29,13.64,12.86,631417,851863348.0,6.06,3.18,0.41,4.98
2025-04-29,600633,13.26,13.42,13.58,13.16,474202,646526610.0,3.16,0.98,0.13,3.74
2025-04-30,600633,13.4,13.83,13.99,13.39,590553,829871957.0,4.47,3.06,0.41,4.66
2025-05-06,600633,14.01,14.12,14.22,13.83,582592,832646889.0,2.82,2.1,0.29,4.59
2025-05-07,600633,14.21,13.83,14.34,13.69,489971,692236155.0,4.6,-2.05,-0.29,3.86
2025-05-08,600633,13.61,13.91,14.01,13.61,345399,487972587.0,2.89,0.58,0.08,2.72
2025-05-09,600633,13.88,13.44,13.91,13.42,271994,375350957.0,3.52,-3.38,-0.47,2.14
2025-05-12,600633,13.57,13.6,13.68,13.44,198317,273436960.0,1.79,1.19,0.16,1.56
2025-05-13,600633,13.74,13.63,14.01,13.56,353970,495604099.0,3.31,0.22,0.03,2.79
2025-05-14,600633,13.61,13.56,13.95,13.51,393171,548734377.0,3.23,-0.51,-0.07,3.1
2025-05-15,600633,13.56,12.89,13.57,12.85,450928,599367011.0,5.31,-4.94,-0.67,3.56
2025-05-16,600633,12.8,12.88,13.0,12.78,209581,275470512.0,1.71,-0.08,-0.01,1.65
2025-05-19,600633,12.95,12.89,12.95,12.7,162868,212774451.0,1.94,0.08,0.01,1.28
2025-05-20,600633,12.91,13.24,13.43,12.76,379779,507121783.0,5.2,2.72,0.35,2.99
2025-05-21,600633,13.21,13.04,13.27,12.99,215151,286934478.0,2.11,-1.51,-0.2,1.7
2025-05-22,600633,12.98,12.88,13.08,12.82,180082,237375290.0,1.99,-1.23,-0.16,1.42
2025-05-23,600633,12.86,12.54,12.91,12.51,218574,282801351.0,3.11,-2.64,-0.34,1.72
2025-05-26,600633,12.58,12.88,13.01,12.57,241850,316163593.0,3.51,2.71,0.34,1.91
2025-05-27,600633,12.88,12.63,12.89,12.59,152909,197159861.0,2.33,-1.94,-0.25,1.21
2025-05-28,600633,12.7,12.5,12.79,12.49,132041,169572124.0,2.38,-1.03,-0.13,1.04
2025-05-29,600633,12.46,13.08,13.32,12.44,404654,532903715.0,7.04,4.64,0.58,3.19
2025-05-30,600633,13.21,12.65,13.24,12.58,326400,424425017.0,5.05,-3.29,-0.43,2.57
2025-06-03,600633,12.98,13.21,13.73,12.78,832124,1132483165.0,7.51,4.43,0.56,6.56
2025-06-04,600633,12.99,12.92,13.14,12.84,481474,636638722.0,2.27,-2.2,-0.29,3.8
2025-06-05,600633,12.96,13.24,13.28,12.84,439966,586092514.0,3.41,2.48,0.32,3.47
2025-06-06,600633,13.33,13.24,13.58,13.07,379617,506603491.0,3.85,0.0,0.0,2.99
2025-06-09,600633,13.22,13.47,13.6,13.09,448624,604260639.0,3.85,1.74,0.23,3.54
2025-06-10,600633,13.47,13.27,13.51,12.94,375115,498569921.0,4.23,-1.48,-0.2,2.96
2025-06-11,600633,13.28,13.44,13.6,13.23,420242,568900242.0,2.79,1.28,0.17,3.31
2025-06-12,600633,13.36,13.64,13.8,13.26,613010,842378774.0,4.02,1.49,0.2,4.83
2025-06-13,600633,13.52,13.22,13.52,13.14,372605,498077329.0,2.79,-3.08,-0.42,2.94
2025-06-16,600633,13.22,13.72,13.8,13.14,568349,779518691.0,4.99,3.78,0.5,4.48
2025-06-17,600633,13.61,13.36,13.68,13.28,414239,558455301.0,2.92,-2.62,-0.36,3.27
2025-06-18,600633,13.36,13.21,13.48,13.12,224846,299587188.0,2.69,-1.12,-0.15,1.77
2025-06-19,600633,13.22,12.98,13.28,12.93,275731,363043724.0,2.65,-1.74,-0.23,2.17
2025-06-20,600633,13.05,12.58,13.09,12.52,285313,364315327.0,4.39,-3.08,-0.4,2.25
2025-06-23,600633,12.42,12.64,12.67,12.36,167939,212233082.0,2.46,0.48,0.06,1.32
2025-06-24,600633,12.71,13.31,13.32,12.69,473311,626354162.0,4.98,5.3,0.67,3.73
2025-06-25,600633,13.27,13.41,13.42,13.18,287803,385294971.0,1.8,0.75,0.1,2.27
2025-06-26,600633,13.41,13.37,13.55,13.26,273136,368803698.0,2.16,-0.3,-0.04,2.15
2025-06-27,600633,13.37,13.33,13.49,13.23,241653,325240753.0,1.94,-0.3,-0.04,1.91
2025-06-30,600633,13.42,13.76,13.89,13.37,524004,723165241.0,3.9,3.23,0.43,4.13
2025-07-01,600633,13.72,13.54,13.75,13.43,271207,369872823.0,2.33,-1.6,-0.22,2.14
2025-07-02,600633,13.55,13.36,13.57,13.29,204700,275692700.0,2.07,-1.33,-0.18,1.61
2025-07-03,600633,13.36,13.36,13.53,13.23,169885,228032150.0,2.25,0.0,0.0,1.34
2025-07-04,600633,13.32,13.58,13.76,13.28,441768,603191337.0,3.59,1.65,0.22,3.48
2025-07-07,600633,13.53,13.37,13.67,13.32,245578,332136467.0,2.58,-1.55,-0.21,1.94
2025-07-08,600633,13.35,13.81,14.06,13.25,541276,747990820.0,6.06,3.29,0.44,4.27
2025-07-09,600633,13.72,13.84,13.91,13.67,386353,535718521.0,1.74,0.22,0.03,3.05
2025-07-10,600633,13.85,13.66,13.86,13.55,296864,407906567.0,2.24,-1.3,-0.18,2.34
2025-07-11,600633,13.64,13.93,13.99,13.47,481446,668016715.0,3.81,1.98,0.27,3.8
2025-07-14,600633,14.22,13.79,14.5,13.6,653140,915074290.0,6.46,-1.01,-0.14,5.15
2025-07-15,600633,13.82,14.12,14.27,13.71,663651,931401112.0,4.06,2.39,0.33,5.23
2025-07-16,600633,14.32,14.09,14.42,13.93,582193,829639715.0,3.47,-0.21,-0.03,4.59
2025-07-17,600633,14.04,14.09,14.24,13.82,350893,496110256.0,2.98,0.0,0.0,2.77
2025-07-18,600633,14.1,13.93,14.12,13.9,349159,490432758.0,1.56,-1.14,-0.16,2.75
2025-07-21,600633,13.94,13.85,14.02,13.79,312789,436775437.0,1.65,-0.57,-0.08,2.47
2025-07-22,600633,13.86,13.85,13.86,13.69,245814,340666600.0,1.23,0.0,0.0,1.94
2025-07-23,600633,13.85,13.8,13.99,13.74,250346,348300500.0,1.81,-0.36,-0.05,1.97
2025-07-24,600633,13.79,13.92,13.92,13.72,270852,377530921.0,1.45,0.87,0.12,2.14
2025-07-25,600633,13.97,13.97,14.01,13.87,258889,363124204.0,1.01,0.36,0.05,2.04
2025-07-28,600633,14.0,13.86,14.02,13.8,261091,364082093.0,1.57,-0.79,-0.11,2.06
2025-07-29,600633,13.82,14.0,14.0,13.58,423059,587800340.0,3.03,1.01,0.14,3.34
2025-07-30,600633,14.0,13.9,14.2,13.81,367679,516828468.0,2.79,-0.71,-0.1,2.9
2025-07-31,600633,13.98,13.78,14.11,13.74,389703,547305458.0,2.66,-0.86,-0.12,3.07
2025-08-01,600633,13.78,13.83,13.87,13.44,410052,563073687.0,3.12,0.36,0.05,3.23
2025-08-04,600633,13.69,14.13,14.36,13.66,513138,725291669.0,5.06,2.17,0.3,4.05
2025-08-05,600633,14.07,14.07,14.19,13.94,310627,438638603.0,1.77,-0.42,-0.06,2.45
2025-08-06,600633,14.11,14.14,14.24,14.03,371866,527805562.0,1.49,0.5,0.07,2.93
2025-08-07,600633,14.15,14.2,14.3,14.1,375388,535635322.0,1.41,0.42,0.06,2.96
2025-08-08,600633,14.27,13.87,14.28,13.72,495243,691096779.0,3.94,-2.32,-0.33,3.91
2025-08-11,600633,13.87,13.99,14.05,13.83,322326,453697128.0,1.59,0.87,0.12,2.54
2025-08-12,600633,13.96,14.15,14.22,13.88,372994,528461324.0,2.43,1.14,0.16,2.94
2025-08-13,600633,14.2,14.72,15.03,14.07,953793,1404151813.0,6.78,4.03,0.57,7.52
2025-08-14,600633,14.72,14.79,15.24,14.7,803152,1206981089.0,3.67,0.48,0.07,6.33
2025-08-15,600633,14.67,14.89,14.92,14.52,512382,762117781.0,2.7,0.68,0.1,4.04
2025-08-18,600633,14.97,15.23,15.3,14.82,812683,1230200362.0,3.22,2.28,0.34,6.41
2025-08-19,600633,15.25,15.27,15.6,14.99,679300,1045629698.0,4.01,0.26,0.04,5.36
2025-08-20,600633,15.22,15.19,15.37,14.9,498828,757871059.0,3.08,-0.52,-0.08,3.93
2025-08-21,600633,15.12,15.03,15.19,14.92,406433,614032424.0,1.78,-1.05,-0.16,3.21
2025-08-22,600633,15.25,15.6,15.72,15.23,785314,1220819559.0,3.26,3.79,0.57,6.19
2025-08-25,600633,16.42,15.69,16.47,15.57,1023756,1638340473.0,5.77,0.58,0.09,8.07
2025-08-26,600633,15.62,16.0,16.1,15.58,700737,1118370038.0,3.31,1.98,0.31,5.53
2025-08-27,600633,16.07,15.41,16.1,15.33,665048,1052883008.0,4.81,-3.69,-0.59,5.24
2025-08-28,600633,15.34,15.31,15.44,14.84,580212,883475269.0,3.89,-0.65,-0.1,4.58
2025-08-29,600633,15.21,15.04,15.27,14.94,351346,531735311.0,2.16,-1.76,-0.27,2.77
2025-09-01,600633,15.27,15.12,15.47,15.0,422230,645760089.0,3.13,0.53,0.08,3.33
2025-09-02,600633,15.02,14.34,15.02,14.27,526611,769563102.0,4.96,-5.16,-0.78,4.15
2025-09-03,600633,14.36,14.12,14.61,14.08,318003,459212759.0,3.7,-1.53,-0.22,2.51
2025-09-04,600633,14.17,13.84,14.29,13.66,298859,420497564.0,4.46,-1.98,-0.28,2.36
2025-09-05,600633,14.06,14.36,14.42,13.92,362318,517651518.0,3.61,3.76,0.52,2.86
2025-09-08,600633,14.26,14.33,14.39,14.1,287530,411803503.0,2.02,-0.21,-0.03,2.27
2025-09-09,600633,14.32,14.11,14.42,14.07,233476,333572787.0,2.44,-1.54,-0.22,1.84
2025-09-10,600633,14.14,14.2,14.37,14.04,207749,296955414.0,2.34,0.64,0.09,1.64
2025-09-11,600633,14.15,14.42,14.45,13.91,324342,464274022.0,3.8,1.55,0.22,2.56
2025-09-12,600633,14.57,14.51,14.97,14.47,432877,639895245.0,3.47,0.62,0.09,3.41
2025-09-15,600633,14.42,14.62,14.75,14.3,359746,526198237.0,3.1,0.76,0.11,2.84
2025-09-16,600633,14.59,14.5,14.62,14.33,251359,365561579.0,1.98,-0.82,-0.12,1.98
2025-09-17,600633,14.52,14.43,14.55,14.28,266681,385785159.0,1.86,-0.48,-0.07,2.1
2025-09-18,600633,14.44,14.33,14.72,14.24,436112,638262574.0,3.33,-0.69,-0.1,3.44
2025-09-19,600633,14.35,14.1,14.41,14.05,255938,365828338.0,2.51,-1.61,-0.23,2.02
2025-09-22,600633,14.12,14.17,14.25,13.99,169891,241719696.0,1.84,0.5,0.07,1.34
2025-09-23,600633,14.09,14.25,14.56,13.89,320687,457284680.0,4.73,0.56,0.08,2.53
2025-09-24,600633,14.17,15.11,15.46,13.95,760258,1130649411.0,10.6,6.04,0.86,6.0
2025-09-25,600633,15.19,15.58,15.9,14.92,904435,1402662526.0,6.49,3.11,0.47,7.13
2025-09-26,600633,15.3,14.78,15.35,14.75,520592,778875375.0,3.85,-5.13,-0.8,4.11
2025-09-29,600633,14.75,14.8,14.87,14.5,262607,386303376.0,2.5,0.14,0.02,2.07
2025-09-30,600633,14.9,14.49,14.97,14.46,374046,546920221.0,3.45,-2.09,-0.31,2.95
2025-10-09,600633,14.48,14.5,14.58,14.28,298563,431291661.0,2.07,0.07,0.01,2.35
2025-10-10,600633,14.41,14.2,14.5,14.18,276053,394267439.0,2.21,-2.07,-0.3,2.18
2025-10-13,600633,13.73,13.92,13.95,13.66,257724,356529863.0,2.04,-1.97,-0.28,2.03
2025-10-14,600633,13.94,13.85,14.19,13.81,228509,319732274.0,2.73,-0.5,-0.07,1.8
2025-10-15,600633,13.85,13.95,13.96,13.63,188326,259839451.0,2.38,0.72,0.1,1.49
2025-10-16,600633,13.95,13.7,13.95,13.66,154974,213227164.0,2.08,-1.79,-0.25,1.22
