日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600636,9.27,9.13,9.47,9.03,68764,64056812.0,4.77,-1.08,-0.1,1.57
2025-01-03,600636,9.15,8.58,9.19,8.54,74354,65739083.0,7.12,-6.02,-0.55,1.7
2025-01-06,600636,8.57,8.46,8.65,8.13,75473,63932140.0,6.06,-1.4,-0.12,1.72
2025-01-07,600636,8.46,8.65,8.66,8.46,41004,35295574.0,2.36,2.25,0.19,0.93
2025-01-08,600636,8.7,8.61,8.79,8.35,49900,43045736.0,5.09,-0.46,-0.04,1.14
2025-01-09,600636,8.58,8.65,8.74,8.55,29804,25967494.0,2.21,0.46,0.04,0.68
2025-01-10,600636,8.64,8.24,8.73,8.21,74095,62701762.0,6.01,-4.74,-0.41,1.69
2025-01-13,600636,8.14,8.37,8.4,7.94,55472,45804570.0,5.58,1.58,0.13,1.26
2025-01-14,600636,8.45,8.67,8.68,8.42,65878,56860521.0,3.11,3.58,0.3,1.5
2025-01-15,600636,8.68,8.67,8.82,8.61,61592,54031573.0,2.42,0.0,0.0,1.4
2025-01-16,600636,8.69,8.71,8.91,8.62,51778,45605901.0,3.34,0.46,0.04,1.18
2025-01-17,600636,8.65,8.62,8.75,8.53,40403,34982508.0,2.53,-1.03,-0.09,0.92
2025-01-20,600636,9.43,9.49,9.49,9.35,63653,60661895.0,1.62,10.09,0.87,1.45
2025-01-21,600636,8.54,8.54,8.54,8.54,44099,37881041.0,0.0,-10.01,-0.95,1.01
2025-01-22,600636,7.68,7.68,7.68,7.68,21285,16453305.0,0.0,-10.07,-0.86,0.49
2025-01-23,600636,7.22,7.38,7.66,7.21,403504,299109755.0,5.86,-3.91,-0.3,9.2
2025-01-24,600636,6.99,7.38,7.57,6.91,301351,221388995.0,8.94,0.0,0.0,6.87
2025-01-27,600636,7.35,7.32,7.56,7.25,121721,90393412.0,4.2,-0.81,-0.06,2.77
2025-02-05,600636,7.45,7.64,7.68,7.34,137853,105152544.0,4.64,4.37,0.32,3.14
2025-02-06,600636,7.67,7.7,7.88,7.35,197595,151109884.0,6.94,0.79,0.06,4.5
2025-02-07,600636,7.7,7.81,7.95,7.64,167762,131792026.0,4.03,1.43,0.11,3.82
2025-02-10,600636,7.94,8.4,8.44,7.88,197918,163427488.0,7.17,7.55,0.59,4.51
2025-02-11,600636,8.4,8.25,8.51,8.2,151300,126529511.0,3.69,-1.79,-0.15,3.45
2025-02-12,600636,8.29,8.34,8.41,8.26,98304,82344726.0,1.82,1.09,0.09,2.24
