日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600655,6.24,6.16,6.38,6.12,201929,130162883.0,4.17,-1.28,-0.08,0.52
2025-01-03,600655,6.13,5.96,6.16,5.94,197428,122719963.0,3.57,-3.25,-0.2,0.51
2025-01-06,600655,5.91,5.93,5.99,5.84,109577,66964430.0,2.52,-0.5,-0.03,0.28
2025-01-07,600655,5.91,5.89,5.94,5.85,112208,68228636.0,1.52,-0.67,-0.04,0.29
2025-01-08,600655,5.86,5.89,5.92,5.77,150071,90577878.0,2.55,0.0,0.0,0.39
2025-01-09,600655,5.85,5.76,5.87,5.76,114265,68419449.0,1.87,-2.21,-0.13,0.29
2025-01-10,600655,5.78,5.62,5.8,5.62,121940,71665255.0,3.13,-2.43,-0.14,0.31
2025-01-13,600655,5.61,5.63,5.64,5.56,110736,64253423.0,1.42,0.18,0.01,0.28
2025-01-14,600655,5.63,5.73,5.76,5.62,170103,99843976.0,2.49,1.78,0.1,0.44
2025-01-15,600655,5.7,5.74,5.77,5.64,132555,78239024.0,2.27,0.17,0.01,0.34
2025-01-16,600655,5.78,5.84,5.94,5.76,140344,84902578.0,3.14,1.74,0.1,0.36
2025-01-17,600655,5.84,5.82,5.87,5.75,90825,54634053.0,2.05,-0.34,-0.02,0.23
2025-01-20,600655,5.83,5.86,5.91,5.8,92086,55774604.0,1.89,0.69,0.04,0.24
2025-01-21,600655,5.87,5.85,5.91,5.81,70375,42506318.0,1.71,-0.17,-0.01,0.18
2025-01-22,600655,5.83,5.73,5.86,5.7,87513,51915927.0,2.74,-2.05,-0.12,0.22
2025-01-23,600655,5.78,5.79,5.88,5.78,116054,69901267.0,1.75,1.05,0.06,0.3
2025-01-24,600655,5.81,5.88,5.92,5.77,138333,83803000.0,2.59,1.55,0.09,0.36
2025-01-27,600655,5.51,5.44,5.67,5.42,411337,234467995.0,4.25,-7.48,-0.44,1.06
2025-02-05,600655,5.44,5.42,5.47,5.4,171311,96334295.0,1.29,-0.37,-0.02,0.44
2025-02-06,600655,5.42,5.46,5.52,5.41,168464,95174188.0,2.03,0.74,0.04,0.43
2025-02-07,600655,5.46,5.49,5.53,5.44,207230,117723718.0,1.65,0.55,0.03,0.53
2025-02-10,600655,5.48,5.56,5.58,5.47,250014,142716917.0,2.0,1.28,0.07,0.64
2025-02-11,600655,5.56,5.59,5.64,5.53,208786,120492318.0,1.98,0.54,0.03,0.54
2025-02-12,600655,5.56,5.6,5.62,5.53,161597,93139986.0,1.61,0.18,0.01,0.42
2025-02-13,600655,5.61,5.59,5.63,5.56,137839,79783834.0,1.25,-0.18,-0.01,0.35
2025-02-14,600655,5.6,5.57,5.61,5.52,102179,58636399.0,1.61,-0.36,-0.02,0.26
2025-02-17,600655,5.56,5.53,5.57,5.48,119444,68212246.0,1.62,-0.72,-0.04,0.31
2025-02-18,600655,5.52,5.45,5.52,5.42,110660,62663158.0,1.81,-1.45,-0.08,0.28
2025-02-19,600655,5.45,5.47,5.48,5.42,99505,56114415.0,1.1,0.37,0.02,0.26
2025-02-20,600655,5.47,5.45,5.47,5.43,104646,59034506.0,0.73,-0.37,-0.02,0.27
2025-02-21,600655,5.44,5.44,5.48,5.39,108453,60935944.0,1.65,-0.18,-0.01,0.28
2025-02-24,600655,5.43,5.45,5.49,5.41,123201,69512596.0,1.47,0.18,0.01,0.32
2025-02-25,600655,5.43,5.39,5.45,5.38,101663,56883113.0,1.28,-1.1,-0.06,0.26
