日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600708,3.75,3.56,3.76,3.52,390210,141755034.0,6.45,-4.3,-0.16,1.75
2025-01-03,600708,3.57,3.35,3.61,3.31,462651,158191044.0,8.43,-5.9,-0.21,2.08
2025-01-06,600708,3.37,3.36,3.43,3.16,396571,131129284.0,8.06,0.3,0.01,1.78
2025-01-07,600708,3.36,3.4,3.4,3.26,231216,77013501.0,4.17,1.19,0.04,1.04
2025-01-08,600708,3.39,3.67,3.74,3.34,810650,290038246.0,11.76,7.94,0.27,3.64
2025-01-09,600708,3.65,3.89,3.91,3.56,672749,255180360.0,9.54,5.99,0.22,3.02
2025-01-10,600708,3.89,3.94,3.99,3.77,506322,196570874.0,5.66,1.29,0.05,2.28
2025-01-13,600708,3.86,4.03,4.13,3.83,426951,172035677.0,7.61,2.28,0.09,1.92
2025-01-14,600708,4.03,4.08,4.08,3.97,334721,134742903.0,2.73,1.24,0.05,1.5
2025-01-15,600708,4.07,4.11,4.23,4.01,336494,138736854.0,5.39,0.74,0.03,1.51
2025-01-16,600708,4.11,3.91,4.15,3.88,482145,192430269.0,6.57,-4.87,-0.2,2.17
2025-01-17,600708,3.88,4.02,4.04,3.83,334234,132528403.0,5.37,2.81,0.11,1.5
2025-01-20,600708,3.92,3.96,4.07,3.92,285283,113755782.0,3.73,-1.49,-0.06,1.28
2025-01-21,600708,3.98,3.95,4.06,3.91,257972,102613669.0,3.79,-0.25,-0.01,1.16
2025-01-22,600708,3.91,3.7,3.92,3.64,547699,205686320.0,7.09,-6.33,-0.25,2.46
2025-01-23,600708,3.72,3.59,3.79,3.56,468389,171944462.0,6.22,-2.97,-0.11,2.1
2025-01-24,600708,3.57,3.55,3.66,3.53,392113,140416022.0,3.62,-1.11,-0.04,1.76
2025-01-27,600708,3.55,3.6,3.76,3.55,254077,92124109.0,5.92,1.41,0.05,1.14
