日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600717,4.77,4.6,4.83,4.57,306787,147105026.0,5.45,-3.56,-0.17,1.06
2025-01-03,600717,4.61,4.58,4.69,4.56,259678,122445104.0,2.83,-0.43,-0.02,0.9
2025-01-06,600717,4.58,4.59,4.64,4.53,199971,93700295.0,2.4,0.22,0.01,0.69
2025-01-07,600717,4.6,4.56,4.61,4.51,180079,83702513.0,2.18,-0.65,-0.03,0.62
2025-01-08,600717,4.55,4.55,4.59,4.47,193765,89815841.0,2.63,-0.22,-0.01,0.67
2025-01-09,600717,4.53,4.44,4.54,4.43,216870,99012259.0,2.42,-2.42,-0.11,0.75
2025-01-10,600717,4.45,4.39,4.47,4.39,159163,71952761.0,1.8,-1.13,-0.05,0.55
2025-01-13,600717,4.36,4.38,4.4,4.33,186162,83209803.0,1.59,-0.23,-0.01,0.64
2025-01-14,600717,4.39,4.48,4.49,4.38,188465,85906523.0,2.51,2.28,0.1,0.65
2025-01-15,600717,4.47,4.51,4.55,4.45,178056,81980598.0,2.23,0.67,0.03,0.62
2025-01-16,600717,4.51,4.52,4.57,4.5,170197,78918825.0,1.55,0.22,0.01,0.59
2025-01-17,600717,4.52,4.54,4.55,4.47,102737,47493262.0,1.77,0.44,0.02,0.36
2025-01-20,600717,4.56,4.51,4.58,4.51,135590,62985319.0,1.54,-0.66,-0.03,0.47
2025-01-21,600717,4.54,4.48,4.55,4.47,140405,64553530.0,1.77,-0.67,-0.03,0.49
2025-01-22,600717,4.49,4.44,4.49,4.41,117231,53213383.0,1.79,-0.89,-0.04,0.41
2025-01-23,600717,4.46,4.5,4.56,4.46,201716,93205186.0,2.25,1.35,0.06,0.7
2025-01-24,600717,4.49,4.53,4.54,4.47,178611,82304235.0,1.56,0.67,0.03,0.62
2025-01-27,600717,4.53,4.66,4.68,4.53,275258,130460104.0,3.31,2.87,0.13,0.95
2025-02-05,600717,4.64,4.5,4.67,4.49,272386,127021543.0,3.86,-3.43,-0.16,0.94
2025-02-06,600717,4.5,4.53,4.55,4.49,154083,71165535.0,1.33,0.67,0.03,0.53
2025-02-07,600717,4.53,4.58,4.61,4.51,217114,101332255.0,2.21,1.1,0.05,0.75
2025-02-10,600717,4.59,4.56,4.63,4.56,186131,87165321.0,1.53,-0.44,-0.02,0.64
2025-02-11,600717,4.58,4.56,4.59,4.53,163802,76249859.0,1.32,0.0,0.0,0.57
2025-02-12,600717,4.56,4.55,4.58,4.5,171533,79540400.0,1.75,-0.22,-0.01,0.59
2025-02-13,600717,4.55,4.54,4.56,4.53,151887,70540935.0,0.66,-0.22,-0.01,0.52
2025-02-14,600717,4.54,4.53,4.55,4.49,166593,76904296.0,1.32,-0.22,-0.01,0.58
2025-02-17,600717,4.53,4.54,4.55,4.49,206355,95363343.0,1.32,0.22,0.01,0.71
2025-02-18,600717,4.53,4.5,4.57,4.48,180628,83631931.0,1.98,-0.88,-0.04,0.62
2025-02-19,600717,4.49,4.5,4.52,4.48,155646,71539060.0,0.89,0.0,0.0,0.54
2025-02-20,600717,4.5,4.47,4.5,4.45,166495,76180983.0,1.11,-0.67,-0.03,0.58
2025-02-21,600717,4.47,4.48,4.49,4.41,176509,80328411.0,1.79,0.22,0.01,0.61
2025-02-24,600717,4.46,4.49,4.55,4.44,193013,88871462.0,2.46,0.22,0.01,0.67
2025-02-25,600717,4.49,4.44,4.5,4.43,167727,76358227.0,1.56,-1.11,-0.05,0.58
2025-02-26,600717,4.45,4.48,4.49,4.44,152310,69619946.0,1.13,0.9,0.04,0.53
2025-02-27,600717,4.47,4.5,4.51,4.46,149822,68657096.0,1.12,0.45,0.02,0.52
