日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600735,4.57,4.64,4.74,4.55,106787,49739283.0,4.17,1.75,0.08,2.51
2025-01-03,600735,4.61,4.33,4.64,4.3,106012,46922538.0,7.33,-6.68,-0.31,2.49
2025-01-06,600735,4.3,4.28,4.37,4.1,77317,32885826.0,6.24,-1.15,-0.05,1.82
2025-01-07,600735,4.29,4.41,4.42,4.24,62393,27118193.0,4.21,3.04,0.13,1.47
2025-01-08,600735,4.46,4.56,4.68,4.4,186947,85048358.0,6.35,3.4,0.15,4.39
2025-01-09,600735,4.55,4.5,4.59,4.45,96482,43652329.0,3.07,-1.32,-0.06,2.27
2025-01-10,600735,4.5,4.29,4.53,4.29,78957,34695349.0,5.33,-4.67,-0.21,1.86
2025-01-13,600735,4.22,4.29,4.33,4.14,59076,25114674.0,4.43,0.0,0.0,1.39
2025-01-14,600735,4.32,4.49,4.49,4.31,63608,28184467.0,4.2,4.66,0.2,1.5
2025-01-15,600735,4.5,4.52,4.57,4.46,59993,27092365.0,2.45,0.67,0.03,1.41
2025-01-16,600735,4.52,4.61,4.79,4.52,112728,52269093.0,5.97,1.99,0.09,2.65
2025-01-17,600735,4.55,4.54,4.61,4.48,61948,28176911.0,2.82,-1.52,-0.07,1.46
2025-01-20,600735,4.5,4.58,4.63,4.36,101813,45966534.0,5.95,0.88,0.04,2.39
2025-01-21,600735,4.61,4.48,4.63,4.45,65922,29763766.0,3.93,-2.18,-0.1,1.55
2025-01-22,600735,4.48,4.39,4.48,4.35,63983,28132939.0,2.9,-2.01,-0.09,1.5
2025-01-23,600735,4.45,4.48,4.54,4.41,67654,30397271.0,2.96,2.05,0.09,1.59
2025-01-24,600735,4.48,4.56,4.56,4.42,67354,30312708.0,3.13,1.79,0.08,1.58
2025-01-27,600735,4.46,4.42,4.57,4.39,85301,38127348.0,3.95,-3.07,-0.14,2.0
2025-02-05,600735,4.47,4.56,4.66,4.41,87107,39703437.0,5.66,3.17,0.14,2.05
2025-02-06,600735,4.55,4.61,4.67,4.45,110639,50639257.0,4.82,1.1,0.05,2.6
2025-02-07,600735,4.62,4.65,4.7,4.57,97499,45275072.0,2.82,0.87,0.04,2.29
2025-02-10,600735,4.65,4.95,5.12,4.6,471324,235728220.0,11.18,6.45,0.3,11.08
2025-02-11,600735,4.86,4.78,4.95,4.74,362822,173919433.0,4.24,-3.43,-0.17,8.53
2025-02-12,600735,4.79,4.75,4.8,4.71,154461,73334052.0,1.88,-0.63,-0.03,3.63
2025-02-13,600735,4.8,4.74,4.82,4.72,120325,57292649.0,2.11,-0.21,-0.01,2.83
2025-02-14,600735,4.75,4.72,4.75,4.69,81670,38583920.0,1.27,-0.42,-0.02,1.92
2025-02-17,600735,4.76,4.79,4.86,4.72,152258,73067895.0,2.97,1.48,0.07,3.58
2025-02-18,600735,4.8,4.65,4.82,4.62,110669,51876882.0,4.18,-2.92,-0.14,2.6
2025-02-19,600735,4.68,4.91,5.01,4.64,290353,141916040.0,7.96,5.59,0.26,6.82
2025-02-20,600735,4.84,5.16,5.38,4.84,399775,205523045.0,11.0,5.09,0.25,9.4
2025-02-21,600735,5.08,4.98,5.26,4.95,262010,131983510.0,6.01,-3.49,-0.18,6.16
2025-02-24,600735,4.99,4.95,5.06,4.89,153879,76311324.0,3.41,-0.6,-0.03,3.62
2025-02-25,600735,4.92,5.03,5.16,4.88,180908,90996213.0,5.66,1.62,0.08,4.25
2025-02-26,600735,4.99,5.09,5.13,4.94,171252,86110512.0,3.78,1.19,0.06,4.03
2025-02-27,600735,5.08,5.24,5.53,5.05,271185,142515943.0,9.43,2.95,0.15,6.37
2025-02-28,600735,5.25,5.18,5.35,5.07,218883,113551942.0,5.34,-1.15,-0.06,5.14
2025-03-03,600735,5.17,5.39,5.4,5.11,286998,151563973.0,5.6,4.05,0.21,6.75
2025-03-04,600735,5.33,5.15,5.33,5.12,207889,108040934.0,3.9,-4.45,-0.24,4.89
2025-03-05,600735,5.11,5.29,5.45,4.97,250874,130964128.0,9.32,2.72,0.14,5.9
2025-03-06,600735,5.24,5.18,5.33,5.14,172373,89658850.0,3.59,-2.08,-0.11,4.05
2025-03-07,600735,5.15,5.09,5.21,5.03,148384,75649057.0,3.47,-1.74,-0.09,3.49
