日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600744,3.12,3.05,3.13,3.02,244228,75026672.0,3.54,-1.93,-0.06,1.2
2025-01-03,600744,3.07,2.97,3.08,2.95,253835,76249253.0,4.26,-2.62,-0.08,1.25
2025-01-06,600744,2.97,3.0,3.01,2.9,210955,62550446.0,3.7,1.01,0.03,1.04
2025-01-07,600744,2.98,3.01,3.01,2.95,192050,57159651.0,2.0,0.33,0.01,0.95
2025-01-08,600744,3.0,3.0,3.02,2.94,201301,60117823.0,2.66,-0.33,-0.01,0.99
2025-01-09,600744,2.99,2.99,3.01,2.97,124695,37335812.0,1.33,-0.33,-0.01,0.61
2025-01-10,600744,3.0,2.92,3.0,2.92,156303,46193497.0,2.68,-2.34,-0.07,0.77
2025-01-13,600744,2.9,2.93,2.93,2.86,131330,38133866.0,2.4,0.34,0.01,0.65
2025-01-14,600744,2.92,3.02,3.02,2.92,214953,64195061.0,3.41,3.07,0.09,1.06
2025-01-15,600744,3.0,2.98,3.01,2.97,138980,41517647.0,1.32,-1.32,-0.04,0.68
2025-01-16,600744,2.98,3.01,3.02,2.96,193774,58168910.0,2.01,1.01,0.03,0.95
2025-01-17,600744,3.0,3.0,3.01,2.97,138531,41456349.0,1.33,-0.33,-0.01,0.68
2025-01-20,600744,3.0,2.99,3.03,2.97,130638,39168344.0,2.0,-0.33,-0.01,0.64
2025-01-21,600744,3.0,2.96,3.01,2.96,132767,39478229.0,1.67,-1.0,-0.03,0.65
2025-01-22,600744,2.96,2.95,2.98,2.93,103738,30637323.0,1.69,-0.34,-0.01,0.51
2025-01-23,600744,2.97,2.95,3.02,2.95,170351,50881200.0,2.37,0.0,0.0,0.84
2025-01-24,600744,2.94,2.96,2.97,2.92,141565,41791744.0,1.69,0.34,0.01,0.7
2025-01-27,600744,2.98,2.99,3.03,2.97,183182,55055687.0,2.03,1.01,0.03,0.9
2025-02-05,600744,2.99,2.99,3.02,2.97,136555,40803871.0,1.67,0.0,0.0,0.67
2025-02-06,600744,3.0,3.02,3.02,2.96,175069,52436315.0,2.01,1.0,0.03,0.86
2025-02-07,600744,3.01,3.06,3.08,3.0,261149,79723084.0,2.65,1.32,0.04,1.29
2025-02-10,600744,3.07,3.08,3.09,3.06,218439,67221139.0,0.98,0.65,0.02,1.08
2025-02-11,600744,3.08,3.04,3.09,3.02,182078,55346638.0,2.27,-1.3,-0.04,0.9
2025-02-12,600744,3.04,3.07,3.09,3.04,200332,61281877.0,1.64,0.99,0.03,0.99
