日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600751,2.62,2.56,2.66,2.52,347576,90395966.0,5.32,-2.66,-0.07,1.35
2025-01-03,600751,2.55,2.48,2.58,2.47,293382,73738838.0,4.3,-3.13,-0.08,1.14
2025-01-06,600751,2.48,2.49,2.52,2.43,240542,59699689.0,3.63,0.4,0.01,0.93
2025-01-07,600751,2.51,2.53,2.54,2.47,246876,61793519.0,2.81,1.61,0.04,0.96
2025-01-08,600751,2.53,2.5,2.54,2.44,256083,63651386.0,3.95,-1.19,-0.03,1.0
2025-01-09,600751,2.49,2.49,2.5,2.46,177537,44108624.0,1.6,-0.4,-0.01,0.69
2025-01-10,600751,2.49,2.42,2.51,2.41,181863,44619544.0,4.02,-2.81,-0.07,0.71
2025-01-13,600751,2.41,2.44,2.46,2.37,208851,50640504.0,3.72,0.83,0.02,0.81
2025-01-14,600751,2.44,2.54,2.54,2.44,294651,73735349.0,4.1,4.1,0.1,1.15
2025-01-15,600751,2.55,2.52,2.56,2.47,253221,63533908.0,3.54,-0.79,-0.02,0.98
2025-01-16,600751,2.53,2.55,2.6,2.53,259559,66699229.0,2.78,1.19,0.03,1.01
2025-01-17,600751,2.55,2.54,2.56,2.5,181643,46030805.0,2.35,-0.39,-0.01,0.71
2025-01-20,600751,2.57,2.56,2.61,2.52,239410,61575295.0,3.54,0.79,0.02,0.93
2025-01-21,600751,2.58,2.53,2.6,2.51,235738,60205931.0,3.52,-1.17,-0.03,0.92
2025-01-22,600751,2.52,2.46,2.53,2.46,309101,76876542.0,2.77,-2.77,-0.07,1.2
2025-01-23,600751,2.48,2.46,2.54,2.46,268321,67165446.0,3.25,0.0,0.0,1.04
2025-01-24,600751,2.46,2.51,2.51,2.44,259497,64348265.0,2.85,2.03,0.05,1.01
2025-01-27,600751,2.52,2.49,2.58,2.49,208495,52816673.0,3.59,-0.8,-0.02,0.81
2025-02-05,600751,2.51,2.52,2.54,2.5,238324,60162961.0,1.61,1.2,0.03,0.93
2025-02-06,600751,2.51,2.56,2.57,2.48,305686,77284162.0,3.57,1.59,0.04,1.19
2025-02-07,600751,2.56,2.63,2.65,2.56,412525,107655694.0,3.52,2.73,0.07,1.6
2025-02-10,600751,2.63,2.62,2.67,2.61,362774,95526948.0,2.28,-0.38,-0.01,1.41
2025-02-11,600751,2.63,2.59,2.64,2.56,291922,75453070.0,3.05,-1.15,-0.03,1.13
2025-02-12,600751,2.59,2.61,2.64,2.57,234652,61055221.0,2.7,0.77,0.02,0.91
2025-02-13,600751,2.61,2.58,2.62,2.58,230674,59831912.0,1.53,-1.15,-0.03,0.9
2025-02-14,600751,2.58,2.57,2.59,2.55,179641,46153666.0,1.55,-0.39,-0.01,0.7
2025-02-17,600751,2.58,2.57,2.61,2.55,287074,74007173.0,2.33,0.0,0.0,1.12
2025-02-18,600751,2.58,2.5,2.59,2.49,395179,100198784.0,3.89,-2.72,-0.07,1.54
2025-02-19,600751,2.5,2.5,2.52,2.47,239198,59621682.0,2.0,0.0,0.0,0.93
2025-02-20,600751,2.5,2.51,2.52,2.48,266673,66688671.0,1.6,0.4,0.01,1.04
2025-02-21,600751,2.5,2.48,2.52,2.46,274144,68040116.0,2.39,-1.2,-0.03,1.07
2025-02-24,600751,2.49,2.48,2.54,2.47,366308,91462232.0,2.82,0.0,0.0,1.42
2025-02-25,600751,2.46,2.48,2.51,2.44,276497,68615147.0,2.82,0.0,0.0,1.07
2025-02-26,600751,2.47,2.52,2.53,2.47,328999,82559899.0,2.42,1.61,0.04,1.28
2025-02-27,600751,2.51,2.49,2.55,2.46,398240,99209575.0,3.57,-1.19,-0.03,1.55
2025-02-28,600751,2.48,2.45,2.49,2.44,324778,79873041.0,2.01,-1.61,-0.04,1.26
2025-03-03,600751,2.44,2.45,2.48,2.44,278944,68672926.0,1.63,0.0,0.0,1.08
2025-03-04,600751,2.45,2.47,2.48,2.43,184655,45418764.0,2.04,0.82,0.02,0.72
2025-03-05,600751,2.48,2.72,2.72,2.44,922146,239961862.0,11.34,10.12,0.25,3.58
2025-03-06,600751,2.78,2.99,2.99,2.73,1833606,531090102.0,9.56,9.93,0.27,7.13
2025-03-07,600751,2.99,2.81,3.05,2.81,2057489,596709641.0,8.03,-6.02,-0.18,8.0
2025-03-10,600751,2.87,2.84,3.03,2.82,1219675,352249525.0,7.47,1.07,0.03,4.74
2025-03-11,600751,2.81,2.83,2.85,2.76,750833,210503335.0,3.17,-0.35,-0.01,2.92
2025-03-12,600751,2.84,2.83,2.86,2.81,544004,154285070.0,1.77,0.0,0.0,2.11
2025-03-13,600751,2.83,2.79,2.84,2.76,447547,124527051.0,2.83,-1.41,-0.04,1.74
2025-03-14,600751,2.79,2.9,2.91,2.76,941057,269047404.0,5.38,3.94,0.11,3.66
2025-03-17,600751,2.95,2.89,3.0,2.88,746004,217979760.0,4.14,-0.34,-0.01,2.9
2025-03-18,600751,2.91,2.9,2.94,2.85,450146,129977334.0,3.11,0.35,0.01,1.75
2025-03-19,600751,2.89,2.84,2.89,2.82,393393,111681160.0,2.41,-2.07,-0.06,1.53
2025-03-20,600751,2.83,2.94,3.02,2.81,883557,258750334.0,7.39,3.52,0.1,3.43
2025-03-21,600751,2.94,3.0,3.11,2.91,1473050,446506693.0,6.8,2.04,0.06,5.72
2025-03-24,600751,3.03,2.96,3.04,2.91,847638,250900585.0,4.33,-1.33,-0.04,3.29
2025-03-25,600751,2.96,2.89,2.96,2.88,451865,131291689.0,2.7,-2.36,-0.07,1.76
2025-03-26,600751,2.89,2.91,2.93,2.87,350509,101864369.0,2.08,0.69,0.02,1.36
2025-03-27,600751,2.91,2.86,2.91,2.84,347427,99494630.0,2.41,-1.72,-0.05,1.35
2025-03-28,600751,2.86,2.86,2.89,2.83,312594,89321883.0,2.1,0.0,0.0,1.21
2025-03-31,600751,2.86,2.84,2.96,2.83,350383,100451393.0,4.55,-0.7,-0.02,1.36
2025-04-01,600751,2.85,2.84,2.87,2.82,243214,69196525.0,1.76,0.0,0.0,0.95
2025-04-02,600751,2.85,2.84,2.87,2.82,188206,53511471.0,1.76,0.0,0.0,0.73
2025-04-03,600751,2.82,2.81,2.86,2.78,312071,87776442.0,2.82,-1.06,-0.03,1.21
2025-04-07,600751,2.7,2.53,2.7,2.53,451027,115919907.0,6.05,-9.96,-0.28,1.75
2025-04-08,600751,2.49,2.54,2.57,2.47,519250,130749280.0,3.95,0.4,0.01,2.02
2025-04-09,600751,2.52,2.61,2.63,2.39,503210,126313021.0,9.45,2.76,0.07,1.96
2025-04-10,600751,2.65,2.65,2.7,2.64,414564,110585381.0,2.3,1.53,0.04,1.61
2025-04-11,600751,2.65,2.92,2.92,2.64,592708,169050329.0,10.57,10.19,0.27,2.3
2025-04-14,600751,3.1,2.99,3.15,2.93,1626940,489517442.0,7.53,2.4,0.07,6.32
2025-04-15,600751,2.98,2.93,2.98,2.86,832860,242644138.0,4.01,-2.01,-0.06,3.24
2025-04-16,600751,2.94,2.95,3.03,2.9,827111,244919636.0,4.44,0.68,0.02,3.21
2025-04-17,600751,2.93,2.92,2.97,2.88,517879,151554517.0,3.05,-1.02,-0.03,2.01
2025-04-18,600751,2.9,3.03,3.08,2.88,993873,297716481.0,6.85,3.77,0.11,3.86
2025-04-21,600751,3.0,3.03,3.08,2.98,604140,183247491.0,3.3,0.0,0.0,2.35
2025-04-22,600751,3.03,2.97,3.04,2.96,542705,161935649.0,2.64,-1.98,-0.06,2.11
2025-04-23,600751,2.99,2.95,2.99,2.94,406932,120585404.0,1.68,-0.67,-0.02,1.58
2025-04-24,600751,2.95,2.95,2.97,2.91,340200,99978880.0,2.03,0.0,0.0,1.32
2025-04-25,600751,2.95,2.95,2.98,2.92,341219,100573446.0,2.03,0.0,0.0,1.33
2025-04-28,600751,2.95,2.84,2.95,2.81,520172,147961134.0,4.75,-3.73,-0.11,2.02
2025-04-29,600751,2.82,2.83,2.87,2.73,322467,91123888.0,4.93,-0.35,-0.01,1.25
2025-04-30,600751,2.82,2.8,2.87,2.79,269438,76098787.0,2.83,-1.06,-0.03,1.05
2025-05-06,600751,2.82,2.82,2.87,2.8,453548,128906897.0,2.5,0.71,0.02,1.76
2025-05-07,600751,2.85,2.86,2.9,2.81,562702,160303957.0,3.19,1.42,0.04,2.19
2025-05-08,600751,2.85,2.83,2.9,2.82,490160,139729622.0,2.8,-1.05,-0.03,1.9
2025-05-09,600751,2.83,2.79,2.84,2.76,357366,99752944.0,2.83,-1.41,-0.04,1.39
2025-05-12,600751,2.81,2.86,2.92,2.8,604909,172378568.0,4.3,2.51,0.07,2.35
