日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600755,6.19,5.98,6.25,5.94,333764,217174538.0,4.99,-3.7,-0.23,1.57
2025-01-03,600755,5.97,5.88,6.04,5.87,225846,143931890.0,2.84,-1.67,-0.1,1.06
2025-01-06,600755,5.89,5.96,5.96,5.8,195129,123223366.0,2.72,1.36,0.08,0.92
2025-01-07,600755,5.94,5.89,5.97,5.84,161122,101727626.0,2.18,-1.17,-0.07,0.76
2025-01-08,600755,5.87,5.86,5.9,5.74,172954,108189388.0,2.72,-0.51,-0.03,0.81
2025-01-09,600755,5.83,5.79,5.84,5.77,114788,71466157.0,1.19,-1.19,-0.07,0.54
2025-01-10,600755,5.78,5.71,5.81,5.71,110013,68075761.0,1.73,-1.38,-0.08,0.52
2025-01-13,600755,5.69,5.74,5.75,5.65,103092,63343418.0,1.75,0.53,0.03,0.48
2025-01-14,600755,5.75,5.87,5.9,5.74,156970,98138525.0,2.79,2.26,0.13,0.74
2025-01-15,600755,5.86,5.94,5.95,5.84,174726,110801218.0,1.87,1.19,0.07,0.82
2025-01-16,600755,5.95,6.03,6.05,5.93,165395,106496282.0,2.02,1.52,0.09,0.78
2025-01-17,600755,6.02,6.05,6.07,5.96,131281,84876971.0,1.82,0.33,0.02,0.62
2025-01-20,600755,6.07,6.11,6.14,6.04,130841,85383334.0,1.65,0.99,0.06,0.61
2025-01-21,600755,6.15,6.09,6.16,6.06,114046,74600376.0,1.64,-0.33,-0.02,0.53
2025-01-22,600755,6.11,6.06,6.11,6.02,92837,60169011.0,1.48,-0.49,-0.03,0.44
2025-01-23,600755,6.12,6.08,6.14,6.06,126114,82411513.0,1.32,0.33,0.02,0.59
2025-01-24,600755,6.11,6.09,6.12,6.05,113689,72310375.0,1.15,0.16,0.01,0.53
2025-01-27,600755,6.12,6.12,6.19,6.12,120829,77668708.0,1.15,0.49,0.03,0.57
2025-02-05,600755,6.14,6.08,6.16,6.03,116692,74052382.0,2.12,-0.65,-0.04,0.55
2025-02-06,600755,6.04,6.08,6.14,6.01,111782,70760262.0,2.14,0.0,0.0,0.52
2025-02-07,600755,6.07,6.1,6.14,6.03,129068,82187766.0,1.81,0.33,0.02,0.61
2025-02-10,600755,6.09,6.09,6.16,6.08,121305,77270941.0,1.31,-0.16,-0.01,0.57
2025-02-11,600755,6.09,6.11,6.13,6.04,146438,93101111.0,1.48,0.33,0.02,0.69
2025-02-12,600755,6.08,6.13,6.13,6.07,94666,60336638.0,0.98,0.33,0.02,0.44
2025-02-13,600755,6.12,6.14,6.21,6.11,148581,95477803.0,1.63,0.16,0.01,0.7
2025-02-14,600755,6.13,6.19,6.2,6.12,137082,88218079.0,1.3,0.81,0.05,0.64
2025-02-17,600755,6.19,6.21,6.25,6.13,194622,125664345.0,1.94,0.32,0.02,0.91
2025-02-18,600755,6.22,6.17,6.31,6.15,214743,139933852.0,2.58,-0.64,-0.04,1.01
2025-02-19,600755,6.18,6.12,6.19,6.1,155580,99771522.0,1.46,-0.81,-0.05,0.73
2025-02-20,600755,6.12,6.07,6.14,6.06,104946,66699355.0,1.31,-0.82,-0.05,0.49
2025-02-21,600755,6.08,6.05,6.11,6.05,146639,92976829.0,0.99,-0.33,-0.02,0.69
2025-02-24,600755,6.05,6.04,6.09,6.02,123312,78059148.0,1.16,-0.17,-0.01,0.58
2025-02-25,600755,6.04,6.05,6.08,5.99,110473,69716887.0,1.49,0.17,0.01,0.52
2025-02-26,600755,6.05,6.17,6.17,6.05,166353,106373023.0,1.98,1.98,0.12,0.78
2025-02-27,600755,6.16,6.12,6.18,6.07,120317,76824649.0,1.78,-0.81,-0.05,0.56
2025-02-28,600755,6.09,6.04,6.13,6.03,99376,63132025.0,1.63,-1.31,-0.08,0.47
2025-03-03,600755,6.06,6.05,6.07,6.01,113551,71712974.0,0.99,0.17,0.01,0.53
2025-03-04,600755,6.03,6.09,6.11,6.01,85697,54406643.0,1.65,0.66,0.04,0.4
2025-03-05,600755,6.09,6.13,6.21,6.01,165432,105227722.0,3.28,0.66,0.04,0.78
2025-03-06,600755,6.12,6.16,6.18,6.08,158972,101906371.0,1.63,0.49,0.03,0.75
2025-03-07,600755,6.14,6.08,6.15,6.08,93280,59544716.0,1.14,-1.3,-0.08,0.44
2025-03-10,600755,6.11,6.13,6.14,6.07,120364,76836417.0,1.15,0.82,0.05,0.56
2025-03-11,600755,6.09,6.18,6.2,6.08,176211,113229374.0,1.96,0.82,0.05,0.83
2025-03-12,600755,6.19,6.13,6.2,6.09,139399,89310034.0,1.78,-0.81,-0.05,0.65
2025-03-13,600755,6.12,6.13,6.15,6.09,130992,83703601.0,0.98,0.0,0.0,0.61
2025-03-14,600755,6.13,6.21,6.22,6.12,216378,139609220.0,1.63,1.31,0.08,1.01
2025-03-17,600755,6.23,6.4,6.56,6.19,520935,346167001.0,5.96,3.06,0.19,2.44
2025-03-18,600755,6.4,6.33,6.41,6.31,169718,112421250.0,1.56,-1.09,-0.07,0.8
2025-03-19,600755,6.33,6.28,6.35,6.24,148692,97378521.0,1.74,-0.79,-0.05,0.7
2025-03-20,600755,6.27,6.23,6.29,6.22,115978,75574737.0,1.11,-0.8,-0.05,0.54
