日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600757,9.14,9.03,9.54,8.92,269538,259828023.0,6.77,-1.42,-0.13,2.22
2025-01-03,600757,9.04,8.89,9.19,8.82,199765,188304007.0,4.1,-1.55,-0.14,1.65
2025-01-06,600757,8.85,8.77,9.0,8.65,193060,177607960.0,3.94,-1.35,-0.12,1.59
2025-01-07,600757,8.77,8.63,8.77,8.56,125606,113628327.0,2.39,-1.6,-0.14,1.04
2025-01-08,600757,8.59,8.67,8.74,8.39,140660,126681263.0,4.06,0.46,0.04,1.16
2025-01-09,600757,8.57,8.33,8.63,8.33,159982,141096268.0,3.46,-3.92,-0.34,1.32
2025-01-10,600757,8.25,8.06,8.31,8.05,181559,155507892.0,3.12,-3.24,-0.27,1.5
2025-01-13,600757,7.99,8.03,8.05,7.84,168628,140631919.0,2.61,-0.37,-0.03,1.39
2025-01-14,600757,8.03,8.31,8.31,8.01,186922,160465903.0,3.74,3.49,0.28,1.54
2025-01-15,600757,8.3,8.3,8.44,8.2,105221,92079623.0,2.89,-0.12,-0.01,0.87
2025-01-16,600757,8.31,8.25,8.42,8.18,103990,90381124.0,2.89,-0.6,-0.05,0.86
2025-01-17,600757,8.16,8.24,8.31,8.13,76887,66496499.0,2.18,-0.12,-0.01,0.63
2025-01-20,600757,8.3,8.25,8.37,8.23,71336,62106940.0,1.7,0.12,0.01,0.59
2025-01-21,600757,8.28,8.17,8.29,8.12,80958,69551140.0,2.06,-0.97,-0.08,0.67
2025-01-22,600757,8.13,8.11,8.14,8.01,88539,75127661.0,1.59,-0.73,-0.06,0.73
2025-01-23,600757,8.19,8.32,8.37,8.15,118134,102796105.0,2.71,2.59,0.21,0.97
2025-01-24,600757,8.29,8.47,8.58,8.04,130655,115641393.0,6.49,1.8,0.15,1.08
2025-01-27,600757,8.56,8.63,8.69,8.5,96949,87608677.0,2.24,1.89,0.16,0.8
2025-02-05,600757,8.75,8.46,8.75,8.4,133181,118297366.0,4.06,-1.97,-0.17,1.1
2025-02-06,600757,8.45,8.48,8.52,8.39,105766,93839650.0,1.54,0.24,0.02,0.87
2025-02-07,600757,8.49,8.47,8.57,8.38,149104,132530103.0,2.24,-0.12,-0.01,1.23
2025-02-10,600757,8.47,8.52,8.6,8.45,110188,98563699.0,1.77,0.59,0.05,0.91
2025-02-11,600757,8.52,8.73,8.77,8.46,162647,146650913.0,3.64,2.46,0.21,1.34
2025-02-12,600757,8.67,8.72,8.84,8.63,101092,92631370.0,2.41,-0.11,-0.01,0.83
2025-02-13,600757,8.72,8.66,8.76,8.56,143070,129474520.0,2.29,-0.69,-0.06,1.18
2025-02-14,600757,8.68,8.55,8.69,8.43,151193,135184837.0,3.0,-1.27,-0.11,1.25
2025-02-17,600757,8.58,8.51,8.63,8.43,123875,110545603.0,2.34,-0.47,-0.04,1.02
2025-02-18,600757,8.5,8.22,8.53,8.18,167152,146035532.0,4.11,-3.41,-0.29,1.38
2025-02-19,600757,8.2,8.17,8.21,8.06,161452,138022480.0,1.82,-0.61,-0.05,1.33
2025-02-20,600757,8.14,8.13,8.25,8.1,164077,140558984.0,1.84,-0.49,-0.04,1.35
2025-02-21,600757,8.16,8.18,8.22,8.08,138913,118973414.0,1.72,0.62,0.05,1.14
2025-02-24,600757,8.18,8.13,8.18,8.03,146369,124657712.0,1.83,-0.61,-0.05,1.21
2025-02-25,600757,8.09,8.1,8.23,8.02,166155,141592042.0,2.58,-0.37,-0.03,1.37
2025-02-26,600757,8.12,8.14,8.17,8.07,87273,74513417.0,1.23,0.49,0.04,0.72
2025-02-27,600757,8.13,8.09,8.21,8.06,143648,122522680.0,1.84,-0.61,-0.05,1.18
2025-02-28,600757,8.08,7.94,8.15,7.91,150483,126293461.0,2.97,-1.85,-0.15,1.24
2025-03-03,600757,8.04,7.99,8.11,7.96,116338,98284794.0,1.89,0.63,0.05,0.96
2025-03-04,600757,7.99,7.92,8.06,7.91,125148,104844940.0,1.88,-0.88,-0.07,1.03
2025-03-05,600757,7.94,7.82,7.94,7.76,128137,105466690.0,2.27,-1.26,-0.1,1.06
2025-03-06,600757,7.82,7.95,7.99,7.78,118399,98193392.0,2.69,1.66,0.13,0.98
2025-03-07,600757,7.93,7.79,7.97,7.75,144826,119409725.0,2.77,-2.01,-0.16,1.19
2025-03-10,600757,7.79,7.83,7.84,7.75,86875,71292481.0,1.16,0.51,0.04,0.72
2025-03-11,600757,7.78,7.88,7.89,7.74,74700,61493586.0,1.92,0.64,0.05,0.62
2025-03-12,600757,7.87,7.94,8.0,7.87,123782,103360899.0,1.65,0.76,0.06,1.02
2025-03-13,600757,7.93,7.93,7.95,7.83,94221,78171751.0,1.51,-0.13,-0.01,0.78
2025-03-14,600757,7.92,8.02,8.02,7.91,131006,110030797.0,1.39,1.13,0.09,1.08
2025-03-17,600757,8.02,8.01,8.07,7.97,86238,72615077.0,1.25,-0.12,-0.01,0.71
2025-03-18,600757,8.04,7.97,8.04,7.95,78849,66140443.0,1.12,-0.5,-0.04,0.65
2025-03-19,600757,7.97,7.94,7.98,7.87,97301,81043138.0,1.38,-0.38,-0.03,0.8
2025-03-20,600757,7.92,7.94,8.0,7.92,66007,55251390.0,1.01,0.0,0.0,0.54
2025-03-21,600757,7.92,8.03,8.05,7.91,162279,136555002.0,1.76,1.13,0.09,1.34
2025-03-24,600757,7.99,8.06,8.23,7.98,247710,210072327.0,3.11,0.37,0.03,2.04
2025-03-25,600757,8.12,8.09,8.26,8.05,143057,122076448.0,2.61,0.37,0.03,1.18
2025-03-26,600757,8.05,8.11,8.14,8.01,84222,71556207.0,1.61,0.25,0.02,0.69
2025-03-27,600757,8.11,8.16,8.22,8.08,115150,98739854.0,1.73,0.62,0.05,0.95
2025-03-28,600757,8.16,8.24,8.28,8.12,163724,141126145.0,1.96,0.98,0.08,1.35
2025-03-31,600757,8.2,8.26,8.35,8.17,179090,155771879.0,2.18,0.24,0.02,1.48
2025-04-01,600757,8.28,8.49,8.5,8.25,207458,183141410.0,3.03,2.78,0.23,1.71
2025-04-02,600757,8.59,8.49,8.61,8.38,152327,135210928.0,2.71,0.0,0.0,1.26
2025-04-03,600757,8.43,8.69,8.75,8.39,214652,194327311.0,4.24,2.36,0.2,1.77
2025-04-07,600757,8.42,8.42,8.68,8.19,382273,338539176.0,5.64,-3.11,-0.27,3.15
