日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600759,2.26,2.29,2.36,2.26,1711933,394504832.0,4.41,0.88,0.02,4.13
2025-01-03,600759,2.29,2.28,2.35,2.25,1676476,383972622.0,4.37,-0.44,-0.01,4.05
2025-01-06,600759,2.29,2.23,2.3,2.21,1338035,301249272.0,3.95,-2.19,-0.05,3.23
2025-01-07,600759,2.23,2.28,2.29,2.21,930788,209229675.0,3.59,2.24,0.05,2.25
2025-01-08,600759,2.28,2.28,2.32,2.21,1129350,255577676.0,4.82,0.0,0.0,2.73
2025-01-09,600759,2.25,2.26,2.28,2.23,699408,157716510.0,2.19,-0.88,-0.02,1.69
2025-01-10,600759,2.25,2.19,2.27,2.18,876979,194522891.0,3.98,-3.1,-0.07,2.12
2025-01-13,600759,2.21,2.25,2.27,2.2,1458868,325931775.0,3.2,2.74,0.06,3.52
2025-01-14,600759,2.22,2.32,2.32,2.22,2080492,474221555.0,4.44,3.11,0.07,5.02
2025-01-15,600759,2.3,2.26,2.31,2.23,1867755,421546351.0,3.45,-2.59,-0.06,4.51
2025-01-16,600759,2.28,2.3,2.34,2.27,2288890,528058608.0,3.1,1.77,0.04,5.52
2025-01-17,600759,2.28,2.26,2.29,2.23,1618562,364621627.0,2.61,-1.74,-0.04,3.91
2025-01-20,600759,2.27,2.24,2.28,2.22,1445454,323664860.0,2.65,-0.88,-0.02,3.49
2025-01-21,600759,2.23,2.18,2.23,2.16,1480857,323591681.0,3.13,-2.68,-0.06,3.57
2025-01-22,600759,2.17,2.12,2.17,2.12,1156314,246838490.0,2.29,-2.75,-0.06,2.79
2025-01-23,600759,2.14,2.12,2.18,2.11,1208627,259264186.0,3.3,0.0,0.0,2.92
2025-01-24,600759,2.1,2.15,2.16,2.08,1337074,283313038.0,3.77,1.42,0.03,3.23
2025-01-27,600759,2.18,2.15,2.23,2.14,1312710,286065094.0,4.19,0.0,0.0,3.17
2025-02-05,600759,2.16,2.15,2.17,2.13,853910,183972230.0,1.86,0.0,0.0,2.06
2025-02-06,600759,2.15,2.18,2.18,2.12,995609,214926712.0,2.79,1.4,0.03,2.4
2025-02-07,600759,2.17,2.21,2.24,2.17,1593604,352206793.0,3.21,1.38,0.03,3.85
2025-02-10,600759,2.21,2.25,2.26,2.21,1190005,266442314.0,2.26,1.81,0.04,2.87
2025-02-11,600759,2.26,2.23,2.27,2.21,886783,197976674.0,2.67,-0.89,-0.02,2.14
2025-02-12,600759,2.23,2.23,2.25,2.19,949392,210863979.0,2.69,0.0,0.0,2.29
2025-02-13,600759,2.22,2.24,2.27,2.21,1403123,315026524.0,2.69,0.45,0.01,3.39
2025-02-14,600759,2.23,2.22,2.25,2.2,950544,210857101.0,2.23,-0.89,-0.02,2.29
2025-02-17,600759,2.21,2.23,2.25,2.19,1278537,283855914.0,2.7,0.45,0.01,3.09
2025-02-18,600759,2.23,2.17,2.24,2.17,1212686,266889079.0,3.14,-2.69,-0.06,2.93
2025-02-19,600759,2.16,2.18,2.18,2.15,877778,190076705.0,1.38,0.46,0.01,2.12
2025-02-20,600759,2.17,2.17,2.2,2.15,952842,206624141.0,2.29,-0.46,-0.01,2.3
2025-02-21,600759,2.17,2.14,2.18,2.13,1019473,218582078.0,2.3,-1.38,-0.03,2.46
2025-02-24,600759,2.12,2.16,2.17,2.12,1057388,227614063.0,2.34,0.93,0.02,2.55
2025-02-25,600759,2.14,2.13,2.18,2.12,1055916,226668275.0,2.78,-1.39,-0.03,2.55
2025-02-26,600759,2.13,2.17,2.17,2.13,1046524,225649171.0,1.88,1.88,0.04,2.53
2025-02-27,600759,2.16,2.18,2.21,2.16,1359447,296450277.0,2.3,0.46,0.01,3.28
2025-02-28,600759,2.17,2.24,2.3,2.17,2983748,671440671.0,5.96,2.75,0.06,7.2
2025-03-03,600759,2.24,2.2,2.25,2.19,1661185,367792758.0,2.68,-1.79,-0.04,4.01
2025-03-04,600759,2.18,2.16,2.19,2.14,1068606,230610202.0,2.27,-1.82,-0.04,2.58
2025-03-05,600759,2.16,2.15,2.16,2.13,952058,204024230.0,1.39,-0.46,-0.01,2.3
2025-03-06,600759,2.15,2.16,2.18,2.14,854301,184390031.0,1.86,0.47,0.01,2.06
2025-03-07,600759,2.16,2.15,2.17,2.14,691205,148791131.0,1.39,-0.46,-0.01,1.67
2025-03-10,600759,2.15,2.17,2.17,2.14,609722,131635583.0,1.4,0.93,0.02,1.47
2025-03-11,600759,2.15,2.16,2.18,2.14,691954,149366104.0,1.84,-0.46,-0.01,1.67
2025-03-12,600759,2.16,2.15,2.17,2.14,731418,157615522.0,1.39,-0.46,-0.01,1.77
