日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600784,5.78,5.88,6.06,5.78,127108,76033300.0,4.81,1.03,0.06,2.24
2025-01-03,600784,5.88,5.69,5.93,5.69,91370,53649575.0,4.08,-3.23,-0.19,1.61
2025-01-06,600784,5.7,5.7,5.86,5.53,67303,38914326.0,5.8,0.18,0.01,1.18
2025-01-07,600784,5.73,5.71,5.75,5.62,39083,22483199.0,2.28,0.18,0.01,0.69
2025-01-08,600784,5.72,5.64,5.72,5.52,48271,27449912.0,3.5,-1.23,-0.07,0.85
2025-01-09,600784,5.62,5.6,5.66,5.57,29506,16772754.0,1.6,-0.71,-0.04,0.52
2025-01-10,600784,5.55,5.44,5.63,5.44,38522,21507331.0,3.39,-2.86,-0.16,0.68
2025-01-13,600784,5.43,5.46,5.5,5.28,52773,28947631.0,4.04,0.37,0.02,0.93
2025-01-14,600784,5.47,5.56,5.59,5.46,100905,56511544.0,2.38,1.83,0.1,1.78
2025-01-15,600784,5.56,5.5,5.58,5.48,52214,29195002.0,1.8,-1.08,-0.06,0.92
2025-01-16,600784,5.48,5.58,5.63,5.48,72037,40710696.0,2.73,1.45,0.08,1.27
2025-01-17,600784,5.58,5.56,5.61,5.53,37248,21006708.0,1.43,-0.36,-0.02,0.66
2025-01-20,600784,5.92,6.12,6.12,5.83,121410,73810075.0,5.22,10.07,0.56,2.14
2025-01-21,600784,6.3,5.96,6.3,5.91,292354,179002543.0,6.37,-2.61,-0.16,5.15
2025-01-22,600784,5.96,5.81,6.01,5.75,129617,76803068.0,4.36,-2.52,-0.15,2.28
2025-01-23,600784,5.84,5.77,5.93,5.76,94636,56115522.0,2.93,-0.69,-0.04,1.67
2025-01-24,600784,5.79,5.77,5.81,5.69,77199,44909651.0,2.08,0.0,0.0,1.36
2025-01-27,600784,5.81,5.79,5.92,5.78,64478,38146490.0,2.43,0.35,0.02,1.13
2025-02-05,600784,5.84,5.76,5.87,5.71,55113,32219281.0,2.76,-0.52,-0.03,0.97
2025-02-06,600784,5.76,5.93,6.11,5.71,147506,88366895.0,6.94,2.95,0.17,2.6
2025-02-07,600784,5.92,5.93,5.98,5.87,99622,59769277.0,1.85,0.0,0.0,1.75
2025-02-10,600784,5.93,5.98,6.0,5.92,73616,44376608.0,1.35,0.84,0.05,1.3
2025-02-11,600784,5.96,5.95,6.01,5.92,67669,40761229.0,1.51,-0.5,-0.03,1.19
2025-02-12,600784,5.96,5.95,5.98,5.9,53968,32439610.0,1.34,0.0,0.0,0.95
2025-02-13,600784,5.96,5.89,5.97,5.89,51447,30861333.0,1.34,-1.01,-0.06,0.91
2025-02-14,600784,5.91,5.88,5.95,5.87,49460,29542679.0,1.36,-0.17,-0.01,0.87
2025-02-17,600784,5.89,5.96,5.98,5.83,68998,41385254.0,2.55,1.36,0.08,1.21
2025-02-18,600784,5.95,5.84,6.04,5.83,62891,37697670.0,3.52,-2.01,-0.12,1.11
2025-02-19,600784,5.82,5.86,5.88,5.81,40738,24099209.0,1.2,0.34,0.02,0.72
2025-02-20,600784,5.83,5.89,5.9,5.83,42892,25476648.0,1.19,0.51,0.03,0.75
2025-02-21,600784,5.89,5.84,5.9,5.78,59708,35216401.0,2.04,-0.85,-0.05,1.05
2025-02-24,600784,5.82,5.98,6.16,5.82,123345,74630236.0,5.82,2.4,0.14,2.17
2025-02-25,600784,5.93,6.06,6.08,5.91,108374,66011105.0,2.84,1.34,0.08,1.6
2025-02-26,600784,6.1,6.06,6.15,6.02,138232,84909640.0,2.15,0.0,0.0,2.05
2025-02-27,600784,6.06,6.12,6.12,6.02,88696,54469447.0,1.65,0.99,0.06,1.31
2025-02-28,600784,6.09,6.11,6.21,6.07,108567,67429417.0,2.29,-0.16,-0.01,1.61
2025-03-03,600784,6.13,6.14,6.22,6.1,92873,57877134.0,1.96,0.49,0.03,1.37
2025-03-04,600784,6.13,6.15,6.17,6.06,67984,42053060.0,1.79,0.16,0.01,1.01
2025-03-05,600784,6.15,6.09,6.16,6.03,59982,36838128.0,2.11,-0.98,-0.06,0.89
2025-03-06,600784,6.09,6.09,6.13,6.07,56482,34876936.0,0.99,0.0,0.0,0.84
2025-03-07,600784,6.1,6.33,6.42,6.06,221439,140519449.0,5.91,3.94,0.24,3.28
2025-03-10,600784,6.3,6.31,6.35,6.21,128580,81709318.0,2.21,-0.32,-0.02,1.9
2025-03-11,600784,6.33,6.36,6.37,6.25,89902,57413053.0,1.9,0.79,0.05,1.33
2025-03-12,600784,6.33,6.28,6.38,6.26,69759,44398332.0,1.89,-1.26,-0.08,1.03
2025-03-13,600784,6.27,6.25,6.29,6.14,65070,40830112.0,2.39,-0.48,-0.03,0.96
2025-03-14,600784,6.28,6.37,6.38,6.24,93319,59695749.0,2.24,1.92,0.12,1.38
2025-03-17,600784,6.36,6.36,6.42,6.34,68013,43863395.0,1.26,-0.16,-0.01,1.01
2025-03-18,600784,6.36,6.39,6.41,6.3,68872,44276933.0,1.73,0.47,0.03,1.02
2025-03-19,600784,6.4,6.45,6.56,6.35,125279,81549546.0,3.29,0.94,0.06,1.85
2025-03-20,600784,6.44,6.42,6.54,6.41,95304,62120713.0,2.02,-0.47,-0.03,1.41
2025-03-21,600784,6.42,6.33,6.45,6.31,82321,53039635.0,2.18,-1.4,-0.09,1.22
2025-03-24,600784,6.33,6.23,6.38,6.13,77460,48786551.0,3.95,-1.58,-0.1,1.15
2025-03-25,600784,6.19,6.58,6.58,6.17,248576,161374899.0,6.58,5.62,0.35,3.68
2025-03-26,600784,6.58,6.78,7.25,6.5,691409,488886290.0,11.4,3.04,0.2,10.23
2025-03-27,600784,6.61,6.36,6.7,6.33,408835,266898611.0,5.46,-6.19,-0.42,6.05
2025-03-28,600784,6.34,6.17,6.47,6.15,249737,157521504.0,5.03,-2.99,-0.19,3.7
2025-03-31,600784,6.1,6.08,6.21,6.03,196497,121455958.0,2.92,-1.46,-0.09,2.91
2025-04-01,600784,6.12,6.16,6.23,6.08,136610,85057271.0,2.47,1.32,0.08,2.02
2025-04-02,600784,6.13,6.14,6.25,6.08,118528,73947584.0,2.76,-0.32,-0.02,1.75
2025-04-03,600784,6.04,6.19,6.28,6.04,177987,110778524.0,3.91,0.81,0.05,2.63
2025-04-07,600784,5.88,5.56,5.97,5.56,147900,84422058.0,6.62,-10.18,-0.63,2.19
2025-04-08,600784,5.53,5.36,5.61,5.29,166733,91762476.0,5.76,-3.6,-0.2,2.47
2025-04-09,600784,5.35,5.56,5.61,5.09,162082,88278536.0,9.7,3.73,0.2,2.4
2025-04-10,600784,5.59,5.56,5.69,5.54,177106,100535148.0,2.7,0.0,0.0,2.62
2025-04-11,600784,5.56,5.5,5.59,5.46,127006,71075776.0,2.34,-1.08,-0.06,1.88
2025-04-14,600784,5.53,5.59,5.65,5.53,103052,58360533.0,2.18,1.64,0.09,1.53
2025-04-15,600784,5.59,5.64,5.66,5.52,87242,49486733.0,2.5,0.89,0.05,1.29
2025-04-16,600784,5.63,5.58,5.64,5.48,78550,44272178.0,2.84,-1.06,-0.06,1.16
2025-04-17,600784,5.52,5.61,5.66,5.52,73738,41933127.0,2.51,0.54,0.03,1.09
2025-04-18,600784,5.6,5.61,5.65,5.57,57926,32908027.0,1.43,0.0,0.0,0.86
2025-04-21,600784,5.61,5.65,5.67,5.56,61004,34794934.0,1.96,0.71,0.04,0.9
2025-04-22,600784,5.65,5.75,5.77,5.61,90071,52002510.0,2.83,1.77,0.1,1.33
2025-04-23,600784,5.76,5.76,5.8,5.73,60662,35401442.0,1.22,0.17,0.01,0.9
2025-04-24,600784,5.75,5.82,5.89,5.7,95551,56249385.0,3.3,1.04,0.06,1.41
2025-04-25,600784,5.89,5.87,5.95,5.84,96474,57491620.0,1.89,0.86,0.05,1.43
2025-04-28,600784,5.9,5.78,5.9,5.75,79524,46586671.0,2.56,-1.53,-0.09,1.18
2025-04-29,600784,5.79,5.75,5.84,5.71,79521,46461178.0,2.25,-0.52,-0.03,1.18
2025-04-30,600784,5.75,5.74,5.83,5.73,69682,40715488.0,1.74,-0.17,-0.01,1.03
2025-05-06,600784,5.77,5.86,5.86,5.74,71358,41995296.0,2.09,2.09,0.12,1.06
2025-05-07,600784,5.89,5.9,5.92,5.85,100962,60149022.0,1.19,0.68,0.04,1.49
2025-05-08,600784,5.9,5.94,5.98,5.82,87836,52699384.0,2.71,0.68,0.04,1.3
2025-05-09,600784,5.93,5.97,6.01,5.9,83249,50147614.0,1.85,0.51,0.03,1.23
2025-05-12,600784,5.99,6.01,6.03,5.91,96496,58425386.0,2.01,0.67,0.04,1.43
2025-05-13,600784,6.04,5.96,6.06,5.95,62776,38049035.0,1.83,-0.83,-0.05,0.93
2025-05-14,600784,5.97,5.98,6.01,5.92,53614,32395551.0,1.51,0.34,0.02,0.79
2025-05-15,600784,6.0,5.97,6.01,5.95,39453,23859284.0,1.0,-0.17,-0.01,0.58
2025-05-16,600784,5.98,5.95,5.98,5.93,44133,26602793.0,0.84,-0.34,-0.02,0.65
2025-05-19,600784,5.95,6.04,6.07,5.95,90945,55406099.0,2.02,1.51,0.09,1.35
2025-05-20,600784,6.05,6.08,6.1,6.02,65703,40291942.0,1.32,0.66,0.04,0.97
2025-05-21,600784,6.09,6.12,6.12,6.04,54396,33448255.0,1.32,0.66,0.04,0.81
2025-05-22,600784,6.11,6.04,6.13,6.02,71870,44105589.0,1.8,-1.31,-0.08,1.06
2025-05-23,600784,6.05,5.98,6.1,5.98,64680,39477310.0,1.99,-0.99,-0.06,0.96
2025-05-26,600784,5.96,6.05,6.08,5.95,78621,48022981.0,2.17,1.17,0.07,1.16
2025-05-27,600784,6.07,6.06,6.09,6.0,70391,43095982.0,1.49,0.17,0.01,1.04
2025-05-28,600784,6.04,6.05,6.09,6.0,48660,29752653.0,1.49,-0.17,-0.01,0.72
2025-05-29,600784,6.05,6.06,6.11,6.03,70444,43254794.0,1.32,0.17,0.01,1.04
2025-05-30,600784,6.06,6.03,6.09,6.0,57750,35288473.0,1.49,-0.5,-0.03,0.85
2025-06-03,600784,6.03,6.09,6.12,5.98,78925,48557813.0,2.32,1.0,0.06,1.17
2025-06-04,600784,6.09,6.13,6.14,6.07,56998,35222319.0,1.15,0.66,0.04,0.84
2025-06-05,600784,6.12,6.12,6.14,6.07,56652,34947101.0,1.14,-0.16,-0.01,0.84
2025-06-06,600784,6.09,6.16,6.25,6.09,72676,45198787.0,2.61,0.65,0.04,1.08
2025-06-09,600784,6.16,6.21,6.22,6.13,63633,39765596.0,1.46,0.81,0.05,0.94
2025-06-10,600784,6.22,6.19,6.27,6.1,66983,41890232.0,2.74,-0.32,-0.02,0.99
2025-06-11,600784,6.16,6.21,6.25,6.15,61925,38923474.0,1.62,0.32,0.02,0.92
2025-06-12,600784,6.19,6.22,6.26,6.16,67538,42450763.0,1.61,0.16,0.01,1.0
2025-06-13,600784,6.25,6.27,6.35,6.17,188886,119882401.0,2.89,0.8,0.05,2.8
2025-06-16,600784,6.21,6.27,6.33,6.21,125510,79570508.0,1.91,0.0,0.0,1.86
2025-06-17,600784,6.28,6.27,6.32,6.23,90719,57473269.0,1.44,0.0,0.0,1.34
2025-06-18,600784,6.27,6.23,6.3,6.18,67944,42717192.0,1.91,-0.64,-0.04,1.01
2025-06-19,600784,6.2,6.17,6.23,6.12,71751,44782882.0,1.77,-0.96,-0.06,1.06
2025-06-20,600784,6.18,6.13,6.21,6.12,43802,27268834.0,1.46,-0.65,-0.04,0.65
2025-06-23,600784,6.13,6.16,6.18,6.1,63765,39612476.0,1.31,0.49,0.03,0.94
2025-06-24,600784,6.14,6.23,6.25,6.12,88902,55685893.0,2.11,1.14,0.07,1.32
2025-06-25,600784,6.25,6.25,6.27,6.2,103612,65400839.0,1.12,0.32,0.02,1.53
2025-06-26,600784,6.24,6.27,6.34,6.24,130451,83038803.0,1.6,0.32,0.02,1.93
2025-06-27,600784,6.29,6.32,6.33,6.24,115803,73734931.0,1.44,0.8,0.05,1.71
2025-06-30,600784,6.33,6.33,6.41,6.29,104109,66639693.0,1.9,0.16,0.01,1.54
2025-07-01,600784,6.36,6.31,6.37,6.27,86932,55463125.0,1.58,-0.32,-0.02,1.29
2025-07-02,600784,6.32,6.36,6.39,6.29,128883,82577527.0,1.58,0.79,0.05,1.91
2025-07-03,600784,6.39,6.4,6.42,6.35,94385,60230305.0,1.1,0.63,0.04,1.4
2025-07-04,600784,6.41,6.36,6.44,6.33,144652,92473681.0,1.72,-0.63,-0.04,2.14
2025-07-07,600784,6.34,6.4,6.41,6.31,107406,68407538.0,1.57,0.63,0.04,1.59
2025-07-08,600784,6.39,6.39,6.42,6.37,80664,51611880.0,0.78,-0.16,-0.01,1.19
2025-07-09,600784,6.39,6.4,6.42,6.35,68325,43630719.0,1.1,0.16,0.01,1.01
2025-07-10,600784,6.4,6.46,6.49,6.38,105861,68092269.0,1.72,0.94,0.06,1.57
2025-07-11,600784,6.48,6.43,6.49,6.37,93794,60334240.0,1.86,-0.46,-0.03,1.39
2025-07-14,600784,6.44,6.49,6.52,6.42,77036,49905029.0,1.56,0.93,0.06,1.14
2025-07-15,600784,6.51,6.37,6.51,6.35,80118,51277614.0,2.47,-1.85,-0.12,1.19
2025-07-16,600784,6.36,6.45,6.5,6.3,86596,55717329.0,3.14,1.26,0.08,1.28
2025-07-17,600784,6.45,6.45,6.5,6.43,71369,46121162.0,1.09,0.0,0.0,1.06
2025-07-18,600784,6.47,6.43,6.48,6.4,52582,33762526.0,1.24,-0.31,-0.02,0.78
2025-07-21,600784,6.4,6.55,6.56,6.4,90268,58871475.0,2.49,1.87,0.12,1.34
2025-07-22,600784,6.55,6.55,6.57,6.44,67401,43904814.0,1.98,0.0,0.0,1.0
2025-07-23,600784,6.52,6.5,6.56,6.49,68627,44762854.0,1.07,-0.76,-0.05,1.02
2025-07-24,600784,6.5,6.58,6.62,6.49,83082,54542873.0,2.0,1.23,0.08,1.23
2025-07-25,600784,6.59,6.56,6.61,6.53,72160,47284523.0,1.22,-0.3,-0.02,1.07
2025-07-28,600784,6.55,6.52,6.59,6.47,81567,53144431.0,1.83,-0.61,-0.04,1.21
2025-07-29,600784,6.54,6.54,6.55,6.43,91302,59260293.0,1.84,0.31,0.02,1.35
2025-07-30,600784,6.53,6.52,6.55,6.44,89628,58223256.0,1.68,-0.31,-0.02,1.33
2025-07-31,600784,6.52,6.41,6.59,6.37,111560,72080216.0,3.37,-1.69,-0.11,1.65
2025-08-01,600784,6.41,6.46,6.48,6.38,68873,44300862.0,1.56,0.78,0.05,1.02
2025-08-04,600784,6.45,6.48,6.51,6.43,83202,53846637.0,1.24,0.31,0.02,1.23
2025-08-05,600784,6.55,6.58,6.68,6.54,144666,95486596.0,2.16,1.54,0.1,2.14
2025-08-06,600784,6.57,6.6,6.61,6.52,84264,55280125.0,1.37,0.3,0.02,1.25
2025-08-07,600784,6.61,6.66,6.7,6.55,105050,69696815.0,2.27,0.91,0.06,1.55
2025-08-08,600784,6.63,6.77,7.08,6.63,231524,158128794.0,6.76,1.65,0.11,3.43
2025-08-11,600784,6.75,6.71,6.79,6.64,133681,89322716.0,2.22,-0.89,-0.06,1.98
2025-08-12,600784,6.72,6.8,6.86,6.69,115568,78175176.0,2.53,1.34,0.09,1.71
2025-08-13,600784,6.8,6.97,7.15,6.77,237198,165346705.0,5.59,2.5,0.17,3.51
2025-08-14,600784,7.01,6.75,7.01,6.71,194012,132316393.0,4.3,-3.16,-0.22,2.87
2025-08-15,600784,6.74,6.75,6.86,6.72,108565,73534318.0,2.07,0.0,0.0,1.61
2025-08-18,600784,6.76,6.74,6.79,6.73,114742,77533256.0,0.89,-0.15,-0.01,1.7
2025-08-19,600784,6.74,6.73,6.79,6.68,92135,62056233.0,1.63,-0.15,-0.01,1.36
2025-08-20,600784,6.7,6.78,6.78,6.69,79989,54020169.0,1.34,0.74,0.05,1.18
2025-08-21,600784,6.74,6.83,6.91,6.74,93498,63864174.0,2.51,0.74,0.05,1.38
2025-08-22,600784,6.82,6.82,6.85,6.73,84543,57308573.0,1.76,-0.15,-0.01,1.25
2025-08-25,600784,6.79,6.72,6.8,6.68,147005,98781251.0,1.76,-1.47,-0.1,2.18
2025-08-26,600784,6.69,6.78,6.94,6.66,154073,104206978.0,4.17,0.89,0.06,2.28
2025-08-27,600784,6.78,6.51,6.78,6.51,165219,109866119.0,3.98,-3.98,-0.27,2.45
2025-08-28,600784,6.51,6.39,6.58,6.27,119138,76547735.0,4.76,-1.84,-0.12,1.76
2025-08-29,600784,6.4,6.37,6.43,6.33,84554,53807176.0,1.56,-0.31,-0.02,1.25
2025-09-01,600784,6.37,6.32,6.4,6.28,92501,58651882.0,1.88,-0.78,-0.05,1.37
2025-09-02,600784,6.33,6.35,6.35,6.24,71659,45050568.0,1.74,0.47,0.03,1.06
2025-09-03,600784,6.36,6.22,6.37,6.2,89540,55933497.0,2.68,-2.05,-0.13,1.33
2025-09-04,600784,6.23,6.25,6.32,6.2,83005,52033173.0,1.93,0.48,0.03,1.23
2025-09-05,600784,6.26,6.29,6.29,6.2,66485,41558063.0,1.44,0.64,0.04,0.98
2025-09-08,600784,6.3,6.32,6.33,6.27,61875,38988807.0,0.95,0.48,0.03,0.92
2025-09-09,600784,6.32,6.3,6.37,6.28,63047,39842384.0,1.42,-0.32,-0.02,0.93
2025-09-10,600784,6.29,6.29,6.3,6.25,45096,28278113.0,0.79,-0.16,-0.01,0.67
