日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600793,22.87,22.05,23.28,21.87,130441,293267464.0,6.07,-5.08,-1.18,7.37
2025-01-03,600793,21.95,19.88,22.2,19.85,136865,284110968.0,10.66,-9.84,-2.17,7.74
2025-01-06,600793,20.0,18.67,20.3,18.38,108513,206402096.0,9.66,-6.09,-1.21,6.13
2025-01-07,600793,19.18,20.54,20.54,19.01,42863,85714470.0,8.19,10.02,1.87,2.42
2025-01-08,600793,20.6,20.12,20.68,19.47,122060,244553370.0,5.89,-2.04,-0.42,6.9
2025-01-09,600793,19.95,19.91,20.61,19.7,83556,168083936.0,4.52,-1.04,-0.21,4.72
2025-01-10,600793,19.94,18.84,20.0,18.81,62915,121421488.0,5.98,-5.37,-1.07,3.56
2025-01-13,600793,18.84,20.72,20.72,18.8,46442,93993036.0,10.19,9.98,1.88,2.63
2025-01-14,600793,20.72,21.45,22.15,20.72,175429,375248413.0,6.9,3.52,0.73,9.92
2025-01-15,600793,21.41,21.31,22.45,20.6,140796,300483184.0,8.62,-0.65,-0.14,7.96
2025-01-16,600793,21.31,21.01,21.6,20.75,85230,179923526.0,3.99,-1.41,-0.3,4.82
2025-01-17,600793,21.28,20.51,21.35,20.37,66492,137948114.0,4.66,-2.38,-0.5,3.76
2025-01-20,600793,20.87,20.34,20.96,19.94,73822,150771969.0,4.97,-0.83,-0.17,4.17
2025-01-21,600793,20.6,20.0,20.66,19.81,75948,152517173.0,4.18,-1.67,-0.34,4.29
2025-01-22,600793,19.95,19.29,19.95,19.29,56911,110575320.0,3.3,-3.55,-0.71,3.22
2025-01-23,600793,19.53,18.92,19.77,18.86,59113,113563402.0,4.72,-1.92,-0.37,3.34
2025-01-24,600793,18.97,19.0,19.14,18.64,53027,100514555.0,2.64,0.42,0.08,3.0
2025-01-27,600793,19.49,20.9,20.9,19.49,176940,365447216.0,7.42,10.0,1.9,10.0
2025-02-05,600793,20.7,19.02,20.7,18.89,178223,350100227.0,8.66,-9.0,-1.88,10.07
2025-02-06,600793,19.13,19.71,20.06,18.95,120440,234884606.0,5.84,3.63,0.69,6.81
2025-02-07,600793,19.69,19.83,20.34,19.4,106066,211164297.0,4.77,0.61,0.12,6.0
2025-02-10,600793,19.8,20.16,20.18,19.5,91423,181567761.0,3.43,1.66,0.33,5.17
2025-02-11,600793,20.28,20.43,21.0,19.83,131040,267310701.0,5.8,1.34,0.27,7.41
2025-02-12,600793,20.3,20.47,20.59,20.0,96024,195180180.0,2.89,0.2,0.04,5.43
2025-02-13,600793,20.45,19.59,20.45,19.56,90374,179676692.0,4.35,-4.3,-0.88,5.11
2025-02-14,600793,19.59,19.27,19.59,19.02,68569,131388521.0,2.91,-1.63,-0.32,3.88
