日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600805,4.33,4.28,4.43,4.24,77086,34041766.0,4.37,-1.61,-0.07,0.91
2025-01-03,600805,4.3,4.12,4.32,4.09,95582,40587552.0,5.37,-3.74,-0.16,1.12
2025-01-06,600805,4.1,4.14,4.16,4.01,70178,29350464.0,3.64,0.49,0.02,0.83
2025-01-07,600805,4.14,4.22,4.22,4.14,56256,23933824.0,1.93,1.93,0.08,0.66
2025-01-08,600805,4.22,4.27,4.27,4.14,65310,28033821.0,3.08,1.18,0.05,0.77
2025-01-09,600805,4.26,4.19,4.26,4.17,53953,23120562.0,2.11,-1.87,-0.08,0.63
2025-01-10,600805,4.18,4.13,4.22,4.13,52574,22383427.0,2.15,-1.43,-0.06,0.62
2025-01-13,600805,4.1,4.12,4.14,4.05,41859,17503344.0,2.18,-0.24,-0.01,0.49
2025-01-14,600805,4.14,4.26,4.26,4.13,51162,21956744.0,3.16,3.4,0.14,0.6
2025-01-15,600805,4.26,4.29,4.31,4.2,43491,18913820.0,2.58,0.7,0.03,0.51
2025-01-16,600805,4.27,4.3,4.37,4.27,57302,25256207.0,2.33,0.23,0.01,0.67
2025-01-17,600805,4.3,4.33,4.41,4.24,76024,33505641.0,3.95,0.7,0.03,0.89
2025-01-20,600805,4.33,4.36,4.39,4.28,58658,25987585.0,2.54,0.69,0.03,0.69
2025-01-21,600805,4.36,4.34,4.4,4.28,70281,31026467.0,2.75,-0.46,-0.02,0.83
2025-01-22,600805,4.34,4.29,4.34,4.27,46525,20396041.0,1.61,-1.15,-0.05,0.55
2025-01-23,600805,4.33,4.27,4.4,4.27,56552,25003694.0,3.03,-0.47,-0.02,0.67
2025-01-24,600805,4.28,4.18,4.29,4.12,101635,43422544.0,3.98,-2.11,-0.09,1.2
2025-01-27,600805,4.17,4.2,4.28,4.17,57727,24918627.0,2.63,0.48,0.02,0.68
2025-02-05,600805,4.2,4.24,4.28,4.2,40645,17570342.0,1.9,0.95,0.04,0.48
2025-02-06,600805,4.22,4.31,4.32,4.2,68639,29849035.0,2.83,1.65,0.07,0.81
2025-02-07,600805,4.3,4.34,4.39,4.29,75532,33442283.0,2.32,0.7,0.03,0.89
2025-02-10,600805,4.35,4.38,4.39,4.34,66158,29426078.0,1.15,0.92,0.04,0.78
2025-02-11,600805,4.39,4.34,4.42,4.31,71032,31426064.0,2.51,-0.91,-0.04,0.84
2025-02-12,600805,4.35,4.38,4.38,4.28,56865,25159007.0,2.3,0.92,0.04,0.67
2025-02-13,600805,4.35,4.29,4.39,4.28,71721,31609582.0,2.51,-2.05,-0.09,0.84
2025-02-14,600805,4.29,4.23,4.31,4.19,91465,39576953.0,2.8,-1.4,-0.06,1.08
2025-02-17,600805,4.25,4.34,4.36,4.24,99067,43479975.0,2.84,2.6,0.11,1.17
2025-02-18,600805,4.39,4.27,4.4,4.24,87015,38220016.0,3.69,-1.61,-0.07,1.02
2025-02-19,600805,4.27,4.29,4.31,4.25,80511,35074655.0,1.41,0.47,0.02,0.95
2025-02-20,600805,4.28,4.28,4.3,4.24,74434,32385255.0,1.4,-0.23,-0.01,0.88
2025-02-21,600805,4.3,4.34,4.41,4.26,125156,55041201.0,3.5,1.4,0.06,1.47
2025-02-24,600805,4.37,4.4,4.44,4.35,153748,68733733.0,2.07,1.38,0.06,1.81
2025-02-25,600805,4.34,4.49,4.51,4.33,160543,72495405.0,4.09,2.05,0.09,1.89
2025-02-26,600805,4.52,4.53,4.62,4.48,146914,68051549.0,3.12,0.89,0.04,1.73
2025-02-27,600805,4.53,4.49,4.55,4.41,120900,55171678.0,3.09,-0.88,-0.04,1.42
2025-02-28,600805,4.48,4.35,4.48,4.35,93913,42086398.0,2.9,-3.12,-0.14,1.1
2025-03-03,600805,4.38,4.4,4.44,4.34,89129,39924730.0,2.3,1.15,0.05,1.05
2025-03-04,600805,4.38,4.44,4.46,4.37,68656,30941688.0,2.05,0.91,0.04,0.81
2025-03-05,600805,4.43,4.39,4.44,4.31,89432,39659996.0,2.93,-1.13,-0.05,1.05
2025-03-06,600805,4.39,4.49,4.54,4.36,110340,50183342.0,4.1,2.28,0.1,1.3
2025-03-07,600805,4.53,4.47,4.54,4.46,78136,35741046.0,1.78,-0.45,-0.02,0.92
2025-03-10,600805,4.5,4.57,4.72,4.44,144583,67352291.0,6.26,2.24,0.1,1.7
2025-03-11,600805,4.5,4.56,4.56,4.47,104794,48225989.0,1.97,-0.22,-0.01,1.23
2025-03-12,600805,4.56,4.64,4.71,4.55,137571,65004735.0,3.51,1.75,0.08,1.62
2025-03-13,600805,4.64,4.61,4.67,4.53,98372,45904929.0,3.02,-0.65,-0.03,1.16
