日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600821,5.2,5.08,5.23,5.03,172679,92105353.0,3.85,-2.31,-0.12,0.86
2025-01-03,600821,5.1,5.04,5.16,5.02,166055,87789746.0,2.76,-0.79,-0.04,0.83
2025-01-06,600821,5.03,5.08,5.11,5.01,124714,65591080.0,1.98,0.79,0.04,0.62
2025-01-07,600821,5.1,5.03,5.13,5.0,122927,64422496.0,2.56,-0.98,-0.05,0.62
2025-01-08,600821,5.04,4.97,5.05,4.91,176304,91108552.0,2.78,-1.19,-0.06,0.88
2025-01-09,600821,4.94,4.91,4.96,4.91,98610,50591287.0,1.01,-1.21,-0.06,0.49
2025-01-10,600821,4.89,4.88,4.93,4.87,108722,55387436.0,1.22,-0.61,-0.03,0.54
2025-01-13,600821,4.88,4.87,4.9,4.84,98056,49708107.0,1.23,-0.2,-0.01,0.49
2025-01-14,600821,4.88,4.98,4.98,4.87,156363,80219010.0,2.26,2.26,0.11,0.78
2025-01-15,600821,4.95,4.93,4.97,4.88,170272,87025941.0,1.81,-1.0,-0.05,0.85
2025-01-16,600821,4.93,4.93,5.0,4.9,139100,71627490.0,2.03,0.0,0.0,0.7
2025-01-17,600821,4.91,4.99,4.99,4.89,117403,60581476.0,2.03,1.22,0.06,0.59
2025-01-20,600821,5.0,4.98,5.05,4.97,103637,53845935.0,1.6,-0.2,-0.01,0.52
2025-01-21,600821,5.0,4.95,5.01,4.93,77874,40119073.0,1.61,-0.6,-0.03,0.39
2025-01-22,600821,4.95,4.96,4.98,4.9,91255,46951180.0,1.62,0.2,0.01,0.46
2025-01-23,600821,5.0,4.98,5.07,4.97,108900,56840404.0,2.02,0.4,0.02,0.55
2025-01-24,600821,4.96,5.03,5.03,4.96,138407,71896834.0,1.41,1.0,0.05,0.69
2025-01-27,600821,5.03,5.19,5.24,5.03,229589,122927663.0,4.17,3.18,0.16,1.15
2025-02-05,600821,5.18,5.2,5.27,5.14,161773,87515528.0,2.5,0.19,0.01,0.81
2025-02-06,600821,5.3,5.54,5.59,5.21,635209,358734253.0,7.31,6.54,0.34,3.18
2025-02-07,600821,5.49,5.71,5.96,5.38,1272229,752045542.0,10.47,3.07,0.17,6.37
2025-02-10,600821,5.71,5.53,5.8,5.42,875016,499928967.0,6.65,-3.15,-0.18,4.38
2025-02-11,600821,5.5,5.37,5.53,5.29,610201,339453573.0,4.34,-2.89,-0.16,3.06
2025-02-12,600821,5.34,5.41,5.46,5.34,423242,237207919.0,2.23,0.74,0.04,2.12
2025-02-13,600821,5.43,5.39,5.63,5.35,626639,353295354.0,5.18,-0.37,-0.02,3.14
2025-02-14,600821,5.38,5.36,5.42,5.34,325087,181156014.0,1.48,-0.56,-0.03,1.63
2025-02-17,600821,5.36,5.33,5.39,5.32,313119,173702467.0,1.31,-0.56,-0.03,1.57
2025-02-18,600821,5.36,5.32,5.43,5.3,358845,200072282.0,2.44,-0.19,-0.01,1.8
2025-02-19,600821,5.32,5.41,5.43,5.3,311179,172862369.0,2.44,1.69,0.09,1.56
2025-02-20,600821,5.38,5.33,5.4,5.31,248691,137568331.0,1.66,-1.48,-0.08,1.25
2025-02-21,600821,5.35,5.53,5.55,5.29,630620,356072918.0,4.88,3.75,0.2,3.16
2025-02-24,600821,5.75,6.1,6.1,5.59,1754730,1080852293.0,9.22,10.31,0.57,8.79
2025-02-25,600821,5.98,5.83,6.05,5.82,1531223,938053167.0,3.77,-4.43,-0.27,7.67
2025-02-26,600821,5.95,5.86,6.01,5.81,611944,371061561.0,3.43,0.51,0.03,3.06
2025-02-27,600821,5.92,5.73,5.94,5.7,542175,324916292.0,4.1,-2.22,-0.13,2.71
2025-02-28,600821,5.73,5.66,5.77,5.62,386859,228190759.0,2.62,-1.22,-0.07,1.94
2025-03-03,600821,5.65,5.64,5.72,5.62,298072,175045452.0,1.77,-0.35,-0.02,1.49
2025-03-04,600821,5.6,5.67,5.69,5.58,252624,147705786.0,1.95,0.53,0.03,1.26
2025-03-05,600821,5.69,5.77,5.85,5.67,455656,271597724.0,3.17,1.76,0.1,2.28
2025-03-06,600821,5.77,5.85,5.9,5.75,476106,287742040.0,2.6,1.39,0.08,2.38
2025-03-07,600821,5.83,5.81,5.97,5.78,401313,242848287.0,3.25,-0.68,-0.04,2.01
2025-03-10,600821,5.83,5.76,5.86,5.7,290027,173343982.0,2.75,-0.86,-0.05,1.45
2025-03-11,600821,5.7,5.72,5.74,5.67,211096,124501575.0,1.22,-0.69,-0.04,1.06
2025-03-12,600821,5.75,6.02,6.17,5.71,992342,614510702.0,8.04,5.24,0.3,4.97
2025-03-13,600821,5.96,5.92,6.08,5.88,549706,338324226.0,3.32,-1.66,-0.1,2.75
2025-03-14,600821,5.92,5.95,5.96,5.84,425615,259834914.0,2.03,0.51,0.03,2.13
2025-03-17,600821,5.99,5.94,6.05,5.91,334866,206409624.0,2.35,-0.17,-0.01,1.68
2025-03-18,600821,5.96,6.02,6.16,5.96,540753,337378153.0,3.37,1.35,0.08,2.71
2025-03-19,600821,6.04,6.07,6.25,5.92,706632,444570023.0,5.48,0.83,0.05,3.54
2025-03-20,600821,6.02,6.01,6.06,5.95,492116,305317973.0,1.81,-0.99,-0.06,2.46
2025-03-21,600821,5.96,5.87,6.01,5.86,411747,252125741.0,2.5,-2.33,-0.14,2.06
2025-03-24,600821,5.86,5.92,5.92,5.76,357351,216049912.0,2.73,0.85,0.05,1.79
2025-03-25,600821,5.9,5.92,5.97,5.85,325389,198908885.0,2.03,0.0,0.0,1.63
2025-03-26,600821,5.91,5.87,5.96,5.86,307965,188048155.0,1.69,-0.84,-0.05,1.54
2025-03-27,600821,5.83,5.77,5.86,5.76,265187,158762619.0,1.7,-1.7,-0.1,1.33
2025-03-28,600821,5.76,5.64,5.79,5.64,281387,165963691.0,2.6,-2.25,-0.13,1.41
