日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600847,8.27,8.13,8.46,8.03,36945,30592588.0,5.31,0.37,0.03,2.41
2025-01-03,600847,8.19,7.58,8.23,7.53,43331,33774393.0,8.61,-6.77,-0.55,2.83
2025-01-06,600847,7.57,7.58,7.71,7.21,31991,24104490.0,6.6,0.0,0.0,2.09
2025-01-07,600847,7.63,8.06,8.06,7.59,28387,22294650.0,6.2,6.33,0.48,1.85
2025-01-08,600847,8.1,7.95,8.22,7.62,30301,24076130.0,7.44,-1.36,-0.11,1.98
2025-01-09,600847,7.95,8.01,8.08,7.81,19449,15567387.0,3.4,0.75,0.06,1.27
2025-01-10,600847,8.01,7.62,8.09,7.61,23595,18435544.0,5.99,-4.87,-0.39,1.54
2025-01-13,600847,7.43,7.69,7.85,7.32,29196,22192806.0,6.96,0.92,0.07,1.9
2025-01-14,600847,7.74,8.24,8.28,7.69,32022,25903006.0,7.67,7.15,0.55,2.09
2025-01-15,600847,8.25,8.27,8.36,8.16,24794,20483523.0,2.43,0.36,0.03,1.62
2025-01-16,600847,8.32,8.27,8.51,8.19,21413,17848019.0,3.87,0.0,0.0,1.4
2025-01-17,600847,8.25,8.11,8.31,7.98,19963,16194340.0,3.99,-1.93,-0.16,1.3
2025-01-20,600847,8.11,8.37,8.5,7.92,36732,30410987.0,7.15,3.21,0.26,2.4
2025-01-21,600847,8.39,7.98,8.44,7.88,42080,33894975.0,6.69,-4.66,-0.39,2.75
2025-01-22,600847,7.95,7.92,8.05,7.8,22465,17763060.0,3.13,-0.75,-0.06,1.47
2025-01-23,600847,8.07,8.09,8.28,8.01,24757,20202223.0,3.41,2.15,0.17,1.62
2025-01-24,600847,8.05,8.22,8.26,7.96,22920,18611012.0,3.71,1.61,0.13,1.5
2025-01-27,600847,7.94,8.07,8.43,7.94,20833,17077969.0,5.96,-1.82,-0.15,1.36
2025-02-05,600847,8.23,8.38,8.55,8.11,26242,21904998.0,5.45,3.84,0.31,1.71
2025-02-06,600847,8.39,8.65,8.68,8.27,32439,27506974.0,4.89,3.22,0.27,2.12
2025-02-07,600847,8.69,8.73,8.82,8.5,27638,24123373.0,3.7,0.92,0.08,1.8
2025-02-10,600847,8.8,9.02,9.03,8.61,22111,19566966.0,4.81,3.32,0.29,1.44
2025-02-11,600847,9.12,8.88,9.12,8.75,21795,19330419.0,4.1,-1.55,-0.14,1.42
2025-02-12,600847,8.86,8.85,9.02,8.74,18966,16755274.0,3.15,-0.34,-0.03,1.24
2025-02-13,600847,8.83,8.72,8.89,8.7,13633,11956526.0,2.15,-1.47,-0.13,0.89
2025-02-14,600847,8.64,8.7,8.85,8.62,12807,11170678.0,2.64,-0.23,-0.02,0.84
2025-02-17,600847,8.75,8.92,9.05,8.72,25440,22611768.0,3.79,2.53,0.22,1.66
2025-02-18,600847,8.95,8.84,9.08,8.75,29128,26063374.0,3.7,-0.9,-0.08,1.9
2025-02-19,600847,8.82,8.93,9.04,8.71,21286,19062981.0,3.73,1.02,0.09,1.39
2025-02-20,600847,8.88,8.94,8.99,8.84,14668,13087507.0,1.68,0.11,0.01,0.96
2025-02-21,600847,8.94,8.91,8.99,8.78,17548,15581811.0,2.35,-0.34,-0.03,1.14
2025-02-24,600847,9.0,9.15,9.45,8.75,34890,31935051.0,7.86,2.69,0.24,2.28
2025-02-25,600847,9.0,9.29,9.53,8.99,35994,33332654.0,5.9,1.53,0.14,2.35
2025-02-26,600847,9.34,9.25,9.5,9.17,31310,29172003.0,3.55,-0.43,-0.04,2.04
2025-02-27,600847,9.24,9.3,9.56,9.16,26763,24938926.0,4.32,0.54,0.05,1.75
2025-02-28,600847,9.22,9.02,9.3,8.97,31325,28418313.0,3.55,-3.01,-0.28,2.04
2025-03-03,600847,9.19,9.38,9.49,9.03,44072,41160397.0,5.1,3.99,0.36,2.88
2025-03-04,600847,9.29,10.32,10.32,9.29,71518,71146147.0,10.98,10.02,0.94,4.67
2025-03-05,600847,10.06,9.99,11.13,9.82,184556,189388896.0,12.69,-3.2,-0.33,12.04
2025-03-06,600847,9.99,9.83,10.05,9.67,136692,133447292.0,3.8,-1.6,-0.16,8.92
2025-03-07,600847,9.64,9.5,9.7,9.41,77670,73850250.0,2.95,-3.36,-0.33,5.07
2025-03-10,600847,9.55,9.71,9.71,9.45,60001,57709726.0,2.74,2.21,0.21,3.91
2025-03-11,600847,9.58,9.56,9.66,9.43,34395,32793411.0,2.37,-1.54,-0.15,2.24
2025-03-12,600847,9.56,9.66,9.7,9.53,38265,36830672.0,1.78,1.05,0.1,2.5
2025-03-13,600847,9.63,9.52,9.77,9.36,41466,39528025.0,4.24,-1.45,-0.14,2.71
2025-03-14,600847,9.46,9.52,9.52,9.3,36490,34374419.0,2.31,0.0,0.0,2.38
2025-03-17,600847,9.57,9.52,9.68,9.49,38682,36999309.0,2.0,0.0,0.0,2.52
2025-03-18,600847,9.58,9.85,10.1,9.53,62898,61827543.0,5.99,3.47,0.33,4.1
2025-03-19,600847,9.79,9.86,10.04,9.73,51483,50718803.0,3.15,0.1,0.01,3.36
2025-03-20,600847,9.87,9.78,9.89,9.67,29403,28724355.0,2.23,-0.81,-0.08,1.92
2025-03-21,600847,9.73,9.52,9.76,9.46,29827,28579407.0,3.07,-2.66,-0.26,1.95
2025-03-24,600847,9.47,9.06,9.56,8.83,41863,38423908.0,7.67,-4.83,-0.46,2.73
2025-03-25,600847,9.05,9.15,9.25,8.91,35468,32164914.0,3.75,0.99,0.09,2.31
2025-03-26,600847,9.06,9.42,9.46,9.06,31029,29092589.0,4.37,2.95,0.27,2.02
2025-03-27,600847,9.42,9.3,9.47,9.2,30274,28256436.0,2.87,-1.27,-0.12,1.97
2025-03-28,600847,9.32,9.18,9.33,9.15,24562,22667313.0,1.94,-1.29,-0.12,1.6
2025-03-31,600847,9.17,9.12,9.21,8.92,25413,23014337.0,3.16,-0.65,-0.06,1.66
2025-04-01,600847,9.1,9.38,9.48,9.1,19966,18695765.0,4.17,2.85,0.26,1.3
2025-04-02,600847,9.35,9.3,9.5,9.27,16334,15304783.0,2.45,-0.85,-0.08,1.07
2025-04-03,600847,9.22,9.33,9.38,9.21,18450,17136995.0,1.83,0.32,0.03,1.2
2025-04-07,600847,9.0,8.4,9.0,8.4,14409,12261344.0,6.43,-9.97,-0.93,0.94
2025-04-08,600847,8.15,7.95,8.48,7.78,37349,30015195.0,8.33,-5.36,-0.45,2.44
2025-04-09,600847,7.95,8.32,8.41,7.35,34585,27350438.0,13.33,4.65,0.37,2.26
2025-04-10,600847,8.69,8.66,8.85,8.38,27253,23679465.0,5.65,4.09,0.34,1.78
2025-04-11,600847,8.54,8.55,8.82,8.43,28837,24921345.0,4.5,-1.27,-0.11,1.88
2025-04-14,600847,8.57,8.68,8.84,8.57,23227,20258706.0,3.16,1.52,0.13,1.52
2025-04-15,600847,8.68,8.8,8.83,8.65,17445,15249775.0,2.07,1.38,0.12,1.14
2025-04-16,600847,8.76,8.6,8.76,8.42,24326,20875730.0,3.86,-2.27,-0.2,1.59
2025-04-17,600847,8.6,8.75,8.88,8.51,15545,13612901.0,4.3,1.74,0.15,1.01
2025-04-18,600847,9.0,8.69,9.0,8.51,18454,15988298.0,5.6,-0.69,-0.06,1.2
2025-04-21,600847,8.69,8.84,8.85,8.55,18594,16268303.0,3.45,1.73,0.15,1.21
2025-04-22,600847,8.82,8.78,8.87,8.66,16352,14285669.0,2.38,-0.68,-0.06,1.07
2025-04-23,600847,8.78,8.86,8.94,8.74,17154,15200454.0,2.28,0.91,0.08,1.12
2025-04-24,600847,8.83,8.75,8.9,8.62,16248,14238789.0,3.16,-1.24,-0.11,1.06
2025-04-25,600847,8.75,8.75,8.84,8.69,12928,11330949.0,1.71,0.0,0.0,0.84
2025-04-28,600847,8.75,8.55,8.76,8.4,20968,17834749.0,4.11,-2.29,-0.2,1.37
2025-04-29,600847,8.47,8.84,8.87,8.4,24176,21224629.0,5.5,3.39,0.29,1.58
2025-04-30,600847,9.14,9.26,9.37,8.92,35094,32355583.0,5.09,4.75,0.42,2.29
2025-05-06,600847,9.45,9.78,9.88,9.36,50389,48940026.0,5.62,5.62,0.52,3.29
2025-05-07,600847,9.78,9.95,10.07,9.77,43233,43017833.0,3.07,1.74,0.17,2.82
2025-05-08,600847,9.94,10.09,10.16,9.82,39782,39785013.0,3.42,1.41,0.14,2.6
2025-05-09,600847,10.05,10.03,10.13,9.93,22925,23005686.0,1.98,-0.59,-0.06,1.5
2025-05-12,600847,10.05,10.03,10.29,9.95,20134,20294550.0,3.39,0.0,0.0,1.31
2025-05-13,600847,10.11,9.98,10.18,9.9,24893,24839076.0,2.79,-0.5,-0.05,1.62
2025-05-14,600847,9.99,9.98,10.07,9.88,21448,21390162.0,1.9,0.0,0.0,1.4
2025-05-15,600847,10.01,10.05,10.13,9.85,17303,17315687.0,2.81,0.7,0.07,1.13
2025-05-16,600847,10.1,10.12,10.17,9.91,19564,19753973.0,2.59,0.7,0.07,1.28
2025-05-19,600847,10.12,10.27,10.42,10.09,26399,27059944.0,3.26,1.48,0.15,1.72
2025-05-20,600847,10.34,10.46,10.49,10.18,22734,23567681.0,3.02,1.85,0.19,1.48
2025-05-21,600847,10.46,10.4,10.6,10.28,21211,22097379.0,3.06,-0.57,-0.06,1.38
2025-05-22,600847,10.29,10.21,10.52,10.1,33993,34965945.0,4.04,-1.83,-0.19,2.22
2025-05-23,600847,10.26,10.13,10.42,10.07,29806,30517143.0,3.43,-0.78,-0.08,1.94
2025-05-26,600847,10.14,10.15,10.29,10.03,17747,18037605.0,2.57,0.2,0.02,1.16
2025-05-27,600847,10.2,10.2,10.22,10.04,23426,23765523.0,1.77,0.49,0.05,1.53
2025-05-28,600847,10.2,10.12,10.32,10.02,18225,18439892.0,2.94,-0.78,-0.08,1.19
2025-05-29,600847,10.16,10.27,10.32,10.07,23644,24206382.0,2.47,1.48,0.15,1.54
2025-05-30,600847,10.32,10.07,10.35,9.98,19605,19760725.0,3.6,-1.95,-0.2,1.28
2025-06-03,600847,10.01,10.16,10.26,9.95,19540,19835504.0,3.08,0.89,0.09,1.27
2025-06-04,600847,10.25,10.32,10.36,10.15,18026,18537235.0,2.07,1.57,0.16,1.18
2025-06-05,600847,10.38,10.18,10.5,10.14,26167,26893273.0,3.49,-1.36,-0.14,1.71
2025-06-06,600847,10.23,10.35,10.35,10.08,27417,28108806.0,2.65,1.67,0.17,1.79
2025-06-09,600847,10.35,10.42,10.5,10.31,22684,23594076.0,1.84,0.68,0.07,1.48
2025-06-10,600847,10.42,10.31,10.55,10.12,25121,26005113.0,4.13,-1.06,-0.11,1.64
2025-06-11,600847,10.31,10.32,10.49,10.28,20543,21352890.0,2.04,0.1,0.01,1.34
2025-06-12,600847,10.28,10.24,10.38,10.14,21508,21992526.0,2.33,-0.78,-0.08,1.4
2025-06-13,600847,10.15,10.01,10.25,9.9,25074,25145321.0,3.42,-2.25,-0.23,1.64
2025-06-16,600847,9.91,10.13,10.27,9.9,22583,22837176.0,3.7,1.2,0.12,1.47
2025-06-17,600847,10.26,10.02,10.26,9.92,27276,27520945.0,3.36,-1.09,-0.11,1.78
2025-06-18,600847,10.03,9.88,10.2,9.76,24358,24060183.0,4.39,-1.4,-0.14,1.59
2025-06-19,600847,9.88,9.67,9.99,9.59,27670,27062162.0,4.05,-2.13,-0.21,1.81
2025-06-20,600847,9.7,9.65,9.92,9.52,25012,24300266.0,4.14,-0.21,-0.02,1.63
2025-06-23,600847,9.62,9.93,9.95,9.48,35110,34493338.0,4.87,2.9,0.28,2.29
2025-06-24,600847,9.99,10.4,10.43,9.95,35581,36482602.0,4.83,4.73,0.47,2.32
2025-06-25,600847,10.4,10.42,10.59,10.34,34318,35849663.0,2.4,0.19,0.02,2.24
2025-06-26,600847,10.58,10.58,10.74,10.32,34815,36756925.0,4.03,1.54,0.16,2.27
2025-06-27,600847,10.51,10.75,10.83,10.51,33043,35255146.0,3.02,1.61,0.17,2.16
2025-06-30,600847,10.8,11.0,11.15,10.65,46799,51227912.0,4.65,2.33,0.25,3.05
2025-07-01,600847,10.95,10.95,11.04,10.81,37541,40996021.0,2.09,-0.45,-0.05,2.45
2025-07-02,600847,10.9,11.23,12.05,10.9,154677,178174881.0,10.5,2.56,0.28,10.09
2025-07-03,600847,11.0,12.35,12.35,10.79,181372,209719288.0,13.89,9.97,1.12,11.83
2025-07-04,600847,13.06,11.95,13.49,11.71,288680,364940798.0,14.41,-3.24,-0.4,18.83
2025-07-07,600847,11.22,11.52,11.7,11.22,160016,183613315.0,4.02,-3.6,-0.43,10.44
2025-07-08,600847,11.53,11.31,11.68,11.22,105655,119727411.0,3.99,-1.82,-0.21,6.89
2025-07-09,600847,11.29,11.05,11.36,10.97,98954,109527572.0,3.45,-2.3,-0.26,6.46
2025-07-10,600847,11.07,10.89,11.12,10.83,61289,66896172.0,2.62,-1.45,-0.16,4.0
2025-07-11,600847,10.95,10.9,10.96,10.7,49848,54016348.0,2.39,0.09,0.01,3.25
2025-07-14,600847,10.95,11.1,11.1,10.9,51151,56398141.0,1.83,1.83,0.2,3.34
2025-07-15,600847,11.0,10.9,11.05,10.7,48780,53096650.0,3.15,-1.8,-0.2,3.18
2025-07-16,600847,10.9,11.06,11.06,10.81,31866,35038664.0,2.29,1.47,0.16,2.08
2025-07-17,600847,11.06,11.09,11.2,11.03,37391,41530000.0,1.54,0.27,0.03,2.44
2025-07-18,600847,11.11,11.03,11.15,11.0,31596,34952779.0,1.35,-0.54,-0.06,2.06
2025-07-21,600847,11.14,11.3,11.31,11.07,46783,52613257.0,2.18,2.45,0.27,3.05
2025-07-22,600847,11.3,11.25,11.34,11.13,38624,43371082.0,1.86,-0.44,-0.05,2.52
2025-07-23,600847,11.24,10.96,11.24,10.95,36207,40054017.0,2.58,-2.58,-0.29,2.36
2025-07-24,600847,10.97,11.21,11.23,10.97,33318,37168196.0,2.37,2.28,0.25,2.17
2025-07-25,600847,11.23,11.21,11.28,11.07,25016,28001850.0,1.87,0.0,0.0,1.63
2025-07-28,600847,11.34,11.46,11.46,11.24,29176,33129198.0,1.96,2.23,0.25,1.9
2025-07-29,600847,11.48,11.34,11.49,11.23,20857,23648500.0,2.27,-1.05,-0.12,1.36
2025-07-30,600847,11.34,11.24,11.4,11.03,25656,28765131.0,3.26,-0.88,-0.1,1.67
2025-07-31,600847,11.23,11.08,11.39,11.02,25349,28337391.0,3.29,-1.42,-0.16,1.65
2025-08-01,600847,11.11,11.36,11.4,11.09,38259,43292458.0,2.8,2.53,0.28,2.5
