日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600850,23.19,21.84,23.45,21.51,245141,560834780.0,8.26,-7.02,-1.65,4.0
2025-01-03,600850,21.84,20.62,22.04,20.49,159938,345545312.0,7.1,-5.59,-1.22,2.61
2025-01-06,600850,20.54,20.4,20.86,20.16,107635,225066972.0,3.39,-1.07,-0.22,1.76
2025-01-07,600850,20.49,20.77,20.82,20.44,85245,179509907.0,1.86,1.81,0.37,1.39
2025-01-08,600850,20.68,20.38,20.77,19.59,122712,252665704.0,5.68,-1.88,-0.39,2.0
2025-01-09,600850,20.27,20.47,20.79,20.18,87326,183514986.0,2.99,0.44,0.09,1.42
2025-01-10,600850,20.42,20.19,20.84,20.16,83670,175156962.0,3.32,-1.37,-0.28,1.36
2025-01-13,600850,19.99,20.42,20.55,19.77,72262,149071524.0,3.86,1.14,0.23,1.18
2025-01-14,600850,20.52,21.24,21.37,20.36,116909,250070531.0,4.95,4.02,0.82,1.91
2025-01-15,600850,21.17,21.11,21.34,21.02,80957,174663441.0,1.51,-0.61,-0.13,1.32
2025-01-16,600850,21.35,21.03,21.69,20.79,99308,215257117.0,4.26,-0.38,-0.08,1.62
2025-01-17,600850,21.08,21.25,21.41,20.91,68568,147912909.0,2.38,1.05,0.22,1.12
2025-01-20,600850,21.44,21.44,21.68,21.35,60204,131872537.0,1.55,0.89,0.19,0.98
2025-01-21,600850,21.59,21.54,21.79,21.24,64279,140668383.0,2.57,0.47,0.1,1.05
2025-01-22,600850,21.5,21.58,21.66,21.31,59211,129850964.0,1.62,0.19,0.04,0.97
2025-01-23,600850,21.8,21.59,22.24,21.58,94105,209920241.0,3.06,0.05,0.01,1.53
2025-01-24,600850,21.55,22.4,22.47,21.55,114804,258853790.0,4.26,3.75,0.81,1.87
2025-01-27,600850,22.65,22.25,22.84,22.19,87052,199187526.0,2.9,-0.67,-0.15,1.42
2025-02-05,600850,22.64,22.79,23.05,22.57,124922,289762030.0,2.16,2.43,0.54,2.04
2025-02-06,600850,22.74,23.23,23.24,22.55,111052,259826607.0,3.03,1.93,0.44,1.81
2025-02-07,600850,23.14,23.59,23.89,23.03,162409,388269602.0,3.7,1.55,0.36,2.65
2025-02-10,600850,23.97,24.12,24.21,23.71,164253,401388818.0,2.12,2.25,0.53,2.68
2025-02-11,600850,24.05,24.58,25.04,23.65,233538,579503732.0,5.76,1.91,0.46,3.81
2025-02-12,600850,24.51,25.06,25.11,24.46,193333,489452746.0,2.64,1.95,0.48,3.15
2025-02-13,600850,25.07,25.01,25.71,24.41,266365,678313238.0,5.19,-0.2,-0.05,4.34
2025-02-14,600850,25.6,25.89,26.07,24.74,371145,963700854.0,5.32,3.52,0.88,6.05
2025-02-17,600850,26.01,25.89,26.68,25.62,350142,926261486.0,4.09,0.0,0.0,5.71
2025-02-18,600850,26.15,25.26,26.66,25.15,356502,939740942.0,5.83,-2.43,-0.63,5.81
2025-02-19,600850,25.26,25.86,26.1,25.01,257476,669659198.0,4.32,2.38,0.6,4.2
2025-02-20,600850,25.77,25.56,26.02,25.29,188997,492233215.0,2.82,-1.16,-0.3,3.08
2025-02-21,600850,26.34,27.68,28.1,26.09,507317,1394639839.0,7.86,8.29,2.12,8.27
2025-02-24,600850,30.49,28.75,30.49,28.49,830704,2483659755.0,7.23,3.87,1.07,13.55
2025-02-25,600850,27.99,27.26,28.19,27.1,499720,1395298046.0,3.79,-5.18,-1.49,8.15
2025-02-26,600850,27.34,27.99,28.44,26.89,416906,1171630792.0,5.69,2.68,0.73,6.8
2025-02-27,600850,27.99,26.86,28.27,26.37,322252,888146315.0,6.79,-4.04,-1.13,5.26
2025-02-28,600850,26.5,25.64,26.89,25.38,269365,710575710.0,5.62,-4.54,-1.22,4.39
2025-03-03,600850,25.64,25.45,26.06,25.21,174595,454499229.0,3.32,-0.74,-0.19,2.85
2025-03-04,600850,25.33,25.79,25.97,25.27,146818,384181457.0,2.75,1.34,0.34,2.39
2025-03-05,600850,25.99,26.29,26.36,25.84,171989,456114363.0,2.02,1.94,0.5,2.81
2025-03-06,600850,26.59,26.91,27.16,26.29,235090,638157993.0,3.31,2.36,0.62,3.83
