日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600854,4.44,4.46,4.58,4.4,88984,41102878.0,4.04,0.0,0.0,1.71
2025-01-03,600854,4.51,4.19,4.51,4.19,132751,58661439.0,7.17,-6.05,-0.27,2.56
2025-01-06,600854,4.19,4.17,4.27,4.01,72887,31121099.0,6.21,-0.48,-0.02,1.4
2025-01-07,600854,4.2,4.3,4.31,4.14,70591,30633118.0,4.08,3.12,0.13,1.36
2025-01-08,600854,4.28,4.74,4.74,4.23,373291,178931574.0,11.86,10.23,0.44,7.19
2025-01-09,600854,4.74,4.67,4.98,4.65,503859,248172453.0,6.96,-1.48,-0.07,9.7
2025-01-10,600854,4.65,4.26,4.73,4.26,314470,144501924.0,10.06,-8.78,-0.41,6.05
2025-01-13,600854,4.25,4.18,4.31,4.06,171335,73728578.0,5.87,-1.88,-0.08,3.3
2025-01-14,600854,4.21,4.43,4.46,4.21,187228,83709338.0,5.98,5.98,0.25,3.6
2025-01-15,600854,4.42,4.4,4.48,4.36,116918,52999962.0,2.71,-0.68,-0.03,2.25
2025-01-16,600854,4.46,4.56,4.61,4.44,158558,73811490.0,3.86,3.64,0.16,3.05
2025-01-17,600854,4.51,4.46,4.55,4.42,110498,50648268.0,2.85,-2.19,-0.1,2.13
2025-01-20,600854,4.5,4.52,4.58,4.42,104250,48389870.0,3.59,1.35,0.06,2.01
2025-01-21,600854,4.55,4.47,4.57,4.42,80183,36913626.0,3.32,-1.11,-0.05,1.54
2025-01-22,600854,4.45,4.34,4.45,4.32,91001,40877020.0,2.91,-2.91,-0.13,1.75
2025-01-23,600854,4.37,4.34,4.46,4.34,83800,37944023.0,2.76,0.0,0.0,1.61
2025-01-24,600854,4.37,4.41,4.43,4.3,82123,36825791.0,3.0,1.61,0.07,1.58
2025-01-27,600854,4.41,4.44,4.57,4.41,76341,35086719.0,3.63,0.68,0.03,1.47
2025-02-05,600854,4.45,4.44,4.47,4.4,61620,28073601.0,1.58,0.0,0.0,1.19
2025-02-06,600854,4.43,4.54,4.55,4.41,81902,37681738.0,3.15,2.25,0.1,1.58
2025-02-07,600854,4.53,4.61,4.64,4.52,115129,54210946.0,2.64,1.54,0.07,2.22
2025-02-10,600854,4.61,4.66,4.67,4.58,71039,33770910.0,1.95,1.08,0.05,1.37
2025-02-11,600854,4.68,4.65,4.68,4.58,73518,34816469.0,2.15,-0.21,-0.01,1.42
2025-02-12,600854,4.64,4.65,4.68,4.61,60393,28755761.0,1.51,0.0,0.0,1.16
2025-02-13,600854,4.66,4.62,4.66,4.59,67918,32286178.0,1.51,-0.65,-0.03,1.31
2025-02-14,600854,4.62,4.6,4.64,4.57,51222,24163615.0,1.52,-0.43,-0.02,0.99
2025-02-17,600854,4.59,4.66,4.7,4.58,80937,38602788.0,2.61,1.3,0.06,1.56
2025-02-18,600854,4.65,4.51,4.66,4.51,95694,44954300.0,3.22,-3.22,-0.15,1.84
2025-02-19,600854,4.55,4.62,4.63,4.5,90986,42841130.0,2.88,2.44,0.11,1.75
2025-02-20,600854,4.62,4.64,4.66,4.59,92021,43706364.0,1.52,0.43,0.02,1.77
2025-02-21,600854,4.66,4.58,4.66,4.53,101552,47670909.0,2.8,-1.29,-0.06,1.95
2025-02-24,600854,4.56,4.66,4.66,4.53,90233,42742535.0,2.84,1.75,0.08,1.74
2025-02-25,600854,4.66,4.59,4.68,4.58,64034,30389536.0,2.15,-1.5,-0.07,1.23
2025-02-26,600854,4.59,4.67,4.67,4.59,91117,43453138.0,1.74,1.74,0.08,1.75
2025-02-27,600854,4.66,4.67,4.73,4.59,81997,39105434.0,3.0,0.0,0.0,1.58
2025-02-28,600854,4.63,4.52,4.65,4.51,79297,37270189.0,3.0,-3.21,-0.15,1.53
2025-03-03,600854,4.53,4.54,4.6,4.5,64517,30195455.0,2.21,0.44,0.02,1.24
2025-03-04,600854,4.51,4.57,4.59,4.49,50021,23411786.0,2.2,0.66,0.03,0.96
2025-03-05,600854,4.59,4.54,4.6,4.44,78412,36173116.0,3.5,-0.66,-0.03,1.51
2025-03-06,600854,4.53,4.63,4.63,4.5,82385,38782661.0,2.86,1.98,0.09,1.59
2025-03-07,600854,4.61,4.55,4.63,4.52,63912,30055428.0,2.38,-1.73,-0.08,1.23
2025-03-10,600854,4.56,4.59,4.61,4.54,52534,24678946.0,1.54,0.88,0.04,1.01
2025-03-11,600854,4.57,4.64,4.66,4.53,80037,37700255.0,2.83,1.09,0.05,1.54
2025-03-12,600854,4.65,4.65,4.67,4.62,80224,38244552.0,1.08,0.22,0.01,1.54
2025-03-13,600854,4.68,4.66,4.7,4.58,95911,45606470.0,2.58,0.22,0.01,1.85
2025-03-14,600854,4.64,4.8,4.8,4.62,123425,59770529.0,3.86,3.0,0.14,2.38
2025-03-17,600854,4.83,4.81,4.87,4.78,107943,53319681.0,1.88,0.21,0.01,2.08
2025-03-18,600854,4.8,4.81,4.83,4.76,56173,27591719.0,1.46,0.0,0.0,1.08
2025-03-19,600854,4.81,4.79,4.84,4.76,67631,33243361.0,1.66,-0.42,-0.02,1.3
2025-03-20,600854,4.79,4.92,5.02,4.77,189383,95262151.0,5.22,2.71,0.13,3.65
2025-03-21,600854,4.9,4.84,4.95,4.82,124816,62300315.0,2.64,-1.63,-0.08,2.4
2025-03-24,600854,4.81,4.71,4.87,4.6,106434,51429607.0,5.58,-2.69,-0.13,2.05
2025-03-25,600854,4.67,4.71,4.75,4.63,83687,40188239.0,2.55,0.0,0.0,1.61
2025-03-26,600854,4.7,4.8,4.81,4.67,83971,41064022.0,2.97,1.91,0.09,1.62
2025-03-27,600854,4.76,4.75,4.8,4.68,68251,33207815.0,2.5,-1.04,-0.05,1.31
2025-03-28,600854,4.75,4.66,4.75,4.63,66750,32019858.0,2.53,-1.89,-0.09,1.28
2025-03-31,600854,4.64,4.52,4.64,4.47,83851,39076503.0,3.65,-3.0,-0.14,1.61
2025-04-01,600854,4.52,4.55,4.6,4.52,72110,33798470.0,1.77,0.66,0.03,1.39
2025-04-02,600854,4.55,4.59,4.62,4.53,50351,23677550.0,1.98,0.88,0.04,0.97
2025-04-03,600854,4.55,4.58,4.63,4.52,69823,32750772.0,2.4,-0.22,-0.01,1.34
2025-04-07,600854,4.38,4.11,4.4,4.11,119027,51224084.0,6.33,-10.26,-0.47,2.29
2025-04-08,600854,4.09,3.96,4.11,3.87,168840,69173043.0,5.84,-3.65,-0.15,3.25
2025-04-09,600854,3.88,4.02,4.06,3.71,124624,50034221.0,8.84,1.52,0.06,2.4
2025-04-10,600854,4.08,4.12,4.19,4.06,141484,60181367.0,3.23,2.49,0.1,2.72
2025-04-11,600854,4.09,4.16,4.32,4.07,127373,54730517.0,6.07,0.97,0.04,2.45
2025-04-14,600854,4.17,4.23,4.27,4.16,84404,36682652.0,2.64,1.68,0.07,1.62
2025-04-15,600854,4.23,4.28,4.28,4.17,65920,28732621.0,2.6,1.18,0.05,1.27
2025-04-16,600854,4.25,4.23,4.28,4.12,75227,32541048.0,3.74,-1.17,-0.05,1.45
2025-04-17,600854,4.19,4.3,4.34,4.17,80392,35419505.0,4.02,1.65,0.07,1.55
2025-04-18,600854,4.28,4.31,4.32,4.25,45905,20226169.0,1.63,0.23,0.01,0.88
2025-04-21,600854,4.27,4.32,4.33,4.22,79670,35131038.0,2.55,0.23,0.01,1.53
2025-04-22,600854,4.32,4.38,4.38,4.3,59941,26736384.0,1.85,1.39,0.06,1.15
2025-04-23,600854,4.39,4.39,4.45,4.36,69593,31434824.0,2.05,0.23,0.01,1.34
2025-04-24,600854,4.38,4.39,4.43,4.34,73059,32991668.0,2.05,0.0,0.0,1.41
2025-04-25,600854,4.39,4.48,4.66,4.38,139435,64504050.0,6.38,2.05,0.09,2.68
2025-04-28,600854,4.43,4.41,4.66,4.41,135815,62818939.0,5.58,-1.56,-0.07,2.61
2025-04-29,600854,4.39,4.42,4.47,4.32,102945,46729461.0,3.4,0.23,0.01,1.98
2025-04-30,600854,4.46,4.4,4.53,4.4,73973,33864324.0,2.94,-0.45,-0.02,1.42
2025-05-06,600854,4.49,4.53,4.54,4.41,91463,42345308.0,2.95,2.95,0.13,1.76
2025-05-07,600854,4.55,4.58,4.62,4.53,84217,39539066.0,1.99,1.1,0.05,1.62
2025-05-08,600854,4.55,4.61,4.62,4.53,62176,29347851.0,1.97,0.66,0.03,1.2
2025-05-09,600854,4.61,4.7,4.72,4.56,132619,63441486.0,3.47,1.95,0.09,2.55
2025-05-12,600854,4.7,4.7,4.72,4.63,97741,46781054.0,1.91,0.0,0.0,1.88
2025-05-13,600854,4.73,4.67,4.74,4.64,73475,35339923.0,2.13,-0.64,-0.03,1.41
2025-05-14,600854,4.66,4.76,4.81,4.61,158752,76850201.0,4.28,1.93,0.09,3.06
2025-05-15,600854,4.76,4.82,4.84,4.75,122267,60046370.0,1.89,1.26,0.06,2.35
2025-05-16,600854,4.79,4.77,5.03,4.72,192818,95372224.0,6.43,-1.04,-0.05,3.71
2025-05-19,600854,4.74,4.89,4.9,4.65,155646,76830152.0,5.24,2.52,0.12,3.0
2025-05-20,600854,4.89,4.92,5.01,4.85,92175,46251817.0,3.27,0.61,0.03,1.77
2025-05-21,600854,4.91,4.87,4.93,4.84,66026,32991601.0,1.83,-1.02,-0.05,1.27
2025-05-22,600854,4.88,4.77,4.91,4.75,89486,44143369.0,3.29,-2.05,-0.1,1.72
2025-05-23,600854,4.78,4.73,4.83,4.68,84464,41253437.0,3.14,-0.84,-0.04,1.63
2025-05-26,600854,4.73,4.74,4.79,4.72,64018,31174187.0,1.48,0.21,0.01,1.23
2025-05-27,600854,4.76,4.79,4.81,4.71,74567,36455394.0,2.11,1.05,0.05,1.44
2025-05-28,600854,4.82,4.78,4.83,4.75,50950,24939939.0,1.67,-0.21,-0.01,0.98
2025-05-29,600854,4.8,4.81,4.84,4.76,64091,31617893.0,1.67,0.63,0.03,1.23
2025-05-30,600854,4.8,4.76,4.84,4.74,59834,29240907.0,2.08,-1.04,-0.05,1.15
2025-06-03,600854,4.76,4.78,4.8,4.72,46775,22854044.0,1.68,0.42,0.02,0.9
2025-06-04,600854,4.8,4.83,4.84,4.78,54866,27046126.0,1.26,1.05,0.05,1.06
2025-06-05,600854,4.82,4.86,4.97,4.82,93788,47030384.0,3.11,0.62,0.03,1.81
2025-06-06,600854,4.86,4.88,4.88,4.82,56827,28245892.0,1.23,0.41,0.02,1.09
2025-06-09,600854,4.88,4.92,4.93,4.84,75966,38019238.0,1.84,0.82,0.04,1.46
2025-06-10,600854,4.94,4.9,4.97,4.83,81317,39866131.0,2.85,-0.41,-0.02,1.57
2025-06-11,600854,4.91,4.9,4.94,4.89,46875,23016537.0,1.02,0.0,0.0,0.9
2025-06-12,600854,4.88,4.91,4.93,4.87,52117,25556649.0,1.22,0.2,0.01,1.0
2025-06-13,600854,4.9,4.83,4.92,4.81,71363,34684575.0,2.24,-1.63,-0.08,1.37
2025-06-16,600854,4.8,4.87,4.91,4.8,63313,30863482.0,2.28,0.83,0.04,1.22
2025-06-17,600854,4.87,4.87,4.9,4.84,46940,22830406.0,1.23,0.0,0.0,0.9
2025-06-18,600854,4.88,4.84,4.88,4.8,44033,21275770.0,1.64,-0.62,-0.03,0.85
2025-06-19,600854,4.82,4.75,4.86,4.71,57622,27438362.0,3.1,-1.86,-0.09,1.11
2025-06-20,600854,4.76,4.74,4.79,4.72,44480,21139856.0,1.47,-0.21,-0.01,0.86
2025-06-23,600854,4.74,4.77,4.79,4.68,53148,25266144.0,2.32,0.63,0.03,1.02
2025-06-24,600854,4.78,4.95,4.96,4.76,98562,48373961.0,4.19,3.77,0.18,1.9
2025-06-25,600854,4.99,5.24,5.45,4.99,481689,256050194.0,9.29,5.86,0.29,9.27
