日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600871,2.04,1.99,2.06,1.97,878779,177578444.0,4.41,-2.45,-0.05,0.65
2025-01-03,600871,1.99,1.97,2.02,1.96,995288,198019595.0,3.02,-1.01,-0.02,0.73
2025-01-06,600871,1.96,1.97,1.99,1.94,748902,147369261.0,2.54,0.0,0.0,0.55
2025-01-07,600871,1.97,1.99,2.0,1.96,567363,112142810.0,2.03,1.02,0.02,0.42
2025-01-08,600871,1.99,1.97,2.0,1.93,766829,150380564.0,3.52,-1.01,-0.02,0.57
2025-01-09,600871,1.96,1.93,1.97,1.93,599831,116586577.0,2.03,-2.03,-0.04,0.44
2025-01-10,600871,1.94,1.92,1.95,1.91,670199,129447039.0,2.07,-0.52,-0.01,0.49
2025-01-13,600871,1.92,1.95,1.98,1.92,892287,174383620.0,3.13,1.56,0.03,0.66
2025-01-14,600871,1.95,2.02,2.02,1.95,916329,182161369.0,3.59,3.59,0.07,0.68
2025-01-15,600871,2.01,1.96,2.02,1.95,871564,172263820.0,3.47,-2.97,-0.06,0.64
2025-01-16,600871,1.97,1.99,2.03,1.97,1016681,203473210.0,3.06,1.53,0.03,0.75
2025-01-17,600871,1.99,1.98,2.0,1.95,620371,122304841.0,2.51,-0.5,-0.01,0.46
2025-01-20,600871,1.99,1.98,2.02,1.97,760043,151717372.0,2.53,0.0,0.0,0.56
2025-01-21,600871,1.99,1.97,1.99,1.95,571057,112038717.0,2.02,-0.51,-0.01,0.42
2025-01-22,600871,1.95,1.95,1.96,1.93,489637,95300575.0,1.52,-1.02,-0.02,0.36
2025-01-23,600871,1.96,1.96,1.99,1.95,629377,123988357.0,2.05,0.51,0.01,0.46
2025-01-24,600871,1.95,1.96,1.97,1.94,613505,120011105.0,1.53,0.0,0.0,0.45
2025-01-27,600871,1.97,1.96,2.01,1.96,738298,146494245.0,2.55,0.0,0.0,0.54
2025-02-05,600871,1.97,1.94,1.98,1.93,604639,118052188.0,2.55,-1.02,-0.02,0.45
2025-02-06,600871,1.94,1.96,1.97,1.93,702743,137103935.0,2.06,1.03,0.02,0.52
2025-02-07,600871,1.96,1.99,2.0,1.95,908468,179590651.0,2.55,1.53,0.03,0.67
2025-02-10,600871,1.99,1.99,2.01,1.98,723834,144112865.0,1.51,0.0,0.0,0.53
