日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600881,1.81,1.99,1.99,1.8,3077721,601341479.0,10.5,9.94,0.18,9.47
2025-01-03,600881,1.95,1.89,1.97,1.85,2455996,463771132.0,6.03,-5.03,-0.1,7.56
2025-01-06,600881,1.84,1.96,2.07,1.78,2172356,421747945.0,15.34,3.7,0.07,6.69
2025-01-07,600881,1.93,2.03,2.05,1.91,1749706,347824377.0,7.14,3.57,0.07,5.39
2025-01-08,600881,2.0,2.0,2.01,1.93,1434363,282700521.0,3.94,-1.48,-0.03,4.41
2025-01-09,600881,1.97,1.94,1.98,1.93,1152231,224424691.0,2.5,-3.0,-0.06,3.55
2025-01-10,600881,1.91,1.84,1.92,1.83,1370072,254972395.0,4.64,-5.15,-0.1,4.22
2025-01-13,600881,1.8,1.8,1.84,1.77,862032,155109966.0,3.8,-2.17,-0.04,2.65
2025-01-14,600881,1.82,1.9,1.91,1.81,1217967,227472688.0,5.56,5.56,0.1,3.75
2025-01-15,600881,1.89,1.86,1.91,1.84,937808,175175993.0,3.68,-2.11,-0.04,2.89
2025-01-16,600881,1.86,1.87,1.93,1.84,977009,183683457.0,4.84,0.54,0.01,3.01
2025-01-17,600881,1.86,1.83,1.86,1.82,707520,129750173.0,2.14,-2.14,-0.04,2.18
2025-01-20,600881,1.8,1.81,1.83,1.72,1076664,191977777.0,6.01,-1.09,-0.02,3.31
2025-01-21,600881,1.82,1.77,1.84,1.76,638441,113583449.0,4.42,-2.21,-0.04,1.97
2025-01-22,600881,1.76,1.71,1.76,1.7,784219,135096006.0,3.39,-3.39,-0.06,2.41
2025-01-23,600881,1.73,1.68,1.76,1.67,756488,130269863.0,5.26,-1.75,-0.03,2.33
2025-01-24,600881,1.66,1.67,1.68,1.62,766738,126817911.0,3.57,-0.6,-0.01,2.36
2025-01-27,600881,1.7,1.65,1.72,1.65,552943,92769209.0,4.19,-1.2,-0.02,1.7
2025-02-05,600881,1.66,1.7,1.72,1.65,737397,124703928.0,4.24,3.03,0.05,2.27
2025-02-06,600881,1.7,1.72,1.72,1.65,822977,139303651.0,4.12,1.18,0.02,2.53
2025-02-07,600881,1.72,1.8,1.84,1.71,1346134,241139783.0,7.56,4.65,0.08,4.14
2025-02-10,600881,1.82,1.98,1.98,1.82,2296513,440664983.0,8.89,10.0,0.18,7.07
2025-02-11,600881,1.97,1.92,1.98,1.89,1867096,359562258.0,4.55,-3.03,-0.06,5.75
2025-02-12,600881,1.91,1.92,1.95,1.88,1101964,210911852.0,3.65,0.0,0.0,3.39
2025-02-13,600881,1.94,1.97,2.01,1.91,1859761,364664082.0,5.21,2.6,0.05,5.72
2025-02-14,600881,1.94,1.89,1.96,1.88,1209755,230293809.0,4.06,-4.06,-0.08,3.72
2025-02-17,600881,1.88,1.92,1.96,1.88,1112063,213399525.0,4.23,1.59,0.03,3.42
2025-02-18,600881,1.91,1.81,1.92,1.81,1174071,217426705.0,5.73,-5.73,-0.11,3.61
2025-02-19,600881,1.81,1.82,1.85,1.81,699469,127704041.0,2.21,0.55,0.01,2.15
2025-02-20,600881,1.82,1.83,1.85,1.81,618646,113402060.0,2.2,0.55,0.01,1.9
2025-02-21,600881,1.83,1.83,1.85,1.78,895488,163254813.0,3.83,0.0,0.0,2.76
2025-02-24,600881,1.83,1.89,1.93,1.83,1390893,263296298.0,5.46,3.28,0.06,4.28
2025-02-25,600881,1.85,1.87,1.92,1.84,905365,170746151.0,4.23,-1.06,-0.02,2.79
2025-02-26,600881,1.88,1.94,1.95,1.87,1293158,248466711.0,4.28,3.74,0.07,3.98
2025-02-27,600881,1.92,1.9,1.95,1.87,996358,189521133.0,4.12,-2.06,-0.04,3.07
2025-02-28,600881,1.9,1.83,1.9,1.82,893922,166174387.0,4.21,-3.68,-0.07,2.75
2025-03-03,600881,1.84,1.81,1.86,1.79,736628,134333354.0,3.83,-1.09,-0.02,2.27
2025-03-04,600881,1.8,1.81,1.82,1.77,569868,101954838.0,2.76,0.0,0.0,1.75
2025-03-05,600881,1.81,1.8,1.81,1.75,563287,99935185.0,3.31,-0.55,-0.01,1.73
2025-03-06,600881,1.79,1.82,1.84,1.79,641601,116686555.0,2.78,1.11,0.02,1.97
2025-03-07,600881,1.81,1.78,1.81,1.77,658452,117637222.0,2.2,-2.2,-0.04,2.03
2025-03-10,600881,1.78,1.77,1.81,1.76,479944,85641557.0,2.81,-0.56,-0.01,1.48
2025-03-11,600881,1.76,1.78,1.79,1.75,543949,95932716.0,2.26,0.56,0.01,1.67
2025-03-12,600881,1.77,1.82,1.84,1.77,1081781,196888738.0,3.93,2.25,0.04,3.33
2025-03-13,600881,1.81,1.77,1.82,1.75,781150,138435289.0,3.85,-2.75,-0.05,2.4
2025-03-14,600881,1.77,1.8,1.81,1.76,596856,106673416.0,2.82,1.69,0.03,1.84
2025-03-17,600881,1.8,1.83,1.87,1.79,1049929,194274785.0,4.44,1.67,0.03,3.23
2025-03-18,600881,1.84,1.8,1.85,1.79,659915,119353437.0,3.28,-1.64,-0.03,2.03
