日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600900,28.36,28.05,28.58,27.93,1041220,3057996060.0,2.29,-1.23,-0.35,0.43
2025-01-03,600900,28.06,27.85,28.28,27.7,946323,2753136714.0,2.07,-0.71,-0.2,0.39
2025-01-06,600900,27.95,27.74,27.95,27.36,794674,2286573074.0,2.12,-0.39,-0.11,0.33
2025-01-07,600900,27.73,27.55,27.74,27.39,654960,1879633128.0,1.26,-0.68,-0.19,0.27
2025-01-08,600900,27.52,27.85,28.01,27.48,906309,2624410315.0,1.92,1.09,0.3,0.38
2025-01-09,600900,27.79,27.64,27.91,27.49,581771,1676501567.0,1.51,-0.75,-0.21,0.24
2025-01-10,600900,27.64,27.72,27.9,27.36,694910,2005099923.0,1.95,0.29,0.08,0.29
2025-01-13,600900,27.65,27.66,27.76,27.28,906278,2602917132.0,1.73,-0.22,-0.06,0.38
2025-01-14,600900,27.65,27.69,27.83,27.57,819857,2362763164.0,0.94,0.11,0.03,0.34
2025-01-15,600900,27.58,27.65,27.97,27.46,722793,2086198307.0,1.84,-0.14,-0.04,0.3
2025-01-16,600900,27.58,27.69,27.83,27.57,720602,2076090814.0,0.94,0.14,0.04,0.3
2025-01-17,600900,27.72,27.86,27.88,27.61,596372,1726533811.0,0.98,0.61,0.17,0.25
2025-01-20,600900,27.9,27.82,27.91,27.68,665424,1927427722.0,0.83,-0.14,-0.04,0.28
2025-01-21,600900,27.81,28.01,28.16,27.67,789413,2299694593.0,1.76,0.68,0.19,0.33
2025-01-22,600900,28.01,27.54,28.15,27.45,1073703,3102296596.0,2.5,-1.68,-0.47,0.45
2025-01-23,600900,27.57,27.35,27.66,27.13,1034684,2953937702.0,1.92,-0.69,-0.19,0.43
2025-01-24,600900,27.44,27.26,27.71,27.26,840006,2388148361.0,1.65,-0.33,-0.09,0.35
2025-01-27,600900,27.33,27.96,28.16,27.28,995244,2863650427.0,3.23,2.57,0.7,0.41
2025-02-05,600900,27.92,27.41,27.95,27.33,902861,2568658666.0,2.22,-1.97,-0.55,0.38
2025-02-06,600900,27.42,27.33,27.49,27.19,676097,1908311707.0,1.09,-0.29,-0.08,0.28
2025-02-07,600900,27.26,27.19,27.3,26.96,1091476,3059789716.0,1.24,-0.51,-0.14,0.45
2025-02-10,600900,27.11,26.97,27.22,26.96,969001,2709703559.0,0.96,-0.81,-0.22,0.4
2025-02-11,600900,27.04,26.96,27.04,26.76,901386,2507433419.0,1.04,-0.04,-0.01,0.38
2025-02-12,600900,26.91,27.05,27.09,26.83,714701,1996133152.0,0.96,0.33,0.09,0.3
2025-02-13,600900,26.98,27.23,27.29,26.89,940018,2643911849.0,1.48,0.67,0.18,0.39
2025-02-14,600900,27.23,27.27,27.56,27.11,928764,2628490803.0,1.65,0.15,0.04,0.39
2025-02-17,600900,27.12,27.23,27.23,26.68,1095807,3060604828.0,2.02,-0.15,-0.04,0.46
2025-02-18,600900,27.11,27.42,27.62,27.11,1083707,3074479598.0,1.87,0.7,0.19,0.45
2025-02-19,600900,27.32,27.13,27.47,27.09,832431,2344764606.0,1.39,-1.06,-0.29,0.35
2025-02-20,600900,27.06,27.1,27.18,26.92,696212,1949177936.0,0.96,-0.11,-0.03,0.29
2025-02-21,600900,27.1,26.86,27.1,26.77,1246882,3470960409.0,1.22,-0.89,-0.24,0.52
2025-02-24,600900,26.86,26.61,26.98,26.57,1294032,3578403310.0,1.53,-0.93,-0.25,0.54
2025-02-25,600900,26.64,26.39,26.71,26.26,973229,2669049554.0,1.69,-0.83,-0.22,0.41
2025-02-26,600900,26.36,26.69,26.76,26.33,889170,2451236807.0,1.63,1.14,0.3,0.37
2025-02-27,600900,26.7,26.58,26.78,26.37,991769,2727061265.0,1.54,-0.41,-0.11,0.41
2025-02-28,600900,26.54,26.44,26.8,26.41,1175018,3236479356.0,1.47,-0.53,-0.14,0.49
2025-03-03,600900,26.44,26.15,26.49,26.12,1127634,3060769037.0,1.4,-1.1,-0.29,0.47
2025-03-04,600900,26.15,26.21,26.26,26.04,647252,1755054866.0,0.84,0.23,0.06,0.27
2025-03-05,600900,26.2,26.54,26.66,26.07,946605,2594982596.0,2.25,1.26,0.33,0.39
2025-03-06,600900,26.47,26.28,26.54,26.21,980759,2671549581.0,1.24,-0.98,-0.26,0.41
2025-03-07,600900,26.27,26.32,26.43,26.19,683832,1864258519.0,0.91,0.15,0.04,0.28
2025-03-10,600900,26.33,26.16,26.34,26.09,883224,2392990833.0,0.95,-0.61,-0.16,0.37
2025-03-11,600900,26.1,26.25,26.35,26.09,910403,2468093094.0,0.99,0.34,0.09,0.38
2025-03-12,600900,26.22,26.18,26.25,26.07,785238,2126412560.0,0.69,-0.27,-0.07,0.33
2025-03-13,600900,26.16,26.31,26.41,26.15,874097,2380546787.0,0.99,0.5,0.13,0.36
2025-03-14,600900,26.35,26.51,26.61,26.29,1114140,3056432801.0,1.22,0.76,0.2,0.46
2025-03-17,600900,26.57,26.43,26.75,26.41,763522,2099106675.0,1.28,-0.3,-0.08,0.32
2025-03-18,600900,26.43,26.26,26.48,26.23,777193,2116224352.0,0.95,-0.64,-0.17,0.32
2025-03-19,600900,26.3,26.69,26.76,26.22,1318599,3633878031.0,2.06,1.64,0.43,0.55
2025-03-20,600900,26.76,26.7,26.82,26.6,601942,1663702537.0,0.82,0.04,0.01,0.25
2025-03-21,600900,26.73,26.46,26.82,26.43,741877,2042970840.0,1.46,-0.9,-0.24,0.31
2025-03-24,600900,26.48,26.76,26.86,26.43,991625,2745637503.0,1.63,1.13,0.3,0.41
2025-03-25,600900,26.77,26.99,27.06,26.62,772560,2152626393.0,1.64,0.86,0.23,0.32
2025-03-26,600900,26.99,26.89,27.05,26.67,690883,1917234896.0,1.41,-0.37,-0.1,0.29
2025-03-27,600900,26.81,26.83,26.92,26.68,572991,1588239086.0,0.89,-0.22,-0.06,0.24
2025-03-28,600900,26.82,26.91,26.96,26.7,572223,1590738628.0,0.97,0.3,0.08,0.24
2025-03-31,600900,26.98,26.87,27.17,26.81,904841,2528379570.0,1.34,-0.15,-0.04,0.38
2025-04-01,600900,26.91,26.96,27.0,26.72,579886,1614469478.0,1.04,0.33,0.09,0.24
2025-04-02,600900,26.96,26.89,27.02,26.77,553530,1539467924.0,0.93,-0.26,-0.07,0.23
2025-04-03,600900,26.77,27.46,27.5,26.77,1437982,4054692590.0,2.71,2.12,0.57,0.6
2025-04-07,600900,27.1,27.39,27.92,26.83,3258722,9247372446.0,3.97,-0.25,-0.07,1.36
2025-04-08,600900,27.32,28.11,28.24,27.06,2341190,6700167019.0,4.31,2.63,0.72,0.98
2025-04-09,600900,28.11,28.63,28.66,27.82,2198018,6447093992.0,2.99,1.85,0.52,0.92
2025-04-10,600900,28.52,28.23,28.55,27.91,1385625,4027976355.0,2.24,-1.4,-0.4,0.58
2025-04-11,600900,28.34,28.26,28.34,28.06,873321,2542617678.0,0.99,0.11,0.03,0.36
2025-04-14,600900,28.07,28.21,28.31,27.88,826375,2399272788.0,1.52,-0.18,-0.05,0.34
2025-04-15,600900,28.14,28.33,28.41,28.05,783080,2283991241.0,1.28,0.43,0.12,0.33
2025-04-16,600900,28.31,28.46,28.47,28.11,1007602,2945909908.0,1.27,0.46,0.13,0.42
2025-04-17,600900,28.36,28.27,28.38,28.06,840853,2448925444.0,1.12,-0.67,-0.19,0.35
2025-04-18,600900,28.16,28.64,28.66,28.12,881174,2592643254.0,1.91,1.31,0.37,0.37
2025-04-21,600900,28.56,28.37,28.76,28.36,565837,1666610558.0,1.4,-0.94,-0.27,0.24
2025-04-22,600900,28.38,28.39,28.88,28.29,768949,2269549948.0,2.08,0.07,0.02,0.32
