日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600901,4.82,4.74,4.88,4.68,629488,327239935.0,4.15,-1.66,-0.08,1.09
2025-01-03,600901,4.74,4.77,4.85,4.73,662709,343963905.0,2.53,0.63,0.03,1.14
2025-01-06,600901,4.76,4.78,4.81,4.71,503932,260005240.0,2.1,0.21,0.01,0.87
2025-01-07,600901,4.77,4.68,4.83,4.65,515374,263786078.0,3.77,-2.09,-0.1,0.89
2025-01-08,600901,4.68,4.79,4.81,4.64,625208,321332187.0,3.63,2.35,0.11,1.08
2025-01-09,600901,4.77,4.68,4.78,4.66,512803,261291671.0,2.51,-2.3,-0.11,0.89
2025-01-10,600901,4.68,4.58,4.69,4.58,472178,236869297.0,2.35,-2.14,-0.1,0.82
2025-01-13,600901,4.55,4.58,4.59,4.46,418278,206246027.0,2.84,0.0,0.0,0.72
2025-01-14,600901,4.57,4.66,4.67,4.56,428183,215491260.0,2.4,1.75,0.08,0.74
2025-01-15,600901,4.65,4.79,4.8,4.63,735914,378421246.0,3.65,2.79,0.13,1.27
2025-01-16,600901,4.8,4.86,4.88,4.77,475640,249274219.0,2.3,1.46,0.07,0.82
2025-01-17,600901,4.86,4.85,4.89,4.8,321927,169057851.0,1.85,-0.21,-0.01,0.56
2025-01-20,600901,4.86,4.76,4.9,4.74,396144,207052626.0,3.3,-1.86,-0.09,0.68
2025-01-21,600901,4.78,4.76,4.8,4.69,339804,174745584.0,2.31,0.0,0.0,0.59
2025-01-22,600901,4.74,4.75,4.77,4.68,330582,169365497.0,1.89,-0.21,-0.01,0.57
2025-01-23,600901,4.76,4.86,4.89,4.76,532053,278992975.0,2.74,2.32,0.11,0.92
2025-01-24,600901,4.8,4.87,4.91,4.74,561954,294768429.0,3.5,0.21,0.01,0.97
2025-01-27,600901,4.87,4.88,4.92,4.84,383573,202612344.0,1.64,0.21,0.01,0.66
2025-02-05,600901,4.9,4.76,4.9,4.73,407355,211393311.0,3.48,-2.46,-0.12,0.7
2025-02-06,600901,4.78,4.74,4.82,4.73,402355,207338731.0,1.89,-0.42,-0.02,0.69
2025-02-07,600901,4.75,4.74,4.79,4.72,552526,284317173.0,1.48,0.0,0.0,0.95
2025-02-10,600901,4.74,4.75,4.77,4.71,412923,212294091.0,1.27,0.21,0.01,0.71
2025-02-11,600901,4.75,4.75,4.8,4.73,364051,187936231.0,1.47,0.0,0.0,0.63
2025-02-12,600901,4.75,4.77,4.77,4.7,343968,176762424.0,1.47,0.42,0.02,0.59
2025-02-13,600901,4.76,4.75,4.8,4.72,399473,206263416.0,1.68,-0.42,-0.02,0.69
2025-02-14,600901,4.75,4.73,4.77,4.7,300992,154350949.0,1.47,-0.42,-0.02,0.52
2025-02-17,600901,4.73,4.7,4.74,4.68,406434,207338448.0,1.27,-0.63,-0.03,0.7
2025-02-18,600901,4.7,4.67,4.73,4.66,346248,176538281.0,1.49,-0.64,-0.03,0.6
2025-02-19,600901,4.67,4.64,4.68,4.62,406608,205320532.0,1.28,-0.64,-0.03,0.7
2025-02-20,600901,4.64,4.62,4.65,4.61,243228,122298932.0,0.86,-0.43,-0.02,0.42
2025-02-21,600901,4.63,4.59,4.64,4.56,548739,273837132.0,1.73,-0.65,-0.03,0.95
2025-02-24,600901,4.59,4.61,4.63,4.58,407623,204033244.0,1.09,0.44,0.02,0.7
2025-02-25,600901,4.59,4.51,4.6,4.5,455034,224527573.0,2.17,-2.17,-0.1,0.79
2025-02-26,600901,4.53,4.61,4.61,4.51,421402,209296800.0,2.22,2.22,0.1,0.73
2025-02-27,600901,4.61,4.58,4.65,4.56,342968,171142865.0,1.95,-0.65,-0.03,0.59
2025-02-28,600901,4.58,4.53,4.6,4.52,317533,157408376.0,1.75,-1.09,-0.05,0.55
2025-03-03,600901,4.53,4.51,4.55,4.5,313849,154399942.0,1.1,-0.44,-0.02,0.54
2025-03-04,600901,4.5,4.51,4.52,4.48,297176,145560421.0,0.89,0.0,0.0,0.51
2025-03-05,600901,4.51,4.53,4.54,4.45,342503,167628221.0,2.0,0.44,0.02,0.59
2025-03-06,600901,4.54,4.56,4.58,4.51,423242,209327853.0,1.55,0.66,0.03,0.73
2025-03-07,600901,4.55,4.48,4.56,4.47,385018,188990822.0,1.97,-1.75,-0.08,0.66
2025-03-10,600901,4.48,4.47,4.5,4.43,276455,134150010.0,1.56,-0.22,-0.01,0.48
2025-03-11,600901,4.45,4.55,4.56,4.43,421205,206443032.0,2.91,1.79,0.08,0.73
2025-03-12,600901,4.54,4.55,4.59,4.53,346556,172000934.0,1.32,0.0,0.0,0.6
2025-03-13,600901,4.55,4.53,4.56,4.51,306427,151138082.0,1.1,-0.44,-0.02,0.53
2025-03-14,600901,4.54,4.59,4.62,4.53,489786,243964428.0,1.99,1.32,0.06,0.85
2025-03-17,600901,4.59,4.58,4.61,4.56,405519,202223179.0,1.09,-0.22,-0.01,0.7
2025-03-18,600901,4.59,4.6,4.61,4.56,315700,157568663.0,1.09,0.44,0.02,0.55
2025-03-19,600901,4.6,4.65,4.65,4.59,387198,194693203.0,1.3,1.09,0.05,0.67
2025-03-20,600901,4.65,4.63,4.66,4.62,241736,121818692.0,0.86,-0.43,-0.02,0.42
2025-03-21,600901,4.62,4.71,4.73,4.62,654649,333513622.0,2.38,1.73,0.08,1.13
2025-03-24,600901,4.7,4.79,4.84,4.7,713263,370443400.0,2.97,1.7,0.08,1.23
2025-03-25,600901,4.77,4.86,4.88,4.77,652599,342153243.0,2.3,1.46,0.07,1.13
2025-03-26,600901,4.84,4.82,4.86,4.78,420877,219535516.0,1.65,-0.82,-0.04,0.73
2025-03-27,600901,4.82,4.85,4.87,4.81,345991,181450927.0,1.24,0.62,0.03,0.6
2025-03-28,600901,4.85,4.88,4.9,4.82,410035,216194735.0,1.65,0.62,0.03,0.71
2025-03-31,600901,4.86,4.86,4.92,4.84,432793,228506658.0,1.64,-0.41,-0.02,0.75
2025-04-01,600901,4.86,4.88,4.89,4.8,557998,293031320.0,1.85,0.41,0.02,0.96
2025-04-02,600901,4.88,4.96,4.98,4.86,479295,255889177.0,2.46,1.64,0.08,0.83
2025-04-03,600901,4.93,4.93,4.97,4.88,293997,156578720.0,1.81,-0.6,-0.03,0.51
2025-04-07,600901,4.78,4.65,4.85,4.56,839978,428408002.0,5.88,-5.68,-0.28,1.45
2025-04-08,600901,4.65,4.65,4.72,4.62,576085,291413780.0,2.15,0.0,0.0,0.99
2025-04-09,600901,4.64,4.67,4.69,4.54,504357,253183872.0,3.23,0.43,0.02,0.87
2025-04-10,600901,4.68,4.67,4.71,4.65,360266,183165595.0,1.28,0.0,0.0,0.62
2025-04-11,600901,4.67,4.63,4.68,4.62,269821,136204389.0,1.28,-0.86,-0.04,0.47
2025-04-14,600901,4.65,4.71,4.72,4.64,320909,163278366.0,1.73,1.73,0.08,0.55
2025-04-15,600901,4.72,4.73,4.74,4.68,209624,107161407.0,1.27,0.42,0.02,0.36
2025-04-16,600901,4.72,4.78,4.79,4.7,324395,167026770.0,1.9,1.06,0.05,0.56
2025-04-17,600901,4.77,4.71,4.78,4.71,251333,129097087.0,1.46,-1.46,-0.07,0.43
2025-04-18,600901,4.71,4.79,4.8,4.71,236195,122080749.0,1.91,1.7,0.08,0.41
2025-04-21,600901,4.79,4.72,4.82,4.72,315250,162175794.0,2.09,-1.46,-0.07,0.54
2025-04-22,600901,4.72,4.77,4.79,4.72,287534,148427677.0,1.48,1.06,0.05,0.5
2025-04-23,600901,4.78,4.74,4.81,4.73,202542,104363362.0,1.68,-0.63,-0.03,0.35
2025-04-24,600901,4.74,4.82,4.84,4.73,335969,174761637.0,2.32,1.69,0.08,0.58
2025-04-25,600901,4.82,4.81,4.88,4.79,227689,119031705.0,1.87,-0.21,-0.01,0.39
