日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600903,7.75,7.78,8.05,7.53,560879,435844642.0,6.71,0.39,0.03,4.88
2025-01-03,600903,7.61,7.29,7.64,7.2,334459,248448124.0,5.66,-6.3,-0.49,2.91
2025-01-06,600903,7.16,6.79,7.23,6.74,265076,184172842.0,6.72,-6.86,-0.5,2.3
2025-01-07,600903,6.82,6.75,6.9,6.6,174464,118109746.0,4.42,-0.59,-0.04,1.52
2025-01-08,600903,6.69,6.68,6.7,6.46,169585,112760992.0,3.56,-1.04,-0.07,1.47
2025-01-09,600903,6.6,6.73,6.85,6.57,167929,113409571.0,4.19,0.75,0.05,1.46
2025-01-10,600903,6.74,6.5,6.76,6.47,125746,83475750.0,4.31,-3.42,-0.23,1.09
2025-01-13,600903,6.35,6.52,6.6,6.34,71755,47073561.0,4.0,0.31,0.02,0.62
2025-01-14,600903,6.54,6.68,6.69,6.52,109070,72667974.0,2.61,2.45,0.16,0.95
2025-01-15,600903,6.68,6.6,6.68,6.58,77465,51562246.0,1.5,-1.2,-0.08,0.67
2025-01-16,600903,6.66,6.64,6.72,6.59,82632,55358889.0,1.97,0.61,0.04,0.72
2025-01-17,600903,6.65,6.62,6.72,6.58,80985,54030352.0,2.11,-0.3,-0.02,0.7
2025-01-20,600903,6.62,6.63,6.66,6.58,84075,56046484.0,1.21,0.15,0.01,0.73
2025-01-21,600903,6.66,6.56,6.68,6.51,72765,48038187.0,2.56,-1.06,-0.07,0.63
2025-01-22,600903,6.54,6.55,6.57,6.49,49870,32733957.0,1.22,-0.15,-0.01,0.43
2025-01-23,600903,6.59,6.55,6.67,6.55,83793,55716612.0,1.83,0.0,0.0,0.73
2025-01-24,600903,6.55,6.58,6.61,6.51,65307,43121472.0,1.53,0.46,0.03,0.57
2025-01-27,600903,6.61,6.52,6.66,6.51,79698,52924698.0,2.28,-0.91,-0.06,0.69
2025-02-05,600903,6.57,6.51,6.57,6.48,73418,48163328.0,1.38,-0.15,-0.01,0.64
2025-02-06,600903,6.51,6.57,6.58,6.43,84173,55153234.0,2.3,0.92,0.06,0.73
2025-02-07,600903,6.56,6.66,6.67,6.52,124362,82926420.0,2.28,1.37,0.09,1.08
