日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600960,3.33,3.28,3.41,3.2,197450,65720545.0,6.31,-1.5,-0.05,2.08
2025-01-03,600960,3.3,3.13,3.33,3.11,171914,54716891.0,6.71,-4.57,-0.15,1.81
2025-01-06,600960,3.1,3.08,3.13,2.99,151172,46346850.0,4.47,-1.6,-0.05,1.59
2025-01-07,600960,3.08,3.15,3.16,3.07,97704,30438858.0,2.92,2.27,0.07,1.03
2025-01-08,600960,3.14,3.14,3.17,3.03,123332,38328676.0,4.44,-0.32,-0.01,1.3
2025-01-09,600960,3.13,3.16,3.18,3.1,106949,33759666.0,2.55,0.64,0.02,1.13
2025-01-10,600960,3.15,3.08,3.21,3.08,114747,36022076.0,4.11,-2.53,-0.08,1.21
2025-01-13,600960,3.05,3.11,3.17,2.99,120377,37246023.0,5.84,0.97,0.03,1.27
2025-01-14,600960,3.11,3.28,3.31,3.11,156120,50357629.0,6.43,5.47,0.17,1.64
2025-01-15,600960,3.28,3.25,3.3,3.23,108007,35195060.0,2.13,-0.91,-0.03,1.14
2025-01-16,600960,3.26,3.28,3.34,3.24,93008,30568738.0,3.08,0.92,0.03,0.98
2025-01-17,600960,3.28,3.25,3.28,3.22,73193,23794089.0,1.83,-0.91,-0.03,0.77
2025-01-20,600960,3.27,3.29,3.33,3.19,109387,35910160.0,4.31,1.23,0.04,1.15
2025-01-21,600960,3.32,3.25,3.33,3.22,89978,29260822.0,3.34,-1.22,-0.04,0.95
2025-01-22,600960,3.28,3.19,3.28,3.18,94064,30260734.0,3.08,-1.85,-0.06,0.99
2025-01-23,600960,3.22,3.2,3.3,3.2,104903,34072142.0,3.13,0.31,0.01,1.1
2025-01-24,600960,3.21,3.24,3.26,3.16,114275,36833826.0,3.13,1.25,0.04,1.2
2025-01-27,600960,3.26,3.19,3.3,3.18,122302,39633355.0,3.7,-1.54,-0.05,1.29
2025-02-05,600960,3.25,3.26,3.3,3.2,98048,31890507.0,3.13,2.19,0.07,1.03
2025-02-06,600960,3.27,3.32,3.33,3.19,131768,43027358.0,4.29,1.84,0.06,1.39
2025-02-07,600960,3.36,3.39,3.42,3.33,128377,43502064.0,2.71,2.11,0.07,1.35
2025-02-10,600960,3.44,3.42,3.45,3.39,87392,29825287.0,1.77,0.88,0.03,0.92
2025-02-11,600960,3.43,3.39,3.44,3.35,95331,32228291.0,2.63,-0.88,-0.03,1.0
2025-02-12,600960,3.39,3.41,3.41,3.35,112472,38086760.0,1.77,0.59,0.02,1.18
2025-02-13,600960,3.41,3.34,3.43,3.34,87270,29426065.0,2.64,-2.05,-0.07,0.92
2025-02-14,600960,3.35,3.29,3.4,3.28,173356,57695668.0,3.59,-1.5,-0.05,1.82
2025-02-17,600960,3.32,3.38,3.4,3.29,170977,57452742.0,3.34,2.74,0.09,1.8
