日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600982,3.97,3.96,4.05,3.92,436745,180629684.0,3.27,-0.25,-0.01,3.91
2025-01-03,600982,3.98,3.82,4.0,3.81,407658,164360180.0,4.8,-3.54,-0.14,3.65
2025-01-06,600982,3.81,3.83,3.86,3.74,298140,118055465.0,3.14,0.26,0.01,2.67
2025-01-07,600982,3.83,3.86,3.87,3.78,277642,110323302.0,2.35,0.78,0.03,2.48
2025-01-08,600982,3.85,3.81,3.86,3.72,304495,120112424.0,3.63,-1.3,-0.05,2.72
2025-01-09,600982,3.79,3.8,3.84,3.76,239865,94716177.0,2.1,-0.26,-0.01,2.15
2025-01-10,600982,3.78,3.67,3.79,3.66,267928,104066224.0,3.42,-3.42,-0.13,2.4
2025-01-13,600982,3.65,3.66,3.69,3.6,203754,77243477.0,2.45,-0.27,-0.01,1.82
2025-01-14,600982,3.67,3.83,3.83,3.66,347761,136163691.0,4.64,4.64,0.17,3.11
2025-01-15,600982,3.83,3.79,3.84,3.78,196943,77823061.0,1.57,-1.04,-0.04,1.76
2025-01-16,600982,3.79,3.85,3.9,3.79,335375,134208203.0,2.9,1.58,0.06,3.0
2025-01-17,600982,3.82,3.85,3.86,3.8,180748,72041906.0,1.56,0.0,0.0,1.62
2025-01-20,600982,3.86,3.89,3.92,3.82,239428,96505018.0,2.6,1.04,0.04,2.14
2025-01-21,600982,3.9,3.83,3.92,3.81,210363,84056329.0,2.83,-1.54,-0.06,1.88
2025-01-22,600982,3.81,3.79,3.83,3.76,142200,56173495.0,1.83,-1.04,-0.04,1.27
2025-01-23,600982,3.82,3.79,3.87,3.79,197418,78555634.0,2.11,0.0,0.0,1.77
2025-01-24,600982,3.8,3.8,3.82,3.76,174946,68936469.0,1.58,0.26,0.01,1.57
2025-01-27,600982,3.81,3.82,3.89,3.81,195995,78331488.0,2.11,0.53,0.02,1.75
2025-02-05,600982,3.84,3.8,3.85,3.78,178107,70600870.0,1.83,-0.52,-0.02,1.59
2025-02-06,600982,3.79,3.85,3.85,3.75,257125,101695373.0,2.63,1.32,0.05,2.3
2025-02-07,600982,3.84,3.91,3.93,3.83,292639,118293253.0,2.6,1.56,0.06,2.62
2025-02-10,600982,3.92,3.97,3.98,3.91,241851,99072638.0,1.79,1.53,0.06,2.16
2025-02-11,600982,3.99,4.0,4.01,3.93,230746,94968622.0,2.02,0.76,0.03,2.06
2025-02-12,600982,4.0,4.32,4.41,3.98,1101531,479232035.0,10.75,8.0,0.32,9.86
2025-02-13,600982,4.25,4.15,4.25,4.15,647863,281372641.0,2.31,-3.94,-0.17,5.8
2025-02-14,600982,4.15,4.1,4.23,4.09,479361,206515792.0,3.37,-1.2,-0.05,4.29
2025-02-17,600982,4.09,4.19,4.23,4.06,467804,200736784.0,4.15,2.2,0.09,4.19
2025-02-18,600982,4.19,4.09,4.24,4.07,420004,180750788.0,4.06,-2.39,-0.1,3.76
2025-02-19,600982,4.07,4.1,4.11,4.04,291256,123091591.0,1.71,0.24,0.01,2.61
2025-02-20,600982,4.08,4.08,4.11,4.04,233023,98324637.0,1.71,-0.49,-0.02,2.08
2025-02-21,600982,4.09,4.07,4.1,4.04,237747,100159770.0,1.47,-0.25,-0.01,2.13
2025-02-24,600982,4.07,4.11,4.16,4.07,276065,117542328.0,2.21,0.98,0.04,2.47
2025-02-25,600982,4.09,4.05,4.12,4.04,246417,104107080.0,1.95,-1.46,-0.06,2.2
2025-02-26,600982,4.07,4.15,4.17,4.06,377256,161399539.0,2.72,2.47,0.1,3.38
2025-02-27,600982,4.17,4.1,4.19,4.05,276501,117434341.0,3.37,-1.2,-0.05,2.47
2025-02-28,600982,4.08,4.09,4.17,4.07,395822,168972012.0,2.44,-0.24,-0.01,3.54
2025-03-03,600982,4.1,4.05,4.14,4.02,304018,128607039.0,2.93,-0.98,-0.04,2.72
2025-03-04,600982,4.02,4.04,4.05,4.01,193661,80964250.0,0.99,-0.25,-0.01,1.73
2025-03-05,600982,4.04,4.0,4.04,3.94,244980,101097722.0,2.48,-0.99,-0.04,2.19
2025-03-06,600982,3.99,4.03,4.06,3.97,214798,89539172.0,2.25,0.75,0.03,1.92
2025-03-07,600982,4.04,4.05,4.07,4.0,191190,80072825.0,1.74,0.5,0.02,1.71
2025-03-10,600982,4.07,4.08,4.12,4.04,198567,83964587.0,1.98,0.74,0.03,1.78
2025-03-11,600982,4.05,4.1,4.1,4.01,169187,71294538.0,2.21,0.49,0.02,1.51
2025-03-12,600982,4.1,4.25,4.32,4.1,687963,300605144.0,5.37,3.66,0.15,6.16
2025-03-13,600982,4.22,4.69,4.69,4.2,886855,421011169.0,11.53,10.35,0.44,7.94
2025-03-14,600982,4.79,4.7,4.95,4.59,1813296,885820123.0,7.68,0.21,0.01,16.22
2025-03-17,600982,4.59,4.59,4.7,4.58,854565,407830348.0,2.55,-2.34,-0.11,7.65
2025-03-18,600982,4.59,4.61,4.67,4.58,537530,255602541.0,1.96,0.44,0.02,4.81
2025-03-19,600982,4.61,4.86,5.06,4.52,1309983,651866267.0,11.71,5.42,0.25,11.72
2025-03-20,600982,4.77,4.74,4.9,4.7,792561,389455494.0,4.12,-2.47,-0.12,7.09
2025-03-21,600982,4.72,4.66,4.99,4.66,737830,364009957.0,6.96,-1.69,-0.08,6.6
2025-03-24,600982,4.65,4.78,4.82,4.56,749919,363658841.0,5.58,2.58,0.12,6.71
2025-03-25,600982,4.74,5.03,5.25,4.66,1375407,705024312.0,12.34,5.23,0.25,12.31
2025-03-26,600982,4.88,5.0,5.08,4.8,905961,460893287.0,5.57,-0.6,-0.03,8.11
2025-03-27,600982,5.03,4.83,5.15,4.82,834431,427542483.0,6.6,-3.4,-0.17,7.47
2025-03-28,600982,4.75,4.45,4.8,4.44,804671,379985738.0,7.45,-7.87,-0.38,7.2
2025-03-31,600982,4.45,4.6,4.81,4.41,788027,376290321.0,8.99,3.37,0.15,7.05
2025-04-01,600982,4.61,4.71,4.78,4.54,688172,333655202.0,5.22,2.39,0.11,6.16
2025-04-02,600982,4.64,4.55,4.66,4.54,456229,215610533.0,2.55,-3.4,-0.16,4.08
2025-04-03,600982,4.5,4.66,4.71,4.47,549907,263028769.0,5.27,2.42,0.11,4.92
2025-04-07,600982,4.39,4.18,4.46,4.18,596818,263833907.0,6.01,-10.3,-0.48,5.34
2025-04-08,600982,4.17,4.26,4.35,4.16,561858,247313489.0,4.55,1.91,0.08,5.03
2025-04-09,600982,4.2,4.22,4.3,3.83,744392,311121856.0,11.03,-0.94,-0.04,6.66
2025-04-10,600982,4.27,4.3,4.36,4.2,618433,275769912.0,3.79,1.9,0.08,5.53
2025-04-11,600982,4.25,4.35,4.49,4.2,575230,258392369.0,6.74,1.16,0.05,5.15
2025-04-14,600982,4.4,4.46,4.51,4.36,526619,242134389.0,3.45,2.53,0.11,4.71
2025-04-15,600982,4.45,4.44,4.46,4.37,381459,173775400.0,2.02,-0.45,-0.02,3.41
2025-04-16,600982,4.44,4.56,4.71,4.41,768219,363120590.0,6.76,2.7,0.12,6.87
2025-04-17,600982,4.47,4.51,4.55,4.37,485627,225592386.0,3.95,-1.1,-0.05,4.35
2025-04-18,600982,4.49,4.39,4.49,4.36,402603,183243198.0,2.88,-2.66,-0.12,3.6
2025-04-21,600982,4.35,4.42,4.48,4.35,350478,160627165.0,2.96,0.68,0.03,3.14
2025-04-22,600982,4.45,4.47,4.63,4.41,450504,209244638.0,4.98,1.13,0.05,4.03
2025-04-23,600982,4.43,4.44,4.52,4.41,338480,155865405.0,2.46,-0.67,-0.03,3.03
2025-04-24,600982,4.47,4.77,4.77,4.44,1090324,522395664.0,7.43,7.43,0.33,9.76
2025-04-25,600982,4.72,4.95,5.05,4.62,1216406,606078031.0,9.01,3.77,0.18,10.88
2025-04-28,600982,4.95,4.76,4.98,4.72,790664,391163617.0,5.25,-3.84,-0.19,7.07
2025-04-29,600982,4.68,4.52,4.69,4.48,631984,295964059.0,4.41,-5.04,-0.24,5.65
2025-04-30,600982,4.56,4.52,4.59,4.49,368574,172379481.0,2.21,0.0,0.0,3.3
2025-05-06,600982,4.51,4.63,4.64,4.5,432559,204236354.0,3.1,2.43,0.11,3.87
2025-05-07,600982,4.66,4.62,4.69,4.58,402893,192499788.0,2.38,-0.22,-0.01,3.6
2025-05-08,600982,4.6,4.62,4.68,4.58,319227,152735289.0,2.16,0.0,0.0,2.86
2025-05-09,600982,4.63,4.78,4.79,4.6,676951,328010646.0,4.11,3.46,0.16,6.06
2025-05-12,600982,4.8,4.75,4.83,4.71,499725,244856136.0,2.51,-0.63,-0.03,4.47
2025-05-13,600982,4.75,4.74,4.77,4.66,370620,180075718.0,2.32,-0.21,-0.01,3.32
2025-05-14,600982,4.72,4.82,4.94,4.66,512283,250832748.0,5.91,1.69,0.08,4.58
2025-05-15,600982,4.8,5.05,5.32,4.76,1888265,1004878411.0,11.62,4.77,0.23,16.9
2025-05-16,600982,4.87,4.84,5.05,4.83,1311253,663628000.0,4.36,-4.16,-0.21,11.73
2025-05-19,600982,4.84,4.87,4.91,4.8,635650,318024081.0,2.27,0.62,0.03,5.69
2025-05-20,600982,4.87,4.83,4.88,4.76,598734,296987252.0,2.46,-0.82,-0.04,5.36
2025-05-21,600982,4.82,5.01,5.1,4.81,1028880,525150805.0,6.0,3.73,0.18,9.21
2025-05-22,600982,4.94,4.8,5.03,4.8,680762,341584006.0,4.59,-4.19,-0.21,6.09
2025-05-23,600982,4.77,4.63,4.8,4.6,518952,249843486.0,4.17,-3.54,-0.17,4.64
2025-05-26,600982,4.6,4.68,4.68,4.59,223062,106875527.0,1.94,1.08,0.05,2.0
2025-05-27,600982,4.7,4.63,4.7,4.6,226997,105349564.0,2.14,-1.07,-0.05,2.03
2025-05-28,600982,4.61,4.58,4.65,4.57,249058,114940103.0,1.73,-1.08,-0.05,2.23
2025-05-29,600982,4.59,4.63,4.64,4.53,227929,105061121.0,2.4,1.09,0.05,2.04
2025-05-30,600982,4.62,4.56,4.66,4.53,234932,107706138.0,2.81,-1.51,-0.07,2.1
2025-06-03,600982,4.5,4.56,4.57,4.49,171125,77584656.0,1.75,0.0,0.0,1.53
2025-06-04,600982,4.55,4.6,4.61,4.53,168366,77214120.0,1.75,0.88,0.04,1.51
2025-06-05,600982,4.62,4.62,4.65,4.6,186883,86372542.0,1.09,0.43,0.02,1.67
2025-06-06,600982,4.63,4.64,4.66,4.59,178283,82423380.0,1.52,0.43,0.02,1.6
2025-06-09,600982,4.65,4.64,4.65,4.61,167608,77512777.0,0.86,0.0,0.0,1.5
2025-06-10,600982,4.64,4.58,4.65,4.52,284722,130647315.0,2.8,-1.29,-0.06,2.55
2025-06-11,600982,4.57,4.58,4.61,4.53,155445,71228857.0,1.75,0.0,0.0,1.39
2025-06-12,600982,4.57,4.5,4.57,4.49,227480,102841265.0,1.75,-1.75,-0.08,2.04
2025-06-13,600982,4.49,4.44,4.54,4.44,184255,82615313.0,2.22,-1.33,-0.06,1.65
2025-06-16,600982,4.41,4.45,4.47,4.41,135904,60369662.0,1.35,0.23,0.01,1.22
2025-06-17,600982,4.46,4.48,4.48,4.42,127191,56670503.0,1.35,0.67,0.03,1.14
2025-06-18,600982,4.47,4.41,4.48,4.4,151442,66998559.0,1.79,-1.56,-0.07,1.36
2025-06-19,600982,4.4,4.3,4.41,4.28,231121,100005996.0,2.95,-2.49,-0.11,2.07
2025-06-20,600982,4.3,4.3,4.34,4.29,102701,44326866.0,1.16,0.0,0.0,0.92
2025-06-23,600982,4.29,4.39,4.45,4.28,164799,72050510.0,3.95,2.09,0.09,1.47
2025-06-24,600982,4.37,4.44,4.44,4.34,153729,67860202.0,2.28,1.14,0.05,1.38
