日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,600995,10.0,9.73,10.06,9.67,115166,114854232.0,3.9,-2.7,-0.27,1.04
2025-01-03,600995,9.73,9.69,9.97,9.66,97524,96720864.0,3.19,-0.41,-0.04,0.88
2025-01-06,600995,9.76,9.73,9.76,9.58,76275,74530398.0,1.86,0.41,0.04,0.69
2025-01-07,600995,9.73,9.57,9.76,9.49,82751,80392226.0,2.77,-1.64,-0.16,0.75
2025-01-08,600995,9.56,9.58,9.63,9.39,84420,81288473.0,2.51,0.1,0.01,0.76
2025-01-09,600995,9.49,9.44,9.59,9.43,67486,65023678.0,1.67,-1.46,-0.14,0.61
2025-01-10,600995,9.44,9.38,9.48,9.38,58165,55550874.0,1.06,-0.64,-0.06,0.52
2025-01-13,600995,9.38,9.54,9.54,9.36,64801,62074196.0,1.92,1.71,0.16,0.58
2025-01-14,600995,9.5,9.63,9.67,9.47,107724,104533022.0,2.1,0.94,0.09,0.97
2025-01-15,600995,9.59,9.52,9.61,9.48,75179,72557420.0,1.35,-1.14,-0.11,0.68
2025-01-16,600995,9.5,9.5,9.64,9.45,62742,60602917.0,2.0,-0.21,-0.02,0.57
2025-01-17,600995,9.46,9.47,9.52,9.43,60924,58458082.0,0.95,-0.32,-0.03,0.55
2025-01-20,600995,9.49,9.52,9.61,9.49,60075,58062018.0,1.27,0.53,0.05,0.54
2025-01-21,600995,9.57,9.47,9.58,9.42,44929,43053434.0,1.68,-0.53,-0.05,0.41
2025-01-22,600995,9.44,9.53,9.56,9.37,62821,60297309.0,2.01,0.63,0.06,0.57
2025-01-23,600995,9.57,9.52,9.71,9.52,81479,79312376.0,1.99,-0.1,-0.01,0.73
2025-01-24,600995,9.51,9.57,9.62,9.5,65497,63378995.0,1.26,0.53,0.05,0.59
2025-01-27,600995,9.57,9.69,9.76,9.55,90558,88646586.0,2.19,1.25,0.12,0.82
2025-02-05,600995,9.72,9.64,9.75,9.59,68927,67372821.0,1.65,-0.52,-0.05,0.62
2025-02-06,600995,9.61,9.72,9.73,9.53,72911,71186167.0,2.07,0.83,0.08,0.66
2025-02-07,600995,9.72,9.76,9.84,9.64,90426,89275190.0,2.06,0.41,0.04,0.82
2025-02-10,600995,9.88,9.85,10.02,9.79,99257,99219537.0,2.36,0.92,0.09,0.89
2025-02-11,600995,9.86,9.88,9.9,9.78,77708,77386285.0,1.22,0.3,0.03,0.7
2025-02-12,600995,9.87,10.0,10.0,9.83,76908,77404830.0,1.72,1.21,0.12,0.69
2025-02-13,600995,10.0,10.02,10.07,9.97,73728,74817991.0,1.0,0.2,0.02,0.66
2025-02-14,600995,10.03,9.93,10.04,9.89,61140,61608621.0,1.5,-0.9,-0.09,0.55
2025-02-17,600995,9.93,9.93,9.95,9.8,69664,69714685.0,1.51,0.0,0.0,0.63
2025-02-18,600995,10.09,10.06,10.19,9.96,179151,182712497.0,2.32,1.31,0.13,1.62
2025-02-19,600995,9.96,9.94,10.09,9.88,109412,110146394.0,2.09,-1.19,-0.12,0.99
2025-02-20,600995,9.93,9.82,9.96,9.79,91466,91060905.0,1.71,-1.21,-0.12,0.82
2025-02-21,600995,9.87,9.87,9.9,9.8,104976,104650485.0,1.02,0.51,0.05,0.95
2025-02-24,600995,9.8,9.75,9.96,9.75,128578,127852582.0,2.13,-1.22,-0.12,1.16
2025-02-25,600995,9.75,9.76,9.81,9.65,83153,82140822.0,1.64,0.1,0.01,0.75
2025-02-26,600995,9.77,9.81,9.82,9.74,65088,64419475.0,0.82,0.51,0.05,0.59
2025-02-27,600995,9.81,9.71,9.84,9.65,84879,83375964.0,1.94,-1.02,-0.1,0.77
2025-02-28,600995,9.69,9.63,9.77,9.59,75041,73367310.0,1.85,-0.82,-0.08,0.68
2025-03-03,600995,9.63,9.58,9.65,9.56,73248,71231609.0,0.93,-0.52,-0.05,0.66
2025-03-04,600995,9.54,9.64,9.66,9.53,63933,62121214.0,1.36,0.63,0.06,0.58
2025-03-05,600995,9.61,9.63,9.67,9.53,54068,52493880.0,1.45,-0.1,-0.01,0.49
2025-03-06,600995,9.63,9.67,9.71,9.61,68800,67355317.0,1.04,0.42,0.04,0.62
2025-03-07,600995,9.67,9.62,9.69,9.58,62250,60737477.0,1.14,-0.52,-0.05,0.56
2025-03-10,600995,9.59,9.38,9.62,9.34,163669,156514129.0,2.91,-2.49,-0.24,1.48
2025-03-11,600995,9.26,9.35,9.36,9.26,91589,86443712.0,1.07,-0.32,-0.03,0.83
2025-03-12,600995,9.38,9.43,9.44,9.31,79721,75702626.0,1.39,0.86,0.08,0.72
2025-03-13,600995,9.43,9.46,9.49,9.37,79073,75512333.0,1.27,0.32,0.03,0.71
2025-03-14,600995,9.48,9.55,9.55,9.42,102306,98426779.0,1.37,0.95,0.09,0.92
2025-03-17,600995,9.55,9.55,9.62,9.53,71963,69729885.0,0.94,0.0,0.0,0.65
2025-03-18,600995,9.56,9.54,9.57,9.46,64543,62090164.0,1.15,-0.1,-0.01,0.58
2025-03-19,600995,9.55,9.67,9.69,9.51,106195,103503359.0,1.89,1.36,0.13,0.96
2025-03-20,600995,9.62,9.64,9.72,9.61,66728,65274112.0,1.14,-0.31,-0.03,0.6
2025-03-21,600995,9.65,9.65,9.76,9.58,88748,86977480.0,1.87,0.1,0.01,0.8
2025-03-24,600995,9.65,9.65,9.69,9.54,78210,76201791.0,1.55,0.0,0.0,0.71
2025-03-25,600995,9.68,9.82,9.82,9.6,162480,160150424.0,2.28,1.76,0.17,1.46
2025-03-26,600995,9.79,9.75,9.8,9.71,108388,106935583.0,0.92,-0.71,-0.07,0.98
2025-03-27,600995,9.75,9.64,9.76,9.62,70649,69074117.0,1.44,-1.13,-0.11,0.64
2025-03-28,600995,9.64,9.54,9.66,9.51,65037,63005300.0,1.56,-1.04,-0.1,0.59
2025-03-31,600995,9.52,9.43,9.63,9.38,91048,87332242.0,2.62,-1.15,-0.11,0.82
2025-04-01,600995,9.43,9.56,9.59,9.43,105326,101769053.0,1.7,1.38,0.13,0.95
2025-04-02,600995,9.53,9.46,9.56,9.4,74273,71119455.0,1.67,-1.05,-0.1,0.67
2025-04-03,600995,9.42,9.62,9.64,9.41,110082,106516229.0,2.43,1.69,0.16,0.99
2025-04-07,600995,9.33,8.7,9.43,8.65,237757,216088931.0,8.11,-9.56,-0.92,2.14
2025-04-08,600995,8.77,9.1,9.11,8.77,195139,178615543.0,3.91,4.6,0.4,1.76
2025-04-09,600995,9.08,9.34,9.39,8.91,181645,168147362.0,5.27,2.64,0.24,1.64
2025-04-10,600995,9.38,9.36,9.41,9.29,141353,133920558.0,1.28,0.21,0.02,1.27
2025-04-11,600995,9.31,9.37,9.39,9.24,108497,102209598.0,1.6,0.11,0.01,0.98
2025-04-14,600995,9.38,9.4,9.51,9.36,101629,96990874.0,1.6,0.32,0.03,0.92
2025-04-15,600995,9.4,9.41,9.42,9.29,69673,65942283.0,1.38,0.11,0.01,0.63
2025-04-16,600995,9.38,9.41,9.43,9.3,95821,90858649.0,1.38,0.0,0.0,0.86
2025-04-17,600995,9.35,9.56,9.65,9.3,139382,133599931.0,3.72,1.59,0.15,1.26
2025-04-18,600995,9.53,9.51,9.58,9.47,56713,54646869.0,1.15,-0.52,-0.05,0.51
2025-04-21,600995,9.51,9.59,9.59,9.49,67934,65736732.0,1.05,0.84,0.08,0.61
2025-04-22,600995,9.59,9.54,9.65,9.53,71423,69307013.0,1.25,-0.52,-0.05,0.64
2025-04-23,600995,9.59,9.46,9.59,9.45,59540,57250403.0,1.47,-0.84,-0.08,0.54
2025-04-24,600995,9.45,9.65,9.66,9.45,116549,113199270.0,2.22,2.01,0.19,1.05
2025-04-25,600995,9.66,9.93,9.96,9.64,201745,201428636.0,3.32,2.9,0.28,1.82
2025-04-28,600995,9.94,10.01,10.04,9.84,170143,171592982.0,2.01,0.81,0.08,1.53
2025-04-29,600995,10.02,9.75,10.02,9.68,168386,166698927.0,3.4,-2.6,-0.26,1.52
2025-04-30,600995,9.74,9.63,9.77,9.61,95434,93455251.0,1.64,-1.23,-0.12,0.86
2025-05-06,600995,9.68,9.69,9.7,9.59,110118,107641494.0,1.14,0.62,0.06,0.99
2025-05-07,600995,9.72,9.69,9.76,9.66,86553,85000855.0,1.03,0.0,0.0,0.78
2025-05-08,600995,9.7,9.64,9.71,9.63,73682,72063361.0,0.83,-0.52,-0.05,0.66
2025-05-09,600995,9.65,9.66,9.72,9.64,75053,73532231.0,0.83,0.21,0.02,0.68
2025-05-12,600995,9.68,9.65,9.71,9.61,75160,73342952.0,1.04,-0.1,-0.01,0.68
2025-05-13,600995,9.69,9.66,9.7,9.55,82738,80582808.0,1.55,0.1,0.01,0.75
2025-05-14,600995,9.66,9.64,9.68,9.58,66915,65174255.0,1.04,-0.21,-0.02,0.6
2025-05-15,600995,9.64,9.61,9.7,9.59,59696,58254917.0,1.14,-0.31,-0.03,0.54
2025-05-16,600995,9.64,9.56,9.65,9.55,61244,59404941.0,1.04,-0.52,-0.05,0.55
2025-05-19,600995,9.57,9.65,9.66,9.54,53023,51557862.0,1.26,0.94,0.09,0.48
2025-05-20,600995,9.65,9.8,9.8,9.64,100312,98751441.0,1.66,1.55,0.15,0.9
2025-05-21,600995,9.8,9.79,9.85,9.76,86912,86269140.0,0.92,-0.1,-0.01,0.78
2025-05-22,600995,9.81,9.76,9.84,9.72,65425,64246471.0,1.23,-0.31,-0.03,0.59
2025-05-23,600995,9.75,9.64,9.79,9.63,72201,70362326.0,1.64,-1.23,-0.12,0.65
2025-05-26,600995,9.68,9.86,9.93,9.65,104103,102751720.0,2.9,2.28,0.22,0.94
2025-05-27,600995,9.86,9.91,9.95,9.8,85889,85333142.0,1.52,0.51,0.05,0.77
2025-05-28,600995,9.91,9.98,10.05,9.9,106256,106438541.0,1.51,0.71,0.07,0.96
2025-05-29,600995,9.99,9.92,10.13,9.91,116642,117340084.0,2.2,-0.6,-0.06,1.05
2025-05-30,600995,10.12,10.08,10.43,10.0,266453,271849795.0,4.33,1.61,0.16,2.4
2025-06-03,600995,10.04,9.93,10.27,9.91,196532,197965119.0,3.57,-1.49,-0.15,1.77
2025-06-04,600995,9.93,9.86,9.97,9.85,95428,94976047.0,1.21,-0.7,-0.07,0.86
2025-06-05,600995,9.99,9.97,10.1,9.92,126211,126759524.0,1.83,1.12,0.11,1.14
2025-06-06,600995,9.97,9.91,10.0,9.9,75745,75608410.0,1.0,-0.6,-0.06,0.68
2025-06-09,600995,9.9,9.9,9.94,9.88,71225,70875533.0,0.61,-0.1,-0.01,0.64
2025-06-10,600995,9.9,9.86,9.97,9.81,90862,90297742.0,1.62,-0.4,-0.04,0.82
2025-06-11,600995,9.86,9.85,9.91,9.82,50686,50274936.0,0.91,-0.1,-0.01,0.46
2025-06-12,600995,9.85,9.83,9.88,9.78,54256,53528643.0,1.02,-0.2,-0.02,0.49
2025-06-13,600995,9.83,9.9,9.97,9.81,87976,87516226.0,1.63,0.71,0.07,0.79
2025-06-16,600995,9.95,9.81,9.95,9.77,81821,80744623.0,1.82,-0.91,-0.09,0.74
2025-06-17,600995,9.81,9.82,9.83,9.77,42722,42068190.0,0.61,0.1,0.01,0.39
2025-06-18,600995,9.8,9.75,9.82,9.74,44644,43827749.0,0.81,-0.71,-0.07,0.4
2025-06-19,600995,9.75,9.66,9.78,9.63,59294,57691607.0,1.54,-0.92,-0.09,0.53
2025-06-20,600995,9.64,9.76,9.76,9.64,61485,59924209.0,1.24,1.04,0.1,0.55
2025-06-23,600995,9.69,9.6,9.75,9.59,93943,90959520.0,1.64,-1.64,-0.16,0.85
2025-06-24,600995,9.61,9.68,9.75,9.57,86126,83503348.0,1.88,0.83,0.08,0.78
2025-06-25,600995,9.68,9.8,9.81,9.66,82461,80980985.0,1.55,1.24,0.12,0.74
2025-06-26,600995,9.8,9.76,9.84,9.75,60035,59067089.0,0.92,-0.41,-0.04,0.54
2025-06-27,600995,9.77,9.72,9.78,9.68,65973,64492137.0,1.02,-0.41,-0.04,0.59
2025-06-30,600995,9.75,9.73,9.8,9.69,63904,62532833.0,1.13,0.1,0.01,0.58
2025-07-01,600995,9.75,9.83,9.84,9.71,92789,91304900.0,1.34,1.03,0.1,0.84
2025-07-02,600995,9.84,9.92,9.92,9.81,90745,90177914.0,1.12,0.92,0.09,0.82
2025-07-03,600995,9.91,9.91,9.93,9.86,57923,57640749.0,0.71,-0.1,-0.01,0.52
2025-07-04,600995,9.93,9.98,10.0,9.91,98872,99099061.0,0.91,0.71,0.07,0.89
2025-07-07,600995,10.07,10.18,10.18,10.0,175301,177942040.0,1.8,2.0,0.2,1.58
2025-07-08,600995,10.16,10.07,10.18,10.01,130395,131911896.0,1.67,-1.08,-0.11,1.18
2025-07-09,600995,10.06,10.05,10.16,10.02,84569,85753325.0,1.39,-0.2,-0.02,0.76
2025-07-10,600995,10.04,10.05,10.11,9.98,68027,68653375.0,1.29,0.0,0.0,0.61
2025-07-11,600995,10.09,10.04,10.1,10.03,83532,84469579.0,0.7,-0.1,-0.01,0.75
2025-07-14,600995,10.03,9.93,10.16,9.93,243706,245500577.0,2.29,-1.1,-0.11,2.2
2025-07-15,600995,9.94,9.8,9.97,9.75,140328,138365330.0,2.22,-1.31,-0.13,1.27
2025-07-16,600995,9.85,9.76,9.9,9.74,154585,152237715.0,1.63,-0.41,-0.04,1.39
2025-07-17,600995,9.76,9.81,9.82,9.73,99294,97423170.0,0.92,0.51,0.05,0.9
2025-07-18,600995,9.82,10.0,10.0,9.81,155844,155104838.0,1.94,1.94,0.19,1.41
