日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601015,3.36,3.23,3.36,3.19,327957,106925605.0,5.09,-3.29,-0.11,1.61
2025-01-03,601015,3.19,3.11,3.25,3.1,258157,81560173.0,4.64,-3.72,-0.12,1.26
2025-01-06,601015,3.11,3.2,3.39,3.05,302307,97146378.0,10.93,2.89,0.09,1.48
2025-01-07,601015,3.19,3.17,3.2,3.1,215312,67532537.0,3.13,-0.94,-0.03,1.05
2025-01-08,601015,3.14,3.1,3.16,3.06,170705,52884447.0,3.15,-2.21,-0.07,0.84
2025-01-09,601015,3.09,3.1,3.1,3.05,131110,40395242.0,1.61,0.0,0.0,0.64
2025-01-10,601015,3.09,3.02,3.13,3.02,133457,40885682.0,3.55,-2.58,-0.08,0.65
2025-01-13,601015,3.02,3.01,3.03,2.98,105120,31576493.0,1.66,-0.33,-0.01,0.51
2025-01-14,601015,3.01,3.08,3.09,3.0,148004,45235536.0,2.99,2.33,0.07,0.72
2025-01-15,601015,3.07,3.05,3.09,3.02,124602,37986086.0,2.27,-0.97,-0.03,0.61
2025-01-16,601015,3.06,3.09,3.18,3.06,212617,66428475.0,3.93,1.31,0.04,1.04
2025-01-17,601015,3.08,3.07,3.08,3.03,106168,32501310.0,1.62,-0.65,-0.02,0.52
2025-01-20,601015,3.06,3.12,3.16,2.99,280846,86502247.0,5.54,1.63,0.05,1.38
2025-01-21,601015,3.1,3.24,3.3,3.09,373464,118936753.0,6.73,3.85,0.12,1.83
2025-01-22,601015,3.25,3.12,3.29,3.09,170048,53336160.0,6.17,-3.7,-0.12,0.83
2025-01-23,601015,3.13,3.08,3.17,3.08,111938,35058804.0,2.88,-1.28,-0.04,0.55
2025-01-24,601015,3.09,3.1,3.11,3.05,102115,31543291.0,1.95,0.65,0.02,0.5
2025-01-27,601015,3.1,3.08,3.17,3.08,107837,33736307.0,2.9,-0.65,-0.02,0.53
2025-02-05,601015,3.12,3.08,3.13,3.06,104513,32284251.0,2.27,0.0,0.0,0.51
2025-02-06,601015,3.08,3.1,3.1,3.02,121147,37082931.0,2.6,0.65,0.02,0.59
2025-02-07,601015,3.1,3.17,3.19,3.07,201233,63362142.0,3.87,2.26,0.07,0.99
2025-02-10,601015,3.16,3.17,3.2,3.15,168489,53428230.0,1.58,0.0,0.0,0.82
2025-02-11,601015,3.17,3.14,3.19,3.08,143766,44874870.0,3.47,-0.95,-0.03,0.7
2025-02-12,601015,3.14,3.16,3.18,3.11,130587,41072787.0,2.23,0.64,0.02,0.64
2025-02-13,601015,3.16,3.14,3.18,3.14,122652,38760861.0,1.27,-0.63,-0.02,0.6
2025-02-14,601015,3.13,3.14,3.17,3.12,101016,31687526.0,1.59,0.0,0.0,0.49
2025-02-17,601015,3.13,3.15,3.17,3.11,154847,48683381.0,1.91,0.32,0.01,0.76
2025-02-18,601015,3.14,3.07,3.15,3.05,146939,45509130.0,3.17,-2.54,-0.08,0.72
2025-02-19,601015,3.07,3.07,3.08,3.05,107684,32975942.0,0.98,0.0,0.0,0.53
2025-02-20,601015,3.07,3.09,3.11,3.04,121165,37337762.0,2.28,0.65,0.02,0.59
2025-02-21,601015,3.1,3.08,3.11,3.05,111148,34137917.0,1.94,-0.32,-0.01,0.54
2025-02-24,601015,3.07,3.09,3.12,3.05,134348,41511600.0,2.27,0.32,0.01,0.66
2025-02-25,601015,3.08,3.07,3.11,3.04,103960,31998377.0,2.27,-0.65,-0.02,0.51
2025-02-26,601015,3.07,3.15,3.15,3.06,198479,62000506.0,2.93,2.61,0.08,0.97
2025-02-27,601015,3.17,3.13,3.17,3.08,141941,44214794.0,2.86,-0.63,-0.02,0.69
2025-02-28,601015,3.12,3.09,3.16,3.08,121396,37764308.0,2.56,-1.28,-0.04,0.59
2025-03-03,601015,3.09,3.11,3.16,3.09,144362,45194181.0,2.27,0.65,0.02,0.71
2025-03-04,601015,3.1,3.08,3.11,3.07,107366,33094088.0,1.29,-0.96,-0.03,0.53
