日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601016,3.06,2.94,3.07,2.92,744385,231053829.0,4.9,-3.92,-0.12,1.25
2025-01-03,601016,2.95,2.9,3.0,2.89,656486,200598252.0,3.74,-1.36,-0.04,1.1
2025-01-06,601016,2.9,2.94,2.94,2.88,556904,168554981.0,2.07,1.38,0.04,0.93
2025-01-07,601016,2.93,2.93,2.94,2.89,406804,123037210.0,1.7,-0.34,-0.01,0.68
2025-01-08,601016,2.92,2.89,2.92,2.84,570341,170705402.0,2.73,-1.37,-0.04,0.96
2025-01-09,601016,2.89,2.88,2.9,2.86,371093,111143997.0,1.38,-0.35,-0.01,0.62
2025-01-10,601016,2.88,2.85,2.89,2.84,406082,120870226.0,1.74,-1.04,-0.03,0.68
2025-01-13,601016,2.83,2.84,2.86,2.8,404241,119029955.0,2.11,-0.35,-0.01,0.68
2025-01-14,601016,2.85,2.9,2.91,2.84,529644,158433361.0,2.46,2.11,0.06,0.89
2025-01-15,601016,2.9,2.87,2.9,2.86,360135,107666657.0,1.38,-1.03,-0.03,0.6
2025-01-16,601016,2.88,2.91,2.93,2.88,513188,155096009.0,1.74,1.39,0.04,0.86
2025-01-17,601016,2.91,2.93,2.94,2.89,375591,114013723.0,1.72,0.69,0.02,0.63
2025-01-20,601016,2.94,2.91,2.96,2.9,414494,125612620.0,2.05,-0.68,-0.02,0.7
2025-01-21,601016,2.91,2.9,2.93,2.87,347077,104297725.0,2.06,-0.34,-0.01,0.58
2025-01-22,601016,2.89,2.89,2.91,2.87,285446,85532498.0,1.38,-0.34,-0.01,0.48
2025-01-23,601016,2.91,2.87,2.95,2.87,482978,145720338.0,2.77,-0.69,-0.02,0.81
2025-01-24,601016,2.88,2.88,2.9,2.85,430621,128817214.0,1.74,0.35,0.01,0.72
2025-01-27,601016,2.9,2.9,2.96,2.89,516663,156810306.0,2.43,0.69,0.02,0.87
2025-02-05,601016,2.92,2.88,2.92,2.87,445433,133841679.0,1.72,-0.69,-0.02,0.75
2025-02-06,601016,2.88,2.96,2.97,2.87,761148,232044907.0,3.47,2.78,0.08,1.28
2025-02-07,601016,2.96,3.01,3.03,2.96,658544,204839078.0,2.36,1.69,0.05,1.1
