日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601059,14.8,14.2,14.91,14.05,416007,607102950.0,5.77,-4.76,-0.71,6.02
2025-01-03,601059,14.23,13.78,14.3,13.73,288922,404433246.0,4.01,-2.96,-0.42,4.18
2025-01-06,601059,13.69,13.98,14.19,13.63,212889,296284931.0,4.06,1.45,0.2,3.08
2025-01-07,601059,13.98,14.01,14.05,13.74,185918,260016851.0,2.22,0.21,0.03,2.69
2025-01-08,601059,13.93,13.84,14.01,13.5,204632,282694242.0,3.64,-1.21,-0.17,2.96
2025-01-09,601059,13.81,13.69,13.9,13.66,132711,183716170.0,1.73,-1.08,-0.15,1.92
2025-01-10,601059,13.66,13.34,13.77,13.34,149918,204119681.0,3.14,-2.56,-0.35,2.17
2025-01-13,601059,13.17,13.39,13.47,13.14,127878,171362558.0,2.47,0.37,0.05,1.85
2025-01-14,601059,13.37,13.83,13.86,13.37,256499,352642543.0,3.66,3.29,0.44,3.71
2025-01-15,601059,13.79,13.65,13.81,13.6,130947,179948418.0,1.52,-1.3,-0.18,1.89
2025-01-16,601059,13.73,13.59,13.87,13.48,157468,216355482.0,2.86,-0.44,-0.06,2.28
2025-01-17,601059,13.53,13.56,13.67,13.5,122637,167520422.0,1.25,-0.22,-0.03,1.77
2025-01-20,601059,13.67,13.6,13.77,13.55,137621,189063131.0,1.62,0.29,0.04,1.99
2025-01-21,601059,13.71,13.61,13.73,13.46,106881,145796332.0,1.99,0.07,0.01,1.55
2025-01-22,601059,13.52,13.58,13.62,13.47,100010,136000841.0,1.1,-0.22,-0.03,1.45
2025-01-23,601059,13.82,13.58,14.05,13.58,236066,327748016.0,3.46,0.0,0.0,3.41
2025-01-24,601059,13.58,13.67,13.7,13.54,153316,209963352.0,1.18,0.66,0.09,2.22
2025-01-27,601059,13.75,13.2,13.77,13.18,184721,249543268.0,4.32,-3.44,-0.47,2.67
2025-02-05,601059,13.3,13.31,13.37,13.2,126180,168564726.0,1.29,0.83,0.11,1.82
2025-02-06,601059,13.28,13.77,13.85,13.25,270113,370070849.0,4.51,3.46,0.46,3.91
2025-02-07,601059,13.7,13.96,14.23,13.68,327666,459042784.0,3.99,1.38,0.19,4.74
2025-02-10,601059,13.91,13.99,14.03,13.89,180891,253887262.0,1.0,0.21,0.03,2.62
2025-02-11,601059,13.98,13.85,13.99,13.74,145665,202470778.0,1.79,-1.0,-0.14,2.11
2025-02-12,601059,13.79,14.05,14.05,13.77,175993,245908338.0,2.02,1.44,0.2,2.54
2025-02-13,601059,14.05,13.89,14.16,13.84,229737,322438533.0,2.28,-1.14,-0.16,3.32
2025-02-14,601059,13.89,13.95,14.04,13.84,144722,202753658.0,1.44,0.43,0.06,2.09
2025-02-17,601059,14.93,14.97,15.35,14.65,1237003,1882188007.0,5.02,7.31,1.02,17.89
2025-02-18,601059,14.48,15.23,16.09,14.48,1083578,1650880537.0,10.75,1.74,0.26,15.67
2025-02-19,601059,15.1,16.28,16.76,15.1,1376698,2221903335.0,10.9,6.89,1.05,19.91
2025-02-20,601059,15.97,16.5,16.86,15.82,1139324,1880642206.0,6.39,1.35,0.22,16.47
2025-02-21,601059,16.53,16.37,16.92,16.09,1037614,1707851157.0,5.03,-0.79,-0.13,15.0
2025-02-24,601059,16.13,15.93,16.46,15.72,682516,1098070644.0,4.52,-2.69,-0.44,9.87
2025-02-25,601059,15.73,15.76,16.35,15.67,580030,931290146.0,4.27,-1.07,-0.17,8.39
2025-02-26,601059,15.93,16.66,16.85,15.61,932844,1514829160.0,7.87,5.71,0.9,13.49
2025-02-27,601059,16.22,16.37,16.61,15.93,885090,1443939385.0,4.08,-1.74,-0.29,12.8
2025-02-28,601059,16.27,15.73,17.13,15.73,814968,1339009933.0,8.55,-3.91,-0.64,11.78
2025-03-03,601059,15.98,15.93,16.51,15.72,621297,1004933367.0,5.02,1.27,0.2,8.98
2025-03-04,601059,15.71,15.9,16.17,15.71,405372,649532692.0,2.89,-0.19,-0.03,5.86
2025-03-05,601059,15.81,15.82,16.01,15.68,407929,647525844.0,2.08,-0.5,-0.08,5.9
2025-03-06,601059,15.89,16.66,17.03,15.77,1022998,1694486504.0,7.96,5.31,0.84,14.79
2025-03-07,601059,16.41,16.29,16.78,16.16,614999,1011208853.0,3.72,-2.22,-0.37,8.89
2025-03-10,601059,16.15,16.06,16.28,15.95,329171,530723416.0,2.03,-1.41,-0.23,4.76
2025-03-11,601059,15.91,16.15,16.42,15.88,472473,768188140.0,3.36,0.56,0.09,6.83
2025-03-12,601059,16.2,16.47,16.88,16.17,820987,1364657697.0,4.4,1.98,0.32,11.87
2025-03-13,601059,16.29,16.71,17.32,16.29,843410,1423852758.0,6.25,1.46,0.24,12.2
2025-03-14,601059,16.88,18.39,18.39,16.73,1300992,2344712248.0,9.93,10.05,1.68,18.81
2025-03-17,601059,18.39,17.6,18.39,17.57,1264990,2264859836.0,4.46,-4.3,-0.79,18.29
2025-03-18,601059,17.73,17.8,18.38,17.65,990279,1782133141.0,4.15,1.14,0.2,14.32
2025-03-19,601059,17.85,18.11,18.31,17.63,893991,1612472635.0,3.82,1.74,0.31,12.93
2025-03-20,601059,17.88,17.58,17.95,17.49,644020,1141832041.0,2.54,-2.93,-0.53,9.31
2025-03-21,601059,17.45,17.42,18.0,17.3,662623,1172687311.0,3.98,-0.91,-0.16,9.58
2025-03-24,601059,17.33,17.3,17.62,17.01,505619,873068018.0,3.5,-0.69,-0.12,7.31
2025-03-25,601059,17.23,16.68,17.23,16.53,513794,865063746.0,4.05,-3.58,-0.62,7.43
2025-03-26,601059,16.53,16.54,16.8,16.53,334185,558793703.0,1.62,-0.84,-0.14,4.83
2025-03-27,601059,16.49,16.59,16.91,16.28,372354,621207899.0,3.81,0.3,0.05,5.38
2025-03-28,601059,16.55,16.67,16.92,16.5,353617,592408460.0,2.53,0.48,0.08,5.11
2025-03-31,601059,16.58,16.13,16.67,16.01,401018,653953747.0,3.96,-3.24,-0.54,5.8
2025-04-01,601059,16.23,15.93,16.32,15.81,316927,509315291.0,3.16,-1.24,-0.2,4.58
2025-04-02,601059,15.86,15.9,16.05,15.81,212625,339877981.0,1.51,-0.19,-0.03,3.07
2025-04-03,601059,15.71,15.84,16.01,15.69,203673,324298676.0,2.01,-0.38,-0.06,2.94
2025-04-07,601059,14.83,14.25,15.1,14.25,477801,691611523.0,5.37,-10.04,-1.59,6.91
2025-04-08,601059,14.49,14.24,14.58,13.96,399380,570720699.0,4.35,-0.07,-0.01,5.77
2025-04-09,601059,13.93,14.43,14.58,13.64,457258,653402497.0,6.6,1.33,0.19,6.61
2025-04-10,601059,14.73,14.6,14.92,14.52,381099,563474727.0,2.77,1.18,0.17,5.51
2025-04-11,601059,14.72,14.98,15.2,14.55,461993,693067073.0,4.45,2.6,0.38,6.68
2025-04-14,601059,14.99,14.88,15.04,14.81,284781,426090835.0,1.54,-0.67,-0.1,4.12
2025-04-15,601059,14.85,14.84,14.88,14.72,184752,274357388.0,1.08,-0.27,-0.04,2.67
2025-04-16,601059,14.85,14.68,14.85,14.48,204942,301349604.0,2.49,-1.08,-0.16,2.96
2025-04-17,601059,14.58,14.66,14.81,14.57,153121,226046962.0,1.63,-0.14,-0.02,2.21
2025-04-18,601059,14.6,14.75,14.84,14.58,177761,262841302.0,1.77,0.61,0.09,2.57
2025-04-21,601059,14.63,14.81,14.83,14.52,158597,235009250.0,2.1,0.41,0.06,2.29
2025-04-22,601059,14.78,14.78,14.88,14.71,163459,242717626.0,1.15,-0.2,-0.03,2.36
2025-04-23,601059,14.81,14.76,14.99,14.69,165713,246137269.0,2.03,-0.14,-0.02,2.4
2025-04-24,601059,14.9,15.0,15.36,14.9,553908,841117552.0,3.12,1.63,0.24,8.01
2025-04-25,601059,14.78,14.87,15.03,14.71,333754,498409719.0,2.13,-0.87,-0.13,4.83
2025-04-28,601059,14.78,14.59,14.81,14.53,223693,329034196.0,1.88,-1.88,-0.28,3.23
2025-04-29,601059,14.59,14.62,14.7,14.49,126660,185941552.0,1.44,0.21,0.03,1.83
2025-04-30,601059,14.66,14.48,14.73,14.46,218015,319299798.0,1.85,-0.96,-0.14,3.15
2025-05-06,601059,14.55,14.92,14.92,14.53,321343,476962189.0,2.69,3.04,0.44,4.65
2025-05-07,601059,15.55,14.98,15.63,14.88,424484,646245406.0,5.03,0.4,0.06,6.14
2025-05-08,601059,14.89,15.06,15.15,14.85,247242,373483168.0,2.0,0.53,0.08,3.57
2025-05-09,601059,15.18,15.0,15.31,14.89,347421,526243867.0,2.79,-0.4,-0.06,5.02
2025-05-12,601059,15.15,15.3,15.35,14.98,343323,523309414.0,2.47,2.0,0.3,4.96
2025-05-13,601059,15.38,15.05,15.38,15.03,251390,383317551.0,2.29,-1.63,-0.25,3.63
2025-05-14,601059,15.03,15.5,15.72,14.93,533837,822890787.0,5.25,2.99,0.45,7.72
2025-05-15,601059,15.31,15.04,15.39,15.03,271619,414182771.0,2.32,-2.97,-0.46,3.93
2025-05-16,601059,15.02,15.08,15.31,14.98,242240,368342486.0,2.19,0.27,0.04,3.5
2025-05-19,601059,15.22,15.09,15.24,14.93,183258,277857753.0,2.06,0.07,0.01,2.65
2025-05-20,601059,15.08,15.07,15.15,14.98,165733,250714025.0,1.13,-0.13,-0.02,2.4
2025-05-21,601059,15.03,14.99,15.08,14.94,146642,220899419.0,0.93,-0.53,-0.08,2.12
2025-05-22,601059,14.93,14.73,14.96,14.67,182340,271115587.0,1.93,-1.73,-0.26,2.64
2025-05-23,601059,14.69,14.43,14.79,14.42,206124,302119317.0,2.51,-2.04,-0.3,2.98
2025-05-26,601059,14.37,14.46,14.46,14.28,120230,173792369.0,1.25,0.21,0.03,1.74
2025-05-27,601059,14.43,14.4,14.44,14.31,102445,147947406.0,0.9,-0.41,-0.06,1.48
2025-05-28,601059,14.39,14.28,14.43,14.25,98758,142158390.0,1.25,-0.83,-0.12,1.43
2025-05-29,601059,14.3,14.49,14.52,14.27,163710,237405145.0,1.75,1.47,0.21,2.37
2025-05-30,601059,14.45,14.31,14.45,14.31,117632,169626325.0,0.97,-1.24,-0.18,1.7
2025-06-03,601059,14.25,14.41,14.49,14.23,122880,177512045.0,1.82,0.7,0.1,1.78
2025-06-04,601059,14.39,14.57,14.66,14.37,178260,260673896.0,2.01,1.11,0.16,2.58
2025-06-05,601059,14.53,14.67,14.7,14.53,202808,297837643.0,1.17,0.69,0.1,2.93
2025-06-06,601059,14.68,14.51,14.71,14.48,127588,186331342.0,1.57,-1.09,-0.16,1.84
2025-06-09,601059,15.11,15.97,15.97,15.01,1437709,2278353586.0,6.62,10.06,1.46,20.79
2025-06-10,601059,15.93,15.51,16.15,15.41,958933,1509966396.0,4.63,-2.88,-0.46,13.87
2025-06-11,601059,15.59,16.5,17.07,15.53,1538987,2572522920.0,9.93,6.38,0.99,22.25
2025-06-12,601059,16.03,16.24,16.68,16.03,971322,1589333714.0,3.94,-1.58,-0.26,14.04
2025-06-13,601059,16.18,15.92,16.28,15.84,707166,1139723278.0,2.71,-1.97,-0.32,10.23
2025-06-16,601059,15.83,16.17,16.23,15.83,520245,840414308.0,2.51,1.57,0.25,7.52
2025-06-17,601059,16.14,16.67,16.9,16.14,871288,1452110788.0,4.7,3.09,0.5,12.6
2025-06-18,601059,16.53,16.33,16.7,16.19,531012,871987053.0,3.06,-2.04,-0.34,7.68
2025-06-19,601059,16.17,15.86,16.39,15.8,471246,757639070.0,3.61,-2.88,-0.47,6.81
2025-06-20,601059,15.88,15.7,16.01,15.65,275653,436324980.0,2.27,-1.01,-0.16,3.99
2025-06-23,601059,15.57,15.93,16.06,15.57,361463,576892836.0,3.12,1.46,0.23,5.23
2025-06-24,601059,15.89,16.46,16.69,15.88,775098,1276455582.0,5.08,3.33,0.53,11.21
2025-06-25,601059,16.46,17.51,17.93,16.46,1388940,2421065229.0,8.93,6.38,1.05,20.08
2025-06-26,601059,17.51,17.13,17.58,16.98,846351,1462172060.0,3.43,-2.17,-0.38,12.24
2025-06-27,601059,17.15,16.84,17.44,16.83,770729,1323088494.0,3.56,-1.69,-0.29,11.14
2025-06-30,601059,16.84,17.03,17.25,16.65,525192,892655773.0,3.56,1.13,0.19,7.59
2025-07-01,601059,17.03,16.86,17.03,16.73,331499,560380192.0,1.76,-1.0,-0.17,4.79
2025-07-02,601059,16.86,16.68,16.88,16.6,262048,439581785.0,1.66,-1.07,-0.18,3.79
2025-07-03,601059,16.69,16.73,16.8,16.59,255434,428512146.0,1.26,0.3,0.05,3.69
2025-07-04,601059,16.65,16.44,17.0,16.43,520751,871770429.0,3.41,-1.73,-0.29,7.53
2025-07-07,601059,16.35,16.48,16.6,16.33,233288,386086188.0,1.64,0.24,0.04,3.37
2025-07-08,601059,16.51,16.93,16.98,16.44,526744,891135343.0,3.28,2.73,0.45,7.62
2025-07-09,601059,16.95,16.75,17.05,16.66,383852,648537898.0,2.3,-1.06,-0.18,5.55
2025-07-10,601059,16.68,16.79,16.91,16.57,381430,642376625.0,2.03,0.24,0.04,5.52
2025-07-11,601059,16.86,17.06,17.43,16.68,824278,1418078042.0,4.47,1.61,0.27,11.92
2025-07-14,601059,17.14,16.73,17.2,16.66,415667,700656146.0,3.17,-1.93,-0.33,6.01
2025-07-15,601059,16.85,16.62,16.98,16.49,324055,542962379.0,2.93,-0.66,-0.11,4.69
2025-07-16,601059,16.62,16.59,16.7,16.48,201273,335571266.0,1.32,-0.18,-0.03,2.91
2025-07-17,601059,16.61,16.76,16.77,16.55,259385,433743288.0,1.33,1.02,0.17,3.75
2025-07-18,601059,16.77,16.69,16.8,16.64,203603,341565709.0,0.95,-0.42,-0.07,2.94
2025-07-21,601059,16.65,16.82,16.87,16.6,282319,475617667.0,1.62,0.78,0.13,4.08
2025-07-22,601059,16.77,16.75,16.83,16.51,319887,535503174.0,1.9,-0.42,-0.07,4.63
2025-07-23,601059,16.75,16.77,17.1,16.72,575146,975340826.0,2.27,0.12,0.02,8.32
2025-07-24,601059,16.73,17.07,17.11,16.68,577027,984610855.0,2.56,1.79,0.3,8.34
2025-07-25,601059,17.08,16.99,17.22,16.96,398635,683067556.0,1.52,-0.47,-0.08,5.76
2025-07-28,601059,16.95,17.06,17.31,16.86,359669,617213398.0,2.65,0.41,0.07,5.2
2025-07-29,601059,16.96,17.11,17.11,16.63,385230,652050471.0,2.81,0.29,0.05,5.57
2025-07-30,601059,17.12,16.74,17.12,16.62,377156,639414923.0,2.92,-2.16,-0.37,5.45
2025-07-31,601059,16.7,16.26,16.78,16.17,371279,614250893.0,3.64,-2.87,-0.48,5.37
2025-08-01,601059,16.22,16.18,16.34,16.07,205562,334562654.0,1.66,-0.49,-0.08,2.97
2025-08-04,601059,16.09,16.4,16.41,16.07,200199,326832533.0,2.1,1.36,0.22,2.89
2025-08-05,601059,16.53,17.39,18.03,16.52,1101496,1942475920.0,9.21,6.04,0.99,15.93
2025-08-06,601059,17.48,17.99,18.37,17.15,1044248,1856767643.0,7.02,3.45,0.6,15.1
2025-08-07,601059,17.98,17.81,18.19,17.71,649955,1166971994.0,2.67,-1.0,-0.18,9.4
2025-08-08,601059,17.83,17.55,17.88,17.44,376862,666262638.0,2.47,-1.46,-0.26,5.45
2025-08-11,601059,17.44,17.68,17.99,17.44,468105,834458630.0,3.13,0.74,0.13,6.77
2025-08-12,601059,17.73,17.75,17.97,17.61,392926,700145705.0,2.04,0.4,0.07,5.68
2025-08-13,601059,17.77,18.06,18.27,17.53,742079,1338812532.0,4.17,1.75,0.31,10.73
2025-08-14,601059,18.11,17.75,18.28,17.63,535803,963297682.0,3.6,-1.72,-0.31,7.75
2025-08-15,601059,17.65,18.33,18.52,17.64,771039,1405959119.0,4.96,3.27,0.58,11.15
2025-08-18,601059,18.39,18.48,18.94,18.1,949920,1765525815.0,4.58,0.82,0.15,13.74
2025-08-19,601059,18.35,18.09,18.5,18.06,504952,924187664.0,2.38,-2.11,-0.39,7.3
2025-08-20,601059,18.04,18.14,18.19,17.73,379450,684548391.0,2.54,0.28,0.05,5.49
2025-08-21,601059,18.25,17.88,18.33,17.78,329840,595524243.0,3.03,-1.43,-0.26,4.77
2025-08-22,601059,17.82,19.67,19.67,17.8,1444078,2790310143.0,10.46,10.01,1.79,20.88
2025-08-25,601059,20.65,19.94,21.64,19.74,1940441,4006828909.0,9.66,1.37,0.27,28.06
2025-08-26,601059,19.65,19.42,19.91,19.34,976082,1915409350.0,2.86,-2.61,-0.52,14.11
2025-08-27,601059,19.38,18.75,19.7,18.75,919278,1779222087.0,4.89,-3.45,-0.67,13.29
2025-08-28,601059,19.0,19.95,20.1,19.0,1317542,2588935325.0,5.87,6.4,1.2,19.05
2025-08-29,601059,19.95,19.6,19.95,19.45,821689,1618773793.0,2.51,-1.75,-0.35,11.88
2025-09-01,601059,19.6,19.41,19.74,19.31,466159,908762663.0,2.19,-0.97,-0.19,6.74
2025-09-02,601059,19.53,19.86,20.13,19.3,1154644,2280820479.0,4.28,2.32,0.45,16.7
2025-09-03,601059,19.93,18.52,20.12,18.4,889589,1713609052.0,8.66,-6.75,-1.34,12.86
2025-09-04,601059,18.44,18.79,19.21,18.41,715591,1354843309.0,4.32,1.46,0.27,10.35
2025-09-05,601059,18.79,18.88,18.88,18.23,512602,958460302.0,3.46,0.48,0.09,7.41
2025-09-08,601059,18.73,18.78,18.94,18.55,339668,638522642.0,2.07,-0.53,-0.1,4.91
2025-09-09,601059,18.76,18.53,18.91,18.46,364041,681245711.0,2.4,-1.33,-0.25,5.26
