日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601069,11.4,11.4,11.67,11.32,85542,98832374.0,3.07,0.0,0.0,1.25
2025-01-03,601069,11.5,11.52,11.69,11.33,132849,153867932.0,3.16,1.05,0.12,1.94
2025-01-06,601069,11.35,11.25,11.5,10.95,108828,123209734.0,4.77,-2.34,-0.27,1.59
2025-01-07,601069,11.3,11.53,11.55,11.16,70834,81217791.0,3.47,2.49,0.28,1.04
2025-01-08,601069,11.47,11.51,11.7,11.33,85740,99300283.0,3.21,-0.17,-0.02,1.25
2025-01-09,601069,11.47,11.49,11.56,11.39,44965,51835317.0,1.48,-0.17,-0.02,0.66
2025-01-10,601069,11.53,11.31,11.62,11.3,54157,62142672.0,2.79,-1.57,-0.18,0.79
2025-01-13,601069,11.19,11.49,11.55,11.12,58564,67165041.0,3.8,1.59,0.18,0.86
2025-01-14,601069,11.44,11.64,11.64,11.27,101783,117561381.0,3.22,1.31,0.15,1.49
2025-01-15,601069,11.56,11.66,11.66,11.44,69067,80240824.0,1.89,0.17,0.02,1.01
2025-01-16,601069,11.7,11.83,11.92,11.7,88826,105416233.0,1.89,1.46,0.17,1.3
2025-01-17,601069,11.84,11.81,11.87,11.75,54948,65166571.0,1.01,-0.17,-0.02,0.8
2025-01-20,601069,11.85,11.72,11.85,11.66,63300,74478856.0,1.61,-0.76,-0.09,0.93
2025-01-21,601069,11.71,11.69,11.77,11.56,46722,54703939.0,1.79,-0.26,-0.03,0.68
2025-01-22,601069,11.74,11.82,11.92,11.63,111456,131943945.0,2.48,1.11,0.13,1.63
2025-01-23,601069,11.78,11.81,12.03,11.78,114590,137178180.0,2.12,-0.08,-0.01,1.68
2025-01-24,601069,11.8,11.85,11.93,11.64,65990,78104347.0,2.46,0.34,0.04,0.96
2025-01-27,601069,12.05,12.08,12.3,11.97,135126,164697433.0,2.78,1.94,0.23,1.98
2025-02-05,601069,12.45,12.65,12.72,12.33,188868,238745815.0,3.23,4.72,0.57,2.76
2025-02-06,601069,12.62,12.65,12.72,12.53,118427,149968293.0,1.5,0.0,0.0,1.73
2025-02-07,601069,12.62,12.83,12.97,12.59,139047,179225703.0,3.0,1.42,0.18,2.03
2025-02-10,601069,12.89,12.95,13.13,12.79,121960,158234279.0,2.65,0.94,0.12,1.78
2025-02-11,601069,13.14,13.04,13.26,12.99,188936,248978991.0,2.08,0.69,0.09,2.76
2025-02-12,601069,12.82,12.99,13.2,12.75,140831,183250429.0,3.45,-0.38,-0.05,2.06
2025-02-13,601069,13.02,13.23,13.34,12.96,124775,164757231.0,2.93,1.85,0.24,1.82
2025-02-14,601069,13.25,13.56,14.19,13.22,252970,348790845.0,7.33,2.49,0.33,3.7
2025-02-17,601069,13.13,12.89,13.16,12.86,157932,206037196.0,2.21,-4.94,-0.67,2.31
2025-02-18,601069,12.87,12.81,12.97,12.75,88658,114313603.0,1.71,-0.62,-0.08,1.3
2025-02-19,601069,12.94,12.95,13.08,12.9,81384,105985612.0,1.41,1.09,0.14,1.19
2025-02-20,601069,12.96,13.26,13.31,12.95,100185,132003043.0,2.78,2.39,0.31,1.46
2025-02-21,601069,13.26,12.85,13.26,12.84,112391,146681151.0,3.17,-3.09,-0.41,1.64
2025-02-24,601069,12.82,13.22,13.28,12.7,130412,170302808.0,4.51,2.88,0.37,1.91
2025-02-25,601069,13.28,13.05,13.45,13.01,104972,139033482.0,3.33,-1.29,-0.17,1.53
2025-02-26,601069,13.04,13.01,13.2,12.95,72211,94648995.0,1.92,-0.31,-0.04,1.06
2025-02-27,601069,13.01,12.86,13.12,12.78,71584,92765398.0,2.61,-1.15,-0.15,1.05
2025-02-28,601069,12.76,12.58,12.83,12.51,80474,102178906.0,2.49,-2.18,-0.28,1.18
2025-03-03,601069,12.58,12.59,12.79,12.58,54439,69311546.0,1.67,0.08,0.01,0.8
2025-03-04,601069,12.68,12.87,12.9,12.62,65597,84127746.0,2.22,2.22,0.28,0.96
2025-03-05,601069,12.9,13.16,13.17,12.81,98226,128690461.0,2.8,2.25,0.29,1.44
2025-03-06,601069,13.06,13.18,13.25,13.03,84982,112226310.0,1.67,0.15,0.02,1.24
2025-03-07,601069,13.11,13.46,13.67,13.09,130531,176420449.0,4.4,2.12,0.28,1.91
2025-03-10,601069,13.53,13.42,13.62,13.29,87441,117894269.0,2.45,-0.3,-0.04,1.28
2025-03-11,601069,13.2,13.34,13.38,13.12,90900,120668601.0,1.94,-0.6,-0.08,1.33
2025-03-12,601069,13.35,13.25,13.51,13.21,77982,104180337.0,2.25,-0.67,-0.09,1.14
2025-03-13,601069,13.37,13.4,13.45,13.18,98687,132018098.0,2.04,1.13,0.15,1.44
2025-03-14,601069,13.95,13.59,14.1,13.5,193152,264705300.0,4.48,1.42,0.19,2.82
2025-03-17,601069,13.47,13.44,13.74,13.39,106789,145147258.0,2.58,-1.1,-0.15,1.56
2025-03-18,601069,13.42,13.92,14.05,13.38,172854,240177399.0,4.99,3.57,0.48,2.53
2025-03-19,601069,13.98,14.12,14.36,13.86,165440,234070955.0,3.59,1.44,0.2,2.42
2025-03-20,601069,14.27,14.05,14.34,14.0,157285,223484613.0,2.41,-0.5,-0.07,2.3
2025-03-21,601069,13.95,13.65,14.04,13.57,105296,145345368.0,3.35,-2.85,-0.4,1.54
2025-03-24,601069,13.68,13.59,13.79,13.38,79075,107306731.0,3.0,-0.44,-0.06,1.16
2025-03-25,601069,13.53,13.57,13.74,13.37,69152,93999627.0,2.72,-0.15,-0.02,1.01
2025-03-26,601069,13.57,13.71,13.8,13.48,96753,132468766.0,2.36,1.03,0.14,1.41
2025-03-27,601069,13.69,13.87,14.03,13.55,101159,140402807.0,3.5,1.17,0.16,1.48
2025-03-28,601069,14.26,15.26,15.26,13.94,366461,543484838.0,9.52,10.02,1.39,5.36
2025-03-31,601069,15.3,16.79,16.79,15.3,738815,1202341582.0,9.76,10.03,1.53,10.8
2025-04-01,601069,17.34,16.47,17.65,16.03,739964,1239770342.0,9.65,-1.91,-0.32,10.82
2025-04-02,601069,16.3,15.45,16.34,15.29,557111,879106686.0,6.38,-6.19,-1.02,8.14
2025-04-03,601069,16.07,17.0,17.0,15.85,915814,1517360571.0,7.44,10.03,1.55,13.39
2025-04-07,601069,15.3,15.3,16.09,15.3,573245,888524594.0,4.65,-10.0,-1.7,8.38
2025-04-08,601069,14.45,15.07,15.45,14.45,534092,799802797.0,6.54,-1.5,-0.23,7.81
2025-04-09,601069,14.5,15.1,15.34,13.56,541728,775247278.0,11.81,0.2,0.03,7.92
2025-04-10,601069,15.35,16.62,16.62,15.2,737464,1194255591.0,9.4,10.07,1.52,10.78
2025-04-11,601069,17.25,17.32,18.24,16.98,854252,1499548340.0,7.58,4.21,0.7,12.49
2025-04-14,601069,17.02,18.55,18.93,17.02,690039,1233766677.0,11.03,7.1,1.23,10.09
2025-04-15,601069,18.0,17.75,18.25,17.63,493934,883994793.0,3.34,-4.31,-0.8,7.22
