日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601096,4.34,4.18,4.35,4.15,191738,82380617.0,4.64,-3.02,-0.13,1.17
2025-01-03,601096,4.24,4.11,4.3,4.11,243708,103211804.0,4.55,-1.67,-0.07,1.48
2025-01-06,601096,4.11,4.13,4.18,4.03,163631,67978772.0,3.65,0.49,0.02,1.0
2025-01-07,601096,4.13,4.19,4.2,4.09,146415,61282675.0,2.66,1.45,0.06,0.89
2025-01-08,601096,4.18,4.17,4.2,4.07,148301,61972036.0,3.1,-0.48,-0.02,0.9
2025-01-09,601096,4.16,4.14,4.21,4.12,116916,49235380.0,2.16,-0.72,-0.03,0.71
2025-01-10,601096,4.14,4.02,4.16,4.02,146497,60378499.0,3.38,-2.9,-0.12,0.89
2025-01-13,601096,4.01,4.0,4.04,3.96,133255,53751952.0,1.99,-0.5,-0.02,0.81
2025-01-14,601096,4.0,4.13,4.14,4.0,157499,64925431.0,3.5,3.25,0.13,0.96
2025-01-15,601096,4.12,4.1,4.13,4.07,117132,48402590.0,1.45,-0.73,-0.03,0.71
2025-01-16,601096,4.1,4.11,4.19,4.09,148726,62152240.0,2.44,0.24,0.01,0.91
2025-01-17,601096,4.1,4.13,4.15,4.08,95581,39725178.0,1.7,0.49,0.02,0.58
2025-01-20,601096,4.19,4.2,4.26,4.14,195606,83020080.0,2.91,1.69,0.07,1.19
2025-01-21,601096,4.22,4.12,4.22,4.1,128836,53837757.0,2.86,-1.9,-0.08,0.78
2025-01-22,601096,4.12,4.14,4.15,4.09,106182,44235185.0,1.46,0.49,0.02,0.65
2025-01-23,601096,4.16,4.13,4.24,4.13,227221,96147796.0,2.66,-0.24,-0.01,1.38
2025-01-24,601096,4.13,4.16,4.17,4.11,123260,51659336.0,1.45,0.73,0.03,0.75
2025-01-27,601096,4.17,4.12,4.21,4.12,131499,55152554.0,2.16,-0.96,-0.04,0.8
2025-02-05,601096,4.13,4.12,4.17,4.09,142339,59357794.0,1.94,0.0,0.0,0.87
2025-02-06,601096,4.12,4.16,4.16,4.07,152317,63406262.0,2.18,0.97,0.04,0.93
2025-02-07,601096,4.16,4.22,4.23,4.15,221046,93856443.0,1.92,1.44,0.06,1.35
2025-02-10,601096,4.22,4.23,4.24,4.2,143863,61299322.0,0.95,0.24,0.01,0.88
2025-02-11,601096,4.22,4.22,4.23,4.17,134299,56878604.0,1.42,-0.24,-0.01,0.82
2025-02-12,601096,4.21,4.24,4.25,4.18,153642,65391483.0,1.66,0.47,0.02,0.94
2025-02-13,601096,4.23,4.19,4.25,4.18,169214,71860445.0,1.65,-1.18,-0.05,1.03
2025-02-14,601096,4.18,4.19,4.21,4.16,110205,46586584.0,1.19,0.0,0.0,0.67
2025-02-17,601096,4.46,4.35,4.46,4.29,554747,243559285.0,4.06,3.82,0.16,3.38
2025-02-18,601096,4.38,4.27,4.43,4.26,314754,137757431.0,3.91,-1.84,-0.08,1.92
2025-02-19,601096,4.26,4.29,4.3,4.24,217548,93750314.0,1.41,0.47,0.02,1.32
2025-02-20,601096,4.29,4.28,4.29,4.22,193016,82884423.0,1.63,-0.23,-0.01,1.17
2025-02-21,601096,4.26,4.28,4.3,4.24,187109,80597634.0,1.4,0.0,0.0,1.14
2025-02-24,601096,4.27,4.28,4.3,4.25,170605,73661974.0,1.17,0.0,0.0,1.04
2025-02-25,601096,4.25,4.25,4.28,4.23,149689,64252204.0,1.17,-0.7,-0.03,0.91
2025-02-26,601096,4.25,4.28,4.28,4.24,146414,63012502.0,0.94,0.71,0.03,0.89
2025-02-27,601096,4.27,4.25,4.3,4.22,171959,73756723.0,1.87,-0.7,-0.03,1.05
2025-02-28,601096,4.24,4.17,4.25,4.14,201217,85224587.0,2.59,-1.88,-0.08,1.22
2025-03-03,601096,4.17,4.14,4.19,4.11,167585,70262031.0,1.92,-0.72,-0.03,1.02
2025-03-04,601096,4.11,4.14,4.16,4.11,115273,48158103.0,1.21,0.0,0.0,0.7
2025-03-05,601096,4.14,4.14,4.15,4.09,124514,51747770.0,1.45,0.0,0.0,0.76
2025-03-06,601096,4.14,4.17,4.17,4.12,131594,55187341.0,1.21,0.72,0.03,0.8
2025-03-07,601096,4.19,4.15,4.22,4.13,174096,73352209.0,2.16,-0.48,-0.02,1.06
2025-03-10,601096,4.15,4.16,4.19,4.13,105209,44096889.0,1.45,0.24,0.01,0.64
2025-03-11,601096,4.13,4.17,4.17,4.11,98922,41385759.0,1.44,0.24,0.01,0.6
2025-03-12,601096,4.21,4.22,4.25,4.2,210987,89889179.0,1.2,1.2,0.05,1.28
2025-03-13,601096,4.21,4.15,4.22,4.14,151923,63983563.0,1.9,-1.66,-0.07,0.92
2025-03-14,601096,4.15,4.23,4.23,4.14,197518,83792974.0,2.17,1.93,0.08,1.2
2025-03-17,601096,4.24,4.25,4.27,4.23,155528,66678223.0,0.95,0.47,0.02,0.95
2025-03-18,601096,4.24,4.25,4.26,4.22,103636,44367773.0,0.94,0.0,0.0,0.63
2025-03-19,601096,4.24,4.27,4.3,4.23,177191,76267229.0,1.65,0.47,0.02,1.08
2025-03-20,601096,4.27,4.31,4.34,4.25,232895,101374185.0,2.11,0.94,0.04,1.42
2025-03-21,601096,4.31,4.3,4.37,4.29,280498,122542516.0,1.86,-0.23,-0.01,1.71
2025-03-24,601096,4.28,4.24,4.32,4.18,203966,87261010.0,3.26,-1.4,-0.06,1.24
2025-03-25,601096,4.24,4.3,4.32,4.21,162665,70440178.0,2.59,1.42,0.06,0.99
2025-03-26,601096,4.31,4.3,4.32,4.28,136064,59098646.0,0.93,0.0,0.0,0.83
