日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601100,51.55,50.57,52.25,50.05,87021,454946693.0,4.25,-2.32,-1.2,0.65
2025-01-03,601100,50.59,49.06,50.72,49.03,72520,369366932.0,3.34,-2.99,-1.51,0.54
2025-01-06,601100,49.04,49.33,49.55,48.82,48952,245536441.0,1.49,0.55,0.27,0.37
2025-01-07,601100,49.33,49.68,49.68,48.89,41026,206309945.0,1.6,0.71,0.35,0.31
2025-01-08,601100,49.49,49.55,50.11,48.7,60499,304863747.0,2.84,-0.26,-0.13,0.45
2025-01-09,601100,49.18,50.84,51.39,49.16,80015,411437700.0,4.5,2.6,1.29,0.6
2025-01-10,601100,50.75,51.69,53.09,50.49,133093,708788092.0,5.11,1.67,0.85,0.99
2025-01-13,601100,51.02,51.0,52.07,50.71,59474,311355231.0,2.63,-1.33,-0.69,0.44
2025-01-14,601100,50.95,53.56,53.98,50.16,128374,689308675.0,7.49,5.02,2.56,0.96
2025-01-15,601100,53.46,53.23,54.25,52.63,93905,512096592.0,3.02,-0.62,-0.33,0.7
2025-01-16,601100,58.65,58.65,58.65,58.11,236582,1410929560.0,1.01,10.18,5.42,1.76
2025-01-17,601100,58.65,61.55,62.28,58.0,417650,2555455864.0,7.3,4.94,2.9,3.11
2025-01-20,601100,62.03,60.91,64.88,60.4,280791,1770312807.0,7.28,-1.04,-0.64,2.09
2025-01-21,601100,61.68,64.0,64.66,60.25,273870,1742990484.0,7.24,5.07,3.09,2.04
2025-01-22,601100,64.88,62.53,65.0,62.0,162829,1037876313.0,4.69,-2.3,-1.47,1.21
2025-01-23,601100,62.99,61.19,63.29,60.7,168081,1055594918.0,4.14,-2.14,-1.34,1.25
2025-01-24,601100,61.48,62.42,62.89,60.2,146577,920609506.0,4.4,2.01,1.23,1.09
2025-01-27,601100,61.52,61.09,62.48,61.09,89276,561259758.0,2.23,-2.13,-1.33,0.67
2025-02-05,601100,62.58,62.38,63.95,61.14,148481,947199067.0,4.6,2.11,1.29,1.11
2025-02-06,601100,62.03,66.14,67.82,61.82,243460,1614460783.0,9.62,6.03,3.76,1.82
2025-02-07,601100,65.48,65.13,67.5,64.57,171938,1155012684.0,4.43,-1.53,-1.01,1.28
2025-02-10,601100,64.8,64.15,65.13,62.98,115030,746995491.0,3.3,-1.5,-0.98,0.86
2025-02-11,601100,63.19,65.07,65.3,63.15,98526,646257736.0,3.35,1.43,0.92,0.73
2025-02-12,601100,63.96,64.7,65.71,63.51,92946,610012863.0,3.38,-0.57,-0.37,0.69
2025-02-13,601100,64.68,61.95,64.89,61.84,141666,907419133.0,4.71,-4.25,-2.75,1.06
2025-02-14,601100,62.0,68.25,68.25,62.0,228586,1542347078.0,10.09,10.17,6.3,1.7
2025-02-17,601100,70.98,69.55,71.1,67.95,317680,2244224062.0,4.62,1.9,1.3,2.37
2025-02-18,601100,68.8,70.74,74.49,68.3,282046,2051258166.0,8.9,1.71,1.19,2.1
2025-02-19,601100,70.74,77.91,77.91,69.99,324785,2478091035.0,11.2,10.14,7.17,2.42
2025-02-20,601100,78.27,81.32,85.8,77.18,323467,2683915069.0,11.06,4.38,3.41,2.41
2025-02-21,601100,80.43,83.6,84.72,79.45,237112,1969280418.0,6.48,2.8,2.28,1.77
