日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601101,7.75,7.61,7.91,7.53,150919,123663479.0,4.89,-2.06,-0.16,1.05
2025-01-03,601101,7.6,7.61,7.82,7.57,140814,114579672.0,3.29,0.0,0.0,0.98
2025-01-06,601101,7.6,7.67,7.74,7.44,132150,107039961.0,3.94,0.79,0.06,0.92
2025-01-07,601101,7.62,7.59,7.73,7.5,92108,74004714.0,3.0,-1.04,-0.08,0.64
2025-01-08,601101,7.58,7.43,7.61,7.34,101120,80079010.0,3.56,-2.11,-0.16,0.7
2025-01-09,601101,7.4,7.27,7.42,7.26,97175,75439902.0,2.15,-2.15,-0.16,0.67
2025-01-10,601101,7.25,7.14,7.33,7.14,83790,64350582.0,2.61,-1.79,-0.13,0.58
2025-01-13,601101,7.12,7.07,7.2,7.04,75762,57198019.0,2.24,-0.98,-0.07,0.53
2025-01-14,601101,7.08,7.26,7.28,7.06,92871,70967150.0,3.11,2.69,0.19,0.64
2025-01-15,601101,7.24,7.19,7.29,7.16,72257,55422853.0,1.79,-0.96,-0.07,0.5
2025-01-16,601101,7.24,7.39,7.52,7.24,124665,98230735.0,3.89,2.78,0.2,0.87
2025-01-17,601101,7.35,7.35,7.39,7.3,62324,48651245.0,1.22,-0.54,-0.04,0.43
2025-01-20,601101,7.37,7.33,7.39,7.29,67595,52798133.0,1.36,-0.27,-0.02,0.47
2025-01-21,601101,7.33,7.19,7.38,7.18,70979,54575728.0,2.73,-1.91,-0.14,0.49
2025-01-22,601101,7.19,7.12,7.2,7.07,67739,51296627.0,1.81,-0.97,-0.07,0.47
2025-01-23,601101,7.17,7.31,7.39,7.17,109784,85206013.0,3.09,2.67,0.19,0.76
2025-01-24,601101,7.31,7.37,7.42,7.26,82631,64406422.0,2.19,0.82,0.06,0.57
2025-01-27,601101,7.35,7.44,7.5,7.34,82575,65286597.0,2.17,0.95,0.07,0.57
2025-02-05,601101,7.51,7.21,7.52,7.12,141032,108545212.0,5.38,-3.09,-0.23,0.98
2025-02-06,601101,7.18,7.23,7.23,7.08,84229,64231816.0,2.08,0.28,0.02,0.58
2025-02-07,601101,7.16,7.32,7.37,7.16,105069,81300918.0,2.9,1.24,0.09,0.73
2025-02-10,601101,7.31,7.28,7.38,7.28,75220,58407179.0,1.37,-0.55,-0.04,0.52
2025-02-11,601101,7.29,7.22,7.33,7.19,70582,54299173.0,1.92,-0.82,-0.06,0.49
2025-02-12,601101,7.19,7.17,7.21,7.12,89989,68518190.0,1.25,-0.69,-0.05,0.62
2025-02-13,601101,7.17,7.16,7.26,7.15,102919,78759020.0,1.53,-0.14,-0.01,0.71
2025-02-14,601101,7.16,7.15,7.2,7.11,70352,53463105.0,1.26,-0.14,-0.01,0.49
2025-02-17,601101,7.13,7.1,7.14,7.06,85076,64177783.0,1.12,-0.7,-0.05,0.59
2025-02-18,601101,7.08,6.93,7.13,6.89,125091,93654621.0,3.38,-2.39,-0.17,0.87
2025-02-19,601101,6.92,6.86,6.94,6.84,106977,78434345.0,1.44,-1.01,-0.07,0.74
2025-02-20,601101,6.87,6.9,6.94,6.81,76589,56219390.0,1.9,0.58,0.04,0.53
2025-02-21,601101,6.91,6.71,6.93,6.7,158120,114501755.0,3.33,-2.75,-0.19,1.1
2025-02-24,601101,6.68,6.74,6.78,6.65,93631,67303453.0,1.94,0.45,0.03,0.65
2025-02-25,601101,6.77,6.68,6.78,6.67,79544,57087668.0,1.63,-0.89,-0.06,0.55
2025-02-26,601101,6.69,6.77,6.78,6.67,87760,63168462.0,1.65,1.35,0.09,0.61
2025-02-27,601101,6.75,6.72,6.78,6.67,91354,65440970.0,1.62,-0.74,-0.05,0.63
2025-02-28,601101,6.71,6.72,6.79,6.69,105894,76274246.0,1.49,0.0,0.0,0.74
2025-03-03,601101,6.71,6.77,6.85,6.71,109462,79431902.0,2.08,0.74,0.05,0.76
2025-03-04,601101,6.76,6.7,6.76,6.65,79883,57084446.0,1.62,-1.03,-0.07,0.55
2025-03-05,601101,6.71,6.59,6.71,6.55,104681,73814782.0,2.39,-1.64,-0.11,0.73
2025-03-06,601101,6.59,6.61,6.62,6.53,76670,54057311.0,1.37,0.3,0.02,0.53
2025-03-07,601101,6.62,6.85,6.88,6.58,218885,158438284.0,4.54,3.63,0.24,1.52
2025-03-10,601101,6.88,6.88,7.01,6.8,156998,115621160.0,3.07,0.44,0.03,1.09
2025-03-11,601101,6.84,6.89,6.94,6.77,108910,79489119.0,2.47,0.15,0.01,0.76
2025-03-12,601101,6.88,6.81,6.89,6.8,66144,48147931.0,1.31,-1.16,-0.08,0.46
