日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-29,601112,30.0,24.78,31.0,24.31,1202292,3220424461.0,59.84,121.65,13.6,67.83
2026-01-30,601112,22.85,21.68,23.48,21.4,706135,1565961553.0,8.39,-12.51,-3.1,39.84
2026-02-02,601112,21.0,21.53,22.5,20.5,503972,1077517119.0,9.23,-0.69,-0.15,28.43
2026-02-03,601112,21.0,20.91,21.5,20.78,434213,912060906.0,3.34,-2.88,-0.62,24.5
2026-02-04,601112,20.62,20.54,21.63,20.0,540787,1117043737.0,7.8,-1.77,-0.37,30.51
2026-02-05,601112,20.08,19.58,20.12,19.58,352281,698144570.0,2.63,-4.67,-0.96,19.87
2026-02-06,601112,19.32,19.29,19.77,19.1,229106,444497784.0,3.42,-1.48,-0.29,12.93
2026-02-09,601112,19.45,19.8,20.0,19.38,258339,511454003.0,3.21,2.64,0.51,14.57
2026-02-10,601112,19.77,19.46,19.85,19.43,164814,322070557.0,2.12,-1.72,-0.34,9.3
2026-02-11,601112,19.51,20.61,20.97,19.47,487873,1004475991.0,7.71,5.91,1.15,27.52
2026-02-12,601112,20.41,20.04,20.58,20.0,244184,493288222.0,2.81,-2.77,-0.57,13.78
2026-02-13,601112,19.9,19.64,20.02,19.62,163543,323838189.0,2.0,-2.0,-0.4,9.23
2026-02-24,601112,19.86,20.8,21.15,19.86,328912,676445033.0,6.57,5.91,1.16,18.56
2026-02-25,601112,20.82,21.32,21.66,20.82,330947,704492687.0,4.04,2.5,0.52,18.67
2026-02-26,601112,21.05,21.21,21.35,20.9,180093,380326047.0,2.11,-0.52,-0.11,10.16
2026-02-27,601112,21.03,20.93,21.05,20.84,117588,245769882.0,0.99,-1.32,-0.28,6.63
2026-03-02,601112,20.59,20.52,20.88,20.42,131846,271684096.0,2.2,-1.96,-0.41,7.44
2026-03-03,601112,20.52,19.5,20.65,19.48,157048,313135068.0,5.7,-4.97,-1.02,8.86
2026-03-04,601112,19.25,19.3,19.79,19.21,93291,181300065.0,2.97,-1.03,-0.2,5.26
2026-03-05,601112,19.66,19.5,19.78,19.44,79835,156423895.0,1.76,1.04,0.2,4.5
2026-03-06,601112,19.5,19.62,19.68,19.25,68294,133576758.0,2.21,0.62,0.12,3.85
2026-03-09,601112,19.27,19.72,19.76,19.25,86519,168382232.0,2.6,0.51,0.1,4.88
2026-03-10,601112,19.83,19.94,20.08,19.77,95176,189550486.0,1.57,1.12,0.22,5.37
2026-03-11,601112,19.94,20.18,20.49,19.83,148402,298682272.0,3.31,1.2,0.24,8.37
2026-03-12,601112,20.36,20.96,20.97,20.2,257750,531404848.0,3.82,3.87,0.78,14.54
2026-03-13,601112,21.28,21.62,22.11,21.05,425267,923671392.0,5.06,3.15,0.66,23.99
