日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601126,16.24,16.07,16.68,15.95,132969,226758645.0,4.5,-1.05,-0.17,1.62
2025-01-03,601126,16.04,15.84,16.33,15.82,102308,171502530.0,3.17,-1.43,-0.23,1.25
2025-01-06,601126,15.84,15.55,16.09,15.42,115858,190278706.0,4.23,-1.83,-0.29,1.41
2025-01-07,601126,15.58,15.67,15.78,15.4,72240,118246141.0,2.44,0.77,0.12,0.88
2025-01-08,601126,15.56,15.91,16.0,15.23,128222,209500568.0,4.91,1.53,0.24,1.57
2025-01-09,601126,15.8,15.7,15.98,15.69,65968,109024301.0,1.82,-1.32,-0.21,0.81
2025-01-10,601126,15.81,15.29,15.81,15.29,58444,94721170.0,3.31,-2.61,-0.41,0.71
2025-01-13,601126,15.08,14.65,15.2,14.58,128574,199546776.0,4.05,-4.19,-0.64,1.57
2025-01-14,601126,14.85,15.13,15.2,14.73,105290,165653526.0,3.21,3.28,0.48,1.29
2025-01-15,601126,15.08,14.85,15.2,14.79,71741,112175232.0,2.71,-1.85,-0.28,0.88
2025-01-16,601126,14.9,15.17,15.23,14.81,96940,153381671.0,2.83,2.15,0.32,1.18
2025-01-17,601126,15.18,15.56,15.67,15.09,94510,152964514.0,3.82,2.57,0.39,1.15
2025-01-20,601126,15.66,15.84,16.16,15.58,89480,149028064.0,3.73,1.8,0.28,1.09
2025-01-21,601126,15.88,15.54,15.96,15.51,61379,100393580.0,2.84,-1.89,-0.3,0.75
2025-01-22,601126,15.53,15.4,15.6,15.25,57054,92088535.0,2.25,-0.9,-0.14,0.7
2025-01-23,601126,15.6,15.65,15.75,15.38,77526,126400750.0,2.4,1.62,0.25,0.95
2025-01-24,601126,15.53,15.69,16.02,15.51,89398,148010465.0,3.26,0.26,0.04,1.09
2025-01-27,601126,15.77,15.59,15.87,15.56,60637,99541369.0,1.98,-0.64,-0.1,0.74
2025-02-05,601126,15.78,15.3,15.78,15.23,84014,135194012.0,3.53,-1.86,-0.29,1.03
2025-02-06,601126,15.3,15.31,15.32,15.1,77408,123400299.0,1.44,0.07,0.01,0.95
2025-02-07,601126,15.3,15.49,15.67,15.08,105036,170004606.0,3.85,1.18,0.18,1.28
2025-02-10,601126,15.53,15.25,15.54,15.23,117398,188195131.0,2.0,-1.55,-0.24,1.43
2025-02-11,601126,15.26,15.12,15.33,14.96,97080,153488097.0,2.43,-0.85,-0.13,1.19
2025-02-12,601126,15.12,15.3,15.39,15.06,89456,142969456.0,2.18,1.19,0.18,1.09
2025-02-13,601126,15.26,15.03,15.28,14.99,111735,176907110.0,1.9,-1.76,-0.27,1.36
2025-02-14,601126,14.99,15.26,15.46,14.98,126024,201933343.0,3.19,1.53,0.23,1.54
2025-02-17,601126,15.23,14.87,15.35,14.85,153453,241006675.0,3.28,-2.56,-0.39,1.87
2025-02-18,601126,14.98,14.91,15.13,14.84,103003,162079864.0,1.95,0.27,0.04,1.26
2025-02-19,601126,14.86,14.91,14.98,14.64,103852,161428975.0,2.28,0.0,0.0,1.27
2025-02-20,601126,14.88,15.47,15.52,14.6,229465,364419445.0,6.17,3.76,0.56,2.8
2025-02-21,601126,16.29,17.09,17.09,16.29,543818,964306627.0,5.17,10.47,1.62,6.64
