日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601138,20.43,19.74,20.43,19.47,1247299,2610824056.0,4.68,-3.85,-0.79,0.63
2025-01-03,601138,19.67,19.58,20.19,19.49,1037654,2159601878.0,3.55,-0.81,-0.16,0.52
2025-01-06,601138,19.82,19.7,20.08,19.44,826977,1710058080.0,3.27,0.61,0.12,0.42
2025-01-07,601138,19.84,20.28,20.3,19.66,1151917,2414106395.0,3.25,2.94,0.58,0.58
2025-01-08,601138,19.93,19.66,19.94,19.19,1160263,2388783297.0,3.7,-3.06,-0.62,0.58
2025-01-09,601138,19.65,19.57,19.86,19.49,761155,1572457091.0,1.88,-0.46,-0.09,0.38
2025-01-10,601138,19.52,18.78,19.52,18.78,1103875,2213737347.0,3.78,-4.04,-0.79,0.56
2025-01-13,601138,18.51,18.75,18.89,18.43,646947,1270179136.0,2.45,-0.16,-0.03,0.33
2025-01-14,601138,18.78,19.6,19.71,18.51,1348206,2721137523.0,6.4,4.53,0.85,0.68
2025-01-15,601138,19.53,19.17,19.53,19.12,832789,1681752452.0,2.09,-2.19,-0.43,0.42
2025-01-16,601138,19.38,19.87,20.02,19.23,1572690,3239699313.0,4.12,3.65,0.7,0.79
2025-01-17,601138,19.71,19.69,20.03,19.53,1023812,2123876213.0,2.52,-0.91,-0.18,0.52
2025-01-20,601138,19.94,19.8,20.12,19.72,847175,1769984579.0,2.03,0.56,0.11,0.43
2025-01-21,601138,19.99,20.24,20.63,19.78,1257723,2659706976.0,4.29,2.22,0.44,0.63
2025-01-22,601138,20.45,22.36,22.36,20.44,3995412,9093333602.0,9.49,10.47,2.12,2.01
2025-01-23,601138,22.84,22.03,23.27,22.03,4045048,9577730151.0,5.55,-1.48,-0.33,2.04
2025-01-24,601138,21.74,22.38,22.53,21.59,2319553,5347422349.0,4.27,1.59,0.35,1.17
2025-01-27,601138,21.58,20.48,21.62,20.42,2547188,5575565451.0,5.36,-8.49,-1.9,1.28
2025-02-05,601138,19.59,19.03,19.62,18.83,2995661,6007427161.0,3.86,-7.08,-1.45,1.51
2025-02-06,601138,19.34,19.51,19.6,19.03,2040040,4149233282.0,3.0,2.52,0.48,1.03
2025-02-07,601138,19.7,20.58,20.94,19.62,2893257,6188085420.0,6.77,5.48,1.07,1.46
2025-02-10,601138,20.69,20.75,20.81,20.46,1726219,3732243385.0,1.7,0.83,0.17,0.87
2025-02-11,601138,20.83,20.8,21.25,20.76,1533061,3363606157.0,2.36,0.24,0.05,0.77
2025-02-12,601138,20.75,21.18,21.21,20.61,1272067,2790480314.0,2.88,1.83,0.38,0.64
2025-02-13,601138,21.08,20.82,21.21,20.79,1127096,2470477929.0,1.98,-1.7,-0.36,0.57
2025-02-14,601138,20.84,21.13,21.66,20.84,1541399,3432007183.0,3.94,1.49,0.31,0.78
2025-02-17,601138,21.49,21.93,22.13,21.34,2100385,4768448291.0,3.74,3.79,0.8,1.06
2025-02-18,601138,21.93,21.71,22.5,21.62,2136041,4925567579.0,4.01,-1.0,-0.22,1.08
2025-02-19,601138,21.63,22.27,22.67,21.58,1977652,4587932119.0,5.02,2.58,0.56,1.0
2025-02-20,601138,22.08,21.65,22.14,21.61,1484933,3378726846.0,2.38,-2.78,-0.62,0.75
2025-02-21,601138,21.9,22.23,22.33,21.62,2026370,4659632779.0,3.28,2.68,0.58,1.02
2025-02-24,601138,22.41,22.24,22.99,21.83,2368703,5535768096.0,5.22,0.04,0.01,1.19
2025-02-25,601138,21.83,22.11,22.63,21.75,1914260,4432891533.0,3.96,-0.58,-0.13,0.96
2025-02-26,601138,22.02,21.8,22.02,21.37,1675795,3787848529.0,2.94,-1.4,-0.31,0.84
2025-02-27,601138,21.93,20.99,22.0,20.72,1935848,4293091118.0,5.87,-3.72,-0.81,0.97
2025-02-28,601138,20.13,20.22,20.42,19.77,1719022,3622179187.0,3.1,-3.67,-0.77,0.87
2025-03-03,601138,20.4,20.1,20.52,19.88,1059091,2231416864.0,3.17,-0.59,-0.12,0.53
2025-03-04,601138,19.42,20.07,20.07,19.33,1127277,2336474074.0,3.68,-0.15,-0.03,0.57
2025-03-05,601138,20.07,20.07,20.17,19.78,817677,1710518289.0,1.94,0.0,0.0,0.41
2025-03-06,601138,20.23,20.35,20.53,20.14,1397754,2980568031.0,1.94,1.4,0.28,0.7
2025-03-07,601138,20.16,19.9,20.16,19.85,1030579,2161396767.0,1.52,-2.21,-0.45,0.52
2025-03-10,601138,19.96,20.06,20.1,19.79,711738,1488413535.0,1.56,0.8,0.16,0.36
2025-03-11,601138,19.64,19.85,19.94,19.59,787432,1632176395.0,1.74,-1.05,-0.21,0.4
2025-03-12,601138,19.95,19.94,20.13,19.83,901504,1889288343.0,1.51,0.45,0.09,0.45
2025-03-13,601138,20.06,19.7,20.18,19.64,891121,1855240657.0,2.71,-1.2,-0.24,0.45
2025-03-14,601138,19.84,20.29,20.31,19.71,1447834,3055254924.0,3.05,2.99,0.59,0.73
2025-03-17,601138,20.63,20.55,20.8,20.42,1164673,2513967676.0,1.87,1.28,0.26,0.59
2025-03-18,601138,20.51,20.57,20.69,20.34,910808,1952928427.0,1.7,0.1,0.02,0.46
2025-03-19,601138,20.43,20.05,20.43,20.01,971972,2050446052.0,2.04,-2.53,-0.52,0.49
2025-03-20,601138,20.14,19.88,20.19,19.85,637325,1334169975.0,1.7,-0.85,-0.17,0.32
2025-03-21,601138,19.81,19.66,19.94,19.61,714499,1479176185.0,1.66,-1.11,-0.22,0.36
2025-03-24,601138,19.72,19.87,19.87,19.54,651469,1346156800.0,1.68,1.07,0.21,0.33
2025-03-25,601138,19.82,19.54,19.92,19.51,734633,1513586680.0,2.06,-1.66,-0.33,0.37
2025-03-26,601138,19.46,19.41,19.58,19.38,525207,1073654161.0,1.02,-0.67,-0.13,0.26
2025-03-27,601138,19.24,19.25,19.38,18.93,724600,1459341265.0,2.32,-0.82,-0.16,0.36
2025-03-28,601138,19.23,19.01,19.32,19.0,572141,1147677927.0,1.66,-1.25,-0.24,0.29
2025-03-31,601138,18.83,18.89,18.98,18.71,636444,1260114710.0,1.42,-0.63,-0.12,0.32
2025-04-01,601138,18.98,19.05,19.2,18.82,574777,1148515765.0,2.01,0.85,0.16,0.29
2025-04-02,601138,18.98,19.03,19.21,18.95,479032,961073174.0,1.36,-0.1,-0.02,0.24
2025-04-03,601138,18.68,18.08,18.91,18.04,1274764,2469083191.0,4.57,-4.99,-0.95,0.64
2025-04-07,601138,16.18,16.18,16.18,16.18,331662,568800330.0,0.0,-10.51,-1.9,0.17
2025-04-08,601138,15.32,14.47,15.67,14.47,2147404,3376376512.0,7.42,-10.57,-1.71,1.08
2025-04-09,601138,13.61,15.36,15.53,13.61,2189355,3439909983.0,13.27,6.15,0.89,1.1
2025-04-10,601138,16.93,16.99,16.99,16.53,2538561,4527281725.0,2.99,10.61,1.63,1.28
2025-04-11,601138,16.68,16.83,17.12,16.41,1574238,2789262751.0,4.18,-0.94,-0.16,0.79
