日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601229,8.68,8.47,8.78,8.42,973798,886048329.0,4.17,-1.85,-0.16,0.69
2025-01-03,601229,8.49,8.28,8.52,8.23,701934,620875757.0,3.42,-2.24,-0.19,0.49
2025-01-06,601229,8.27,8.25,8.29,7.96,769214,667566824.0,3.99,-0.36,-0.03,0.54
2025-01-07,601229,8.22,8.23,8.26,8.12,515309,449171509.0,1.7,-0.24,-0.02,0.36
2025-01-08,601229,8.23,8.36,8.37,8.21,638670,563727043.0,1.94,1.58,0.13,0.45
2025-01-09,601229,8.36,8.28,8.43,8.19,443729,391692579.0,2.87,-0.96,-0.08,0.31
2025-01-10,601229,8.28,8.28,8.39,8.14,535064,471839308.0,3.02,0.0,0.0,0.38
2025-01-13,601229,8.21,8.21,8.3,8.12,434263,378867513.0,2.17,-0.85,-0.07,0.31
2025-01-14,601229,8.23,8.34,8.35,8.2,400562,353203194.0,1.83,1.58,0.13,0.28
2025-01-15,601229,8.31,8.37,8.52,8.31,356226,318534113.0,2.52,0.36,0.03,0.25
2025-01-16,601229,8.39,8.49,8.5,8.31,389573,348309528.0,2.27,1.43,0.12,0.27
2025-01-17,601229,8.47,8.58,8.65,8.41,498488,452471148.0,2.83,1.06,0.09,0.35
2025-01-20,601229,8.55,8.53,8.66,8.48,350935,319042149.0,2.1,-0.58,-0.05,0.25
2025-01-21,601229,8.57,8.48,8.58,8.47,292393,264256027.0,1.29,-0.59,-0.05,0.21
2025-01-22,601229,8.49,8.42,8.5,8.33,347147,309651021.0,2.0,-0.71,-0.06,0.24
2025-01-23,601229,8.41,8.72,8.73,8.41,650199,594188575.0,3.8,3.56,0.3,0.46
2025-01-24,601229,8.69,8.7,8.75,8.54,420885,386518483.0,2.41,-0.23,-0.02,0.3
2025-01-27,601229,8.74,8.78,8.86,8.71,420940,392073004.0,1.72,0.92,0.08,0.3
2025-02-05,601229,8.78,8.63,8.81,8.6,448030,412218463.0,2.39,-1.71,-0.15,0.32
2025-02-06,601229,8.6,8.62,8.73,8.55,390429,356772229.0,2.09,-0.12,-0.01,0.27
2025-02-07,601229,8.62,8.65,8.68,8.51,467050,425881515.0,1.97,0.35,0.03,0.33
2025-02-10,601229,8.65,8.58,8.75,8.57,403427,369933278.0,2.08,-0.81,-0.07,0.28
2025-02-11,601229,8.53,8.67,8.72,8.53,371225,340420863.0,2.21,1.05,0.09,0.26
2025-02-12,601229,8.7,8.68,8.75,8.63,309936,285018185.0,1.38,0.12,0.01,0.22
2025-02-13,601229,8.67,8.6,8.7,8.6,292923,268253253.0,1.15,-0.92,-0.08,0.21
2025-02-14,601229,8.6,8.69,8.7,8.55,315532,288662173.0,1.74,1.05,0.09,0.22
2025-02-17,601229,8.69,8.65,8.71,8.58,334602,305809737.0,1.5,-0.46,-0.04,0.24
2025-02-18,601229,8.63,8.81,8.86,8.63,629359,584741953.0,2.66,1.85,0.16,0.44
2025-02-19,601229,8.8,8.9,8.96,8.77,408383,384170479.0,2.16,1.02,0.09,0.29
2025-02-20,601229,8.88,8.89,8.96,8.81,284322,266950576.0,1.69,-0.11,-0.01,0.2
2025-02-21,601229,8.86,8.77,8.93,8.74,419395,391187224.0,2.14,-1.35,-0.12,0.3
2025-02-24,601229,8.74,8.59,8.8,8.57,563406,516389895.0,2.62,-2.05,-0.18,0.4
2025-02-25,601229,8.58,8.6,8.64,8.56,306616,279631070.0,0.93,0.12,0.01,0.22
2025-02-26,601229,8.6,8.67,8.83,8.6,491837,454509050.0,2.67,0.81,0.07,0.35
2025-02-27,601229,8.67,8.93,8.93,8.63,707368,661226086.0,3.46,3.0,0.26,0.5
2025-02-28,601229,8.93,8.84,8.98,8.83,448731,422487899.0,1.68,-1.01,-0.09,0.32
2025-03-03,601229,8.89,8.8,8.91,8.71,503988,467981130.0,2.26,-0.45,-0.04,0.35
2025-03-04,601229,8.78,8.87,8.93,8.77,291231,273434820.0,1.82,0.8,0.07,0.2
2025-03-05,601229,8.89,9.04,9.08,8.83,500613,476542166.0,2.82,1.92,0.17,0.35
2025-03-06,601229,9.01,8.9,9.03,8.86,510673,482634758.0,1.88,-1.55,-0.14,0.36
2025-03-07,601229,8.9,8.88,8.99,8.86,305386,287953326.0,1.46,-0.22,-0.02,0.21
2025-03-10,601229,8.87,8.86,8.9,8.79,346118,324190344.0,1.24,-0.23,-0.02,0.24
2025-03-11,601229,8.82,8.96,8.96,8.82,425019,399910204.0,1.58,1.13,0.1,0.3
2025-03-12,601229,8.93,8.84,8.95,8.83,339761,319152806.0,1.34,-1.34,-0.12,0.24
2025-03-13,601229,8.83,8.92,8.94,8.82,400129,376917936.0,1.36,0.9,0.08,0.28
2025-03-14,601229,8.91,8.86,9.01,8.83,483265,455608885.0,2.02,-0.67,-0.06,0.34
2025-03-17,601229,8.85,8.83,8.88,8.75,465769,434818968.0,1.47,-0.34,-0.03,0.33
2025-03-18,601229,8.84,8.79,8.88,8.78,321661,300381844.0,1.13,-0.45,-0.04,0.23
2025-03-19,601229,8.78,8.84,8.86,8.74,321827,300247529.0,1.37,0.57,0.05,0.23
2025-03-20,601229,8.83,8.84,8.89,8.79,263718,246552171.0,1.13,0.0,0.0,0.19
2025-03-21,601229,8.81,8.69,8.87,8.69,506996,470007048.0,2.04,-1.7,-0.15,0.36
2025-03-24,601229,8.73,8.79,8.8,8.7,470814,436933388.0,1.15,1.15,0.1,0.33
2025-03-25,601229,8.79,8.91,8.91,8.79,470850,442030928.0,1.37,1.37,0.12,0.33
2025-03-26,601229,8.9,8.92,9.01,8.84,344218,325012991.0,1.91,0.11,0.01,0.24
2025-03-27,601229,8.92,8.99,9.05,8.9,345454,329088204.0,1.68,0.78,0.07,0.24
2025-03-28,601229,9.02,9.05,9.06,8.94,319567,304683020.0,1.33,0.67,0.06,0.22
2025-03-31,601229,9.12,9.33,9.41,9.05,683543,670359752.0,3.98,3.09,0.28,0.48
2025-04-01,601229,9.32,9.45,9.46,9.24,487052,481922992.0,2.36,1.29,0.12,0.34
2025-04-02,601229,9.46,9.56,9.63,9.45,506469,510230255.0,1.9,1.16,0.11,0.36
2025-04-03,601229,9.53,9.66,9.71,9.45,461580,468157620.0,2.72,1.05,0.1,0.32
2025-04-07,601229,9.39,9.46,9.59,9.16,1210127,1203987466.0,4.45,-2.07,-0.2,0.85
2025-04-08,601229,9.43,9.58,9.69,9.18,1209527,1200646808.0,5.39,1.27,0.12,0.85
2025-04-09,601229,9.56,9.57,9.62,9.31,906699,903144521.0,3.24,-0.1,-0.01,0.64
2025-04-10,601229,9.57,9.63,9.63,9.43,477728,481344266.0,2.09,0.63,0.06,0.34
2025-04-11,601229,9.61,9.45,9.62,9.36,473343,471712906.0,2.7,-1.87,-0.18,0.33
2025-04-14,601229,9.42,9.41,9.48,9.37,396274,393662880.0,1.16,-0.42,-0.04,0.28
2025-04-15,601229,9.39,9.51,9.52,9.37,460138,458706633.0,1.59,1.06,0.1,0.32
2025-04-16,601229,9.49,9.84,9.84,9.48,737980,753622395.0,3.79,3.47,0.33,0.52
2025-04-17,601229,9.81,9.97,9.98,9.73,521581,542900149.0,2.54,1.32,0.13,0.37
2025-04-18,601229,9.96,10.07,10.19,9.93,465542,493695826.0,2.61,1.0,0.1,0.33
2025-04-21,601229,10.06,9.91,10.22,9.89,436773,460537271.0,3.28,-1.59,-0.16,0.31
2025-04-22,601229,9.93,9.96,10.07,9.91,356673,374321616.0,1.61,0.5,0.05,0.25
2025-04-23,601229,9.94,9.87,9.98,9.81,360678,375539969.0,1.71,-0.9,-0.09,0.25
2025-04-24,601229,9.85,10.05,10.09,9.85,368458,387890943.0,2.43,1.82,0.18,0.26
2025-04-25,601229,10.02,9.93,10.04,9.8,646528,671831791.0,2.39,-1.19,-0.12,0.46
2025-04-28,601229,9.94,10.08,10.13,9.89,601614,636617617.0,2.42,1.51,0.15,0.42
2025-04-29,601229,10.09,10.04,10.16,10.0,412927,437085297.0,1.59,-0.4,-0.04,0.29
2025-04-30,601229,10.04,9.86,10.07,9.81,441255,458857354.0,2.59,-1.79,-0.18,0.31
2025-05-06,601229,9.87,9.82,9.88,9.68,448253,461445408.0,2.03,-0.41,-0.04,0.32
2025-05-07,601229,9.86,9.92,9.96,9.78,410966,428066471.0,1.83,1.02,0.1,0.29
2025-05-08,601229,9.88,9.92,9.98,9.81,352341,367264438.0,1.71,0.0,0.0,0.25
2025-05-09,601229,9.89,10.13,10.13,9.89,482454,510795370.0,2.42,2.12,0.21,0.34
2025-05-12,601229,10.1,10.13,10.27,9.97,536535,572927330.0,2.96,0.0,0.0,0.38
2025-05-13,601229,10.15,10.53,10.56,10.08,757384,827096838.0,4.74,3.95,0.4,0.53
2025-05-14,601229,10.52,10.61,10.7,10.46,533003,591400156.0,2.28,0.76,0.08,0.38
2025-05-15,601229,10.61,10.52,10.68,10.52,383079,425136400.0,1.51,-0.85,-0.09,0.27
2025-05-16,601229,10.54,10.49,10.57,10.34,414508,454699411.0,2.19,-0.29,-0.03,0.29
2025-05-19,601229,10.57,10.54,10.76,10.52,454160,506367324.0,2.29,0.48,0.05,0.32
2025-05-20,601229,10.58,10.48,10.68,10.45,454513,502517633.0,2.18,-0.57,-0.06,0.32
2025-05-21,601229,10.5,10.55,10.64,10.46,405278,449027754.0,1.72,0.67,0.07,0.29
2025-05-22,601229,10.59,10.71,10.81,10.51,696905,781047881.0,2.84,1.52,0.16,0.49
2025-05-23,601229,10.72,10.43,10.76,10.41,914921,1012582505.0,3.27,-2.61,-0.28,0.64
2025-05-26,601229,10.36,10.26,10.44,10.18,771699,834193353.0,2.49,-1.63,-0.17,0.54
2025-05-27,601229,10.25,10.23,10.35,10.18,793914,855815688.0,1.66,-0.29,-0.03,0.56
2025-05-28,601229,10.24,10.03,10.27,9.98,904830,957031883.0,2.83,-1.96,-0.2,0.64
2025-05-29,601229,10.0,10.07,10.1,9.92,621215,654478140.0,1.79,0.4,0.04,0.44
2025-05-30,601229,10.07,10.06,10.19,10.06,780700,831324805.0,1.29,-0.1,-0.01,0.55
2025-06-03,601229,10.08,10.5,10.62,10.08,1231543,1345435857.0,5.37,4.37,0.44,0.87
2025-06-04,601229,10.5,10.32,10.6,10.32,638627,697592488.0,2.67,-1.71,-0.18,0.45
2025-06-05,601229,10.33,10.18,10.4,10.15,502836,539977105.0,2.42,-1.36,-0.14,0.35
2025-06-06,601229,10.21,10.12,10.29,10.1,434736,464533727.0,1.87,-0.59,-0.06,0.31
2025-06-09,601229,10.14,10.12,10.17,9.99,543419,575840832.0,1.78,0.0,0.0,0.38
2025-06-10,601229,10.12,10.11,10.26,10.06,651666,695480746.0,1.98,-0.1,-0.01,0.46
2025-06-11,601229,10.13,10.15,10.17,10.0,634160,672826913.0,1.68,0.4,0.04,0.45
2025-06-12,601229,10.2,10.28,10.28,10.15,551036,580072427.0,1.28,1.28,0.13,0.39
