日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601311,7.99,7.76,8.02,7.69,176106,143479617.0,4.13,-3.0,-0.24,1.5
2025-01-03,601311,7.77,7.67,7.89,7.64,123988,99808336.0,3.22,-1.16,-0.09,1.06
2025-01-06,601311,7.68,7.78,7.84,7.6,104656,84020664.0,3.13,1.43,0.11,0.89
2025-01-07,601311,7.79,7.82,7.9,7.72,88415,71598977.0,2.31,0.51,0.04,0.75
2025-01-08,601311,7.82,7.7,7.82,7.55,130815,103977506.0,3.45,-1.53,-0.12,1.12
2025-01-09,601311,7.67,7.65,7.73,7.64,76146,60678861.0,1.17,-0.65,-0.05,0.65
2025-01-10,601311,7.65,7.53,7.69,7.53,73694,58127166.0,2.09,-1.57,-0.12,0.63
2025-01-13,601311,7.44,7.53,7.56,7.41,89307,69389737.0,1.99,0.0,0.0,0.76
2025-01-14,601311,7.53,7.71,7.73,7.51,121937,96889989.0,2.92,2.39,0.18,1.04
2025-01-15,601311,7.71,7.64,7.71,7.61,83576,66311268.0,1.3,-0.91,-0.07,0.71
2025-01-16,601311,7.66,7.7,7.81,7.64,101438,81293812.0,2.23,0.79,0.06,0.86
2025-01-17,601311,7.67,7.78,7.79,7.66,76974,61739846.0,1.69,1.04,0.08,0.66
2025-01-20,601311,7.83,7.83,7.92,7.8,81659,66414126.0,1.54,0.64,0.05,0.7
2025-01-21,601311,7.87,7.8,7.87,7.76,58002,46872496.0,1.4,-0.38,-0.03,0.49
2025-01-22,601311,7.81,7.81,7.83,7.71,62902,50715998.0,1.54,0.13,0.01,0.54
2025-01-23,601311,7.86,7.8,7.91,7.8,81265,66228085.0,1.41,-0.13,-0.01,0.69
2025-01-24,601311,7.79,7.95,7.95,7.78,81384,66569880.0,2.18,1.92,0.15,0.69
2025-01-27,601311,7.93,7.92,8.01,7.9,75201,62003964.0,1.38,-0.38,-0.03,0.64
2025-02-05,601311,7.94,7.77,7.98,7.75,121232,98405858.0,2.9,-1.89,-0.15,1.03
2025-02-06,601311,7.74,7.92,7.93,7.74,91749,74697997.0,2.45,1.93,0.15,0.78
2025-02-07,601311,7.94,7.97,8.02,7.89,134377,110939341.0,1.64,0.63,0.05,1.15
2025-02-10,601311,7.99,7.9,7.99,7.86,147934,121111072.0,1.63,-0.88,-0.07,1.26
2025-02-11,601311,7.9,7.83,7.94,7.77,123353,99914577.0,2.15,-0.89,-0.07,1.05
2025-02-12,601311,7.84,7.85,7.87,7.78,104432,84762601.0,1.15,0.26,0.02,0.89
2025-02-13,601311,7.84,7.77,7.87,7.75,175413,141681601.0,1.53,-1.02,-0.08,1.5
2025-02-14,601311,7.74,7.78,7.84,7.74,111448,90000242.0,1.29,0.13,0.01,0.95
2025-02-17,601311,7.78,7.71,7.78,7.68,152919,122290204.0,1.29,-0.9,-0.07,1.3
2025-02-18,601311,7.73,7.71,7.83,7.67,182079,146733616.0,2.08,0.0,0.0,1.55
2025-02-19,601311,7.69,7.74,7.76,7.64,120791,96605806.0,1.56,0.39,0.03,1.03
2025-02-20,601311,7.72,7.71,7.73,7.64,127621,101702517.0,1.16,-0.39,-0.03,1.09
2025-02-21,601311,7.7,7.79,7.83,7.69,191556,154499195.0,1.82,1.04,0.08,1.63
2025-02-24,601311,7.99,8.11,8.33,7.96,508640,429555385.0,4.75,4.11,0.32,4.34
2025-02-25,601311,8.04,8.22,8.35,7.95,347675,294884724.0,4.93,1.36,0.11,2.96
2025-02-26,601311,8.24,8.44,8.5,8.22,413721,358924642.0,3.41,2.68,0.22,3.53
2025-02-27,601311,8.44,8.65,8.71,8.39,587479,520744764.0,3.79,2.49,0.21,5.01
2025-02-28,601311,8.64,8.5,8.68,8.45,366901,324433851.0,2.66,-1.73,-0.15,3.13
2025-03-03,601311,8.64,8.6,8.85,8.53,442221,397427351.0,3.76,1.18,0.1,3.77
2025-03-04,601311,8.41,8.49,8.56,8.29,275431,241492931.0,3.14,-1.28,-0.11,2.35
2025-03-05,601311,8.49,8.5,8.63,8.43,214926,189172871.0,2.36,0.12,0.01,1.83
2025-03-06,601311,8.53,8.5,8.57,8.46,202681,178093252.0,1.29,0.0,0.0,1.73
2025-03-07,601311,8.49,8.4,8.5,8.35,192242,167514041.0,1.76,-1.18,-0.1,1.64
2025-03-10,601311,8.4,8.4,8.46,8.37,135274,117688198.0,1.07,0.0,0.0,1.15
2025-03-11,601311,8.32,8.44,8.49,8.31,152316,132421153.0,2.14,0.48,0.04,1.3
2025-03-12,601311,8.45,8.42,8.47,8.38,133860,116564834.0,1.07,-0.24,-0.02,1.14
2025-03-13,601311,8.41,8.32,8.43,8.21,147048,126158752.0,2.61,-1.19,-0.1,1.25
2025-03-14,601311,8.32,8.42,8.43,8.25,196258,169718237.0,2.16,1.2,0.1,1.67
2025-03-17,601311,8.48,8.45,8.51,8.4,138479,120958696.0,1.31,0.36,0.03,1.18
2025-03-18,601311,8.47,8.67,8.85,8.46,378610,339350064.0,4.62,2.6,0.22,3.23
2025-03-19,601311,8.64,8.61,8.67,8.53,201633,179362208.0,1.61,-0.69,-0.06,1.72
2025-03-20,601311,8.61,8.64,8.73,8.59,195483,175219348.0,1.63,0.35,0.03,1.67
2025-03-21,601311,8.61,8.46,8.66,8.41,204490,180258647.0,2.89,-2.08,-0.18,1.74
2025-03-24,601311,8.46,8.37,8.49,8.22,188972,163057029.0,3.19,-1.06,-0.09,1.61
2025-03-25,601311,8.38,8.37,8.45,8.3,121661,105425169.0,1.79,0.0,0.0,1.04
2025-03-26,601311,8.4,8.49,8.54,8.34,159976,140319418.0,2.39,1.43,0.12,1.36
