日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601519,9.21,8.72,9.21,8.6,866584,768748002.0,6.59,-5.73,-0.53,4.32
2025-01-03,601519,8.73,8.47,8.82,8.37,791078,679294629.0,5.16,-2.87,-0.25,3.95
2025-01-06,601519,8.38,8.25,8.49,8.17,509320,422707127.0,3.78,-2.6,-0.22,2.54
2025-01-07,601519,8.27,8.55,8.59,8.23,570726,478993269.0,4.36,3.64,0.3,2.85
2025-01-08,601519,8.51,8.48,8.66,8.14,627007,526276814.0,6.08,-0.82,-0.07,3.13
2025-01-09,601519,8.4,8.49,8.58,8.37,424851,361223056.0,2.48,0.12,0.01,2.12
2025-01-10,601519,8.47,8.27,8.63,8.25,510913,432753018.0,4.48,-2.59,-0.22,2.55
2025-01-13,601519,8.1,8.24,8.33,7.95,418573,341190687.0,4.59,-0.36,-0.03,2.09
2025-01-14,601519,8.31,8.85,8.87,8.23,873855,756611457.0,7.77,7.4,0.61,4.36
2025-01-15,601519,8.67,8.72,8.8,8.59,631185,548891251.0,2.37,-1.47,-0.13,3.15
2025-01-16,601519,8.83,8.68,8.94,8.58,547941,479033808.0,4.13,-0.46,-0.04,2.73
2025-01-17,601519,8.67,8.6,8.77,8.57,416896,360627904.0,2.3,-0.92,-0.08,2.08
2025-01-20,601519,8.7,8.64,8.8,8.57,421901,365926959.0,2.67,0.47,0.04,2.11
2025-01-21,601519,8.7,8.71,8.85,8.5,490205,424987040.0,4.05,0.81,0.07,2.45
2025-01-22,601519,8.61,8.71,8.87,8.57,518235,450516669.0,3.44,0.0,0.0,2.59
2025-01-23,601519,8.88,8.54,9.13,8.54,937352,829009387.0,6.77,-1.95,-0.17,4.68
2025-01-24,601519,8.5,8.56,8.64,8.48,525203,449306674.0,1.87,0.23,0.02,2.62
2025-01-27,601519,8.56,8.24,8.61,8.23,457190,382869259.0,4.44,-3.74,-0.32,2.28
2025-02-05,601519,8.38,8.47,8.54,8.3,443991,375050724.0,2.91,2.79,0.23,2.22
2025-02-06,601519,8.53,8.72,8.78,8.36,533070,460811106.0,4.96,2.95,0.25,2.66
2025-02-07,601519,8.7,9.23,9.54,8.67,1323459,1210621606.0,9.98,5.85,0.51,6.6
2025-02-10,601519,9.2,9.33,9.37,9.16,809608,751710490.0,2.28,1.08,0.1,4.04
2025-02-11,601519,9.3,9.28,9.44,9.08,695755,642841853.0,3.86,-0.54,-0.05,3.47
2025-02-12,601519,9.24,9.59,9.61,9.19,857501,810814588.0,4.53,3.34,0.31,4.28
2025-02-13,601519,9.55,9.31,9.58,9.26,832241,780712514.0,3.34,-2.92,-0.28,4.15
2025-02-14,601519,9.3,9.38,9.44,9.15,615960,572254666.0,3.11,0.75,0.07,3.07
2025-02-17,601519,9.37,9.32,9.55,9.24,755788,709637903.0,3.3,-0.64,-0.06,3.77
2025-02-18,601519,9.18,8.89,9.34,8.86,627434,570929718.0,5.15,-4.61,-0.43,3.13
2025-02-19,601519,8.9,9.06,9.11,8.84,446181,402660877.0,3.04,1.91,0.17,2.23
2025-02-20,601519,9.01,9.0,9.14,8.92,405387,365339481.0,2.43,-0.66,-0.06,2.02
2025-02-21,601519,9.0,9.26,9.28,8.85,720090,658101946.0,4.78,2.89,0.26,3.59
2025-02-24,601519,9.19,9.21,9.31,9.13,574778,528345477.0,1.94,-0.54,-0.05,2.87
