日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601658,5.3,5.14,5.38,5.13,1919776,1076430203.0,4.72,-3.02,-0.16,0.29
2025-01-03,601658,5.16,5.11,5.19,5.06,1787648,984008383.0,2.53,-0.58,-0.03,0.27
2025-01-06,601658,5.12,5.17,5.22,5.05,1666930,919091456.0,3.33,1.17,0.06,0.25
2025-01-07,601658,5.16,5.21,5.22,5.11,1600121,886994187.0,2.13,0.77,0.04,0.24
2025-01-08,601658,5.2,5.21,5.29,5.18,2151600,1174713968.0,2.11,0.0,0.0,0.32
2025-01-09,601658,5.2,5.13,5.21,5.08,1460745,785045429.0,2.5,-1.54,-0.08,0.22
2025-01-10,601658,5.11,5.09,5.17,5.04,1265807,676449413.0,2.53,-0.78,-0.04,0.19
2025-01-13,601658,5.07,5.0,5.08,4.92,1578536,826877261.0,3.14,-1.77,-0.09,0.24
2025-01-14,601658,4.99,5.01,5.04,4.97,1822764,955708346.0,1.4,0.2,0.01,0.27
2025-01-15,601658,5.0,5.03,5.09,4.99,1689389,890705825.0,2.0,0.4,0.02,0.25
2025-01-16,601658,5.04,5.08,5.11,5.0,1631045,863986382.0,2.19,0.99,0.05,0.24
2025-01-17,601658,5.07,5.02,5.11,5.02,1275480,675827559.0,1.77,-1.18,-0.06,0.19
2025-01-20,601658,5.03,4.98,5.07,4.98,1556760,817585720.0,1.79,-0.8,-0.04,0.23
2025-01-21,601658,5.0,5.01,5.03,4.94,1383694,724402470.0,1.81,0.6,0.03,0.21
2025-01-22,601658,5.01,4.94,5.02,4.92,1435333,745887077.0,2.0,-1.4,-0.07,0.21
2025-01-23,601658,4.97,5.12,5.15,4.97,2603712,1384944406.0,3.64,3.64,0.18,0.39
2025-01-24,601658,5.12,5.12,5.16,5.04,1433088,765609151.0,2.34,0.0,0.0,0.21
2025-01-27,601658,5.11,5.17,5.2,5.11,1499282,811101034.0,1.76,0.98,0.05,0.22
2025-02-05,601658,5.16,5.04,5.17,5.02,1762500,934879698.0,2.9,-2.51,-0.13,0.26
2025-02-06,601658,5.03,5.03,5.08,4.99,1338404,703996345.0,1.79,-0.2,-0.01,0.2
2025-02-07,601658,5.02,5.01,5.03,4.98,1575808,826546308.0,0.99,-0.4,-0.02,0.23
2025-02-10,601658,4.99,5.01,5.04,4.98,1312275,689798554.0,1.2,0.0,0.0,0.2
2025-02-11,601658,5.02,5.03,5.07,5.0,2036648,1073288463.0,1.4,0.4,0.02,0.3
