日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,601857,8.44,8.3,8.54,8.26,1849814,1636853877.0,3.31,-2.01,-0.17,0.11
2025-01-03,601857,8.34,8.38,8.48,8.33,1789653,1589925430.0,1.81,0.96,0.08,0.11
2025-01-06,601857,8.4,8.44,8.48,8.21,1704628,1509884540.0,3.22,0.72,0.06,0.11
2025-01-07,601857,8.39,8.37,8.46,8.28,1222673,1077809048.0,2.13,-0.83,-0.07,0.08
2025-01-08,601857,8.39,8.58,8.7,8.37,2275089,2057337764.0,3.94,2.51,0.21,0.14
2025-01-09,601857,8.52,8.35,8.56,8.23,1536295,1361696664.0,3.85,-2.68,-0.23,0.09
2025-01-10,601857,8.39,8.28,8.44,8.22,1434638,1258431039.0,2.63,-0.84,-0.07,0.09
2025-01-13,601857,8.43,8.4,8.48,8.25,1781679,1578493988.0,2.78,1.45,0.12,0.11
2025-01-14,601857,8.34,8.43,8.44,8.28,1588847,1407341963.0,1.9,0.36,0.03,0.1
2025-01-15,601857,8.39,8.39,8.55,8.32,1414869,1258878298.0,2.73,-0.47,-0.04,0.09
2025-01-16,601857,8.46,8.53,8.57,8.41,1534548,1378337203.0,1.91,1.67,0.14,0.09
2025-01-17,601857,8.48,8.36,8.51,8.35,1502697,1334267977.0,1.88,-1.99,-0.17,0.09
2025-01-20,601857,8.35,8.1,8.35,8.08,2354036,2033703848.0,3.23,-3.11,-0.26,0.15
2025-01-21,601857,8.06,7.98,8.09,7.94,1522666,1288524298.0,1.85,-1.48,-0.12,0.09
2025-01-22,601857,7.94,7.76,7.97,7.73,1922712,1592888788.0,3.01,-2.76,-0.22,0.12
2025-01-23,601857,7.79,7.79,7.9,7.77,1523746,1262909903.0,1.68,0.39,0.03,0.09
2025-01-24,601857,7.76,7.75,7.82,7.7,1491771,1228142328.0,1.54,-0.51,-0.04,0.09
2025-01-27,601857,7.75,7.86,7.88,7.72,1553732,1288482458.0,2.06,1.42,0.11,0.1
2025-02-05,601857,7.86,7.68,7.87,7.64,1525253,1244000940.0,2.93,-2.29,-0.18,0.09
2025-02-06,601857,7.68,7.73,7.75,7.66,1075761,879061201.0,1.17,0.65,0.05,0.07
2025-02-07,601857,7.71,7.79,7.8,7.67,1382160,1135260197.0,1.68,0.78,0.06,0.09
2025-02-10,601857,7.78,7.76,7.81,7.73,1106241,911054683.0,1.03,-0.39,-0.03,0.07
2025-02-11,601857,7.78,7.82,7.88,7.76,1479382,1225927515.0,1.55,0.77,0.06,0.09
2025-02-12,601857,7.83,7.81,7.83,7.76,1095270,904916887.0,0.9,-0.13,-0.01,0.07
2025-02-13,601857,7.74,7.76,7.8,7.72,1339344,1102558946.0,1.02,-0.64,-0.05,0.08
2025-02-14,601857,7.76,7.64,7.77,7.61,2476827,2010647106.0,2.06,-1.55,-0.12,0.15
2025-02-17,601857,7.61,7.59,7.62,7.55,1784356,1435086280.0,0.92,-0.65,-0.05,0.11
2025-02-18,601857,7.58,7.6,7.67,7.53,2101961,1697319133.0,1.84,0.13,0.01,0.13
2025-02-19,601857,7.6,7.51,7.6,7.49,2269006,1814932772.0,1.45,-1.18,-0.09,0.14
2025-02-20,601857,7.51,7.54,7.57,7.48,1332230,1065418434.0,1.2,0.4,0.03,0.08
2025-02-21,601857,7.56,7.52,7.56,7.47,1375609,1097409770.0,1.19,-0.27,-0.02,0.08
2025-02-24,601857,7.47,7.43,7.49,7.41,1794476,1419342285.0,1.06,-1.2,-0.09,0.11
2025-02-25,601857,7.43,7.34,7.48,7.33,1792672,1410284452.0,2.02,-1.21,-0.09,0.11
2025-02-26,601857,7.3,7.32,7.38,7.28,1600731,1245567492.0,1.36,-0.27,-0.02,0.1
2025-02-27,601857,7.31,7.41,7.41,7.26,2098980,1641711814.0,2.05,1.23,0.09,0.13
2025-02-28,601857,7.38,7.39,7.5,7.37,2016127,1596440424.0,1.75,-0.27,-0.02,0.12
2025-03-03,601857,7.43,7.36,7.47,7.33,1550703,1217326470.0,1.89,-0.41,-0.03,0.1
2025-03-04,601857,7.31,7.15,7.31,7.14,2474927,1893446278.0,2.31,-2.85,-0.21,0.15
2025-03-05,601857,7.13,7.18,7.21,7.11,1404067,1071286269.0,1.4,0.42,0.03,0.09
2025-03-06,601857,7.12,7.18,7.19,7.09,1856582,1412400099.0,1.39,0.0,0.0,0.11
